full_text,tweet_id,screen_name
"The true story of the Duchess of Argyll, the ‘dirty duchess’ at the heart of A Very British Scandal https://t.co/LCw60hdzXn via @tatlermagazine",1520908189369315329,KaesiF
"A Very British Scandal is the messiest shit I’ve ever seen.

Thank you, @PrimeVideo.",1520906887423840257,JayEeeTee
"@DStvCare A VERY ENGLISH SCANDAL S2 E2, as per attached screen grab, is scheduled for airing on 04/05 @ 21h30. Please advise if this is A VERY ENGLISH or BRITISH  SCANDAL. It is all very confusing. And I cannot find ENGLISH SCANDAL on the APP CATCHUP. https://t.co/VCwXN3uK9I",1520800242916077568,MatherRoam
"I decided to give “A Very British Scandal” a try on Prime and I dislike it for the same reason I disliked “Succession” - 
People IRL are terrible enough to one another that I really don’t need to see them being terrible with one another in my escapism.",1520790338389958657,AnnRudbeck
A very British scandal #Growlergate,1520783355851194368,mfkelleher
"https://t.co/NUY2sQK6Ff

Apparently, the English love A Very British Scandal.  It must be the weather.  Have they little else to do?  A couple of years ago, they foisted A Very English Scandal upon us.

https://t.co/SOrtQsNAKx https://t.co/gPIBOvOHEO",1520712380581359616,hzzhnr
"""A very British scandal"" is off the hook. 

@PrimeVideo https://t.co/iIgVZCKr6t",1520658967604740097,julzzay
"Duchess Claire Foy still has bags of style: A Very British Scandal star dresses for comfort - https://t.co/nOZZJH977W

#News https://t.co/n8S6qc9vs8",1520575580965457920,my234Radio
"Duchess Claire Foy still has bags of style: A Very British Scandal star dresses for comfort - https://t.co/dSLsWYj4g8

#News https://t.co/kc0HxITb3B",1520575577744240640,djokaymegamixer
"I started watching A Very British Scandal and I am HOOKED because making a dude promise not to bore you, having him reply that he'll say and do A LOT, but none of it will be boring, and THEN discovering too late that he's a shit partner nonetheless is a TOTAL me move. https://t.co/eWE772qEDZ",1520571384510005248,DianaDaum
"Duchess Claire Foy still has bags of style: A Very British Scandal star dresses for comfort
https://t.co/3P4ibPNs8z",1520563213422759936,NewsfeedsMedia
Duchess Claire Foy still has bags of style: A Very British Scandal star dresses for comfort https://t.co/balhx8kc7e,1520553406687059968,Big_City_Radio
Duchess Claire Foy still has bags of style: A Very British Scandal star dresses for comfort https://t.co/ofLzLzkY7V https://t.co/EgcJMpxzII,1520552866942836736,Knewz_Currently
A Very British Scandal https://t.co/ErmszUlNYv,1520494491249123335,DisabilityStor1
"Watching “A Very English Scandal” and it’s gay! 
I had no idea. 
I love British shows!",1520470383480168448,Sandra26211
The explosive true story behind new Amazon show 'A Very British Scandal' https://t.co/WD2NLMSW4S via @nypost,1520461591761801241,imDonewithcorn
"Just finished ""A Very British Scandal"". Paul Bettany and Claire Foy are brilliant at being absolutely awful.",1520436321600344065,mizenkay
"Let’s see what these horrible awful people are up to this morning. 
- Me, turning on E3 of A Very British Scandal",1520427090159575047,kalisahobbs
A Very British Scandal. https://t.co/HicBpxtt2R,1520423872285261826,WolfeReports
"That Amazon Prime did not alert me to the existence of the second series of A Very British Scandal is a true algorithmic failure. I mean, how good can the algorithm be if this wasn't on my landing page every day for the last two weeks?",1520405738841153537,sbhudson108
"@DStvCare is A VERY ENGLISH SCANDAL C101 S1 being available on DSTV APP CATCHUP as A VERY BRITISH SCANDAL S2 E1.  Ths is all very confusing.
S1 ENGLISH
S2 BRITISH
IS THERE ANY DIFFERENCE ? Or are  you airing S2 bt advertising it as S1.
Have you got the cart pulling the horse.",1520383144175751175,MatherRoam
"Apparently there's a TV show called ""A very British scandal"" and another one called ""A very English scandal"". Make sure you don't get your scandals mixed up.",1520316905974022144,a_busch
"My bets are he will have the push from the porn scandal, not because of the the porn but because he was a remainer and is very vocal in support of British agricultural, two things that borris and his clowns clearly don’t want to preserve. https://t.co/99MGDdzUUC",1520315925865680896,absolutewilber
'A Very British Scandal' Doesn't Try to Pick Up Its Fallen Woman https://t.co/KuQ68A65s7,1520165841047896065,dallas90210
A Very British Scandal: The women judged for their sex lives https://t.co/VaQIfcPT3W via @BBC_Culture,1520146545676541958,mywaypress
'A Very British Scandal' Cast vs. Their Real-Life Counterparts https://t.co/YYbeF5MYf1,1520139598524911616,allenmendenhall
‘A Very British Scandal’ Cast vs. Their Real-Life Counterparts https://t.co/pCNIcwSQcm,1520136989508608005,blogtech12
@toryboypierce Line of Duty. Planet Earth. Peaky Blinders. Inside No 9. This is Going to Hurt. Killing Eve. Sherlock. Normal People. Spooks. Ambulance. A Very British Scandal. Navalny… and lots more.,1520131969962622976,wordmongerbc
"🇬🇧🔥 E tem A Very British Scandal no twitter do Emmy sim!!! 👏

#ClaireFoy #AVeryBritishScandal #FYC #FoyYourConsidetation #EmmyAwards https://t.co/MsbpfYyvTW",1520130264034332674,ClaireFoyBrazil
