full_text,tweet_id,screen_name
"https://t.co/lm2KJcqzYK You Can Ace This Quote Quiz, You Must Be A Teacher At Abbott Elementary #America #USA #news @rbhcom20 https://t.co/e0ScAC3yV9",1520915141331726338,rbhcom20
abbott elementary is like the office and parks and rec except really good,1520913887859642368,piscesmoooooon
ok. time to finish abbott elementary.,1520911820755767296,myamichole
i need abbott elementary renewed for several seasons,1520909354274365441,glad_ass
Abbott Elementary will save television,1520908756866973696,cgaribay666
Tariq from Abbott Elementary is a rapper for real ?  😭😭😭 https://t.co/A4jnjRjO9h,1520907655530926082,_shalaaaw
"If You Can Ace This Quote Quiz, You Must Be A Teacher At Abbott Elementary https://t.co/mKnMtcd32F",1520904762165800963,petgroomerNG
abbott elementary live tweet thread woohoo,1520902124791599105,itadorisbestie
I should've started watching Abbott elementary sooner. Comedy at its finest,1520898830337822722,SweetLadyThck1
ok anywho am gonna continue abbott elementary and make bracelets and hopefully that lets me relax 😔,1520896777729236999,iIybutterfIy
the step ep of abbott elementary makes me cry like the whole time idk why😭,1520892980139372546,2ndgrader
Top 3 Abbott Elementary Teacher Melissa knows we exist❤️ @LisaAnnWalter https://t.co/nkQxCQLov8,1520892631248773120,Kendelwrites
"If You Ace This ""Abbott Elementary"" Quote Quiz, Janine Will Be So Proud: ""What's unique is that she's bad at her job.""

---

View Entire Post › https://t.co/0g0ccWiPz7 https://t.co/1TfFLXBYjR",1520891703112044544,BetterknowYou
I really hope Tariq is in s2 of Abbott elementary in some way. he’s literally one of my favorite characters😭.,1520888512052367360,LEORlOREOS
abbott elementary is killing me god 😂,1520886783508197379,rodeoswish
Abbott elementary is that showwww it’s so good,1520886217730105352,MichaelWCohen
"abbott elementary’s finest

https://t.co/cSBvaoQFDs",1520883776376778752,vncnzos
I want the second season of Abbott elementary 😩 already rewatching the first.,1520882450204930049,diamdose
abbott elementary just too much 😂😂😂😂😂😂😂😂😂😂😂,1520881496466370560,__enomis
The teachers from abbott elementary taking their earrings out before an argument is literally the funniest thing,1520869647112937472,rosie_nagle
Maybe I need to watch Abbott elementary,1520866407524691969,jorey_b
Abbott elementary is hilarious 😂😭,1520865641854644226,_exhalebullshxt
Abbott Elementary is such a wholesome series. Thoroughly enjoyed it❤️,1520863198588674054,DavidDamijo_
Starting Abbott Elementary lol,1520861659367190529,TokyoTee__
Ah! I see the janitor from Abbott Elementary (William Stanford Davis) on an old episode of Cold Case.,1520859670453399552,KRileyTips
finished abbott elementary :(( i neeeed season 2!!!!,1520852542502096897,meIiwho
Abbott Elementary makes it impossible for you not to laugh.,1520852218622193665,_SJStevens
Is there gonna be a season 2 of abbott elementary? Cause I really need it 😩,1520845799600631809,KurosakiKeii
Tfw you have work to do &amp; just want to binge watch Abbott Elementary but end up watching one more episode of Snowpiercer. 🤷‍♀️ https://t.co/1p6m0hVBbi,1520841906791493632,Mznewzz
grown-ish and abbott elementary are so refreshing to watch.,1520840321847992321,baileee_b
Watching Abbott Elementary makes me want to be a teacher 😭😭😭,1520839063422619653,LanceJay7
Greg from Abbott Elementary might have funnier deadpans than Jim,1520835886363070464,ClitInquirer
taking a brief return from my twitter hiatus to tweet that  s1 ep8 of Abbott Elementary might be one of the funniest pieces of television I've ever seen and Tyler James Williams cute as fuck!! with his lil nerdy ass!!,1520835782767951879,ywyk_
Abbott elementary on Hulu is so funny,1520834949011582977,Dabaddgyaalj__
get them on Abbott Elementary STAT https://t.co/fJlqGD3zWe,1520834401407582211,abbraf
starting Abbott Elementary and lol 😂,1520830984362631170,OctobrsVryOwn7
"Shows que nadie me pidió que les recomendara, pero lo haré anyway: 

The Office: Peacock 
Parks and Recreation: Peacock
Superstore: Hulu
Brooklyn 99: HULU 
Abbott Elementary: Hulu
How I Met Your Mother: Hulu
Modern Family: Hulu https://t.co/KvKxZ5ydrT",1520828855111630850,karlivirys
"It’s been too long, where’s Abbott Elementary S2? https://t.co/XGyT7LCYxq",1520827837929988100,SlaineMi
I called my friend to approve of my outfit and my new glasses before I left the house and he said… OK ABBOTT ELEMENTARY COMPUTER TEACHER! WERK!,1520825265647243265,ABFlamboyant
finally binging Abbott Elementary and I can't stop laughing after everything Ava says https://t.co/Jdxuijk2gv,1520823294810861568,WRLDOFTINASHE
rewatching the Abbott elementary episode where they meet Jacob’s boyfriend. peak fiction,1520821905263153155,poorly_animated
imagine abbott elementary teachers with euphoria students 😭😭😭😭😭,1520819746538590208,femmedomtop
Y’all I’m watching Abbott Elementary and I can’t stop laughing 😂😂😂,1520818628685410304,love_miaaaaaa
They need to be on Abbott elementary https://t.co/BzyzgZiTRq,1520814132932530178,DreamChaser_JP
i’ve attempted to watch so many sitcoms but nothing makes me laugh more than abbott elementary,1520813382252650497,marissqs
the abbott elementary pilot is probably the best pilot i have seen in a very long time.,1520813175578394624,angieunrated
Abbott Elementary is pure gold,1520812749873369088,__hanga
Watching Abbott Elementary again and My Word! Ava is soo good at this comedy thing. A breath of fresh air.,1520809576475541504,IWLTCTY
"started watching abbott elementary - i needed a light palate cleanser after subjecting myself to breaking bad and so far, i'm absolutely in love!!! it's so charming &amp; funny",1520809026472525824,ephemeraliate
"If musical theatre had remained as popular today as it was in the 1950s, there'd be a sketch on SNL called George Abbott Elementary, and it would be unwatchable.",1520807739261390852,theater_lovers
Janine's style on Abbott Elementary is absolutely accurate as to how I dress at school. so many cardigans and long skirts LMAO,1520806597869461505,keysmashconnor
abbott elementary is soooo good,1520806190103605249,thatgurll2001
"Just getting hip to ""Abbott Elementary"" and this show is HILARIOUS. I've been laughing all morning 😂😂😂",1520804179979255808,KellyBabee101
Wtf Abbott Elementary got me crying 🥲🥹,1520803205625561088,_steesh
"Zack Fox's character on Abbott Elementary telling Janine ""I'm a feminist that's why I let you pay for all the dinners"" was hilarious https://t.co/JKNSuhFTTi",1520802363338018821,Lauzin
"finished abbott elementary gonna miss my family
https://t.co/X2GNFbBecH",1520799194218471425,futilelore
They should be on Abbott Elementary’s next season https://t.co/2HXvWR5tsz,1520798806849343490,BreeSpecific
if you haven’t watched Abbott Elementary get to it,1520794377953718273,TreshonBrown4
I need them on abbott elementary plssss https://t.co/IZdQFFaqZh,1520790767526195206,keirakavalli
I miss Abbott Elementary,1520783448390213637,foreverbroadwa1
I started abbott elementary thinking it would not be an accurate representation of teaching (like most tv shows are) but I was pleasantly surprised!! https://t.co/SwODNcjv0j,1520781357617664000,shelbymarie_19
ABBOTT ELEMENTARY IS ACTUALLY FUNNY SHAME 😂,1520777425373835264,thandowithaw
the abbott elementary gardening EP is PEAK comedy,1520767890974158848,howimetfilm
finished abbott elementary in one sitting... i loved it sm and i need the next season to have more episodes!!!!,1520765053095579650,pfkinr
Finally watching Abbott Elementary episode 1– the second graders remind me of my middle schoolers only 21 seconds in lol.,1520763523881652224,readmoreyall
We’re watching Abbott Elementary and thinking about breakfast. https://t.co/1zpAsUnUIp,1520762288793346048,bryonq
"Quinta left a black lady sketch show and that thing nosedived🛬
I’m happy she found great success with Abbott Elementary though. Even more impressive is that it was all her own idea.",1520759339610427393,tobxnna
How do those teachers have so much time to talk in Abbott Elementary? 😂😂😂,1520757308862734336,godairpus
Where can I watch Abbott elementary ka?,1520744926572691458,Dobbelina
"If the CW doesn't want BW anyone it time to use the freed talented actors in other shows. Abbott Elementary, A Black Lady Sketch Show, Doom Patrol, Bridgerton, Our Flag Means Death, new Star Trek &amp; Star Wars series, What We do In the Shadows &amp; more. Let my people SHINE https://t.co/fXGiqHf9GT",1520744173242314752,angelfireeast24
