full_text,tweet_id,screen_name
"Hey Academy, what do you have to lose if you made a pact amongst members that each of the major awards in 2023 would have nominees from at least one (a) horror, (b) sci-fi, (c) comedy, &amp; (d) action film…and at least one animated film acting award?

What. Do. You. Have. To. Lose.",1520910288773697536,_MapsAndLegends
"The Oscars, also known as Academy Awards, are regarded by many as the most prestigious and significant awards in the entertainment industry worldwide. Here is a look at seven books that inspired Oscar-nominated movies.
Read more:
… … … https://t.co/QrUrDlvMPI",1520907559271555072,UBookseller
"I seriously predict this puppy is going to keep rolling in box office all the way into eventual awards… 
It’s early as hell but it’s got the makings of a crowd AND critic pleaser the Academy could embrace. All it needs is a stellar box office run. https://t.co/yzKT3Wh34o",1520904138623696897,LangleyMNeely
"Mazel Tov, Frankel Jewish Academy Students!
https://t.co/KNCGP3h6R4",1520892570150211584,JewishNewsDet
"The Oscars, also known as Academy Awards, are regarded by many as the most prestigious and significant awards in the entertainment industry worldwide. Here is a look at seven books that inspired Oscar-nominated movies.
Read more:
… … https://t.co/QrUrDlvMPI",1520892418241048576,UBookseller
If strange loop does not win all the tony awards I will fight the entire academy and god,1520890047540645889,RitawWang
"[podcast] Professor Tiziana Casciaro discusses ""Power, for All"" and how to navigate organizational power dynamics. Tiziana's work received distinguished scientific achievement awards from the Academy of Management.  https://t.co/xctsDDiGSF

#leadershipdevelopment #management",1520889893945327620,Kevin_Craine
"The Oscars, also known as Academy Awards, are regarded by many as the most prestigious and significant awards in the entertainment industry worldwide. Here is a look at seven books that inspired Oscar-nominated movies.
Read more:
… https://t.co/QrUrDlvMPI",1520877355442520071,UBookseller
2022 Oscars Celebration | Will Smith hits Chris Rock | CODA wins BEST PICTURE | Academy Awards https://t.co/GHqmhC04fM,1520876777232498688,petgroomerNG
Where to Stream the Academy Awards Best Picture Nominees Story via @wealthofgeeks https://t.co/HVaRvtNMfF,1520870942699712514,Mytwogeekycents
Where to Stream the Academy Awards Best Picture Nominees Story via @wealthofgeeks https://t.co/HVaRvu5nEf,1520870942360145920,Mytwogeekycents
"https://t.co/2SU3qDn8bM  Be Alive (Original Song from the Motion Picture ""King Richard"") (94th Academy Awards Performance)    #Rwanda #RwOT",1520869068596727813,music_tv_ea
Looking forward to @sigchi @acm_chi conference in New Orleans. Come hang out at the fireside academy awards chat Monday 17:00 at New Orleans Theatre B. #CHI2022,1520864286318514180,roelvertegaal
"The Oscars, also known as Academy Awards, are regarded by many as the most prestigious and significant awards in the entertainment industry worldwide. Here is a look at seven books that inspired Oscar-nominated movies.
Read more:
https://t.co/dONE4vrnGq… https://t.co/QrUrDlvMPI",1520862245139492864,UBookseller
LILY JAMES at the 94th Annual Academy Awards in Los Angeles on March 27th 2022 wearing ATELIER VERSACE https://t.co/bWIhqyb5JU,1520852881003405313,ErinMorreale
Which controversial Oscar win you believe was the right decision in any year of the Academy Awards? https://t.co/kakc5jfsZO,1520850615903170561,Dev2Dust
#AcademyAwards Complete list of every Academy Awards winner films for Best Picture https://t.co/kYqWrRJ4cw https://t.co/qf2x3Hrc9n,1520850208384503808,OnefilmsMovies
