full_text,tweet_id,screen_name
"""The world of football is not just about football. It's a game of power, gender equality, democracy, and a lot of politics as well."" - Ada Hegerberg

On Nike's 100 anniversary we're delighted to announce our collaboration with the seminal brand. Nestled inside Mission's Sustainab https://t.co/Lqt97y99Gp",1520861924585467904,Mission_Mag
"Ada Hegerberg is top class, always handling both defeat and victory with class and respect. We’re lucky to have you in D1 @AdaStolsmo good luck in the finals!",1520815348517384193,saucyboulette
"🇳🇴 𝗔𝗗𝗔 𝗛𝗘𝗚𝗘𝗥𝗕𝗘𝗥𝗚. @OL_English reached the @UWCL final with an outstanding performance from Ada Hegerberg. The 2018 Ballon d'Or scored in both legs and lead her team to the victory. This is our analysis of the Norwegian striker!
Read analysis: https://t.co/X7yfleCIeK https://t.co/mLa3P4ATjU",1520733918500200448,ekkonomethod
"Barca Femeni will face Lyon in Champions League Final. The French giants have Ada Hegerberg in their team, she is first ballond'or winner in women's football. https://t.co/8LrRQBxwUj",1520664205955055616,blaugranatimez
"BDR level clash in the #UWCLfinal as Ada Hegerberg meets Alexia Putellas at the Parc de Princes. 

The final showdown.
🍿🍿🍿🍿🍿",1520626685678604288,ashercollindias
"Ada Hegerberg vs Alexia Putellas 

THE BEST OF THE BEST 🍿 https://t.co/bkxVleyy3E",1520582836260012033,atanu_74
Gonna be extra and say Amandine Henry and Ada Hegerberg https://t.co/NVh7GQYzun,1520552553150300164,DAVID_MENSAH2
"Alexia Putellas🤝Top scorer in UWCL this season with 10goals in 9games

Ada Hegerberg🤝All-time Top scorer in UWCL with 58goals in 58games

An EXCITING #UWCL Final awaits🔥🔥 https://t.co/sf6wdOFuAn",1520520853913583616,NenyeChelsea
Ada Hegerberg never lost a game she scored in the #UWCL. 29 wins and two ties in 31 matches. https://t.co/ndYE7ffjo9,1520516203151773708,xGisfornerds
"The UWCL final wrote itself into existence the second Ada Hegerberg said, “There was women’s football before Barcelona, and it was played at Lyon for years.”  

Should be a sensational, drama-filled affair in Turin. Som-hi Barça!",1520512757212323846,UsernameShwe
"⚽️Case ""Ballon d'Or 21/22""
👉Alexia Putellas Segura (@alexiaputellas) v. Ada Hegerberg (@AdaStolsmo). 
⚖️The date for the case resolution is set for May 21, 2022, at 7:00 p.m., at the Juventus Stadium in Turin. 
#UWCL https://t.co/SLPGElTqVf",1520510363585990656,Manel_ManofLaws
Lyon v Barça. Ada Hegerberg v Alexia Putellas. Can’t wait for the #UWCLfinal! Who else is going to Turin? 🙋🏼‍♂️ https://t.co/rcumW9fIrC,1520509878921576448,RobertBlaszczak
"Alexia Putellas vs Ada Hegerberg in Turin🔥🔥

2021 Ballon d’or winner vs First-ever Women Ballon d’or winner(2018)

#UWCL",1520508805368401922,NenyeChelsea
"CONFIRMED: BARCA women vs LYON women 

2021/22 UEFA Women’s Champions League Final 

A repeat of 2019 final which Lyon won 4-1 with Ada Hegerberg bagging a first half hat trick and Asisat Oshoala scoring Barca’s only goal of the game.

#UWCL",1520507204457177088,NenyeChelsea
