full_text,tweet_id,screen_name
it’s been a hot minute since we got a adam sandler movie we need the goat to make a comeback,1520911842348089344,hotboijiminn
if you have a problem with adam sandler then you have a problem with swag,1520911654992715777,chrisaileo
"If anyone says they like adam sandler, I'll hit them on the head!",1520911590433771520,BeMothafucka
u know that pussy fire when she dress like adam sandler 😩🥵💦,1520911574554263554,virgh0ee
film snobs are the worst like let me enjoy my adam sandler movies in peace,1520911356328882176,afilardz
Adam Sandler as Thing for Fantastic 4,1520908330297876480,evrnest
"Just discovered that Happy Madison Production is owned by Adam Sandler. 

Now I understand why most of his movies if not all is produced by them.",1520905791737319425,ronikpe
Adam Sandler https://t.co/9L1uzkTK6o,1520905427764097024,IpourInsolente
watching a fight in star trek discovery. shaky cam is the worst thing to happen to the visual medium since adam sandler,1520902423711264770,buddha_bebop
"What was it in the years between 2003 and 2012 that Adam Sandler felt it necessary to prove himself a tough guy/Stud in movies like ""The Longest Yard""  ""You Don't Mess with The Zohan"" and ""That's My Boy"".  He should be beaten senseless for what he did to ""The Longest Yard"". https://t.co/zM6v44LUKP",1520901574335336449,DPolishPrince
Adam Sandler should go back to writing his movies,1520901116938133505,jj_claxton
guy at my work looks like bald adam sandler,1520899636868915201,claviicle
This the hole Adam Sandler respawned  from in Little Nicky https://t.co/pbYHeGz1Ew,1520898591686017024,CaptainLit_
How do I communicate to a girl that I like her outfit in a deeper more intellectual way than everyone else when I myself am dressed like a depressed Adam Sandler,1520897510234943488,DeltaBetaEboi
in my adam sandler fit today,1520897243020148737,gooshieboosie
I deadass talked/ served Adam Sandler today. My life is a fever dream 🥹,1520897112392622080,cx_mh
I JUST MET ADAM SANDLER!!,1520896589102911489,cx_mh
COCO HAD A CONVERSATION WITH ADAM SANDLER 😭😭,1520896441211707392,betsyandrade_
"@RemingtonLeith with a beard is giving me Adam Sandler vibes not sure why 🤔
#PalayeRoyaleArt https://t.co/XSvVV3wuyr",1520896165146935297,lozlozy1
what if adam sandler had been cast as shrek. then what,1520895953812828163,wiisportstennis
ray romano deserves the acting respect that adam sandler has amassed,1520893713681199105,sglassman11
"Jan - May 👀 idk wthhh even goin on wit the time now , some body pushed that Click Remote button wit Adam Sandler on the Speed Button or that’s how wild life is .. scratches head*",1520893404611158017,RTuNEgoinIN
"""Adam Sandler? What are you doing here?""
""Waiting for them to play Gangnam Style.""
- Jessie (2011)",1520893129401974790,mormonmatty
Love being able to come home from work and smell the charcoal for the ribs and be barefoot with the kids playing football in the backyard!!! Finishing the night with wine and a great Adam Sandler movie with the husband 😁 #GoodDay,1520892592086474753,AmburBurrrr
The Waterboy holds up. Top 3 Adam Sandler movies.,1520891766412804096,Mr_Dr_Prf_Caleb
"Adam Sandler is an uncooperative drafter who intently constructed his minion in the ocean. He fell in love with a vice and fooled around when he realised that ""Honesty is the best policy"". He started closing up shop and emerged as a better person.",1520891467014811655,AdamMovieGen
A mom said my dancing looked like Adam Sandler’s. Full recovery isn’t looking great https://t.co/4IVUC1WwX5,1520890686983131136,SurgeWarningSal
am i horny or was adam sandler hot in billy madison,1520888540929925120,lrnelzzz
I wanna see Adam Sandler on dancing with the stars,1520886068479995905,getmangledson
One thing about me is I have zero interest in ever watching an Adam Sandler movie regardless of how much of a “classic” it is,1520884887825301506,apljacqs
Adam Sandler made some pretty funny movies….,1520882933908836352,HerNameIsCharrr
Adam Sandler being casted in the Safdie brothers new film is the best news I’ve heard all weekend.,1520880672478576640,DirkRangel
ren just asked me to pause my very much unpausable game so he could show me a video of adam sandler and then he threw up when i said i couldn't,1520880268130856961,twilightsceneit
Shakespeare and Adam Sandler play Scrabble and discuss wildlife conservation.,1520880179203117057,whats_poppinn_
"Survivor 9: Adam Sandler (Unfunny,Outsmart,Outsmart)",1520878850233683968,SurvivorTitles
"I never understood why canon names are an argument. These are self insert jrpgs for a reason. YOU are the protagonist. Do what you want
I named soul hackers guy Adam Sandler https://t.co/YUj8fCA5d7",1520874815074320384,maria_galleria3
"Adam Sandler?! What are you doing here?

Waiting for them to play Gangam Style…",1520874610840903680,girIautism
Adam “death to America” Sandler,1520874008652271620,lwyrlrge
nate was just a perplexing plumber before a virgin came into their life. plot twist: a truck driver is involved. they are played by adam sandler and chris evans.,1520873544715882496,romcomgenerator
anyone here have an enemy that doesn’t know they’re ur enemy but they are? For example mine is Adam sandler,1520864213174001664,tamagotzu
"ME: imma shave my beard and do a brad pit look . 

She : mmm more like Adam Sandler https://t.co/ZxW51yzoMT",1520863696192425989,Ryan_DiSavage
i hate adam sandler sm,1520863304498958338,kiwiyuno
Drake look like Adam Sandler character from Uncut Gems https://t.co/AW0jdZ1OBl,1520862353440522248,ASVPJets
my husband watched Tenet next to me on the airplane and he was laughing so much i thought he was watching Waterboy starring Adam Sandler!,1520861797099749378,lechem0n
"hey you!! yes you!!!!! gsg is giving away a once in a lifetime to meet cassia, world renowned for being an adam sandler kinnie",1520861675288551424,GSGB0T
*in the most casual way* adam sandler what are you doing here? https://t.co/PrCaelTGfk,1520861369284759552,migueIdiazs
I wish Adam Sandler would slap me like Will Smith slapped Chris Rock,1520860014998700038,notewinter33
The acting in Winning Time is so bad it makes me long for Dan Patrick's cameos in Adam Sandler movies.,1520859829400743939,PeterfromND
"A7: Adam Sandler is the obvious answer, and also the correct one! For the sake of variety I will add Alfred Molina in Boogie Nights - up there with my favourite one scene characters in anything. So far removed from his usual roles! https://t.co/JrHOONbPMl https://t.co/cxUPXsRUyo",1520857718713630721,IMDBartlett
"A7: I guess the obvious answer here is Adam Sandler. Wouldn’t say I found it surprising but I don’t hate Sandler like most. Actually, I like Sandler - I’d be dumb to pretend not to with my Twitter name. 😉 Also liked Tom Cruise playing a different sort of role in Magnolia. 
#MTOS",1520856218922885122,tableninemutant
i wanna be friends w adam sandler,1520855163933655041,user1256135
"Sonic, those are for Adam Sandler, please.",1520854686886113285,snapcubesonic
"Adam Sandler is one my favorite actors and I love all his movies, he’s so funny and I love how he love employing his people",1520853844149817347,ck_215
He going Adam Sandler longest yard flow https://t.co/fs7NLtiJUt,1520852940055101441,KyleWithASmiile
"Adam Sandler is a fastidious team assembler who promptly identified with a fool in the ocean. He was making coffee and fooling around when he realised that ""A change is as good as a rest"". He started sending resumes to employers and emerged as a better person.",1520850213027647488,AdamMovieGen
i love adam sandler https://t.co/RrSWxEeQhV,1520849700554874880,BLOODlEDTEETH
i made adam sandler jorts from jeans i never wore,1520849296714723328,ssamanthaavegaa
Would you kill Adam Sandler,1520848235199410178,earthmetal2
Adam Sandler would be a top 3 actor if he took more serious roles,1520847662693580800,dylannchannel
"Brave confession time.

Okay, here goes.....

I actually enjoy Adam Sandler films.

Don't @ me.",1520845540698865664,roysterini
"Adam Sandler is a beneficent parking enforcement worker who merrily invented a temptress in a river. He was picking up packages and fooling around when he realised that ""Desperate diseases must have desperate remedies"". He started controlling time and emerged as a better person.",1520843833143140352,AdamMovieGen
i lost a follower is it because of the pussy tweet or rting adam sandler,1520841834431496192,SANGY30N
"Me either, also have never laughed at any Adam Sandler movies. https://t.co/DdkdzDFGJD",1520837552768532481,bow227
knee length shorts n a vintage sweater call me Adam Sandler,1520836692856430592,poisoncitysiren
"This is how you beat COVID
Rest
Bad Adam Sandler Movies
Reading
Hot water with Honey.",1520835720742592513,Tarmac492v2
"top 5 adam sandler movies:
5. click (2006)
4. click (2006)
3. click (2006)
2. click (2006)
1. click (2006)
honorable mention: click (2006)",1520835385332580352,thatbirdmf
"I'm gonna love the Safdie Brothers take on ""Grown Ups 3""

https://t.co/Ykz7bxcV8q",1520833621292105731,sppeterson
i love adam sandler and everything he stands for,1520832277940367360,electric_mummy
i asked connor if he’s seen uncut gems and he said of course it’s a gambling movie and it’s adam sandler,1520832032389095426,galifianapkins
jennifer aniston and adam sandler in just go with it (2011) 💗 https://t.co/oXJCsiWqBT,1520831799710126083,elysianiston
i wonder what adam sandler thinks about being a high school spirit day,1520829893533122563,librizor
do you see a resemblance between g'raha tia and adam sandler (images in the reply),1520829706983124997,lovetownz
I would get a tattoo of Adam Sandler,1520828641147379717,samclapslap
Adam Sandler is on 🔥he’s playing John/Master Chief in @HaloTheSeries and now he will be in another movie with the Safdie Brothers film 💪 #HaloTheSeries #HaloSeries  #Halo #MasterChief https://t.co/OXgmMPDrJt,1520828254017540103,MellyAR1983
Rick Steiner is Adam Sandler. Sandler is known as a comedic actor and is underrated as a dramatic actor. Rick is known as tag specialist and is underrated as a singles wrestler. https://t.co/mrToUCZMc5,1520827616084824067,ArmbarPod
I want to take a nap to the sound of Adam Sandler in 50 First Dates,1520826963052556288,blakeyD_95
adam sandler what are you doing here waiting for them to play gangnam style https://t.co/BPUFAfOpxI,1520826754797031425,punkassgemini
How about a thread of all time great guys?? Celebrities that is. I’m gonna start with Adam Sandler and Joe Rogan,1520825116661362689,sPorTzAnaLyTiX
"Yes ,  a mixture of Adam Sandler , Jim Carrey , Jay versace , Kayla Nicole , Issa Rae all in one 😂 https://t.co/ayLE6AGkfu",1520823231455932422,Herxselflove
"🚨FCCLA SPIRIT WEEK🚨

Mon 5/2 - 😴 Pjs 
Tue-  Adam Sandler🧢🩳
Wed- Country 🚜vs. County Club ⛳️
Thurs- Hawaiian 🌺
Fri 5/6- Red out ❤️",1520822033436889088,EHSsection
Emma Watson and Adam Sandler just reunited in matching bathing suits for Snapchat,1520821935453528064,LateBreaker22
Dr. Iplier https://t.co/iSiDCXqzT9 is currently ballin against adam sandler https://t.co/7LotEItJZR and the winner will get an nft https://t.co/KUcueCBrsQ,1520821348968280064,AltCelso
"Omg guys have you seen that Leak of Adam Sandler in #MultiverseofMadness I think its cool that marvel is giving him a shot, I wouldn't have thought he would have wanted to be apart of the mcu so wtf??",1520821149885677570,isspeeedyy
I responded to a popular tweet about a dumb Disney joke with Adam Sandler and now I can’t mute the conversation because Twitter’s being Twitter-,1520820886743494657,NoahTJohnson_99
There's this new papa john's ad with a narrator that sounds like Adam Sandler and it airs like every ad break during MLB games. I think by the end of the week I'll be able to perfectly imitate it :(,1520817261564604416,plumzaplook
Adam Sandler Reuniting With Uncut Gems Duo The Safdie Brothers https://t.co/EvFKCJZSjV,1520816706238631936,smackgirls
Me if I was Adam Sandler https://t.co/azdUQhVQ3w,1520816531139141633,goosesneaks
"The one where Kirstie Alley went to dinner at that Italian, and Adam Sandler was that creep waiter. https://t.co/3IC9q6f8I5",1520816159800446976,SocalMaverick1
My guilty pleasure are adam sandler films ik they are awful,1520813310681092096,Zookyhill1
There’s been a lot of references to Adam Sandler today at work we are fans,1520813183455293441,djtomitron
Flow Adam sandler,1520806851159281664,ema_mart
"Left my house the last few days in a hoodie, basketball shorts, and work boots, and never felt more like Adam Sandler.",1520806417824985090,SamRC1987
I like my relationships to move like an Adam Sandler song. At a Medium Pace,1520806215470784512,coffeeandvinyl1
Yo Adam Sandler funny af .!,1520802281804939270,__ChewMeBxtch
That Chris Farley song in that Adam Sandler standup on Netflix still gets me every time,1520800494351966208,pete_burns13
dressed like adam sandler listening to metal at the gym. nothing wrong with that,1520799618937896961,tn_mltsnti
adam sandler is an absolute chad tweet.,1520794627980242945,raitemered
"Survivor 19: Adam Sandler (Based,Outwit,Outlive)",1520793294908715008,SurvivorTitles
Girls who dressed like Adam Sandler in their teens became bad b*tche$ in adulthood.,1520792616677232640,KatarinaSzulc
Adam Sandler was never funny to me.,1520790488374251521,AGoldExperience
"One day, Brett was doing homework when he realized that he had the big game today! he skipped towards his car and started driving to it. He makes it on time to find that Adam Sandler is there to greet them! They  both make their way in and took part in the big shebang .",1520789998257115136,M0dernBard
"Who are some of your favorite celebrities that just mind they business but pop off when it’s time?

Adam Sandler comes to mind for me.",1520784150088675328,TaylorMunlin
Adam Sandler not being a Disney channel sitcom dad doesn’t make any sense now that I think about it.😂,1520781452455067651,alsozino
I literally dress like Adam Sandler if i’m not going out idgaf🤣,1520781078813892608,wtfkhalilah
common adam sandler W https://t.co/DY1Xfyqpjz,1520778985281519617,DiddyDankSSB
Just called my doctor and told him to take a hike cause I just found this adam Sandler/jack Nicholson that makes his career completely irrelevant,1520778903995920384,guydynorris
"Adam Sandler is an energetic structural metal fabricator who strictly proofread for a hunter in a plaza. He was traveling to Bern and fooling around when he realised that ""Patience is a virtue"". He started reading the Talmud and emerged as a better person.",1520778747028328455,AdamMovieGen
Adam Sandler is a national treasure,1520777620735987713,scrappersdigest
Mr. Deeds had the media figured out back in 2002. Adam Sandler tried to warn us.,1520775594610507776,MylesTeteak
All I’m saying is me and Adam Sandler got the same Birthday,1520775119630704640,MosMeeJR
"Adam Sandler is a frank camera operator who quickly displayed a shaman at church. He was tipping the wait staff and fooling around when he realised that ""Lost time is never found again"". He started cleaning the yard and emerged as a better person.",1520773652559675393,AdamMovieGen
Adam Sandler can do no wrong.,1520772277310214144,Desire_Nae
5/1/22: Which college program did the “Towel Boy” attend in Adam Sandler’s 1998 hit movie “The Waterboy”?,1520770557947568130,cpetagna247
Adam Sandler Re-Teaming With The Safdie Brothers For A New Movie https://t.co/RCdOrsikSU,1520767786103959553,mrhelstein
Watch the Adam Sandler special on Netflix before you cancel your subscription if you haven’t already,1520767568818192386,patneedham_
"A hot dog shop owner becomes half man, half hot dog in a wacky tale about small businesses and science experiments gone wrong. Top Dogs, starring Adam Sandler, coming to theaters this fall.",1520766683769618434,mynameisbread
Adam Sandler and Adele just reunited in matching skirts for Facebook,1520761497059659778,LateBreaker22
"Survivor 13: Adam Sandler (Based,Outplay,New School)",1520760582923714560,SurvivorTitles
That scene on “Grown ups 2” with stone cold confronting Adam Sandler is hilarious. That lil girl had me crying 😂😂😂,1520758804912254977,Its_BigBro
it’s the way they got an Adam Sandler cameo and didn’t even do a canned audience cheer for him at all https://t.co/QLg9zIoT7x,1520757037981917190,SpaceKitaaRiSE
"Today's game is YouTube Life! It's very fun, I recommend playing it! 
-Your Adam_Sandler https://t.co/p3VAUHGTxm",1520755131020713986,Adam_SandlerRBX
"Hello, I'm auditioning for the role of Adam Sandler ..................slime man",1520753358629310464,Floats_Whatever
Who’s up at 9:00 on a Sunday watching old Adam Sandler movies? This guy🤦🏾‍♂️😂,1520753205373816832,therealdjtellit
THIS IS A FUCKING CALL OUT POST @allyorbetray DOESN'T KNOW WHO ADAM SANDLER IS I AM SENDING TROOPS TO HIS HOUSE TO EDUCATE HIM,1520751071362424834,Trixie_Mach5
Twitter is such an odd place because i remember last year i got into a full on fight w a girl over adam sandler’s nose and she blocked me,1520748791112126464,Bvrbb
When they feel contemplative Jo O'Meara and Adam Sandler cook with many spoons of Tekka,1520748336256495616,Pubpp241
Doctor who is just the movie “click” if Adam Sandler knew how to use the remote correctly,1520747896093786113,magicquack112
One of my favorites is the Revolved Side Angle Pose because it keeps Adam Sandler relevant. #Yoga,1520746052919304192,LooseyBusey
The click movie with Adam Sandler,1520742085824897024,SpiderAntlcs
#AdamSandler confirms ‘#UncutGems’ follow-up with #SafdieBrothers https://t.co/7eiRe5OiiS,1520739067029168128,FarOutCinema
THEORY WAREHOUSE PAY THIS IS STILL NEEDED IN A Cause of me so horny tennis is Adam Sandler I put her to pass Ska is ass😖😖🙈,1520737743478865921,Burgerderger
"todays activities, #Madden22 and a little Bar Recue, right after I finish watching Anger Management with Jack Nicholson &amp; Adam Sandler #topcomedy #veryfunny",1520733990159847424,kemo829
Surprising News From Adam Sandler And The Directors Of The Film Uncut Gems https://t.co/rAnApLG4rT,1520733870718693376,daily_plot
"This clip somehow went from ""who the hell is adam sandler"" to ""seriously? this is so fucking unfunny get a life"" to ""somehow one of the funniest things i've seen in the past month"" in the 9 years since the ep released
Internet humour baffles me but hey at least i laugh https://t.co/gWyyHtprS1",1520733739902509057,D_P_Mario
Adam sandler movies are always good vibes,1520733673686913024,topleveling
Adam Sandler and John Legend just reunited in matching shoes for Twitter,1520731323979026433,LateBreaker22
(extremely Adam Sandler voice) the moon (a lesbian) is the hero gotham deserves,1520730650721980416,Floats_Whatever
"Adam Sandler is a quarrelsome physical therapist who rapidly arranged a fool in the void. He was taking pictures and fooling around when he realised that ""Ready money is ready medicine"". He started taking self-defense classes and emerged as a better person.",1520720656052195330,AdamMovieGen
Love how my girlfriend can’t tell the difference between Adam Sandler and Ben Stiller 😂,1520719758588616704,LewisWood365
Josh e Benny Safdie torneranno a collaborare con Adam Sandler https://t.co/HAxpArGrdY #ThinkMovies #Cinema #News,1520717503407824905,Think_movies
"I wish Adam Sandler would make a movie in a universe where he exists and a running gag is that random people on the street stop him and go ""Hey are you Adam Sandler"" and he says ""NO"" slightly more frustrated each time",1520713569335009280,RazzyMatazzed
Wanna feel old? Adam Sandler is turning 153 today,1520712559631867905,wanna_feel_old
"Adam Sandler is a hot-headed musician who majestically projected his daughter at night. He was traveling to Tegucigalpa and fooling around when he realised that ""A penny saved is a penny earned"". He started riding bikes with his wife and emerged as a better person.",1520710085051400194,AdamMovieGen
"Look at adam sandler one of the biggest hollywood star but still so simple so f offf squids 😘

#tejasswiprakash #tejatroops https://t.co/E4LQ4ICJbg",1520708481543667712,tejasswixsukoon
"NEWS | Papaya Rocks
Adam Sandler will join forces with the Safdie brothers again. Previously, he starred in their ""Diamonds in the Rough"".

#FilmTwitter #PapayaRocks #SupportIndieFilm 

https://t.co/JGCbGrJqYX",1520708054467108865,PapayaFilms
my sister has this pic of adam sandler in her school journal https://t.co/9f9uZ6k0u7,1520706826861522944,KarisPilkBoyne
Id let Adam sandler stick his wiener in me with his bashetball shorts around his ankles,1520701900559060993,well_thisisme
I’m really out here looking like Adam Sandler in happy Gilmore 😭😭😭,1520696583754559488,hahafuckpearl
adam sandler movies are bed time stories,1520695549044969475,dawgwithablawg_
"theory: in every movie that Adam Sandler acts in, he plays himself",1520694382524919809,UstathaF
can’t believe adam sandler parodying knives out,1520694211435286528,dawgwithablawg_
