full_text,tweet_id,screen_name
Even Shera looks better than Akshay Kumar https://t.co/4iFEegS1lJ,1520869441734848513,Salmanschamp
Akshay kumar  was famous  actor.  He  was inspired  to others. https://t.co/uFhFUSDZpZ,1520855341293993984,mouni_roy7
"True Story: Salman Khan wanted a Remake of the Legendary Hit of Akshay Kumar's 'Chura ke Dil Mera' , but things didn't work out, so funnily this 'Teri Chunariya Dil le Gayi' was made over the same tune and was a Massive hit.",1520830942515892224,_James_Bong
"Akshay Kumar celebrities World Laughter Day, end up hurting himself #AkshayKumar #WorldLaughterDay 

https://t.co/bJ7eT5vHPL",1520827842904264704,Cinetalkers
"Akshay Kumar's yearly line up without NGE movies always been a class line up 
@NGEMovies works on garbage scripts and with nonsense director's now playing blame game with other's Ahmad Khan Farhad Samji kuch Sharm hai 👎 https://t.co/FtwUZ9AGrJ",1520823127944617984,Kforkhiladi
@iasdanishashraf sir I've complained against L-43 kalkaji Guesthouse having unauthorised height. Afters JE visit action as per DMC ACT was initiated but AE Mahesh Kumar closed the complaint without taking any action.Pls check the Pic attached https://t.co/1QDCPKkQaE,1520814796865638402,Akshay_0555
"Should be a common knowledge 
SRK'S leg is enough for Akshay Kumar. 
https://t.co/89h2kqheqQ https://t.co/3sCVEXeqDA https://t.co/SsebTmbO8i",1520805419647905792,anshu_biswas2
💀 Akshay Kumar ne kithe saare movie shoot kiya hai ?👀 idk why but my TL is filled with alag alag movie ke release date 🙆🏻‍♀️ every month one one movie. movie release kar rahe ho ya 🙊🚶🏻‍♀️,1520803001224491009,talentedtea
"Akshay Kumar-Jacqueline Fernandez's 'Ram Setu' poster: Netizens question logic behind lighting fire and torch at the same time, say 'RIP Logic' https://t.co/FZYqIwUwGr via @eTimes",1520800918266347521,nareshchopra5
"World Laughter Day: Akshay Kumar shared his funny video, told people the secret of the key to happiness https://t.co/67a36Fq1As",1520798995177783297,NewsBreakingUP
"Three people I admire the most .
1. Sonu Sood for his social services.           
2. Akshay Kumar, brilliant actor and human being .
3. Virat kohli unbelievable sportsman.",1520793961182375936,Balbirgrewal5
Akshay Kumar making movies like BC Pandey is far more harmful to the society than promoting Vimal guthka.,1520788070727098370,vikasopikaso
"Superstar @akshaykumar doesn't need dialogues to make people laugh, his body language &amp; expressions are enough. There was Charlie Chaplin and then Akshay Kumar.🍁 https://t.co/8FHtTc4ZFZ",1520783170857095168,cinejac
"@akshaykumar BTS' Suga-PSY dance to Akshay Kumar's track in fan edit of their song That That
6 hours ago",1520768128112033793,faisalKhiladi
"@akshaykumar Akshay Kumar Shares ROFL Video On World Laughter Day. Says, ""It Was Actually Painful""
5 hours ago",1520768005730615296,faisalKhiladi
"Akshay Kumar uploads a harmless (honestly not funny) video on twitter. 

Fake wokes and liberandus - this video is responsible for my kidney stones https://t.co/4iJxwaN112",1520762778373427200,VivekSrkian33
"One need to understand that these movies #Heropanti2  (just like the Akshay Kumar movie #Blue) are made only for conversion of black money of some to white money.  Hence, the quality of songs from @arrahman sir too.",1520761092842340352,Lyferocz
"No more cliff jumping, Akshay Kumar is doing stunts with a ‘comb’ on World Laughter Day; WATCH: hi INDiA  

Attach Main Entertaiment Image:  akshay_kumar_.jpg Akshay Kumar is one of the most popular actors in the Bollywood… https://t.co/zspuybKdxq | https://t.co/Vhb7EKELqw https://t.co/O5KylRuGfH",1520760715199406080,hiindia
"No more cliff jumping, Akshay Kumar is doing stunts with a 'comb' on World Laughter Day; WATCH - The Madras Tribune 
#MadrasTribune #News #BreakingNews
https://t.co/7M9TKqsM2l",1520760316753186816,MadrasTribune
"Someone just spit Pan Masala on my Pant. Thanks to Ajay Devgan, SRK, Akshay Kumar, Salman Khan, Amitabh Bachchan, Ranveer Singh.🙏",1520758838252646400,1sInto2s
"Only in Twitter, we can  see people who said Tamasha is masterpiece,Zero is Masterpiece,FAN is masterpiece,Srk is action star and Srk is better in comedy than Akshay kumar..

In neutral view(reality)  Every point is opposite.",1520758478989500417,Akkian_x
"World Laughter Day: Akshay Kumar drops a hilarious video, leaves fans in splits https://t.co/Ii7bueW3YR",1520758266971754497,GlobalNews82
"Not cliff jumping, Akshay Kumar is doing stunts with ‘Kanghi’ on World Laughter Day; watch https://t.co/ZwPXSj1VhB",1520757178566590465,NewsBreakingUP
I do not stick to rules when cooking. I rely on my imagination. Akshay Kumar,1520754665537011712,jinyounglandss
"@NGEMovies @WardaNadiadwala 
Bachchhan paanday was the last Collab between NGE and Akshay Kumar ?? 🤔
If this is not true then please make sure this turns real .🙏 
Making choreographer director , dialogue writers as director is not 
gona work .",1520753323099439104,Kforkhiladi
Akshay Kumar is so patriotic he made a movie about the #PowerOutage 🙌🏻 https://t.co/ENpHgw7ZF9,1520746382851600384,skalamhr
"【Popular No.1 Topics in United States of America!】World Laughter Day 2022: Akshay Kumar Suffers 'Ouch' Moment, Rajpal Yadav Quotes Charlie Chaplin https://t.co/RC2gBpCGFv",1520745109905866753,entenkwkm
"Akshay Kumar upcoming movies 2022 &amp; 2023: budget, release date and trailer. https://t.co/tUtB53VT2C via @YouTube",1520742442517295104,SagarKh65066804
When is Akshay Kumar's National Treasure coming?,1520737115700867073,Karthik
"I will always support akshay kumar, tiger shroff and john abraham

TIGER LEAVE NGE &amp; AHMED https://t.co/W0B8QCVFn5",1520731988466057216,Yeshika_B
"His swag level in bachchhan paandey is just unmatchable 💥

Akshay Kumar × The Box https://t.co/YxVBgi8feS",1520731910917750784,AkkiSonu_
"What’s disgustingly common between? - 

Amitabh Bachchan
Ranveer Singh
Akshay Kumar
Shahrukh Khan
Ajay Devgan 

I bet it will be very difficult to answer",1520731606029258753,stspring
Rangaswamy that's why u needed a bollywood actor Akshay kumar who is from north to get first major dubbed hit in tamil movies 🤣 https://t.co/sK4XLbjD1m,1520728530270625793,shaileshgam
Only this one pose of Akshay Kumar &gt;&gt;&gt;&gt; SAROOK's Whole career https://t.co/tdfKU0OHs1 https://t.co/scxOXPqTIR,1520726737440882688,iKHILADIs_Bhakt
"In ‘ coal ki kami’, in which Akshay Kumar , acts as the coal in a train that gets lost, the engine driver is the Sanskrit speaking Ranaut!!

In the whole movie , no one understands her!!

‘ I wantum woodenum horseum- is her key dialogue.",1520726674286911489,minicnair
Akshay Kumar Hera pheri pose &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; Srk whole career https://t.co/kpowwGfn88 https://t.co/5Eqr9Dl8r9,1520725241105829889,LogicalTweets_
"'Ram Setu': New Image Teases the Akshay Kumar led Adventure Film!! Check It Out!! #AkshayKumar, #JacquelineFernandez, #NushratBharucha, #NushrrattBharuccha, #RamSetu https://t.co/nW2MTjWOgw",1520723617167945729,movizark
We all can agree easily that acting of Akshay Kumar as Aditya Shrivastava &gt;&gt;&gt; all the characters played by Shahrukh Khan https://t.co/Sayf3ckg77 https://t.co/enx7g0ZeEh https://t.co/rtGMMBJw5Z,1520723156800921600,AKsCombat
Akshay Kumar pose in Hera Pheri is better than srk whole filmography. https://t.co/KRrjbypxQH,1520721688270639104,RiturajJha8
"If there is no Aditya chopra then today srk is another Imran khan 😂😂

And here this mfs are comparing this Pig with their BAAP AKSHAY KUMAR https://t.co/57iJjWjmB7",1520720736830205952,Akkian_x
"I want to make a movie!
Coal ka kami!

Akshay Kumar will be the actor playing the coal , moving in a train that gets lost!!",1520719872237449217,minicnair
"Rustom, a naval officer, shares a happy relationship with his wife Cynthia. Soon, he discovers her affair with Vikram, a close friend, and is accused of murdering him. Don't miss Akshay Kumar in Rustom tonight at 8pm CAT on #ZeeBollymovies #K24Plus https://t.co/Ufu5ZrZmmc",1520719789940953089,ZeeBollyMovies
@narendramodi sir  I m chanrawtee Boodhun residing  Mauritius  I have a problem  and  I m coming to Delhi  on 6 June  and  want your help  I  have  given  a certain name Kiran kumar  also  know  as Akshay SHARMA  270 thousand  Mauritius  money,1520718657499844608,OBoodhun
BTS rapper SUGA and PSY’s That That gets a Bollywood spin; this edit on Akshay Kumar-Saif Ali Khan’s Main Khiladi Tu Anari is pure gold https://t.co/W9Yfc4LjSY,1520718481741778946,NetionalD
BTS rapper SUGA and PSY’s That That Gets a Bollywood Spin; This edit on Akshay Kumar-Saif Ali Khan’s Main Khiladi Tu Anari is pure gold https://t.co/A6f1FWv1lz,1520718092254728192,NewsBreakingUP
Akshay Kumar after the power outage. https://t.co/uX09NPygV1,1520716537379921922,jyotsnamohan
Akshay Kumar's recent film Bachan Pandey is remade from the Tamizh film Jigarthanda. Bobby Simha won a National award for this film. Bobby Simha maloom terko? Go Google and set some standards for yourself first. Teen Maar is a flop film btw. We don't entertain garbage like that. https://t.co/0SSLlctFKY,1520711763183906816,WhoresinAround
"A reminder to many big names who have been after money only.
Days after Akshay Kumar's apology for Vimal ad, Yash refuses multi-crore endorsement deal for paan masala https://t.co/SZNyl3XslQ
via @htshowbiz",1520705666767147008,scs234239
"Bro tell your Akshay Kumar to make something of substance. We can talk then. Irrespective of the nature of Hindi, Hindi cinema's decline started the moment it stopped catering to the masses.Since you're a brahmin you'll never understand the cultural relevance of such a cinema. https://t.co/A73wcGKPnt",1520704214522945536,WhoresinAround
"Finally i developed this mobile application named ""Akshay kumar dialogues""

This app contents movie wise famous dialogues of our idol #AkshayKumar Sir. you can download this app after 4th May 2022 from Google Play Store. https://t.co/3FlFFySU00",1520703144434585600,Darsh_Akki
"Akshay Kumar shares key to happiness with a hilarious video, Watch | TheSpuzz https://t.co/MJe5RmWMLN",1520689572258136064,Thespuzz
"Akshay Kumar Shares ROFL Video On World Laughter Day. Says, “It Was Actually Painful” https://t.co/kmjQ59U8Fz",1520687410094481413,AArhan4u
Akshay Kumar 13-14 years ago was too good. Still good but that period of 5-6 year was like the best,1520686342124236801,Parth02834600
Akshay Kumar shared ROFL video on World Laughter Day. Says “It was really painful” https://t.co/S3yJODAVvV,1520685847875620864,NewsBreakingUP
"Akshay Kumar Shares ROFL Video On World Laughter Day. Says, “It Was Actually Painful” https://t.co/6Kij909M2X #LatestMoviesReviews #BollywoodMovies #horrorMovies #TvShows #WebSeries #HollywoodMovies #CelebrityInterviews https://t.co/kN2HDpP9UA",1520685092531752960,DekhReviews
"Akshay Kumar is the only actor you will see in every movie, whether it is his or not as nandu’s friend. @akshaykumar",1520684676377354240,PratyakshaShar9
"World Laughter Day 2022 | Akshay Kumar was seen combing his teeth, the video went viral.
 #Akshay #ALTBalaji #AnjaliArora #combing #Day #KanganaRanaut #KaranvirBohra #Kumar #laughter #LockUpp #MunawarFarooqui #MXPlayer #NishaRawal #PayalRohatgi #Poona...
https://t.co/4misyOD9nS",1520683484704296960,news8_plus
"Akshay Kumar Shares ROFL Video On World Laughter Day. Says, “It Was Actually Painful” https://t.co/YC5wePDt1G #news #worldnews #auto #entertainment #business #health #indiaNews #politics #sports #tech #news #elections https://t.co/IojN37pQuE",1520683017412435968,allplacesmap
"Akshay Kumar Shares ROFL Video On World Laughter Day. Says, “It Was Actually Painful” https://t.co/KdY102nSRM",1520682166811824129,wwwcurrentnews1
"Why any maker will invest so much to design huge scale action in Akshay Kumar's film?

His film can earn max 200cr only. https://t.co/X4KLAtX0pn",1520681712832978944,BeingPrashant96
