full_text,tweet_id,screen_name
"Aleksander Barkov Showing love to Tripp Tracy and confusing the media.
 
https://t.co/yBh9KiyQXE
 
#CarolinaHurricanes https://t.co/GVvDhyiz6S",1520893837723541505,LoveNHLcom
"The Panthers returned to practice today as they get ready to start the playoffs on Tuesday at home vs Washington.  Here’s some of what Aleksander Barkov and Andrew Brunette had to say.  The big story of day is Aaron Ekblad could return for Game 1.

(🎥 @FlaPanthers) #TimeToHunt https://t.co/qCRfzdWKR5",1520880079894720518,WillMansoWPLG
"Aleksander Barkov 2013-14 Jersey #16 Artifacts Auto RC /99 BGS 9.5/10 Florida Panthers Card. 

🔗https://t.co/ZoAnJgyk7L

#rookiecard #thehobby #sportscards #tradingcards https://t.co/CzMlxS73VR",1520834185694429184,CardsStew
"CHICAGO 8, CALGARY 2
Aleksander Barkov had 2 goals and 2 assists and Mark Stone also scored twice. Adam Fox had 3 assists and Connor Hellebuyck made 35 saves. Connor Brown scored both Calgary goals.",1520818249503494144,TheTNHL
"Who should win the Selke Trophy?

You voted.

🥇 Patrice Bergeron
🥈 Aleksander Barkov
🥉 Auston Matthews https://t.co/QC0wZkoV6h",1520807115765559296,JFreshHockey
2013 14 PANINI CONTENDERS NHL I #hockeycards https://t.co/NF4WDJiQsU,1520381666463789057,gems_card
2020-21 Skybox Metal Universe Precious Gems Red /100 Aleksander Barkov #82 #eBay🇵🇱 #Sports #Memorabilia #Fan #SportsCards https://t.co/TjRDdZYw8a,1520349699156369408,SASportMemPro
Aleksander Barkov (FLA - C): Is not expected to be in the lineup for today's game. https://t.co/FSAoXtOlum  #nhl #TimeToHunt,1520145213007745029,Left_Wing_Lock
2013 14 Select Gold Jersey AUTO #autographed https://t.co/sQRlYKlbGL,1520135954954174470,AutographDeals1
2021 22 TOPPS NOW NHL STICKER F #hockeycards https://t.co/TPmn9u6ZUb,1520082961726640135,gems_card
2013 14 Select Gold Jersey AUTO #autographed https://t.co/nX7cdJ6bmH,1519856859431292928,AutographDeals1
I don't see Aleksander Barkov on the bench. Working to get an update on his status.,1519846757886214144,PantherPourri
NHL Florida C Aleksander Barkov (rest) D Gustav Forsling (rest) D MacKenzie Weegar (rest) RW Claude Giroux (rest) and LW Jonathan Huberdeau (rest) are out Thursday,1519784497998401536,freeplays
"How the #FlaPanthers stars would stack up if they were held out of the lineup tomorrow:

Aleksander Barkov - 39 goals, 49 assists, 88 points in 67 games played
Jonathan Huberdeau - 30 goals, 85 assists, 115 points in 80 games played https://t.co/bMTXSGFOQv",1519783302919561216,ColbyDGuy
Aleksander Barkov: Out Thursday https://t.co/VtLlHH0fc8,1519782387588251648,RotoWireNHL
Aleksander Barkov (FLA - C): Is not expected to be in the lineup for today's game. https://t.co/FSAoXtOlum  #nhl #TimeToHunt,1519780879152959490,Left_Wing_Lock
"NHL 🇺🇸 : 

New York Islanders - Washington Capitals -&gt; 
- Conor Sheary/Tom Wilson @2,20 

Ottawa Senators - Florida Panthers -&gt; 
- Jonathan Huberdeau/Aleksander Barkov @1,60 

Minnesota Wild - Calgary Flames -&gt; 
- Johnny Gaudreau/Matthew Tkachuk @1,68 
 
suite —&gt; 🏒🥵",1519778860484771840,diablo_pronos
"Sens vs Panthers Plays 🏒🚨

-Brady Tkachuk ATGS (+170) 🔮 
-Aleksander Barkov ATGS (+115) 🔮

Panthers &amp; Over 6.5 (+105) https://t.co/2opXGqdzBU",1519763791390646274,TheCanadianG0D
2019 20 UD Clear Cut Hockey Ale #hockeycards https://t.co/5peGgyVSvO,1519754675498725379,gems_card
"📉 Aleksander Barkov (FLA) has failed to record a power play point in 8 of his last 9 games after a loss (0.2 power play points/game average).

FLA @ OTT: o/u 0.5 available at #WilliamHill (+120/-150).

#GamblingTwitter #PlayerProps #NHL #NHLTwitter https://t.co/1dL6j9na93",1519738258418135040,Fansure_NHL
2021 22 TOPPS NOW NHL STICKER F #hockeycards https://t.co/TPmn9u6ZUb,1519649182839095297,gems_card
2013 14 PANINI CONTENDERS NHL I #hockeycards https://t.co/3iI7abbpXZ,1519581722110828546,gems_card
"The thing the average fan should take from this poll, players know how good Connor McDavid is and unlike many fans and media, they alao realize how good a player Aleksander Barkov is. https://t.co/52XXOjuR8H",1519462032973594624,Oil_Drop
2013 14 Select Gold Jersey AUTO #autographed https://t.co/WSINx2SLjd,1519430162399600640,AutographDeals1
2013 14 PANINI CONTENDERS NHL I #hockeycards https://t.co/jD6F53lAqf,1519294930967056385,gems_card
2019 20 UD Clear Cut Hockey Ale #hockeycards https://t.co/eIZNObWlSW,1519135055683149826,gems_card
"The Cup Aleksander Barkov 2nd year printing plate 1/1
$200 USD OBO 
free ship https://t.co/voPuZi09Z1",1519098724437266432,diazo_dye
"❄ Aleksander Barkov (FLA) has failed to record a power play point in 7 of his last 8 games after a loss (0.2 power play points/game average).

FLA @ BOS: o/u 0.5 available at #FanDuel (-108/-118).

#GamblingTwitter #PlayerProps #NHL #NHLTwitter https://t.co/MMkR0fH1zg",1518998391023308800,Fansure_NHL
"The best C of the regular season NHL 2021/2022:
1. Auston Matthews 🇺🇸
2. Connor McDavid 🇨🇦
3. Leon Draisaitl 🇩🇪
4. Sebastian Aho 🇫🇮
5. Aleksander Barkov 🇫🇮
6. Sidney Crosby 🇨🇦
7. Nathan MacKinnon 🇨🇦
8. Elias Lindholm 🇸🇪
9. J.T. Miller 🇺🇸
10. Nazem Kadri 🇨🇦",1518963185847619584,NikitaM11934685
2013 14 PANINI CONTENDERS NHL I #hockeycards https://t.co/pDZ5RlX9Fq,1518911690070532099,gems_card
2013 14 PANINI CONTENDERS NHL I #hockeycards https://t.co/XL2eCBjD6v,1518561017764229121,gems_card
2019 20 CUP NHL COLLECTION 4 CO #hockeycards https://t.co/Z6LyJDkHZH,1518541062796632064,gems_card
2019 20 CUP NHL COLLECTION 3 CO #hockeycards https://t.co/J6ww3eWgFU,1518483097146253312,gems_card
"Apr 24, 2022: NHL Special Teams Icetime Leaders

Forwards (PP)
Aleksander Barkov 7:37 #timetohunt

Defence (PP)
Victor Hedman 7:17 #GoBolts 

Forwards (PK)
Pierre-Edouard Bellemare 6:21 #GoBolts 

Defence (PK)
Alexandre Carrier 6:05 #preds",1518459617986052096,CcCMiddleton
"#Bolts couldn't score on that power play, but Aleksander Barkov takes a hooking penalty and Tampa Bay will get another chance to extend their lead with the man advantage. 
#TBLvsFLA",1518390368387088385,Chris_Krenn
"Really nice game for Brandon Hagel, who beat Aleksander Barkov in a race for the puck before feeding Paul, who scored his 15th goal of the season. First multi-point game with the #Bolts for Hagel, who has two primary assists.
#TBLvsFLA",1518384799836258306,Chris_Krenn
How DARE you call Aleksander Barkov for a penalty?? He has never done anything wrong ever,1518376391481380867,PTPJacob
"🚀 Aleksander Barkov (FLA) has exceeded 2.5 shots on goal in 5 of his last 6 games at home (3.0 shots on goal/game average).

TB @ FLA: o/u 2.5 available at #FanDuel (-134/+102).

#GamblingTwitter #PlayerProps #NHL #NHLTwitter https://t.co/i6ITJKdQcJ",1518303797524660224,Fansure_NHL
