full_text,tweet_id,screen_name
Mazz talks like Alex Bregman looks,1520892814585913344,CKortJester
"Alex Bregman Topps Chrome black Orange /25, $70 BMWT 
@Hobby_Connect 
@HobbyConnector 
@sports_sell 
@DailySportcards
@CardboardEchoes https://t.co/ZbHlw1mODg",1520891641191616514,ucantseeme14
"The Biggest Hit in #Astros Postseason History!  Alex Bregman limited parallel with only 10 (TEN!) copies, $25. https://t.co/08NOocUfLM",1520880773640953857,AstrosAtoZ
"[Highlight] George Springer makes a sensational, run-saving catch in the top of the 9th on a line drive screamer off Alex Bregman's bat via /r/baseball https://t.co/pYTn8Gp8uJ",1520876833545334784,HOTrBaseball
Alex Bregman 2017 Topps Chrome  #sportscards https://t.co/ubr8SJ7zUB,1520867314115268608,nothingbutcard
"Alex Bregman, you do not deserve her https://t.co/sWQ2y77LFu",1520864506141941762,houstonastrhoes
"One of the Greatest Hits in #Astros History!  Alex Bregman multi-piece-game-used jersey card limited to only 27 copies, $25. https://t.co/0GjB1Wy0rR",1520864410620866560,AstrosAtoZ
That at bat - #Astros Alex Bregman vs Romano 🇨🇦.  Twelve or so pitches. Then the Springer catch. A lot of fun. Jays win! #HOUvsTOR,1520863849825460226,mbbrennan
Imagine if Alex bregman would have had 4 AB's today!! SMH #LevelUp #Astros #byedusty,1520862999896023040,mikemata
"#Astros 2 @ #BlueJays 3
[Top 9th, 2 out]:

Alex Bregman flies out sharply to RF George Springer. Kyle Tucker to 3rd.

Hit: 338ft, 100.4mph, 23°

Seq (10👏): 88.3sl 88sl 86.8SL 87.2SL 97FF 95.8FF 96.4FF 97.6FF 96.5FF 97.1FF
Romano: 0.2 IP, 1 H [15 pitches, 12 strikes]",1520862842328657921,BlueJaysPBP
What an AB by Alex Bregman.,1520862826507743235,JeremyIKaufman
Jays fans going from chanting at Alex Bregman that he's a cheater to cheering George Springer's diving catch is hilarious,1520862812238753792,omgbradshaw
"#Astros @ #BlueJays

Offensive Substitution: Pinch-hitter Alex Bregman replaces Niko Goodrum.",1520861784139304960,BlueJaysPBP
"Alex Bregman pinch-hits for Goodrum, what I would do for a Breggy Bomb right now… #Astros https://t.co/BF5O8UOi4L",1520861558485794817,AstrosFansUK
"#Astros 2 @ #BlueJays 3
[Top 9th, 1 out]:

Offensive Substitution: Pinch-hitter Alex Bregman replaces Niko Goodrum.",1520861452755689473,BlueJaysPBP
