full_text,tweet_id,screen_name
"Always and forever amazed by how angry people get over scouting reports and analysis. 

I'm sorry [fan of X team] that your favorite player isn't the next can't-miss Hall of Famer. 

Keep up the great work, Lance. https://t.co/83sZOY6tps",1520888910800375810,Alex_Kozora
"Our first Community Gaming Showcase featuring #Overwatch2 and @bsuesports was a massive success. 🎮

Shoutouts to @hallgoat72 @hornbach_alex @Aphtus_ from BSU! 👏

Check out this highlight by Hall Goat on #Sojourn. 🎮

You love to see it. 👀

#Gaming https://t.co/h17k3xXsKV",1520858282407211008,EsportsUGaming
"New Video: Alex Lifeson’s Rock Hall Acceptance Speech, FINALLY TRANSLATED! https://t.co/Ixjd6V0smJ https://t.co/cDKEY26ILV",1520854478861352960,Cygnus_Studios
"Jimmy White did an exhibition in aid of Alex Higgins, who was a regular in my Snooker hall, Wiggy arrived drunk &amp; behaved like a baby all night. Chinese organised a concert for later, Alex was very weak but was drinking and smoking, a pitiful sight, Alex passed a few weeks later",1520848703451447297,stephen00116132
"@instant_ireland
__
@alex.kassner with this shot of Moore Hall. It was built between 1792 and 1795. https://t.co/mnyygV8iFo",1520832498778972169,Polyana28390681
"The 2021 BCFCA Hall of Fame class will also be recognized at the banquet on Saturday, June 4th.  That group includes Kerry Collins, Jake Slemmer, Alex Austin, Ross Tucker, Chris Mayer, Rick Scalese, and Matt Scornavacchi.

I’m honored to serve as emcee for this great event.",1520813573806694401,PaulRobertsCuse
"Two drivers saw their numbers inducted into the BPRL Numbers Hall of Fame on Friday.

Seán Ryan and Alex Fearon completed their tenth season, which means their numbers are officially locked.

This means #38 and #7 are tied to Ryan and Fearon forever.

A massive achievement👏 https://t.co/au8dVWJZPo",1520790603587637250,OfficialBPRL
Your thoughtful attention to your responsibilities may be rewa... More for Leo https://t.co/A0TIzqjNDD,1520780549224157185,alex_james_hall
"31 years ago today: #MFFL release Alex English, ending the hall-of-fame career of the longtime #MileHighBasketball STAR.

🏔8X All-Star
🏔3X All-NBA
🏔1983 Scoring champ 
🏔Averaged 25+ ppg every year from 1981-1989. https://t.co/GbYaabT5VV",1520747165215297536,SportITood
"Results of Penn State Current &amp; Alums at 2022 US Open @pennstateWREST @NittanyLionWC
Alex Facundo, Jr Champ
Jason Nolf, Sr Champ
Nico Megaludis, Sr Champ
Mark Hall, Sr Champ
Vincenzo Joseph, 2nd Sr - Robert Howard, 3rd Jr - Gary Steen, 7th Jr
Jarod Verkleeren &amp; Lucas Cochran, DNP https://t.co/v734yO5Tu7",1520727966367498240,NlwcFan
If your in and around town today I’ll be at the lamplighter pub from 2pm for the Alex craven fundraiser event with Sam hall cheyse Blaire and jaques O’Neil come say hello and buy some raffle tickets #NewCasEra #coyf 🐯,1520724633699459073,CastigersJ
"In second game of tournament, boys ultimate beats Hotchkiss, 9-7. Then beats Fairfield Tribe 10-5. Cats win the mini-tournament going 3-0. Alex Hall-With threw 19 goals and Alan Rodal threw 3. Tyler Morehouse, Weston Reardon and Beau O’Beirne caught 5. #gogreenandblue @kylegrbwsk",1520582329126866949,Willistonteams
"Feel like you can compare our picks fairly easily to current/former Bucs:

1) Logan Hall = more athletic Will Gholston

2) Luke Goedeke = better Alex Cappa

3) Rachaad White = Michael Pittman Sr

4) Jake Camarda = punter dudes

5) Zyon McCollum = bigger Jamel Dean",1520508347505651714,M1K3EvansTD
"Lights, Camera Action! 

Carl doing his thing in the lighting and sound booth, and Alex, telling (terrible) jokes 😜 

We have live music tonight in the Joan of Arc Hall from the fantastic Raven. 

@CamphillVillag1 https://t.co/1ThNXPHjA7",1520477292367171585,StevenJ65045530
"GOOOOOOL DE ALEX HALL.

8.0 https://t.co/4ZePbjetEi",1520458219210133506,Guardamar_CD
"Great job painting the hall today, thanks to Daniel, Peter, Alex and Nigel.  ( Brian too of course!) https://t.co/x9fEz5Fvhn",1520450758650449920,SAughnacloy
Your current reputation may benefit from a new partnership of ... More for Leo https://t.co/A0TIzqjNDD,1520418161572470784,alex_james_hall
"BE A PART OF A WINNING TEAM!!!

Alex &amp; Andrew have proved, through their words &amp; actions, to be the best candidates in the @Carrollisd school board race. Let’s reward them w/a resounding victory. 

SLK Town Hall: 
Today, 7 am - 7 pm 
Tomorrow, 10 am - 4 pm
#KeepSouthlakeSpecial https://t.co/ByKM4GKSJ4",1520415907218132992,Smith4Southlake
"Tonight: A great show from Tenille Townes (@tenilletownes) with support from Alex Hall (@musicbyalexhall). @ Union Stage

https://t.co/ll9wtMGykT",1520245064152190976,StevenGlassman
Adam Hall tips home an Alex Cotton shot at 3:15 of the first period to give @WHLGiants a 1-0 lead over the @WHLsilvertips in Game 4 at the @LangleyEvents. Everett has outscored Vancouver 9-1 in the first period this series now.,1520232656604065792,SteveEwen
@alex_c_lawrence Were you just at Mahogany Jazz Hall? I'm a bartender here &amp; we think you might have the wrong card in your wallet,1520224507650351105,waites
"Breece Hall is a good player (tho a lil overrated), my RB2 and my 51st ranked prospect. Problem is the Jets have other needs than another running back, ig he’s gonna be splitting carries with Michael Carter. https://t.co/aXjElVcznN",1520183359523098624,karlis_alex
"That’s a very good pick, Logan Hall is a monster. My #41 ranked prospect he is extremely powerful and can easily replace Ndamukong Suh, great 3-4 DE for them. https://t.co/7FWWS1ePkn",1520180676288344064,karlis_alex
Well no Logan hall 😞,1520180294418063360,Alex_Cincy91
"Travis Jones, Arnold Ebiketie, Moye Mofe, Drake Jackson, Logan Hall, Skyy Moore, George Pickens, Alex Wright, Alec Pierce, John Metchie @Browns",1520180070308098050,KyleFerraro70
"Day Two begins my favorite part of draft coverage. When the analysts have been told in their ear who's been selected but have to pretend they're not tipping the pick.

""Man, Logan Hall would be a great fit in Tampa. Let's see what happens.""",1520179982106087424,Alex_Kozora
"Hot take: I would not be surprised if the @Saints take a running back at #49 tonight. Alvin Kamara did his best with Mark Ingram on the team (or in other words another talented back), so a guy like Kenneth Walker III or Breece Hall is definitely an option..",1520169770288443392,karlis_alex
"look, I watch a little college football. Kenneth Walker and Breece Hall did really, really well there. it seems like they would be good picks on day 2. #NFLDraft",1520165628904058880,Alex_Drude
"List of guys I like in Day 2:

Pass Rushers
Logan Hall
Arnold Ebitketie
David Ojabo
Josh Paschal
Alex Wright

WR
George Pickens
Christian Watson
Jalen Tolbert

OL
Dylan Parham
Ed Ingram
Bernhard Raimann
Josh Ezeudu

RB
Dameon Pierce

TE
Trey McBride
Dulcich
Kolar
Bellinger",1520162100571742208,NF_Lombardi
"#Browns Dream Scenario’s: 

2.44 - EDGE Nik Bonitto
3.78 - IDL Logan Hall 
3.99 - WR Alec Pierce

OR

2.44 - IDL Travis Jones
3.78 - WR Christian Watson
3.99 - EDGE Alex Wright 

OR

2.44 - WR George Pickens
3.78 - IDL Logan Hall
3.99 - EDGE Alex Wright https://t.co/XobgAwjp7r",1520143238014906373,_CLEology
"If Chicago gets any of these guys tonight, I’ll be pretty happy

-George Pickens
-Andrew Booth
-Christian Watson
-Logan Hall
-Arnold Ebikete
-Alex Pierce
-Bernhard Raimann
-Dylan Parham
-Zach Tom
-Abe Lucas
-Nakobe Dean
-Kyler Gordon
-Tariq Woolen
-Jaquan Brisker",1520112635928317952,millerfootball_
"How would you feel about Logan Hall at some point today, @Alex_Kozora?",1520097272389795840,TravisAGunn
I spy some @DDMSBuzz panthers in the All-State Honor band! The rehearsal is off to a great start. Want to support Desmond and Alex? Come watch the concert at UNC-CH’s Memorial Hall this Sunday at 1pm! https://t.co/m0MaX2kgYo,1520094588316307460,DDMS_band
"The 2032 Hall of fame nominees are here! Here is the list: Kelly Olynyk,Nate Darling,Alex Antetokounmpo,Tacko Fall and DeMar DeRozan.",1520091764371066881,JohnStanleyNBA
"My 2nd/3rd Round Big Board For The Browns

WR 
George Pickens
Christian Watson 
Alex Pierce
David Bell
John Metchie
Sky Moore 

ED
David Ojabo
Drake Jackson
Boye Mafe
Josh Paschal
Nik Bonitto
Tyreke Smith

DL
Travis Jones
Perrion Winfrey
Matt Butler
Logan Hall
Haskell Garrett",1520072511823781888,brian_vollman
