full_text,tweet_id,screen_name
"Alex Ovechkin says he could have played in one of the Capitals’ last three regular season games, but remains noncommittal for Game One https://t.co/RygiLPJEPH #NHLRSS #NHL #russianmachineneverbreakscom",1520913341278941184,trans_rumor
@AROD @realmichaelkay interesting topic. So should the NHL toss out Alex Ovechkin?,1520910498144743424,eddieabdullah
"If Alex Ovechkin isn't a full-go for game one, I'd be shocked. If the season was on the line he would have played the last three too. #ALLCAPS

All this back and forth about his health is hilarious to me. We do know who we're dealing with, right?",1520906496900538368,DavidAtlas69
"#ALLCAPS https://t.co/PUo8XMqIgl

 Sent with @NHL
Alex Ovechkin is likely to play in game one. 😄",1520900200956628999,dmddusseau
"🔹 Auston Matthews - 60 
🔹 Leon Draisaitl - 55
🔹 Chris Kreider - 52 
🔹 Alex Ovechkin - 50

All members of the 50-goal club from the 2021-22 season!

(🎨: IG/jakekdesign) https://t.co/gvHavFMfBX",1520881956933844997,kendell_m
"Alex Ovechkin On Track To Return For The Start Of The Playoffs

https://t.co/S7sMw5k23P",1520875165386780672,LineStarNHL
"Alex Ovechkin gearing up for return, but Capitals have hands full against Florida https://t.co/FUvEtYTLuL https://t.co/5iCvbC1HZO",1520869013001105409,RonBohning
Capitals’ Alex Ovechkin nears return as NHL playoffs loom https://t.co/xewK3TgkYh https://t.co/jHA5DDJDg7,1520868945921642496,RonBohning
Alex Ovechkin says ‘I’m ready to go’ after injury — but no clarity on Capitals’ goaltending https://t.co/3yxyqjaNMO,1520850815417679877,BerkleyBearNews
@Barkovsasha95 Make sure you all take out Putin's lap dog Alex Ovechkin. Let him feel all the pain of Ukraine!!! 🇺🇦 @FlaPanthers,1520848491806875649,micheljon
"#SeaKraken Matty Beniers now has points in 9 of his first 10 NHL games. He joins some notable NHL company thanks to that assist on Alex Wennberg's goal: 

Most Games w/ 1+ Point in First 10 NHL Games
Jonathan Toews 10
Sidney Crosby 9
Alex Ovechkin 9
Matty Beniers 9*",1520844550339661824,ScottMaloneTV
"CCM Hockey to stop using Alex Ovechkin, other Russian NHL stars in global marketing campaigns  https://t.co/kWuZYBWLMs",1520841432902377472,WonderFlexLLC
"All signs point toward Alex Ovechkin being available for Game 1 vs. Panthers
https://t.co/DZ9svCmzQf",1520838474244534272,VCP_Hockey
Capitals’ Alex Ovechkin nears return as NHL playoffs loom https://t.co/ZFbGwJOnAC - @PostSports https://t.co/2E4soa0OQV,1520834955470794752,DCGoldPants
All signs point toward Alex Ovechkin being available for Game 1 vs. Panthers https://t.co/qJ6gQ6oMV3,1520833319545434112,NHLonSP
"Panthers’ Radko Gudas On Facing His Former Captain, Alex Ovechkin: “We Can’t Give Him Any Repsect” https://t.co/KAY2osHG3a #NHLRSS #NHL #novacapsfanscom",1520830421138694144,trans_rumor
Alex Ovechkin may have taken a huge step towards playing in Tuesday's GM 1 against the Panthers  https://t.co/Uoupw72UNx,1520823269477298176,dcsportsking
I PRAY this is the approach the Panthers take to defending Alex Ovechkin. That’s the only way we’ll win this series https://t.co/A0JmjaFDHb,1520816214779514880,buckmansports
"""It's going to be different mindset, it's going to be different speed, it's going to be different battle level.""

#ALLCAPS captain Alex Ovechkin discussed his injury, expectations &amp; more as the Capitals prepare for No. 1 Florida in Round 1 of the playoffs:
https://t.co/aWmVuJPpWV",1520815795588280321,WshHockeyNow
"Panthers’ Radko Gudas On Facing His Former Captain, Alex Ovechkin: “We Can’t Give Him Any Repsect” #ALLCAPS vs #TimeToHunt https://t.co/Ep7aEdZzza",1520815025102929928,NoVa_Caps
"After a day off on Saturday, the Washington Capitals returned to MedStar Capitals Iceplex on Sunday for their first workout of the postseason. The team will practice again Monday morning (10:30 AM) before departing for south Florida in advance of their

https://t.co/OZtznz3JIQ",1520803210100887552,ShopWSHHockey
"Since he's trending "" Still slide with that stick like Alex Ovechkin""
Word to @BennyBsf",1520802145955553280,Str8TwTn
"Alex Ovechkin Fully Participates, Conor Sheary Elevated To Top Line (Again), Tom Wilson Dropped To Second Line: News From Capitals First Postseason Practice #ALLCAPS vs. #TimeToHunt https://t.co/p7gq9i72fw",1520792065319354368,NoVa_Caps
"#ALLCAPS Alex Ovechkin back to work from his office 

Ovi returned to practice today and took reps alongside Kuznetsov and Sheary on No.1 line

8 says he felt good and that “we’ll see” when it comes to his availability for GM1 vs Florida. Has been out w upper-body injury @WTOP https://t.co/vYztyrSMit",1520789265495560194,BenRaby31
Alex Ovechkin owns Pittsburgh,1520787762370199559,Sharky_Cartel
Alex Ovechkin: Practicing Sunday https://t.co/WAFS3d2IOi,1520781651948847106,RotoWireNHL
"Alex Ovechkin took the ice for practice, Zach Fucale joined the mix and the Capitals kicked off their postseason run with their first practice before their first-round series with the Panthers.

Here's everything to know live from Arlington 📝:

https://t.co/EAFLqU3mvW",1520781238205915136,WshHockeyNow
Alex Ovechkin (WSH - L): Is on the ice for practice. https://t.co/1oC41TxNto  #nhl #ALLCAPS,1520774497304985600,Left_Wing_Lock
RARE BACK MISPRINT ALEX OVECHKI #hockeycards https://t.co/BIhhmCotUD,1520728009447202822,gems_card
"Sunday AM reading: Russian dictator #VladimirPutin — called a “butcher” and “war criminal” — is still prominently displayed on #Capitals star Alex Ovechkin’s Instagram profile — giving aid and comfort, you might say, to the enemy. My column #NHL #ALLCAPS https://t.co/cFTQxGlHU5",1520726517864669185,thomloverro
2006 Upper Deck Rookie Showdown #hockeycards https://t.co/eKrouJMiqo,1520719457894772737,gems_card
2005 06 Alex Ovechkin Upper Dec #hockeycards https://t.co/YF6tmysLeS,1520716132377841664,gems_card
RARE BACK MISPRINT ALEX OVECHKI #hockeycards https://t.co/A3hWpA4oR3,1520712807381094400,gems_card
Alex Ovechkin getting recognized in Drake’s feature on “I’m on One” just isn’t enough!,1520619481369784320,midtakemarky
2020 21 Alex Ovechkin SILVER FO #hockeycards https://t.co/qP1alN87US,1520586903296299011,gems_card
"Alex Ovechkin trolls Rangers fans, conducts his own 'Ovi sucks' chant from press level in Madison Square Garden https://t.co/x8hJys1b4Z 
😂😂😂",1520561468399362049,capschick21
2015 Upper Deck MVP Alex Ovechkin #130 PSA 10 Pop 1 https://t.co/mGBs7z4cc1 eBay,1520550584767590400,SportsTradingC9
"#NHLPlayoffs #StanleyCup @NHL #NHLTwitter 

For the first time in 10 years, the NHL has a 60-goal scorer. 🔥

@AM34 (59-46—105 in 73 GP) scored his 60th goal of 2021-22 – the only other active players to hit the benchmark: Alex Ovechkin (65 in 2007-08) and Steven Stamkos https://t.co/IZhoGZrfeR",1520535823111831554,reneromanosport
"#NHLPlayoffs #StanleyCup @NHL #NHLTwitter 

For the first time in 10 years, the NHL has a 60-goal scorer. 🔥

@AM34 (59-46—105 in 73 GP) scored his 60th goal of 2021-22 – the only other active players to hit the benchmark: Alex Ovechkin (65 in 2007-08) and Steven Stamkos https://t.co/hrV7pVKDqR",1520535632644239360,TheLaVox
"That's more than Sidney Crosby &amp; Alex Ovechkin COMBINED. Connor McDavid is only 25.

This is his 7th season. He was hurt and missed significant time for 1 of the other 3 seasons. 🐐

Don't give these guys power play chances!
#GoKingsGo https://t.co/VLLy9qRD4n",1520527851656646656,MarcelAndRogie
Drake name drops Alex Ovechkin in his verse on Future’s ‘I’m On One’ track https://t.co/l44l9bF1rQ,1520464978179887105,lakers4ever777
RARE BACK MISPRINT ALEX OVECHKI #hockeycards https://t.co/XyizxfhJ6l,1520451532130553856,gems_card
"Cam York says he's pretty banged up, and he has a hairline fracture in his foot. 

""It feels good now.""

He said it was from the Alex Ovechkin shot",1520389234158411779,JameyBaskow
ALEX OVECHKIN 2005 06 Upper Dec #hockeycards https://t.co/sjByc5RBPo,1520316094526935042,gems_card
2005-06 Upper Deck Bee Hive Rookie Jumbo 5×7 Alex Ovechkin #R2 Rookie RC #eBay🇭🇰 https://t.co/NvXhxlQdS3,1520299471023845379,AAAuctionPro
2016 17 Parkhurst TOP25 insert  #hockeycards https://t.co/iWkswAYdyf,1520284739898327041,gems_card
2005 06 Alex Ovechkin Upper Dec #hockeycards https://t.co/Vbz8hFUVe4,1520281889461972992,gems_card
2020 21 Alex Ovechkin SILVER FO #hockeycards https://t.co/WRI7flYe1C,1520278087656779777,gems_card
"well, Matt Duchene is certainly no Alex Ovechkin",1520263789295378432,HousecatsNSH
"2022 NHL Award Predictions
Hart Trophy: Connor McDavid
Ted Lindsay: Auston Mathews
Norris Trophy: Cale Makar
Vezina Trophy: Igor Shesterkin
Calder Trophy: Moritz Seider
Lady Byng Trophy: Alex Ovechkin
Frank J. Selke Trophy: Patrice Bergeron
Jack Adams Award: Mike Sullivan",1520256350428696576,JuliusFreezer
