full_text,tweet_id,screen_name
"👉  👈
Alexander McQueen Luxury Fashion Woman 553770WHGP79182 White Leather Sneakers  Season Permanent @buy1_best
#Alexander #McQueen #Luxury #Fashion #Woman #553770WHGP79182 #White #Leather #fashion #lifestyle 

Are you ready to be #pretty?! https://t.co/V2T65HeACI",1520908128782458880,buy1_best
ALEXANDER MCQUEEN https://t.co/ZUUQet96XG,1520895853317476352,mariokenpesu
Alexander McQueen https://t.co/qQWz98DcZh,1520890524298883073,PynkBynny
Alexander McQueen Women Red Heels EUR 37 https://t.co/bMEsx3NPjr eBay https://t.co/1PmlRd0xbO,1520890319515963398,HeelsWomens
"I just finished watching this documentary on Alexander McQueen… he was really a talented, normal, cool dude.",1520888782903517188,beautteaful
Alexander McQueen scarf for the head wrap https://t.co/ltCCUR7K65,1520885128091869190,RS_XIX
Alexander McQueen FW 1999 https://t.co/egvS7NjMUw,1520884268003700736,VisualCrap
I wasn’t going to spend any unnecessary money but i just saw the prettiest Alexander McQueen’s on goat 🥹🥹,1520878896341819392,ylkimsoto
"Rihanna in Stella McCartney at the 2011 Met Gala.

Theme: ""Alexander McQueen: Savage Beauty"" https://t.co/qfyee1DhYK",1520873932106182660,FentyStats
"Also I’d like to note Namjoon’s “F your Chanel, F your Alexander Mcqueen. F your Raf Simons..” line being changed to “F your man, F your woman, F your everything..” is fcking hilarious to me 😂 https://t.co/TFOD4lHQW5",1520873738316701702,babyGGloss_
AUTHENTIC NEW ALEXANDER McQUEEN CONTINENTAL WALLET- Croc-ebossed-40% OFF!!! https://t.co/kvHpibvUp4 eBay https://t.co/56gvA1FXIQ,1520870197694926848,wallets_womens
"I think there is beauty in everything. What 'normal' people would perceive as ugly, I can usually see something of beauty in it.
-Alexander McQueen
From @AppMotivation #motivation #quote #motivationalquote
#beauty #beyourself #iamenough #iamstrong https://t.co/zdyXT1GFbU",1520869299040137216,PowerHouseFitG
"My bf has this really funny thing where he’ll see designer things before I do. Like hell be like “omg that’s a great blouse you should get it” at the thrift and then it’s Alexander McQueen, he just saw one of these from miles away and was like “you should get that I like it” https://t.co/XC2g8TursD",1520852147444674560,BigLindseyg
I wish Mfs would give them Alexander McQueen’s a break 😭,1520847101453815808,ykitslilraho
CALL HER ALEXANDER CUZ I TREAT HER LIKE MCQUEEN 🥶🤙‼️,1520846115892973568,sapphicgvnn
Alexander McQueen Fall 2022 Ready to Wear https://t.co/u8Yo7u76IO,1520825383649628161,ravenstrut
"I miss seeing the OG Alexander McQueen aesthetic. They are bound to envision yes, but namimiss ko lang naman makita ehhh 🤪",1520812352362405894,jetsetjrrr
"I love this! #tradesy
https://t.co/2O0UTVgjdk",1520805180895383552,TarasFashions
"I came up in it a little bit self centered
But did I kill a Queen
Alexander McQueen's got a wrist on glow
The bottles is on po'
Got that shibby shibby yeah shibby yeah",1520804006204952578,Jaceliaaa
📷 whore-for-couture: thearmsoftheoceann: Alexander McQueen Fall 2010 His last collection. https://t.co/JYLWJIHwNh,1520799488062930944,Silvia_Negretti
Alexander McQueen Bucket Padlock Skull Black Leather Hobo Bag https://t.co/sESyFWKZ0v,1520790719878868993,TarasFashions
I gotta put bread in the offering I wore Alexander McQueen they gone look at me funny ..,1520789061149073409,denzel_lindsey
"Alexander McQueen's collection, Plato's Atlantis, was a journey to another world. Is it the future, or is it a lost world?

Don't miss fashion news and more, sign up https://t.co/vJW3QTOYC0

 #AlexanderMcQueen #cyborg #PlatosAtlantis #lostworld #dystopianfashion https://t.co/P14HjWEYeQ",1520787607097028608,avantgardistinc
ALEXANDER MCQUEEN AND ROCKSTAR JEANS 🥴,1520779644726910977,mannyplaya
Only thing I like buying from Alexander McQueen are the shirts,1520772348755939328,Adthegoatt
I really want a pair of Alexander McQueen but the reviews 🥴😩,1520759388931334144,iRUMBLE_TLs
"“There is no better designer than nature.” - Alexander McQueen 💫
.
.
📸 @heirloom_organics_ https://t.co/cAMoRn5wa7",1520757601675321345,NoCoHempExpo
"ONLY £68! (RRP £165)
*discount applied automatically at checkout

BUY - https://t.co/DVvNQ5Iqfz https://t.co/qmabNBfobd",1520757111352963072,danyoung_uk
