full_text,tweet_id,screen_name
"Alexander #Zverev: ""I need somebody who can look out for what's going on on court. I think Serg is one of the best for this. I talked to David Ferrer again, because for me he's a great guy, but said that he's too busy right now. He's the one that suggested Sergi Bruguera"" https://t.co/6uEjBEdCwY",1520897086203568130,marioboc17
"‘He reminds me of Nadal,’ Michael Llodra predicts a dream run for Carlos Alcaraz at the French Open, puts light on Alexander Zverev’s progress too https://t.co/Jf2mBtA0Hx #Tennis #AlexanderZverev",1520857227606724609,SportzFirst
"https://t.co/LnzKGO7KJL Zverev Confirms Bruguera as Coach: ""He's my coach... I hope for a very long time,"" world No. 3 said of Sergi Bruguera.
 Armed with a Spanish ally, Alexander Zverev aims to recapture Madrid magic.
 
 World No. 3 Zverev confirmed… https://t.co/GdQliIMNTF",1520813311251550208,_TennisCoaching
"Alexander Zverev does not support Wimbledon's decision #alexander #decision” #does #not8217 #support #tennis #wimbledon’s #zverev
https://t.co/dGjOKU43V5",1520811775645601792,SwaveDigest
Alexander Zverev Hoping For Long Collaboration With New Coach Bruguera - https://t.co/9LQm4eoFtT https://t.co/FNd4EDAREi,1520760071080361984,UbiTennisEng
"https://t.co/LnzKGO7KJL ‘There are no excuses,’ says Alexander Zverev after disappointing show in Munich: Alexander Zverev was full of apologies after crashing out of his home tournament, the Munich Open, in the first round against teenage wildcard… https://t.co/chGPTLra9z https://t.co/0sq1I1VEoI",1520740831572897795,_TennisCoaching
Zverev loss in Munich highlights his consistent inconsistency - https://t.co/kwSrHErGeL via @LastWordTennis,1520735982601084929,lastwordonsport
"Li Tu grabbed another ITF title this week, a 25K on clay in Cairo (his first clay trophy). 
He's scheduled for a return to the Challenger level at Tunis in two weeks' time (interestingly, his only previous CH match was against Alexander Zverev at Wake Forest 2014, 2-6 0-6).",1520709335575375874,damiankust
"Cult Tennis, again, published an excellent video essay of how PROBLEMATIC Alexander Zverev is.

This video essay also makes his egocentric ""I'm part of new big 3"" claim so much senses @CultTennisYT 

**This tennis YouTube channel is so underrated

https://t.co/3J3dadzZv2 https://t.co/I3AqV15Oze",1520704124861685760,zhandi_gustav
"HAPPY BIRTHDAY APRIL 20; Actress Tillie Amartey,19; Editor Joni Evans,80; IceMan Wim Hof,63; NFL Luke Luechly,31; Actor Joey Lawrence,46; Actor Ryan O'Neal,81; Actress Maemae Renfro,25; Actor George Takei,85; Tennis Alexander Zverev,25; BEST WISHES &amp; GOOD HEALTH TO ONE &amp; ALL!!!",1520595918801801219,PoetBronx
"According to information from Bild am Sonntag, Alexander Zverev senior will return as Sascha's coach at the Masters in Madrid, or in Rome at the latest. His last appearance was at the US Open in 2021. 

https://t.co/oGkBU1EbEe",1520552750592966658,ilyza1002
"ATP Madrid doubles:
Joe Salisbury and Rajeev Ram have a bye
Neal Skupski and Wesley Koolhof play alternates after their original opponents withdrew
Jamie Murray and Michael Venus vs Petros and Stefanos Tsitsipas
Cameron Norrie and Tommy Paul vs Marcelo Melo and Alexander Zverev",1520524693849231368,tennisontelly
"The evil of Alexander #Zverev ... brought to you by Cult Tennis 

https://t.co/B8u0vvF5oN",1520474377997135872,sparmigosports
"El Top 10 del ránking ATP y esas cosas de Madrid (35).

1️⃣ Novak Djokovic 
2️⃣ Daniil Medvedev 
3️⃣ Alexander Zverev 
4️⃣ Rafael Nadal 
5️⃣ Stefanos Tsitsipas https://t.co/FIzSls0hLb",1520465700770385920,_SandroPaz
"🚨 BREAKING

ALEXANDER ZVEREV IS GUILTY. 

GUILTY OF BEING THE BEST PLAYER IN THE WORLD! 🫶 https://t.co/UUT0JqQSLI",1520147293109993474,anxstennisboy
“I’m sorry Alexander Zverev breaks down and apologizes for his ‘worst’ performance in years to the home crowd https://t.co/jUm84tO7DO #Tennis #AlexanderZverev,1520106657241468929,SportzFirst
Alexander Zverev is short on momentum ahead of his Madrid Open defence after a crushing defeat in front of home crowd #tennis https://t.co/q5AY2dR528,1520088281844703232,tennishead
"What a practice schedule tomorrow 🔥🔥

Aslan will practice with Alexander Zverev on court 7, the same court as Rafa, Andy, Novak! 🤩💪 #MMOPEN https://t.co/59KxSwGYNR",1520070734764146690,Davai_Aslan
"PARIS, France (AFP) — Top-seeded Alexander Zverev was overwhelmed in his first match in the Munich ATP tournament by 18-year-old Dane Holger Rune 6-3, 6-2 on Wednesday.

Read more: https://t.co/WCjg99ccZg

#DailyTribune",1519835367763062784,cnc_tribunephl
"""My worst match in last 7 years"" - Alexander Zverev 'sorry' after disappointing performance in Munich  https://t.co/waClSVR22m https://t.co/xQby4VqqGz",1519753376862547969,TennisInfinity1
"Alexander Zverev reportedly broke down in tears after crashing out of the Munich Open in his opening round. The world No 3 was defeated by 18-year-old Holger Rune 6-3 6-2 in what he claimed was his “worst game in years”

#Tennis 
#News https://t.co/RBVZbnPQBn",1519748028793602050,TennisExplorer
"Dane Holger Rune, who stunned Alexander Zverev at the @BMWOpen2022 on Wednesday, will not play the @MutuaMadridOpen qualifying.

Full story:

https://t.co/MHPT7qewoJ

#tennis #BMWOpenbyAmex #HolgerRune #Zverev #MMOpen #atptour",1519738151845117956,ceci_2812
Alexander Zverev 'in tears' after 'worst game' with Madrid title defence looming | Tennis | Sport | https://t.co/x9lDEenMrL https://t.co/neHk3jWB3l,1519703693834297347,LoliLondon
Alexander Zverev reaction to being called ‘Stefanos’ during press conference (WATCH) https://t.co/BKeCYMuu91,1519690076292321283,Sportscri_tweet
Alexander Zverev reaction to being called 'Stefanos' during press conference (WATCH) https://t.co/CK8dSEJ99M https://t.co/j2fQs0M3Ks,1519687690366685185,TennisworldUSA
https://t.co/LnzKGO7KJL Alexander Zverev reaction to being called 'Stefanos' during press conference (WATCH): Zverev shook his head and laughed after being called and#039;Stefanos.and#039; https://t.co/s7C69FbMMQ https://t.co/RKXKVlYoB3,1519681729371406337,_TennisCoaching
Alexander Zverev reaction to being called 'Stefanos' during press conference (WATCH) https://t.co/wYlJ3fHWEk https://t.co/SXBVbgO4Mw,1519680473135345665,TennisWorlden
Alexander Zverev Has To Calm Emotions To Achieve Grand Slam Success https://t.co/gxaN7uYYH4 via @WorldTennisMag,1519667591643545602,WorldTennisMag
"#Holger Rune Stuns Alexander Zverev In Munich For First Top 10 Win | ATP Tour is now trending on https://t.co/OH3OKoWZ2L
https://t.co/OH3OKoWZ2L",1519666645089894400,monkey_viral
"Stefanos Tsitsipas, Alexander Zverev, two examples of no champion material. Carlos Alcaraz, Jannik Sinner, two examples of champion material. The first will never win a grand slam, the second will. Remember, you must first be a good person to deserve a grand slam! 🎾 #Tennis",1519657712325439489,chriswieders
Alexander Zverev is eliminated early in Munich https://t.co/Uf10RS1tDN,1519625778664808450,theblazetrends
"After defeating Alexander Zverev, Holger Rune announced he has decided to withdraw from Madrid Masters because he will play the QFs in Munich on Friday (tomorrow) and the qualis in Madrid will start on Saturday.

Musetti should be his replacement. https://t.co/rBMwsBRgGp",1519591326668439553,RelevantTennis
"Alexander Zverev aiming to bounce back in Miami after Indian Wells disappointment 
https://t.co/TWdE4xh080",1519585390600065024,SwaveDigest
"Home favourite and top seed Alexander Zverev would definitely want to forget about Wednesday as he fell to a shocking defeat against Norway's Holger Rune. #bmwopen
https://t.co/WwdgSxKnK2",1519553593413861376,SportsLumo
"ATP contacts Olya Sharypova for their investigation into Alexander Zverev 
https://t.co/2fN19DJbej",1519551520550924289,SwaveDigest
"List of tennis players I hate; 

1. Alexander Zverev 
2. Alexander Zverev
3. Maxime Cressy 
4. Dusan Lajovic 
5. Paula Badosa 
6. Ons Jabuer 
7.  Taro Daniel
8. Jennifer Brady 
9. Fernando Verdasco
10. Casper Ruud 

This list is a good reminder to never bet there matches",1519532172033540096,Patkk151515
