full_text,tweet_id,screen_name
No but honestly i just want long haired Cassian in Andor and I don’t think that’s too much to ask https://t.co/hQfzusJDyT,1520915488234123265,_stardustem
"with one second left until total shutdown , K-2SO chose to mentally simulate an impossible scenario in which cassian andor escaped alive. the simulation pleased him .",1520904339681792000,LOGIKGATES
i'm listening to nicholas britell and it just made me even more excited for andor,1520900670659784704,poesprelude
"manifesting circle:

                    🕯     🕯
           🕯                        🕯
                Live Action
       🕯  Kallus in Andor    🕯
                
           🕯                        🕯
                    🕯      🕯",1520882653599309834,SvensationalGuy
"The Lake of the Valkyries. (Rating: General Audiences, Pairing:Cassian Andor/Reader, Tags: CH21 - Hate Sex, autocannibalism)",1520881823487647744,FanficTitle
"Stalker in Cassy’s safe haven? #read
'Noticing Jamilla: A Tale of  Andor” –  #reading #paranormal
 on #BookBuzzr - - https://t.co/YSJEDQJxoc",1520879510119460866,TakingVengeance
"I like to believe this was Porkins and he'll be a major character in the Andor series.

Just putting it out there, into the universe. Right, @starwars @lucasfilm @disneyplus? https://t.co/ldkFSTxMG7",1520879506063560706,LyndaN
Why choose a smaller embroidery and/or screen printing shop? https://t.co/vpWuFQqnKV,1520869628905287680,ImInStitchesLLC
"I'm going to share something soon,maybe a few things...But,I wish people would leave others along.There is clearly something more going on here.And for people to talk about OTHERS,&amp;not mention that,andor do own res.&amp;studying..Justaddingmorehateanddivide,js..",1520865875879940098,whatIthink822
"‼️May the 4th Predictions ‼️

Jedi Fallen Order 2 Trailer 
2 NEW games announced Open World?? 
Old Republic Remaster Trailer  
Bad Batch Season 2 Trailer 
Ahsoka Trailer 
Andor Trailer 
Kenobi Hype trailer with Vader 
Mado Season 3 Trailer😅 Not Happening 

@starwars #MayThe4th",1520865594840698880,Mrbrown557_
Somehow palpatine returned lol https://t.co/6PVErqAL9T,1520861024991256578,NerdNorthDrew
@COTU_K Have more Kenyans joined unions andor unionised?,1520855046308737024,pjopino
Cassian Andor appearance in The Bad Batch before his show drops pls,1520854586390687744,Armageddon26
Honestly would Be surprised if we didn’t have some sort of role or presence in both Kenobi and Andor https://t.co/8uUWkkmtc2,1520854338788278272,Armageddon26
"Looking forward to sharing how we can empower care teams to achieve more with #AI -powered #virtualcare experiences.

Come see us at #ATA2022 booth 1002.

@AmericanTelemed #GoTelehealth https://t.co/VLnPQoJfl0",1520846298034941952,andor_health
lowkey andor works the best out of all the shows where the title is the characters name,1520841683130208256,rqguecrows
hi @starwars i know it’s obi’s month but respectfully.. any andor crumbs???? 🧎🏻‍♀️🧎🏻‍♀️it’s my bday,1520834457057464320,JARJARBlNKZ
"Guinea-Bissau – Chess, Andor Lilienthal – Stamp S/S – GB10703b #eBay🇺🇸 https://t.co/n1eKOkX9hh",1520833032026050567,CNCAlert
"@THETANAYASHOW someofda amino acids shows on there, also aminoacids foundwithin body fortess whey might.. serotonin synapses container soldseperatly.. such as supplement tryptophan, valine.. like tryptophan by itself , one some andor a small part might be healed andor recovered..",1520832677770899456,Hy2nB
"Anyone who thinks we're gonna have like 6 different huge cameos in #Andor is really on some hopium. He has no connection to any of these characters, the only one that would even make the most since is Obi wan and even that is a stretch",1520832382106013697,PoliticsApache_
dare i say andor teaser trailer https://t.co/6F3a6jGoCK,1520817636585656321,djarinbian
"Senior Systems Engineer - Storage (Remote)
at Tech Data
Job Purpose Responsible for complex engineering for compute systems andor storage environments along w...
#SystemsEngineer #jobSearch 
https://t.co/lsJTMx3Alo",1520815113934188555,zobjobsUS
How ‘Hatching’s creepy creature compares to those in Star Wars ‘Andor’ https://t.co/P6fceer302,1520811784483004419,BcabaNetwork
It makes sense that he would be in Kenobi or Andor can’t wait! https://t.co/wtl4RC5xnz,1520809461182566400,ZCoia
"#QOTD:

“Does he look like a killer?”

“No. He has the face of a friend.”

“Who are you talking about?”

“Captain Andor.”

“Why'd you ask that? What do you mean, ‘Does he look like a killer?’”

“The Force moves darkly near a creature that's about to kill.” https://t.co/2FeFu9O0MR",1520799248610172929,TheSWU
My guess is Obi Wan but that’s to be expected in a way so probably Andor https://t.co/za9zU2hG30,1520797194575499264,__likeknives
"Check out the latest opening https://t.co/OJ7ubin4ft at Southern Coast Collision in Shallotte, NC. Autorepairjobs",1520795394401357824,NWJS_jobs
"Things I think/predict we will learn at #StarWarsCelebration:
- Andor release date
- Film schedule for the next five years
- Thrawn, Sabine and Ezra actors
- @rianjohnson trilogy (this last one is kinda wishful thinking)",1520792368307396611,ATGcast
"Cassian felt his cheeks warm exponentially, like a young boy in love. Jyn notices.
”What’s got you all riled up, Andor?”
The smirk on her face made him even more overwhelmed
“Shut up, Erso.”
He didn’t mean it.",1520791311095279616,rogueonewrites
"The Evolution of Fire Sacralizing and/or Worship 1.5 million to 300,000 years ago and beyond?
https://t.co/0v0VPfOxj9",1520785212015271936,AthopeMarie
Can’t wait to have a boyfriend so I can spoil him silly silly 😌,1520783059972501505,tessy_andor
