full_text,tweet_id,screen_name
"The notorious first round chokers vs the defending back to back champs. One factor in this series. Andrei Vasilevskiy, if he stands on his head. Toronto has no shot. There’s gonna most likely be a lot of goals in this series and I just can’t trust Toronto here

Lightning in 6 https://t.co/xiEPKghFNo",1520893542885134336,gregslusarski02
NHL: Get to know Lightning goalie Andrei Vasilevskiy through 12 questions: ‘We’re all humans:’ ... https://t.co/AY1qt406SV @JoeSmithTB @TheAthleticNHL,1520839662641631232,KingsharkSports
19 20 O Pee Chee Platinum 20 21 #hockeycards https://t.co/kZvHOI5TAS,1520835928406769664,gems_card
"Check out 2020-21 Upper Deck Series 1 Andrei Vasilevskiy UD Game Jersey GJ-AV Lightning🔥 
#nhl #thehobby #Canucks #StanleyCup #HockeyTwitter #NHLonTNT #sportsnet #tsn #Vancouver #hobby #NHL22  https://t.co/MaZTK8hcFl #eBay via @eBay",1520779016202039297,SleepingGiantCB
"Check out 2021-22 UPPER DECK SERIES 1 ANDREI VASILEVSKIY PHOTO VARIATION SP TAMPA BAY #165 #NHL #GoBolts #StanleyCup #HockeyTwitter #StanleyCupPlayoffs
#thehobby #HockeyTwitter
https://t.co/llzbUoVPF6 #eBay via @eBay",1520773476403060736,SleepingGiantCB
Get to know Lightning goalie Andrei Vasilevskiy through 12 questions: ‘We’re all humans:’ https://t.co/hKqdX3q24W,1520720973196001280,BerkleyBearNews
NHL Upper Deck Stature Andrei V #hockeycards https://t.co/N35TU5A5aB,1520715657347837953,gems_card
"Ranking the top 5 goaltenders in the 2022 NHL playoffs, including Andrei Vasilevskiy and Igor Shesterkin https://t.co/F6bwy1MLWd",1520664529151348743,TFPdaily
"Ranking the top 5 goaltenders in the 2022 NHL playoffs, including Andrei Vasilevskiy and Igor Shesterkin https://t.co/hpnDhoQmQe",1520661328003706880,MyNextSeat1
"Ranking the top 5 goaltenders in the 2022 NHL playoffs, including Andrei Vasilevskiy and Igor Shesterkin https://t.co/50G6KfC4mD",1520661326611185664,CunningSports
"Ranking the top 5 goaltenders in the 2022 NHL playoffs, including Andrei Vasilevskiy and Igor Shesterkin https://t.co/ytWc1AHmaO https://t.co/lMuSgvi3Gw",1520660823747702784,sn_nhl
"Depressing stat:

Andrei Vasilevskiy led the NHL in Goals Saved Above Expected in last years playoffs, with 26.6 GSAx in 23 GP. More than a goal per game.

The 2nd best goalie was Carey Price, with 12.3 GSAx in 22 GP.

If we thought Playoff Price was scary, Vasy is horrifying.",1520469364557979648,BudsAllDayCast
19 20 O Pee Chee Platinum 20 21 #hockeycards https://t.co/KOl6OhXngD,1520384043858251777,gems_card
NHL Upper Deck Stature Andrei V #hockeycards https://t.co/c4L7GuwkZV,1520315144429056000,gems_card
Andrei Vasilevskiy: Heads into postseason on high https://t.co/myO7mfhZ5h,1520243173880209411,RotoWireNHL
"Andrei Vasilevskiy is definitely back, he has looked like the Big Cat of old! #GoBolts",1520223768194568193,Stephers2807
"There's the horn and that's it for this one, a 6-4 win for Tampa Bay. Andrei Vasilevskiy finishes tied for first in the NHL with 39 wins on the year. Great comeback win for the #Bolts, who will look to use that positive momentum as they head into the postseason.
#TBLvsNYI",1520223123227959297,Chris_Krenn
"Leafs v Tampa on Monday 

Buckle up..

Obviously the x-factor is andrei vasilevskiy.",1520216852860964864,TorontoSportsJB
"Heavy pressure from the Islanders and Andrei Vasilevskiy does a good job to make a blocker save and direct the puck over the glass for a whistle. Still 1-1 as we near the halfway point of the second period.
#TBLvsNYI",1520202109882404864,Chris_Krenn
"Really athletic play by Andrei Vasilevskiy early in the second period to track a puck that was way up in the air and blocker it away out of trouble.
#TBLvsNYI",1520199264143618051,Chris_Krenn
"Big save by Andrei Vasilevskiy on Kyle Palmieri, who got behind the #Bolts defense and in all alone on a breakaway.
#TBLvsNYI",1520189593525628929,Chris_Krenn
Andrei Vasilevskiy leads the Lightning onto the ice for pregame warmups. #TBLightning #GoBolts #TBLvsNYI,1520176906448089095,BoltReport_TB
