full_text,tweet_id,screen_name
"Does anyone actually care Angelina Jolie is in a bunker in the Ukraine? Fuck off Angelina, what exactly are you doing there? Last time I read up on Angelina she was performing satanic rituals with snakes and sticking her tongue down her brothers mouth.",1520915958977957888,KatyKray73
Tom Hank and Angelina Jolie. https://t.co/9SZRZD0os7,1520914951682281474,yellowriverwong
"""Pepe Lives Matter 🐸""
Angelina Jolie went to Ukraine on the same day as Adam Schiff and Nancy Pelosi and we now have this gem of a clip.
An actress running somewhere because of a supposed air raid siren where someone comes up and takes a selfie while she runs for the cameras. 🤣 https://t.co/VZqk0RzfUD",1520914812334714880,Kingsnake1776
Betty White (obvi) Angelina Jolie &amp; Shaq https://t.co/dGWSMIBg8d,1520914545010786307,imintheHOVlane
"I have two dinners!

First is Robin Williams, Ryan Reynolds and Betty White. No dinner would be eaten due to laughter

Second is Angelina Jolie, Mr. Rogers and Levar Burton https://t.co/iOT5tPVKji",1520914394770722822,FrostRaven73
"Co-incidentally. Leave em in a morgue on a table. 😎

She wrote these stories for me. Talking to Gabrielle Union, Eva Longoria, Angelina Jolie. 🤔 https://t.co/KMoR7iaprV",1520914065626959872,aegyptiangod
"Angelina Jolie Visits Lviv, Ukraine, to 'Welcome Internally Displaced Ukrainians': Reports https://t.co/Zy4qsS6XFj",1520914018864672769,lindssunshine7
"So Angelina Jolie has visited Ukraine as special envoy for UN refugee agency to meet kids affected by the conflict.

There has been conflict with Russia in Ukraine since 2014.

So we’re meant to believe she’s waited 8 YEARS and then visited in the middle of heavy shelling?

🧐",1520912424567717890,SpiritEddieLow
"Ryan Reynolds, Angelina Jolie and Tom Hanks https://t.co/XpLDOB1jLQ",1520912364605947905,Ukneecorn
"Why does no one talk about how  awesome Angelina Jolie is as a person? She’s been a Special Envoy of the UN for just over a decade and the first I’ve heard of it is today, after she and others were rushed to a bomb shelter in Ukraine? I wish more celebs got involved like this.",1520912004168433664,thepunmaster291
"Go home Angelina..PUKE
https://t.co/i2xBYz5UHL",1520911712525774851,Lid05
"Angelina Jolie, Dolly Parton, &amp; Robin Williams https://t.co/ebik9thZGx",1520910613957857281,bellathethrower
"Angelina Jolie visited children at the Lviv hospital, who had been injured following the April 8th bombing outside Kramatorsk station that killed 50 civilians. https://t.co/NGVeiKX48G",1520910417761030144,BuzzingPop
"Out of all things to see pictures of Angelina Jolie in Lviv talking with refugees was not the one I expected 

But I’m really happy to see it",1520910219873710080,bilomir
no but just imagine having angelina jolie looking at you like this! https://t.co/nj1HB5q4RI,1520910026239528963,anyasjolie
"Angelina Jolie, Emma Watson, Ryan Renolds…that’ll be a interesting conversation https://t.co/b7nQHKBzjj",1520909720399273986,Kingdakha92
"⚡️Ukraine. 🔶Angelina Jolie visited the Harmony Rehabilitation Center in Boryslav today.

#StopRussianGenocideInUkraine #WarCrimesRussiaInUkraine https://t.co/xX45vSX5yS",1520909690351276033,uafreesky
"Is she going to address an ""Organ Harvesting"" in Ukraine?... 

NOT for sure!!!

https://t.co/tRJQn76wyh https://t.co/ymKPkUyRml",1520909677093085184,Intent_B
