full_text,tweet_id,screen_name
Nearly forgot we're getting a Twisted Metal series with Anthony Mackie. Wonder if Crazy 8's driver will show his face at the contest. https://t.co/21y05848fH,1520900766462103552,FakePlissk3n
"— Anthony Mackie for L’Officiel Homme Australia, 2021 🤍✨ https://t.co/mxPMitlM24",1520888774955261957,M4CK1ESTAN
Anthony mackie got way too much attitude considering his only significant role has been that of a side character in motherfucking marvel movies,1520876967993749506,rudraface
there truly isn’t a better way to spend the day than listening to anthony mackie talk about birds for 42 minutes 😊,1520849896483479558,_agentofcha0s
"Synchronic (2019) Two New Orleans paramedics' lives are ripped apart after they encounter a series of horrific deaths linked to a designer drug with bizarre, otherworldly effects. Anthony Mackie, Jamie Dornan, Katie Aselton, Ally Ioannides. https://t.co/Vbm9AonWIv https://t.co/TpRK16kFXz",1520825380029960192,DVD_Daddy
Anthony Mackie bragging about drinking breast milk at a strip club in Pain and Gain is a real thing that exists,1520811985658548225,ronninator
Another meh sci-fi flick that Netflix wasted too much money making &amp; not even Anthony Mackie could save. #outsidethewire #movie @netflix https://t.co/ghaQrAM1bU,1520807774833283073,ourreviewlife
"Just saw Anthony Mackie in NOLA walking his dog back inside his home. 

That was dope!",1520805828672073730,Gimmedalooot1
anthony mackie is so cringe irl but he’s a funny actor man,1520801202077896704,hatelucki
Today is not Anthony mackie’s birthday,1520782590093017091,sammybirdd
Liked on YouTube: Anthony Mackie And Sebastian Stan On Their Props https://t.co/xsyUZyEUI5,1520774480108339200,DevilleRomano
Still crazy to me that Anthony Mackie actually kissed another man. The last person I would think to do it. Even if it was acting lol https://t.co/p5epw9IrWs,1520731308862980096,JimboJumboFATAL
Liked on YouTube: Anthony Mackie's Reason For Quitting Football https://t.co/8VZ4bvzeaX,1520661452343947264,jeffreymcleod87
"ICYMI:  TONIGHT: 2022 CMT MUSIC AWARDS to air LIVE from Nashville with co-hosts Kelsea Ballerini, Kane Brown &amp; Anthony Mackie on CBS https://t.co/SUGUcI8k02 #cmtmusicawards #featured",1520659506123878400,My_CountryMusic
"#NowWatching ""Avengers Infinity War"" on Blu-ray. Starring Robert Downey Jr., Chris Evans, Scarlett Johansson, Anthony Mackie, Chadwick Boseman, Benedict Cumberbatch, Tom Holland, Chris Pratt, Mark Ruffalo, Tom Hiddleston, Zoe Saldana. Directed by Anthony and Joe Russo. https://t.co/7awa1oUJMN",1520632566788739072,HeroldJh
the way I randomly remember i saw anthony mackie irl,1520621744096260098,poetartistjh
i wish i could meet anthony mackie and then take my bird and then have him perch on anthony j think it would be cute 🫶,1520620912931840005,buckycap
"📷 dailyniallnews: @omegaEUmasters: What a week we’ve got planned at the #OEM2019! We can’t wait to welcome Justin Timberlake, Niall Horan, Tom Holland, Anthony Mackie, Michael Peña and Dennis Quaid to Crans-Montana. Catch them in action in... https://t.co/IMDuA11AU1",1520616824798334977,CandeNaza98
"Anthony Mackie is what the 10sec rewind button is for. Damson Idris delivery of evolution 🤌🏾10s! 
#outsidethewire #movienight",1520608274072367105,gengerbear
"oscar isaac and anthony mackie went to Juilliard together… 

Moon Knight and Captain America know each other!!! https://t.co/x4L1XU9gA6",1520569844273500166,jakeIockley
"I just remembered something, Anthony Mackie as Tupac. https://t.co/SmkBlBpiSf",1520567990496145408,RoLovesYourFace
"Anthony Mackie and sebastian stan gives the ""extroverted friend who adopted a stray introvert and kept them""",1520523050944499714,LHLL0V3R
white people pretending to be ok with Anthony Mackie’s black ass Captain America https://t.co/ILIzrGwxCJ https://t.co/Ejpt891wY7,1520485049828790272,PepeLeFewHoes
The Anthony Mackie Rebel Wilson relationship in Pain &amp; Gain is functionally equivalent to the phantom thread relationship,1520465622685073410,1amCait
Today is not anthony mackie’s birthday,1520456531099242496,sammybirdd
"edit sam wilson tfatws captain america bucky edit fc fancam anthony mackie #SamWilson #CaptainAmerica #CaptainAmerica4 captain america 4 leak
♬ megan thee stallion eat it https://t.co/2K7Hi5i1v5",1520410000056672256,LOKFLC
"People saying Captain Carter is getting more than Captain America (Anthony Mackie) ... Um, he is getting a solo film, she has a cameo. It makes no sense. These fandoms are stupid. If you're scared of strong women, just admit it. #MultiverseOfMadness https://t.co/ALmiWzhQPo",1520409836692942848,jordananimate
"deep in my heart, I KNOW that Chris Evans gave Anthony Mackie those 20$",1520398020147388416,Sharuuka
"Joseph Gordon-Levitt's ""Rhythm Nation"" vs. Anthony Mackie's ""2 Legit 2 Q... https://t.co/BsFlQ2bZMp via @YouTube JGL killed it 🤣",1520300996957806594,MrHydro210
I was today years old when I learned Anthony Mackie choked against B Rabbit in the last rap battle 😳,1520276371443904513,jaredandamic
"https://t.co/IQTS08eqCq

Monica and Anthony Mackie attended the 2022 Country Music Awards in Nashville, Tennessee, in March. The R&amp;B singer joined Jimmie Allen and Little Big Town […]",1520270695875457024,ronaldkvsu
Anthony Mackie's description of infinity War is the best description of a movie I've ever heard.,1520252307786854400,oarabile_maine
"SqUaTtInG iS mY pAsSiOn NoT mY pUrpOsE.

Anthony Mackie 👑",1520213011801194498,DUHHHHITSMEEEEE
"LMBO😂🤣he does🤣. Why he so mad like White ppl haven't been hijacking shit for centuries. He was mad that Anthony Mackie was the host, not even realize he's one of the Avengers. Which I'm sure he's a fan of. Silly little man🙄 https://t.co/MAm1nVyIQh",1520192792752013314,jatashie
anthony mackie (2012) https://t.co/5JffxRpiDD,1520163707485102080,mackiesafe
REACTION: Anthony Mackie Talking About Relationships….. https://t.co/EGPJ2CZAqi,1520158288905658370,MWBarflyGazette
anthony mackie's debut as captain america was so good,1520151399392333824,darktellarnova
"There is only one Captain America now and that's Anthony Mackie's Sam Wilson. Peggy Carter's Captain Carter isn't a ""threat"" to Sam, I don't know why people act like it ?",1520149457077166080,reyeverdeen
the only ones who are taking the spotlight away from Sam are the Bucky stans... you only ever talk about Sebastian Stan and Bucky  when TFATWS is mentioned and COMPLETELY disregard Anthony Mackie and Sam. So stop this bullshit blaming of Agent Carter/Peggy Carter fans...,1520141276120682497,finnreyswift
i just found out anthony mackie was in 8 mile https://t.co/NuV8eTd0iP,1520138250970705922,yelenasbelover
samsteve sam wilson steve rogers captain america falcon chris evans anthony mackie samuel wilson steven grant rogers the shining fancam fc edit edits https://t.co/UBuSNZzSCE,1520136422191026176,sebqstivn
Same dude that got banned for putting on an Anthony Mackie layout https://t.co/dvHLeYNWr7,1520124933048872961,DETECTING_
@HowleyReporter god I hope you meet Anthony Mackie one day :) @AnthonyMackie,1520114901959823362,LeX4DC
All the black artists need to go to the CMTs next year since they was mad at Monica &amp; Anthony Mackie,1520109724531888129,CitaNumber6
Anthony Mackie always looks like he knows something about you others don't. https://t.co/niqy0nLM4F,1520081823048556544,nkamwesiga97
Anthony Mackie gives an update on Netflix's live-action One Piece Odyssey is a place in games if you've played all of you for your adventures in and then laugh at this.,1520070992130891778,blobvideoludic
"@Saku0sagi ""Yes Anthony Mackie is going to be in the Twisted Metal TV Show on Peacock and filming in a few weeks and then will eventually aired in 2023,so I hope you Sakusagi will be excited about this news!^^"" https://t.co/TIzjQLnsuj",1520057129952022528,PinkePie61
"Lawrence University has Anthony Mackie as it’s commencement speaker and I’m just really, really jealous. https://t.co/Dk6hLxSb2j",1520047557690499072,krittabug
That pic of Anthony Mackie is taking me OUT,1520015402973151233,Bacon_Gawd
Tf is the point of having captain Carter when there’s already Captain American (anthony mackie)?? They wouldn’t try this shit if Steve were still there 💀 https://t.co/PfcAAm7s0C,1519969204820082688,cxmwhor4
Anthony Mackie’s boobs.,1519898675211911168,BRUCESVISION
What the hell Anthony Mackie doing in there? https://t.co/BRwU80Df46,1519868301446422529,sleazyh00ps_
Who the hell gon play either of them???? And the wig they put on Anthony Mackie to play Robert Horry is going to be nasty work. https://t.co/fji7JJFbYU,1519865337323397121,SouthpawSwade
So proud of Anthony! https://t.co/zfD1fyvxjM,1519860787308679169,InfinityWarFans
The Crossover movie wit Anthony Mackie such a good yet bad movie lmfaoooo,1519855732795092994,djjjr_
Anthony Mackie is very attractive to ME https://t.co/k22wyvPYNm,1519849633559760896,animmaimota
sebastian stan            anthony mackie https://t.co/2wAXajWcYk,1519849102552580097,CE7OUIS
this unmasked reminds me of how anthony mackie always looks like he has something to tell you https://t.co/in0wERy90J,1519832463303917569,cowboyspidey
I was going over some notes of my fic and apparently I wrote Sebastian Stan instead of Sebastian Moran 😂😂😂 I have this clip of Anthony Mackie saying Sebastian Stan on repeat sometimes and I think that's what happened 🤣 https://t.co/MXaJCrBnYs,1519829572082180096,BakerStWriter
Anthony Mackie never beating the misogyny allegations,1519815417879048193,PYTSUPREMACIST
Thought that was Damian Lillard and Anthony Mackie in the background 😂😂 https://t.co/LhSEek9Rwn,1519813881530667010,ImJustSMG
The Banker—— with Sam Jack and Anthony Mackie on Appletv @6fourDAGOD,1519810382549995520,whyveeoheneneee
"The funniest thing about that guy saying ""this is the cmt awards, not wakanda"" is that idk Anthony Mackie looks like a dork who'd like country music

Hell, Monica who I would never call a dork, also seems like she'd like country music sometimes",1519802722240937984,irate_conqueror
anthony mackie is my spirit animal,1519797103957921792,dxisyflickr
In an alternative reality Anthony Mackie was The Riddler. https://t.co/QRrn0HV2Y7 https://t.co/eSV7s02LMI,1519796818917351427,SoulKingLives
Anthony Mackie follows no man,1519789350346711040,Segura90770253
"rewatching the winter solider, any excuse to look at Anthony Mackie, Sebastian Stan and Chris Evans.",1519788874549051392,SeekHerObLIVion
"Why do I feel like Sebastian Stan, Anthony Mackie, and Chris Evans would be the ones to turn up in the club to Wannabe by The Spicegirls and Mr. Saxobeat by Alexandra Stan",1519778893900701700,mckennaisabell_
Y’all praise this. But a white man just told Monica and Anthony Mackie they don’t belong at the Country Music Awards. Said “This ain’t Wakanda” https://t.co/8L2n0nKIk7,1519746302065655809,Alexus_Alex_US
No one in phase 4 right now has chemistry like the og’s…including Benedict &amp; Elizabeth.The ones who do are not doing anything right now (Anthony Mackie) or aren’t doing anything with other og’s (Tom Holland) &amp; they’re normalizing not doing stuff in-person. I don’t see any hope. https://t.co/SfNjGzmkeF,1519738566439587840,Jania_025
"#TheMaskedSinger I really think the Space Bunny is Anthony Mackie, clues from Falcon and The Winter soldier and 8 Mile. https://t.co/6xbYqP3Ix3",1519734928040243201,tygerheart
