full_text,tweet_id,screen_name
@ashanti happy Sunday Ashanti,1520915772599586816,ALEXJR2021
Tension headaches are the worst,1520915492021673984,shani_ashanti
"Joyner Lucas f. Ashanti - Fall Slowly (Milan Variable Remix) (Version 1) (Clean) TheHeavyWeight Dj Rasheed 
https://t.co/RXSuu5FYs8",1520914333873709056,TheMixtapefm1
02-05-2022 00:44:01 https://t.co/XBKdDQqv9X #BlastFMHipHop 🔊 Ja Rule - Always On Time (Ft. Ashanti),1520912067330510849,BlastFMHipHop
Ahh ha *durk voice* https://t.co/5NdktO48yc,1520912023181266949,____ashanti___
Omfgggg I did not know Ashanti &amp; Ja rule had their own version of Helpless from Hamilton 🥹🥹🥹,1520911607416692740,tjennay_
Ashanti - Foolish,1520909441754931200,Josephfinger1
"PVJ 7EK Recommended a Website, 22LNAH  #MadVerse
@11567tw 
@Ashanti_Alston 
@trixie1221 https://t.co/yY0XgWjeSl",1520906657454501888,daisysjqou856
"@entylawyer Like you always said….

https://t.co/d3SWCvdzRQ",1520906061225467904,CDANadmin
I really hate it when men joke and say “oh yeah you’re all the one with the money”🤮🥴🤢 omg can you please excuse yourself from my face,1520905414057119744,Ashanti_Bandz
Ashanti is really that girl!!! 😍😍😍,1520903752127070209,ThePerksOfPurp
Ashanti Flaunts Beach Body During Recent Tropical Getaway https://t.co/9f1XLdq1yC,1520903007428354048,sis2sismag
"I have no words😭😭
I just want to say THANK YOU GHOSTNATION for everything you’ve done for @ThembaBroly
I love you FAMILY🙏🏾❤️❤️
#ThembaXDjTira 
#ThembaBroly",1520901975013040129,ashanti_polo
Tell me where I stand -Ashanti ❤️,1520900802046566400,peachy__Skin
Damn Ashanti was really getting shitted on in Dubai for a bag. I Can't look at her the same anymore,1520900044404436992,MrImmaculate03
"Sis literally don’t age, I love you @ashanti 🥰🥰🥰🫶🏼🫶🏼🫶🏼 https://t.co/tSAmVAtyjB",1520898976135979010,jadajoecelyn
I love making edits of My BESTIEBAE 🥺🫶🏼 @ashanti https://t.co/c4Bm86AoeG,1520897804624871424,xbabyyprincess
Yo you missing out hurry up @ashanti,1520896489458966529,FuHollow
Ashanti - Baby (Remix) ft. Crooked,1520894696058408962,famradiostation
"My ex be texting me from text now number like "" idgaf how many likes you get you ugly n my new bitch gonna beat you up""

And i just be minding my business 🙄",1520893265473675264,k_ashanti
Whew my ex was/is my biggest hater ever https://t.co/bIboQtHJyq,1520892457394884608,k_ashanti
Uh! Folk's. @ashanti @hot1079atl @hot1075 ashanti's old 🎶! To the new 🎶! From the old 🎶! To the new 🎶! Was played on 📻 🚉's! Earlier. Yes. @McDonalds had a 👍 lunch. Had no.3 combo with 🧀 large. Large 🍸hi-c orange. 🍨 🍦 cream fudge Sunday 🍫&amp;🍫 chip 🍪's. Mm! So very 👍.,1520891739539656717,harden_ken
Ashanti is the truth https://t.co/OwzEXA4jth,1520889980364632064,JoeyMasseria
i was gonna leave applebees but now they playing ASHANTI,1520889432831893508,TH0TIVITIES
Ashanti ft. The Notorious B.I.G - Unfoolish https://t.co/JnaIwbSQ1H,1520889118502367234,DreamRadio619
Baby sing to me like Ashanti,1520888951757701120,tayoogrimreaprr
"DJ Tunez Ft. Ashanti &amp; Adekunle Gold - Energy | https://t.co/e4WymoE0Jx

#Listen live via  https://t.co/H5oJ2oxLCs",1520888420259831811,panachefm
"AngloGold Ashanti Latest Vacancies May 2022

Four (4) Positions Available 🔥🔥

Full details here 👇

https://t.co/xIV76RqeQb

 #DateRush",1520887906713362434,JobsHubGh
@ashanti afrobeats album please? 🤓,1520886083407466499,lilmissboojieee
She chewed and this why I’m still a forever stan of Ashanti! https://t.co/4W5VwiKe8l,1520885929061326848,Itsjustteajay26
"Aitch, Ashanti - Baby (Clean)",1520885557576015873,ApollodjsRadio
@ashanti oh my god ashanti please i need to meet you that day. I'm going alone on the trip and at the concert just to meet you it would be a dream plis plis 🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼😭😭😭😭😭,1520885128423264260,luuyonce
#NowPlaying Ashanti ft The Notorious B.I.G. - Unfoolish It'S UP UP UP!!! Listen live here: {https://t.co/CjZlGYrPTl} https://t.co/WdgoCyu8YR,1520883536097652740,IAMDJSHOTGUNN
"AngloGold Ashanti Latest Vacancies May 2022

Four (4) Positions Available 🔥🔥

Full details here 👇

https://t.co/xIV76RqeQb

 #FixTheSickMortuaries #LeGYANdary",1520882987285594112,JobsHubGh
"AngloGold Ashanti Latest Vacancies May 2022

Four (4) Positions Available 🔥🔥

Full details here 👇

https://t.co/xIV76RqeQb

 #daterush #dogs broo Obidi #EidUlFitr",1520882785405345801,JobsHubGh
"how ironic LMAO 
almost 20 years later:
Beyonce - the most awarded alive artist who has sold millions of records and albums 
Ashanti - ERROR404 https://t.co/yJtTy9jh08",1520881693648998406,JLoLegend69
ian gay but this ashanti song be having me pouring my heart out😂,1520879165494513665,Var2kYT
And that’s a fact. Whether it was chantel or Rachel halle berry or Ashanti if I am able to slide my dick in you hard your going to love and remember me forever,1520878236200275973,ElijahEdwards_1
"But low-key why say Ashanti women dey love car like that? Even their in-laws, they treat u different eg. Asew papabi, asew Kono fo). Than  those who don't have a car. Today I want to know @thenanaaba pls",1520876836972122113,atisu_bernard
Ashanti be wearing two diff pairs of sneakers be pissing me off,1520876640745754624,iMarkj3
Ashanti Region: Residents of Kaase In Mad Rush For Free Fuel As Diesel Tanker Topples Over [Video] https://t.co/WYdeEZO9wE,1520875818888617986,MyGhanamedia2
"Yaw Annor of Ashanti Gold is making the Ghana version of Pichichi competitive, 16 goals second to Franck Mbella Etuoga who has 18 goals after week 27. https://t.co/R0fdlOOdpA",1520875329564336129,FatherFriday1
Alfredo for dinner,1520875286023262210,ashanti_danaee
can’t wait for her to do my website,1520873418547204096,ashanti_danaee
Jarule and Ashanti need to drop some music,1520873380932636672,tjayfreshh3
s/o quelle for showing me how to make my basic graphics,1520873359344558083,ashanti_danaee
Aitch &amp; Ashanti - Baby [05:04],1520871767694225408,triplejplays_wa
Bumping @ashanti like I’m someone’s Tia in a 03 Altima,1520870763493924864,lostangeles82
You may feel beloved by your friends and community members at ... More for Pisces https://t.co/Rk6FcGXKhl,1520870742945976320,Ashanti_TafonXo
DaBaby ft Ashanti &amp; Megan Thee Stallion - Nasty https://t.co/JnaIwbSQ1H,1520868588793610240,DreamRadio619
"Ashanti Opens Up About Finally Receiving Credit for Jennifer Lopez’s Hits: ‘You Should Always Care About Credit for What You Do’
https://t.co/yWiO4iikN1",1520867196133679113,onyxgata
Sex sells but nostalgia sells twice as hard people pay for nostalgia from times they didn’t even have half of aitch’s customer base never herd of Ashanti way too young ... people say folk crave the decade they missed vice city an 80’s game was hard for 90’s kids,1520867048636747778,Thebentley90
Ashanti always been down,1520866791731261440,ohnaatt
People In The Ghetto Suffering/Blackman Home - ASHANTI WAUGH &amp; CAPTAIN SINBAD/SU https://t.co/k061TrAIeG https://t.co/8LFicl1YyV,1520866711825702921,blakamixshop
"People rushing for fuel at Kaase Ashanti Region as a fuel tanker overturned. 

They're ignorant it can explode in the process 🤔🥺💔 https://t.co/zZJauhW8v5",1520865754198986754,AbdulRahimLee3
"LISTEN, LET ME TELL Y'ALL...ONE OF Y'ALL WEALTHY PEOPLE HAS GOT TO READ MY BOOK. I KNOW IT'S GOOD! YOU WILL WANT MORE! WHEN I WAKE UP IN THE A.M. @Beyonce or @ashanti or someone will have read it.
@NatashaEroticsR 
#NatashaSeaberry 
#Iwontgiveup 
#Amazon",1520865162378596352,NatashaEroticsR
Ashanti’s sideburns were always sexy to me. That woman is disgustingly fine,1520864384188362752,adeknightt
Fat Joe ft. Ashanti - What's Luv - Freejak Remix (DJcity Intro - Clean),1520864106525376513,GrindinRadio
"If ion do shit else… Ima take care of my child, get me some me mf money/handle my business, and enjoy life!!!!",1520862625202069505,____ashanti___
"The Jokeress..Jokeress Queens..Pictured: Ashanti Altovese..Photo: Dave Tong photography (Instagram). 
 Adaptation of The Jokeress indie ebook series by Bryan Follins and Margaret Henderson. Genres: Science Fiction/Futurism. #scifi #wip #glamour https://t.co/DKA1bFtaKW",1520861495143268353,shadowvectors
"I need a 00’s tour with G unit, Fabolos, Mary J, Ashanti and Sean Paul involved https://t.co/I9buD8Kf8U",1520861127294570497,adeknightt
Me and Ashanti suppose to be making cup cakes she not going let me forget,1520860922465730563,oh_Hey_Ashh
Omm it’s too Mf hot for weave… the summer ain’t even here yet… babyyyy let me get some braids cause fuck nooooo,1520859988780011524,____ashanti___
Still can’t believe Kaelinn said Ashanti is tired 🥴,1520859847360720897,_ImTheMAINBOSS
Aye these niggas be hooked on me like a crackhead on that dope 🤣 I can’t make this shit up fr,1520859466920611842,____ashanti___
Auntie goals for me exist somewhere between Naomi Campbell and Ashanti,1520857185110183938,ILuhsHappoIDo
Classic 🤷🏿‍♂️🔥 https://t.co/dliTD9XuXg,1520855591618596867,7thfloor_SB
Ashanti the baddest ever,1520854520779091968,Drewski206
