full_text,tweet_id,screen_name
"I was already on the Trinity Rodman bandwagon, but Ashley Sanchez made me giggle several times. A legit star. https://t.co/W1eExmtveZ",1520902128713228290,T2Va
"The layoff to Ashley Sanchez and the shot 🙌🏽🙌🏽🙌🏽 .
EL CAMPEON SE RESPETA #OneSpirit #NWSL https://t.co/maKURlQ3Ey",1520899800614551552,OJ_Villalobos
"@marley_canales + @oliviaathens + Ashley Sanchez all on the pitch at the same time😭

@WashSpirit Please guys sub on @karinardrigz ! Bruins run @NWSL @UCLAWSoccer #GoBruins💙💛 https://t.co/Z8B0HcEy9q",1520899694599147521,avx_9001
"ASHLEY SANCHEZ
ASHLEY HATCH
TRINITY RODMAN

TRIO DE MILHÕES",1520893956728537090,RespirandoTobs
"USWNT: 🚀💥 Ashley Sanchez delivers from outside the box!!!

📺 » @paramountplus 

 https://t.co/H1GnbNgBBt",1520889999503282178,IanO30469080
"Ashley Sanchez is 23. Scored a gorgeous goal from 18yds out at the weekend for the Washington Spirit. Sophia Smith is 21. Scored a screamer from 18yds out at the weekend for Portland. 

Both are eyeing USWNT spots for the 2023 World Cup. We are so damn spoiled 🔥",1520889667784163328,phriendlyphotog
They should make kids watch Ashley sanchez play soccer in school,1520887530765303810,greenbeanssuck
i can’t even be mad because of how much i love ashley sanchez,1520887480253394953,kkl416
"Not to soccer fan-gush, but I feel like although she gets attention, Ashley Sanchez is even better than that, such incredible charisma and talent on the field, really a treat to be able to watch her and Rodman play together",1520886618361634819,NWSLfit
Great first half from the @WashSpirit !  Ashley Sanchez cannot be stopped!,1520886099396243461,obit_rice
"HT: @WashSpirit 1, @OLReign 0

Washington take the lead into halftime thanks to Ashley Sanchez's wonder strike!

#WASvRGN | #NWSL https://t.co/RuI9wBE9Fg",1520884590356877313,EqualizerSoccer
Ashley Sanchez 😍😍😍,1520881036820992011,brunoteixeira08
Ashley Sanchez is really good at soccer,1520880074999930881,erinkoleary
Ashley Sanchez is absolutely ridiculous https://t.co/z0vW6i1Jq2,1520878106155921408,mrc316
"Ashley Sanchez is an absolute menace and we love it.

Peep that Anna Heilferty lay-off too.

#NWSL https://t.co/v9u3zgtvKK",1520878074941763584,OurGameMagazine
Ashley Sanchez always opts to start each morning with a healthy schmear of violence on her toast,1520878012778041344,lawson_sv
"Ashley Sanchez just continuing to be absolutely ✨ filthy ✨ 

#WASvRGN",1520877966938415105,devkid9
"What a 🚀 from Ashley Sanchez! 
@WashSpirit are 🆙 by 1️⃣ 

 https://t.co/grAVW3I1On",1520877771022610434,HerFootballHub
"Ashley Sanchez, good at soccer? https://t.co/s7smgPioBg",1520877256314396680,SquadronAng
What a goal by Ashley Sanchez. #washingtonspirit,1520877228938121216,CFCran22
"Damn Ashley Sanchez is a baller🔥Hey @OLReign not saying you have a player on your bench that knows Sanchez like the back of their hand but… you actually have 2 @marley_canales @oliviaathens 👀 
@UCLAWSoccer #GoBruins🐻 https://t.co/sDatjME1ml",1520877129168158720,avx_9001
"Great goal from Ashley Sanchez to put the Spirit ahead after 15 minutes -- and just after Rose Lavelle's PK was saved. Spirit have owned the midfield early, winning the ball back in high areas. That's rare vs the Reign. #NWSL",1520877063699415042,JeffKassouf
Ashley Sanchez has the vibes of a player who should be an assist machine but instead she's a goal machine and it's as dope as it sounds https://t.co/OCWW1DqQG1,1520877060213850112,goetz_hal
Ashley Sanchez scoring golazos against the Reign is one of our favorite songs,1520877043424051213,SpiritSquadron
"Did Ashley Sanchez just do the Soulja Boy during her goal celebration?

New favorite player
#OneSpirit",1520876865497542658,KrimsonVnm
Ashley Sanchez continues to be a #nwsl  cheat code https://t.co/1NJtJD1akT,1520876668310671363,alexvhj
"ASHLEY SANCHEZ WITH A BANGER, OBVIOUSLY. #WASvRGN",1520876663420387328,evanshag6
"Gorgeous assist for a beautiful rocket goal 🤩
Ashley Sanchez scores the first goal of Spirit’s season.

#WASvRGN 1-0 
#NWSL",1520876649771945992,WoSoPlayer12
ashley sanchez really said “crank dat” huh 😹😭😭,1520876646596636672,stateofgays
"ASHLEY SANCHEZ WHAT A HIT!!

#WASvRGN | 1 - 0 https://t.co/QX1jvpY2rH",1520876605144502272,EqualizerSoccer
Goal by Ashley Sanchez from outside the box puts @WashSpirit up 1-0,1520876593475993602,cherylcomment1
Ashley Sanchez is pretty freaking good.,1520876570075963404,Mr_Meister16
"Ashley Sanchez is the mf’n truth. 
#NWSL #WASvRGN",1520876564409425921,RachTalksSoccer
"Spirit goal. Washington never lets a goal kick get out of the Reign half, and Ashley Sanchez scores top left on Tullis-Joyce. 

@OLReign 0 - 1 @WashSpirit 15th minute 

#OLReign #BoldTogether  #WASvRGN #OneSpirit  #WashingtonSpirit #NWSL  #CueTheChaos   #AudiField #WomensFutbol",1520876526710886400,CirclingSports
ASHLEY SANCHEZ!!!!!!!!!!,1520876505349378052,armasdeana
That shot by Ashley Sanchez on the other hand. Wow.,1520876458629275648,jaylaw22
Ashley Sanchez what a fucking player👏🏽👏🏽,1520876444234231813,rafawills619
ASHLEY SANCHEZ! #washingtonspirit,1520876401963974657,C_LaBrie
ASHLEY SANCHEZ!!!!!!!!!,1520876377381097472,_GNCV_
"14' Goal, Washington Spirit. Scored by Ashley Sanchez. #WASvRGN",1520876359060365312,rovalks
Ashley Sanchez BEHAVE!!!,1520876341234741253,_devinpugh
"1-0 #OneSpirit! Golazo from Ashley Sanchez, who has been the best player in #NWSL in 2022",1520876333211045897,JasonDCsoccer
Ashley sanchez jersey coming soon,1520872750902087680,IronghaziStan
Spirit star Ashley Sanchez continues rapid ascent as NWSL season begins https://t.co/lgHTGGurie #CodeFourAthletics #soccernews,1520795227446984704,CodeFourSoccer
Washington Spirit star Ashley Sanchez continues her rapid ascent as the NWSL season begins https://t.co/ubzPGeqNAi,1520571982152052737,PolitomixNews
Spirit star Ashley Sanchez continues rapid ascent as NWSL season begins https://t.co/XcPOxcCt6K,1520469741604900865,JustFunStuff53
😍 LOVE this Native American Four Strand White Buffalo and Sterling Silver Bead Necklace 😍  by Ashley Sanchez ⏩ https://t.co/BwK6kqgGEW https://t.co/ScDC7BrT1T,1520433904188018689,PuebloDirectCOM
Heading to the @WashSpirit season opener tomorrow. Looking forward to seeing Ashley Sanchez “float” on the pitch. #ONESPIRIT https://t.co/IQF20MfJ3H,1520377492321746946,libcam
Spirit star Ashley Sanchez continues rapid ascent as NWSL season begins https://t.co/MJJi55FuBl https://t.co/1HSR9MRrtq,1520369138765508608,Super_World_Cup
"The price rises have fucked up my plans. Was going to roll the transfer and bring in Cash and Foster for Schar and Sanchez, leaving £0.0 in the bank. 

Now I’m looking to sell Thiago Silva for Ashley Young 😂",1520233375952666624,chewiefpl
Tell me this isn’t the most terrifying picture…Ashley Sanchez striking fear into people with one look. It’s me. I’m people  #onespirit #uswnt https://t.co/6ghGAgDMw7,1519838465650745347,wosocasual
"Congratulations to Ashley Sanchez, with her signing today with Victoria College! She will be continuing her education and playing volleyball! #Steersup 🏐🤘🏽🖤 @NSHS_Volley @NorthSideFWISD @FWISDAthletics @CoachAtlas1 @AD_DrLisa @VC_Athletics https://t.co/pAmcklAlSt",1519805104425259019,Rivas1ar
Congratulations to Ashley Sanchez who signed with Victoria College today!  We wish you the best of luck next year! #SteersUp 🏃🏻‍♀️ 🏐  🤘🏼 https://t.co/BfCqDk3HVE,1519792138745262080,NorthSideFWISD
😍 LOVE this Native American Four Strand White Buffalo and Sterling Silver Bead Necklace 😍  by Ashley Sanchez ⏩ https://t.co/ltIIfyHTwu https://t.co/fSND7oJU3r,1519377854181564418,PuebloDirectCOM
Ashley Sanchez college signing is at 4pm tomorrow in the outside gym. Everyone is welcome to come!  #steersup 🖤🏐🤘🏽@NSHS_Volley @NorthSideFWISD @FWISDAthletics https://t.co/GMGNH04RL1,1519307289781493760,Rivas1ar
"@NWSL #challengecup awards predictions and Champion. Golden Boot: Ashley Hatch, MVP: Ashley Sanchez, Defensive Player: Carson Pickett. Champion: @WashSpirit",1519014788289994752,Stanches2318
"Per @AnalysisEvolved's Goals Added metric, #OneSpirit are atop both the cumulative team G+ For and G+ Against tables, while also having the top 2 individual players (Ashley Sanchez &amp; Trinity Rodman), &amp; 6 of the top 24 (Hatch at 11, O'Hara at 21, Staab at 23, Sullivan at 24)",1518668146760208388,JasonDCsoccer
"Congratulations to our Spring National Honor Society inductees! We are proud of you!

left to right: Grace Browning, Savannah Gilmore, Annamarie Teney, Zach Wilson, Ashley Vazquez-Buquer, Will Morse, Sofia Morelli, Anthony Supe, Andrea Sanchez, Gabe Horn, and Gracie Tharp https://t.co/zAfTxBRpep",1518612698141011977,roncallihigh
