full_text,tweet_id,screen_name
NBA36 PROJECT Eastern Conference Semifinal Game 1 - Atlanta Hawks @ Brooklyn Nets: James Harden scores 33 points as the Nets blast the Hawks 145-104 to take Game 1. Replay Avail. https://t.co/sJHSmX9NNf via @YouTube #NBA36 #basketball #AltSimSports,1520910952694259716,AltSimSports
"New artwork for sale! - ""ATLANTA HAWKS ABSTRACT BASKETBALL DESIGN 2"" - https://t.co/vLfyyHsZpJ @fineartamerica https://t.co/9LaEVPtFxx",1520904296707117056,Hamilton4Joe
Atlanta Hawks fans got to get better,1520890740829736962,future_power_
Jordan Poole a future Atlanta Hawks,1520885280328273920,ColeDaynhell
"Hey There! Here's a New Post On: NBA Rumors Roundup: Atlanta Hawks targeting three-time DPOY, former Golden State Warriors head coach on Sacramento Kings' radar and more....Check it out. https://t.co/4VHrrx8Knw  #NBA #NHL  #NFL https://t.co/TZbZpnyeGA",1520873712458870785,KTayiti
"@WindhorstESPN Stop being lazy Windhorst. Why in the fuck would the Hawks want Rudy unplayable Gobert. He's an overpaid bum, but give him to Atlanta. Stop it!",1520870267769262081,dmcc_mccallum
Game 2: golden state (@Calteckera) v Atlanta Hawks (@KoolKam_) https://t.co/njYNtyEWcA,1520866491134054401,NBaldingA
They asked people to come here in Atlanta falcons stuff…why this girl got on a whole hawks jacket😒,1520860776902316032,tabbie3_
https://t.co/sc4RizOI0U NBA 2K22 Playoff mode gameplay: Atlanta Hawks vs 227's YouTube Chili' Brooklyn Chili' Nets #BrooklynTogether Spicy' https://t.co/0Uua0GBKKR https://t.co/V0vhTXSooA Spicy' NBA Mix! - (Xbox Series X) [4K60FPS] https://t.co/0YmrofzYTW https://t.co/BNjlw71eMB,1520858615925538817,Hoops227_NFL
"After defeating the Atlanta Hawks in five games, the Miami Heat will now face off against the Philadelphia 76ers in Round 2 of the 2022 NBA Playoffs.
https://t.co/YxTpJC7FrH",1520858010553401350,FLTeams
"Celtics giving us Atlanta Hawks vibes, Pokémon game",1520846690743373825,Tracydube3
Boston celtics and Milwaukee both playing elite defense... Atlanta hawks cant relate.😂😂,1520841466628648962,grtinho
"Check out the Atlanta Hawks All-Time Roster

https://t.co/MMLnKoJmG9",1520828174438961153,TheD4Sports
"#Atlanta #Hawks: Dre appreciation post ... 
 
https://t.co/nQ56zs8tjo
 
#AtlantaHawks #Basketball #Georgia #NationalBasketballAssociation #NBA #NBAEasternConference #NBAEasternConferenceSoutheastDivision https://t.co/uR88FniDvO",1520814327254630401,raw_chili
The Atlanta Hawks are signing Isaiah Stewart to a 10-day contract. Per His agent.,1520814025260486657,JohnStanleyNBA
"Did the team hit expectations? Did players grow? What will Schlenk do this offseason? @BradJarrett67 is joined by @peachtreehoops @willis_glen for a dive into every nook and cranny on a just-completed season!

LISTEN: https://t.co/sYempP0kpG

iTunes: https://t.co/YdbQRTAPNM",1520803936877170693,EthosHawks
"Did you know that the Atlanta Hawks were originally named the Buffalo Bisons?

@JabariMckie https://t.co/ZYz0XMUCoL",1520803540708507650,factmuse
Atlanta Hawks &gt; 76ers without Joel,1520798453491712002,TylerWallsNBA
Atlanta Hawks GM Travis Schlenk Hints At Major Moves During This Offseason After First-Round Exit: 'There Will Be More… – NBA News https://t.co/fy8ZdhVfYZ,1520797474759217153,sportsnews2022
"From one end of the court to the other, this was an unforgettable night in Atlanta. It wasn’t fun and games at all. Suspensions and fines galore.

And to think both @steve21smith and @grantlong43 later became Hawks and @KWil42 went to Miami a few months later that year (Nov.). https://t.co/oYS2AavLBO",1520787011812175873,exhoopsPRguy
Atlanta Hawks guard Bogdan Bogdanovic looking to have his best season yet – NBA News https://t.co/bfcoFCpj57,1520772826696798208,sportsnews2022
That Atlanta Hawks Braves hat is nice https://t.co/hXVOkLQrXY,1520764010060300290,ATLLAEV
"Every member of the starting 5 that the Atlanta Hawks need to win a Championship is already on the team

Onyeka Okongwu needs to be the starting center

The defensive scheme needs to be overhauled and tailored to his diverse skillset...",1520759864322052096,TheyLoveMyEther
"BREAKING: Deuce Tatum has been kidnapped outside of TD Garden. Sources are saying the suspect looks very familiar. 6 foot 1, horrific hairline and curly hair, may or may not wear #11 for the Atlanta Hawks. This is oddly specific, but I’ll let the people decide who this may be.",1520746815599136768,SethKeithMoham
😳🤔… in the 2023 NBA draft the Atlanta Hawks select…… https://t.co/yuvx2sOjB7,1520717479827451905,thegrind_isreal
The Atlanta Hawks should look at this trade for a Utah Jazz superstar – NBA News https://t.co/zrcqjOiXhO,1520710907948859394,sportsnews2022
The Atlanta Hawks should look at this trade for a Utah Jazz superstar – https://t.co/IT83J96Mnz,1520710887534858240,USSportsNew2021
Liked on YouTube: The SUDDEN Fall Of The Atlanta Hawks [What Happened?] https://t.co/ud9QWLaCEi,1520659439908438017,AtPoeticCases
https://t.co/sc4RizOI0U NBA36 PROJECT Eastern Conference Semifinal Game 1 - Atlanta Hawks @ 227's YouTube Chili' Brooklyn Chili' Nets #BrooklynTogether Spicy' https://t.co/0Uua0GBKKR https://t.co/V0vhTXSooA Spicy' NBA Mix! https://t.co/21YEdBaVZf https://t.co/BNjlw71eMB,1520640041730539521,Hoops227_NFL
"On this day in sports history May 1, the Atlanta Hawks defeated the Brooklyn Nets 4-2 to advance to the 2nd Round of the NBA Playoffs in 2015.",1520622901531193344,NF201111
"On this day in sports history May 1, the Charlotte Hornets defeated the Atlanta Hawks 3-1 to advance to the 2nd Round of the NBA Playoffs in 1998.",1520621063339659264,NF201111
"On this day in sports history May 1, the Atlanta Hawks defeated the Indiana Pacers 3-1 to advance to the 2nd Round of the NBA Playoffs for the 2nd consecutive year in 1987.",1520620111056580614,NF201111
"#Atlanta #Hawks: Final from Miami.... 
 
https://t.co/hV1cGxCSOd
 
#AtlantaHawks #Basketball #Georgia #NationalBasketballAssociation #NBA #NBAEasternConference #NBAEasternConferenceSoutheastDivision https://t.co/mo4frhkIpM",1520613504998424576,raw_chili
The Atlanta Hawks are signing Obi Toppin to a one-year contract. Per @wojespn,1520607698194108416,JohnStanleyNBA
"Breaking Down #NBAPlayoffs with Duop Reath, Antonius Cleveland &amp; Justinian Jessup | Courtside Huddle #Atlanta #Hawks #NBA Video: https://t.co/sMGZ3iz7Ix",1520596376991633408,HotlantaFans
Microsoft and XBOX to Become New Partners of the Atlanta Hawks https://t.co/P0aCNwpyXq,1520593270425931777,amberhutchins
"Watching Game 3 2021 Hawks - Bucks…

Outside of the things I’m looking for 

One thing that has stood out is how much this team really missed @solohill this year.  

Hope your recovery is going well.",1520581078498439169,atlanta_monk
"#OTD in 1972 at the Kiel Auditorium in St. Louis

Stax artists The Bar-Kays, RCA act Swiss Movement from NOLA ,and Quiet Elegance were all opening for Motown's Temptations at the old 9,000 capacity arena that hosted St Louis Hawks games until the team moved to Atlanta in 1968 https://t.co/QhrbunEhAy",1520580968699949057,lilmikesf
ATLANTA HAWKS TEAM AUTOGRAPHED QUARTER BOUNCERS BOARD - 14 AUTOS LENNY WILKINS https://t.co/wZt1AEILyI eBay https://t.co/E86j1c9jf6,1520575750532833281,AutographsColl2
I personally think that the Atlanta Hawks DJ on TikTok should scream into the mic whenever the other team shoots,1520572470671339520,knowhoopss
"#Hawks In The NFL:

Tyler Linderbaum - Baltimore Ravens
Dane Belton - New York Giants
Tyler Goodson - GB Packers
Zach VanValkenburg - LV Raiders
Matt Hankins - Atlanta Falcons
Jack Koerner - New Orleans Saints
Caleb Shudak - Tennessee Titans",1520567617236439040,JoeBLarsen
Trae Young Atlanta Hawks Signed #autographed https://t.co/o5XGHuv7ws,1520560263774232578,AutographDeals1
Check out Trae Young 2019-20 Panini Prizm PSA 10 GEM MINT 2nd Year Atlanta Hawks #31 https://t.co/FQJvGysKwk #eBay via @eBay,1520545990113173505,pgadan59
Check out Trae Young 2019-20 Panini Prizm PSA 10 GEM MINT 2nd Year Atlanta Hawks #31 https://t.co/mJYqdMwpGc #eBay via @eBay,1520545533491826689,pgadan59
"A Celtics fan is telling me we can’t win The Finals because an 8 seed took us 6 games without our best player. 

The Celtics last ring came in 2008 when the 8th seeded Atlanta Hawks took the Celtics to SEVEN (7) games. https://t.co/QlbYAZyZRN",1520541680046592000,AndrewLeezus
Think the old Atlanta Hawks jersey is the best I’ve ever seen,1520535039309660168,TayoAFC
"4th: the Atlanta Hawks
I would love to get deandre hunter in this, but i don't think hawks would include him. Hawks defense has been horrible and Gobert would instantly make them a top 12 defense at worst https://t.co/wW4vqmZZ74",1520528928812675073,utjazzmuse
2020: Onyeka Okongwu to the Hawks. 2022: Drake London to the Falcons. #TrueToAtlanta and #RiseUp have top-8 draft picks from #USC in recent years.  https://t.co/HkUsE4zcpC,1520523433964191749,TrojansWire
Check out TRAE YOUNG 2020-21 HOOPS SLAM GOLD HOLIDAY EXCLUSIVE ATLANTA HAWKS https://t.co/llqumx9uSJ #eBay via @eBay,1520523098491138052,Legend23Breaks
"Bit late, I apologise but we're back with the game 5 breakdown as the Miami Heat eliminate the Atlanta Hawks
▫️Oladipo's offense early on
▫️Bunch of drive and kicks
▫️Bam's help vs mismatches
▫️PJ Tucker's def IQ

https://t.co/Va83VCc5Gx",1520518626780098570,JohnJablonka_
Playing next year's Atlanta Hawks in MyNBA plus playing historic 92-93 Charlotte Hornets which is one of the most fun teams in NBA history. Actually wearing my @iamzo33 Hornets jersey and team shorts while I write this and play it. No one in today's game could guard that team! https://t.co/KBwqRN7Iov,1520507496389124096,BulwyfTimothy
"Atlanta Hawks, Atlanta Falcons, now Atlanta United sucks again too? We cant catch a break. Braves i'm begging you to keep winning 😭",1520496779636129793,hunterb159
"Former Utah Utes basketball star Delon Wright carved for himself a nice role for the Atlanta Hawks in these #NBAPlayoffs, drawing comparisons to another Utes great

https://t.co/fChFOZry9H",1520496043187613696,ExUtahSports
NBA Leader: 24.0 PPG The SHOCKING Fall Of The Atlanta Hawks [What Happened?] https://t.co/SdqsjZJIpb https://t.co/DGOBYSBHVf,1520490969828790272,Hoops227_NFL
2022 NBA Playoffs Atlanta Hawks Vs Miami Heat Round 1 Game 2 NBA 2k22 Simulation. Watch full video here https://t.co/SbH1VmX4hq. Watch full first round of the 2022 NBA Playoffs here https://t.co/KEnsHReuxM. #NBA2K22 #NBAPlayoffs #NBAPlayoffs2022 https://t.co/JtMP3sNUz1,1520476962803888140,Gametrix__
