full_text,tweet_id,screen_name
#NowPlaying Backstreet Boys - As Long As You Love Me https://t.co/Y8VE1bXgV7,1520915489840586753,AlphaPopRadio1
"Now Playing on 234Radio, Backstreet Boys - I Want It That Way.

Listen live on https://t.co/CtrpndTCI7

Download 234Radio mobile app on iOS and Android.",1520915166929604608,my234Radio
"Boy Band Pot Holder sets | Backstreet Boys | NKOTB | N SYNC | O-Town | Nick Carter | BSB | New Kids on the Block Kitchen
https://t.co/PfOIREHpVF https://t.co/CxOOWgMeOw",1520914754474332161,BSBFangirls
i'm upset nobody made a backstreet boys joke this year,1520913237528563714,rockrockshard18
Lovee how Korn sang a little cover of the backstreet boys 🥰,1520912131352367104,est19xxstories
"I know that era mann, Backstreet Boys, Blue, 112, Next, Joe, Jon B, name it, as love went extinct, R&amp;B died.
No man has all that time to compose sweet words for nobody when he knows her preferred message to read is the ""send me your account number"" text. https://t.co/XV4hVDEnxQ",1520907365922521096,charlescapone4
"Korn hace un cover de «I Want It That Way» de Backstreet Boys… y la boy band responde.
«Kornstreet Boys». 
https://t.co/PZwfV4mhpg https://t.co/bobSQYeB8Y",1520906120809881602,PrensaCRock
LISTEN HERE BACKSTREET BOYS STAN https://t.co/oeSOsg8mxz,1520904496003665921,irlbruise
I Want It That Way - Backstreet Boys (Lyrics) ðµ_160k,1520903429933395968,thecooknshare
"I was at home listening to some Backstreet Boys and jerking my chicken, when I ran out of lube, so I'm going to the store to get some more.",1520901453237264384,wootshack
hot girls had a backstreet boys phase,1520899796101660672,hannahwslocated
Backstreet Back de los Backstreet Boys. 😆 https://t.co/60KSVUZQhk,1520896246910578688,Castro_AnaLaura
"If Your Name Isn't _____ I'm Not Interested Backstreet Boys NKOTB Nick Carter New Kids Donnie Wahlberg Chris Evans Tom Holland  Boy Bands
https://t.co/UYhEGG0waD https://t.co/s0oJV9FTrX",1520892114883817472,BSBFangirls
the backstreet boys are oldies now.,1520891482307137536,Eleventy7_
Backstreet Boys respond as Korn covers ‘I Want It That Way' - NME https://t.co/YaV05psOLz,1520890258895872000,gnrdown
2022-05-01 18:10:01 https://t.co/K7WxO5AFGw #JMediaFMRadio 🔊 Backstreet Boys - I'll Never Break Your Heart,1520888347232813056,JMediaFMRadio
Love Song Playlist - Romantic Love Songs Collection 2022 Mltr &amp; Westlife Backstreet Boys Shayne Ward  Best New Love Song - https://t.co/07buGlXw60,1520887896974180353,Otmar_Ballmann
Boy zone - Love Song 2019 ALL TIME GREAT LOVE SONGS Romantic WESTlife Shayne WArd Backstreet BOYs MLTr - https://t.co/Ge4xf5I6sY,1520887896953217024,Otmar_Ballmann
"Backstreet Boys
I Want It That Way
https://t.co/qcXxRvxagH
#Nachtschicht
(War nur ein Test, sorry 😄)",1520887683312193537,Nurse_in_Black
2022-05-01 18:03:01 https://t.co/K7WxO5AFGw #JMediaFMRadio 🔊 Backstreet Boys - As Long As You Love Me,1520886587197992960,JMediaFMRadio
N’Sync Justin Timberlake Backstreet Boys Two Sided Poster 15×20 #eBay🇺🇸 #Entertainment #Memorabilia https://t.co/5E66p6mYJH,1520886210473910282,SAEntMemoraPro
Bailenmeeeee Everybodyyy de Backstreet Boys,1520885168919257090,andiaalvarez_
*backstreet boys* am i sexual? https://t.co/E5mQH4fVer,1520884508148514818,notadingdong
How a @BackstreetBoys Fangirl Got Her Groove Back https://t.co/glHJzEo2ma #ajmclean #lasvegas,1520883128100917249,BSBFangirls
4*town me recuerda a los backstreet boys,1520881754680213504,schizophilia_
Donde vean el video de Korn cantando Backstreet Boys se matan.,1520881041665310721,docbrundle
do i have tickets to the Backstreet Boys Reunion Tour or am i just tired. it is a mystery.,1520880567453163521,hagaudraws
