full_text,tweet_id,screen_name
"The Bel-Air Country Club golf course offers peace in a jam-packed city, replacing busy streets and loud cars with pristine stretches of grass. https://t.co/c5jHgfGYpL https://t.co/bPjRIVSVTa",1520912998969262080,precedenceprop
Finally catching back up on Bel-Air,1520907089962573827,Fishstixz_BMB
That sample on Hotel Bel-Air is too smooth,1520901631377825793,MarkyDee3
"I’m finally watching Bel-Air, Carlton is a BITCH nigga omg.",1520896779092434945,Da_mirror91
"Watching Bel-Air episode 7 and screaming because they're talking about their campaign finance (literally my job) and they're using the ACTUAL FUCKING FPPC FORMS 
LIKE BITCH IS THAT A 497??!!!!!

KUDOS BEL-AIR!!!!",1520887131064872960,dckrnbws
There’s not a single scene Carlton is in on Bel-Air that I don’t wish someone would beat him up! I guess he’s killing his role.,1520887021203456001,King_Quisemoe
i really hate that broer carlton from bel-air,1520881310654513155,wavyabey
I hate that every body dressing like DJ Jazzy Jeff from Bel-Air now,1520881300969775105,NSJPT_Podcast
Larry June &amp; Jay Worthy 'Hotel Bel-Air' https://t.co/ZIVipB48oD via @YouTube 🍊🍊🍊🍊🍊🍊🍊,1520875739360473088,IntenseStoner
Rugrats is the animated equivalent of The Fresh Prince of Bel-Air.,1520874531069431808,great_animation
"@theweeknd 32 year old young singer by the name of Abel Tesfaye
lift Bel-Air Los Angeles yesterday afternoon about 24 house ago now,
Has not yet returned.
If you see him please contact the authorities in Los Angeles. https://t.co/7J4YZGUDis",1520870809123893249,claulob
The Fresh Prince of Bel-Air will forever be my favourite series man 🥺🤌🏽,1520870733546762248,_awuvuyxna
I see exactly why they sent Will to Bel-Air https://t.co/4fRS6h73yQ,1520870143227830273,AntycingGent
Finally watching Bel-Air.,1520869223785975808,Missfino9
"Forbes Real Estate News Feed:  In Bel-Air, the unfinished mega-mansion of luxury real estate developer Mohamed Hadid is hitting the market as a development opportunity for $8.5 million.  https://t.co/muJJDqKMMc",1520868963227418624,crecollaborator
"I was feeling exhausted. drained. was obviously pushing myself until I got sad. Wouldn't you know all 3 out of 4 meetings/agreements got canceled today

i have hot chocolate i've been craving all week, my period comes in 2 days, i'm gonna give myself reiki, watch bel-air, &amp; sleep",1520867855931170822,waterprismpower
Finally watching Bel-Air. The Nigga who plays Will has a long ass head omg.,1520866450172428288,Da_mirror91
I'm tweaking this ep of Bel-air when they alphas 😭😭😍😍,1520860920255324160,_splashyZhe
Idgaf wat Will Smith got goin on bring Bel-Air back,1520859820974350336,__nolimitreek
"Isolate Bel-Air, San Lorenzo Village, Greenhills, Valle Verde, Wack Wack, Green New Manila, Susana Heights, Green Meadows and White Plains. You are not allowed to live there unless you are the major stockholder and the houses are for office purposes only.",1520859214985711616,ClariszaBata
Desmond Bane BEEN him… Y’all don’t remember when he was going at it against Will Smith in HS? That Bel-Air vs Malibu Prep game was crazy fr #MemphisGrizzlies @memgrizz,1520858645348732930,GraciousAsshole
#cw the fresh prince of bel-air,1520858567439384576,717online
The New Uncle Phil as Robert april. Looking forward to it as well Bel-Air is actually okay. https://t.co/MjYEOR0vYF,1520855116827484161,RobertEcafBaker
"Now this is the story all about how my life got flipped turned upside down
And I'd like to take a minute just sit right there
I'll tell you how I became the prince of a town called Bel-Air",1520850123953164289,QallmeUpNext
I've just watched episode S04 | E02 of The Fresh Prince of Bel-Air! https://t.co/9NKa4WRNfq #tvtime https://t.co/Q7bv0NfBC9,1520842717911302144,lucas_pasion
"3 episodes into Bel-Air, and I’m still debating if I like it it not",1520842573086175234,RPedro_IV
fresh prince of bel-air is the best sitcom ever.,1520842461261668354,ifeelLikeaSock
Hillary outfits be soooo cute in Bel-Air,1520841268099796998,maybebriab
"Trevor Noah sold his Bel-Air mansion in Los Angeles, USA for $26.4 million in  March 2022.
He bought it for $27.5 million in January 2021. Noah went on to be the first African to host The White House Correspondents Dinner. https://t.co/2ee8A0QhLa",1520841008891809792,Thedailytalksa
Season 5 of The Fresh Prince of Bel-Air was way too self-indulgent and self-referential. It was probably the real reason why it was almost the last season.,1520839808440061961,recognoscente
i really been binging bel-air,1520838415968882688,tatyanaaav
I ain’t been watching snowfall bel-air or euphoria im behind like a mf.,1520832662801367040,prettynay___
they made jeffery a lil too fine in bel-air….mmmm,1520827338493251584,FATIMASHARDAE
As I go to the strore I put on the tv &amp; tell my dog..you’re Watching the Fresh Prince of Bel-Air. It’s a great show. Dog mom life.,1520826253019783169,tiffaney_
Bel-air is a top notch series 👌.,1520824034883256320,arnails_1
Fresh Prince of Bel-Air - NBC Promo https://t.co/QaMJJ2ET1P via @YouTube,1520823783191420928,jeffreypolynic3
The first episode of Bel-Air i kept thinking of this video https://t.co/XwtRzd878T,1520817741854294016,therealmeche_
carlton in the new bel-air makes me violent. the anger i feel whenever he speaks is not normal 💀,1520817576716247041,tbhkya
Finally getting around to watching Bel-Air and the music choices are 🤌🏽,1520812733003927554,DavieTzars
"Just watching Bel-Air, I love the first 5 min!!!!",1520810311753809920,_splashyZhe
"Nothing to take home after selling a home at a loss.
The Bel-Air house https://t.co/x53o2zL9f9",1520806110084620288,JaGangre
At what episode does Bel-Air start being good? 🧍🏿‍♀️,1520805818517630981,bilijeanknowles
"This man is my favourite character in The Fresh Prince of Bel-Air 😂😂😂
Always cracks me up 😂😂 https://t.co/oRqfmeShnK",1520804138761826304,_Jeddd_
"#NowPlaying Jay Worthy, Larry June &amp; LNDN DRGS - Hotel Bel-Air 

DOWNLOAD THE FREE MUSIC APP IN THE APP STORE FOR APPLE AND GOOGLE PLAY FOR ANDRIOD FOR 24 HOURS OF NONSTOP COMMERCIAL FREE HIP HOP https://t.co/sN8qKnMYG4",1520802254168670209,808_raw
"The Bel-Air Country Club golf course offers peace in a jam-packed city, replacing busy streets and loud cars with pristine stretches of grass. https://t.co/YwFcZou90g https://t.co/488xY7DDeK",1520799995934486529,RealtorBill3
"They have a ""Barangay"" Bel-Air? What am I supposed to know now, their Tanod is the Chief Butler? https://t.co/wqnccUKFlc",1520796832456007680,g1_d4rk
Larry June &amp; Jay Worthy 'Hotel Bel-Air' https://t.co/rN1m8v6cHl via @YouTube,1520785290129936384,tshields44
"Simone Pleasure Jones (Lisa On The Contemporary Prince Of Bel-Air Reboot): Age, Top, Wikipedia, Moms and dads, Instagram &amp; Extra
https://t.co/skff4ZDKbW",1520783017769414659,pressinformant
Already learning a lot of family drama from dynasty and now Bel-Air?? 🤣🤣,1520777890505363456,_Tim__lee_
"I think I’ve just seen @JimmyAkingbola out and about but am not sure. If it is you, hiiii, love your performance in Bel-air. 😊",1520765554491117569,lotus_elder
If I had a dollar for how many times they mention anything Philly related in Bel-Air …,1520763974324736000,_niaiman
Larry June &amp; Jay Worthy 'Hotel Bel-Air' https://t.co/13NbaQtL04,1520758797379190784,DatzHott
"The Bel-Air Country Club golf course offers peace in a jam-packed city, replacing busy streets and loud cars with pristine stretches of grass. https://t.co/2GDm0cmNNh https://t.co/fVhKwJV9Dq",1520754835582242817,kimmykeysnaples
"Paula Patton is fine, fine but she can’t act and I ain’t watching Bel-Air if she the new aunt Viv",1520752916621111296,NSJPT_Podcast
This BEL-AIR remake ain’t half bad,1520746828458872836,ivor_s_mubiru
"The Bel-Air Country Club golf course offers peace in a jam-packed city, replacing busy streets and loud cars with pristine stretches of grass. https://t.co/OteeAzInsh https://t.co/nOn2op3X1W",1520729549478285313,ShaniDixon
"""In Bel-Air, only the nights get cold""",1520714597275250688,JAY_Z_Daily
