full_text,tweet_id,screen_name
"CalebTennis 

WTA
Belinda Bencic -125 15U
Marie Bouzkova +160 2U

ATP
Borna Coric +120 5U
David Goffin -125 4U
ADM -160 3U
Dominic Thiem -160 3U

*Don't tail Caleb but so many requests asking for him, I guess he's pretty good

#GamblingTwitter #FreePicks #FreePlays",1520913543306096641,FreeVIPLAYS
"Monday tennis 7.30 am

  I bet Bencic  real big in Tennis  
She has won 9 matches in a row

13-1 last 14  only loss to Osaka in a 3 sets
Jabur has  been shaky the last few matches
and  Bencic  beat her h2h  3 weeks ago

 Bencic, Belinda -141 (Bencic, Belinda vrs Jabeur, Ons)",1520912157201866755,THEFACTSMAN1
"1u &gt; 10u

Bet 3:
• Belinda Bencic -130 2u

(leaving 1.46u in pot) https://t.co/1Ia6ra1WoU",1520904960510242817,BettingBuff
"CalebTennis: 

@calebpicks_ 

Monday Tennis
#WTA:
Belinda Bencic -125 15U💣💣

Marie Bouzkova +160 2U

ATP:
Borna Coric +120 5U💥
David Goffin -125 4U
ADM -160 3U
Dominic Thiem -160 3U

21-6 on 15U plays. 

#ATP #GamblingTwitter",1520903437499596802,cappers_leaked
"o21.5 Jabeur v Bencic
#GamblingTwitter 
Wanna read something: https://t.co/4RAFu2Gl7I https://t.co/MbeaKkSAh2",1520872635969662977,betsonthewinner
"Ons Jabeur VS Belinda Bencic , tomorrow. 

Grab your Popcorn for some WTA Tennis https://t.co/0aEQ2QEL2f",1520822430209613824,X_Bets_Invests
"Belinda Bencic opens on her confidence level, how she feels about Ons Jabeur game https://t.co/opPrXKUL1z https://t.co/vQtqULnr2u",1520664874363281408,TennisworldUSA
"Belinda Bencic opens on her confidence level, how she feels about Ons Jabeur game https://t.co/UJnVrjLrCX",1520655930454540288,Sportscri_tweet
"https://t.co/LnzKGO7KJL Belinda Bencic opens on her confidence level, how she feels about Ons Jabeur game: Bencic defeated Karolina Muchova to set up a Madrid meeting versus Jabeur. https://t.co/6CYAi9m7WK https://t.co/5jwNSk9abf",1520655397102575617,_TennisCoaching
"Belinda Bencic opens on her confidence level, how she feels about Ons Jabeur game https://t.co/adpkEhUGVS https://t.co/18iZvNq6eB",1520654512821719041,TennisWorlden
coming out as a belinda bencic stan,1520646668995411969,yourtennisgirl
"https://t.co/LnzKGO7KJL Mutua Madrid Open: Simona Halep bests Paula Badosa to enter pre-quarters: Ons Jabeur, Belinda Bencic, Coco Gauff and Victoria Azarenka also came through to the R16 https://t.co/jfi6ZfZ2Wr https://t.co/hTi5I9iqTk",1520644449688166401,_TennisCoaching
"#MMOPEN R3: 🇪🇸💃

🇹🇳 (8) Ons Jabeur vs.
🇨🇭 (11) Belinda Bencic 

Who will win? 🤔🫣🧐🫡",1520538974284316672,wtaaddict
.@karomuchova7 on her way to the court to play Belinda Bencic in Madrid https://t.co/zdnVIgV11k,1520531993771089920,JJlovesTennis
"@EmmaRaducanu So Emma hasn't beaten a top 50 player? But she has beaten the current World Number 3 Paula Badosa, No. 4 Maria Sakkari, No. 13 Belinda Bencic and No. 18 Leylah Fernandez and that's just for starters!
https://t.co/d8XpjEQLzx
https://t.co/2DZtshIxNO https://t.co/id7NpcQN4e",1520482174457241608,AngusGBruce1
"Belinda Bencic defeats Karolina Muchova 6-3, 4-6, 7-5, booking her #MMOPEN round of 16 spot.

Amanda Anisimova backs up her win over Aryna Sabalenka, beats Petra Martic 3-6, 6-3, 6-2 to make the round of 16.",1520447462271553536,Beeorlicious
🇨🇭Belinda Bencic enters the round of 16 of the WTA 1000 tournament in Madrid by beating Karolina Muchova 6-3 4-6 7-5 #mmopen #mutuamadrid #madridopen https://t.co/kWWEUwQOiV,1520445658636951552,thenet_m
