full_text,tweet_id,screen_name
"in 2017 our rotation consisted of:
jhoulys chacin
clayton richard
trevor cahill
jared weaver
luis perdomo

5 years later we’re about to have:
yu darvish
sean manaea
joe musgrove
mike clevinger
mackenzie gore
blake snell

we deserve this",1520559715998068738,j_murray19
"For all the hate Kevin Cash got for pulling Blake Snell in that World Series game…this is why he did it. It’s always risky to push your luck a third trip through the order. Except for the Dodgers, it was Mookie Betts…not Kyle Garlick.

#MNTwins",1520522235697582080,TruthAboutTwins
EXTEND. BLAKE. SNELL. https://t.co/2fYM1xtgJf,1520501209194393601,Commiepadresfan
Not sure how long to expect Ober to be out but Blake Snell strained his groin before his first start of the year and just made a rehab start in the minors Thursday. https://t.co/yYn5ACM7Mv,1520467357465989120,TFTwins
"According to @sdutKevinAcee, Blake Snell BROKE Padres Bullpen Catcher Peter Summerville’s left hand during a bullpen session this week https://t.co/tDuIgBnIhk",1520394704495550468,talkingfriars
last two weeks leaving close to the park … Sean Manea walking around the outside of the park in A’s tee… Blake Snell drives an AMG and has a license plate cover celebrating TB rays    so weird,1520382081775202305,RAGONK__FORCE
"6+ IP, 1 hit, 0 walks, 6+ strikeouts, and a win, Rays history:
Corey Kluber, Fri vs MIN (W 7-1)
Blake Snell, May 6 2019 vs ARI (W 12-1)
Nate Eovaldi, Jul 8 2018 vs NYM (W 9-0)
James Shields, May 9 2008 vs LAA (W 2-0)",1520232979360100353,dakern74
The fact that Mike Clevinger and Blake Snell have both been hurt all year and we're still good is underrated.,1520212636809408512,PadresWes
Remember Blake Snell’s awful start in Pittsburgh last year? Similar vibes here,1520175684273856512,PadresEthan2
"Blake Snell Dominant in four-inning rehab start

https://t.co/iqPlLHY98S",1520164915855732739,LineStarMLB
Blake Snell: Dominant in four-inning rehab start https://t.co/xwQk9oLnNu,1520163401552568325,RotoWireMLB
Blake Snell: Dominant in four-inning rehab start https://t.co/7W31U6nYRv,1520163400625451009,RotoWire
Blake Snell was nice enough to stop by during batting practice and take a selfie with me! 😎 #BlakeSnell #Padres @Padres #FriarFaithful https://t.co/G7QH5kXKn2,1520157187011657729,tigerfankevin
Morning repost of yesterday's outing for Blake Snell rehabbing in Fort Wayne: https://t.co/HOrroKCc8w,1520040859139547137,Matth3wKennell
"#TinCaps win 4-0 over Dayton

Blake Snell- 4 IP , 2 hits, 0 runs, 4 K's

Jackson Wolf- 5 IP, 2 hits, 2 BB, 7K's",1519964651181719552,tincaps_wizards
"Check out the story from Blake Snell's rehab assignment tonight in Fort Wayne!!! Big thanks to the @TinCaps for hosting me

https://t.co/zqJTNQm82t",1519884418164396032,Matth3wKennell
"Highlights from Blake Snell’s rehab outing tonight 

(Via @MiLB) https://t.co/rriYdsXJiG https://t.co/3Z9actu4cK",1519874579463913473,talkingfriars
