full_text,tweet_id,screen_name
"No one is upset that Bo Horvat was asked about his newborn? 🤔

Want to keep it to hockey only when you don't like the subject? That's not real life ladies and gentlemen",1520886425876516864,JoshuaGriffith0
Bo Horvat can qualify for an extension July 13th which is weird but understandable #Canucks,1520818296936828929,NoNucksGiven
"#Canucks' Bo Horvat and wife Holly welcome second child to the world

https://t.co/YEZo2YK6DR",1520790447509188608,OffsideDH
Talked #Gretzky #Concerts #Potential #Hockey &amp; more in the full interview w/ #Canucks captain Bo Horvat! https://t.co/VJGaqaPIav https://t.co/HsV2Ew5PHf,1520768253093715971,TODDCastPodcast
"@RyanHanaWWP Hey Ryan, I've heard that Vancouver intends to re-sign Brock Boeser and Bo Horvat and not do a rebuild. They will need to shed salary. I can see Yzerman taking on Tyler Myers contract for the 15th overall draft pick. What do you think?",1520715617728352258,AdrenRush39
bo horvat is in his girl dad era,1520565548441952256,peteyenthusiast
"I've watched Bo Horvat get drafted, make the #Canucks as a rookie, get married, wear an A, wear the C, and have two kids. Literally like watching my own son grow up.

I'm almost 32, but feel more like 62 🤣.",1520564024445784064,i_love_canucks
bo horvat is better then wayne gretzky,1520562698739662850,dadeshow
Bo Horvat girl dad slay,1520555975626919936,eklundisles
"Horvat has a baby girl now 🥺 Congrats to Bo, Holly, Gunnar and Gus!! ❤️",1520547341693898752,haylovesboes
"Bo Horvat has entered his girl dad era, ready for him to go sicko mode next season. https://t.co/3OmMCeRjXf",1520545828833701889,dumb_chaos
bo horvat dilf once again!!!,1520518866647928832,6B0ESER
"Congratulations @BoHorvat, Holly, Gunnar and Gus!  What a cutie! 💕 

( 📸: Bo Horvat/Instagram) 

#Canucks | #NHL https://t.co/5I5jAN8Zd4",1520518633335664642,IanSeggie
"Bo Horvat’s career high in points: 61

JT Miller’s assists this season: 67 

Perspective… #Canucks",1520463672220418048,nucks_talk
I miss Bo Horvat https://t.co/Pm5ORqMWQf,1520199197303083008,simpforquinn
"So off season plans so far. Boudreau is getting a 3 year extension, sign Bo Horvat to an extension and sign a Brock Boeser to an extension sounds good to me. #Canucks",1520097140961251328,NoNucksGiven
Bo Horvat: Finishes season with 52 points https://t.co/PEvsolSDgO,1520087065534382086,RotoWireNHL
HD picture of Bo Horvat &lt;333 https://t.co/SgNTJpFkBr,1520082113671827457,samsHOEnov
"IMac just slipped up and called Bo Horvat BORAT.

Guess I know what I'm photoshopping for the next 15 minutes!

#Canucks",1519886545842450438,CodySevertson
the bo horvat soundbite on sn650 🥀🥀🥀 I miss that man,1519866730272935936,brockbowser
how is bo horvat doing,1519857270720372736,6B0ESER
"Injury updates- Sonny Milano, Tyler Seguin will both miss 2 weeks. Sonny with rib injury and Tyler with pending evaluation (head injury)
Bo Horvat will miss 4 weeks with concussion protocol. Mika has a broken hand.",1519769284498624520,CLERaidersHky
"Injury Report
Mika Zibanejad will miss 2 weeks with a wrist injury
Bo Horvat is currently pending evaluation.",1519755674326114309,CLERaidersHky
"""He hasn’t been discussed as much as Brock Boeser or J.T. Miller in the public sphere, but I do think extending Bo Horvat is as big a priority for Vancouver as anything."" https://t.co/o2SLLNT0as",1519531663046287365,taj1944
Sat: I wouldn't be surprised if the org tackles the Horvat negotiations 1st. You're more likely to get a favourable # with Bo than JT. If u are able to get the # u want (with Bo) before you start negotiations with JT maybe u have more confidence about the # u want to hold firm to,1519502168260108288,taj1944
"For sale $100 each plus tracked shipping. 

Bo Horvat(indo Reebok edge)-size52
Jason Spezza(edge1.0)-size52
Jeremy Roenick-sizeL
Doug Gilmour-sizeXL

Dm me for more details. https://t.co/Hb55E1Wo4c",1519501739468152834,thepenaltybox7
"Tell me I'm wrong @sekeresandprice @rinkwidepodcast 

IF (massive if) Bruce Boudreau chooses to stay at #Canucks, he will deliver Vancouver &amp; Bo Horvat their first #StanleyCup 

I will put money on this. @Canucks https://t.co/vGbSf4FU8d",1519205392697671682,five15design
"#Canucks OffseasonTo Do List:
-Trade Dickinson &amp; Poolman (saves $5.15M)
-Use that cap space to sign a defenseman, preferably Josh Manson
-Sign Brock Boeser before he needs a QO
-Extend Bo Horvat (8x6M) &amp; JT Miller (8x8)
-Sign a Bottom 6 Forward to a cheap deal (sub-$1.5M)",1519164814248923136,JuliusFreezer
"#Canucks they’re actually missing their whole second line, from the previous season, with injuries. That would be Bo Horvat, Tanner Pearson, Nils Hoglander. Missing your second line on any team, would be a lot to overcome. Now throw in your starting goaltender who won 33 games.",1519103422158487554,nucksiceman
"that is NOT bo horvat, why does he have so much hair https://t.co/3xbxhH4apJ",1519088848256438274,nuckflops
"In the entire NHL since March 1st (entering Mon night), only Bo Horvat &amp; Ryan O'Reilly have a better faceoff pct than Jonathan Toews (min 150 fo)

1. Horvat - 61.9%
2. ROR - 61.2%
3. Toews - 59.7%

#Blackhawks",1518751496321617926,The1Tab
"We  can talk about the start. we can talk about the games that knocked them out that they should have won.

But the loss of Bo Horvat was significant. #Canucks https://t.co/e2SOuAnuXf",1518264920977993728,kevole
"@CswcAndy joined us on Monday to chat #Canucks 
Specifically, we talked about the loss of Bo Horvat.

Audio-https://t.co/8LTdSANpnx
YT-https://t.co/1V9uhVZRcA",1518263618302734336,ShiftsandPucks
