full_text,tweet_id,screen_name
Now playing Out Of Time by Bradley Cooper!,1520905716424491008,RadioTiktok
Do we know how blessed we were by Lady Gaga and Bradley Cooper in 2018??? Do we???!,1520902578975948803,laurennleee
"SHALLOW by Lady Gaga &amp; Bradley cooper 
Movie: A star is born https://t.co/5dr7t2kYiG",1520901704765648896,OAri3s
"We're far from the shallow now
 
Lady Gaga, Bradley Cooper - Shallow (From A Star Is Born/Live From The O... https://t.co/XQ2tefEVJe via @YouTube",1520901445427544065,Humanity_Lane
“Shallow” - Lady Gaga ft Bradley Cooper ❤️‍🩹 https://t.co/ECwryJeTf3,1520901307544272896,nataliartort
'Maestro': Maya Hawke Joins Bradley Cooper's Next Directorial Effort https://t.co/Ee6hX6YsIq,1520900420750741505,FdavisFrank
"ACTORS / ACTRESSES: Let's get some movies made.
Dial in for a COOL script. You dig? Thank you.

JOHN PROVO

# COMEDY? # ACTION? # DRAMA?

# JEREMY PIVEN? # KEVIN CONNOLLY? 
# BRADLEY COOPER? 

# LADY GAGA? # EMILY RATAJKOWSKI?
# ARIEL WINTER? https://t.co/0hvkSON5pn",1520896504986312705,Johnprovo5
Lady Gaga and Bradley Cooper - Shallow,1520894397117870082,ManilaBayBeach
All these Tactical88 guys look like Bradley Cooper in American Sniper https://t.co/HQF6NbJ1pX,1520893948822278147,Kietryn
I am atraccted to Bradley Cooper in the hangover movies.,1520888893213655040,wigglyislord
to assistindo esse filme aqui e ta metade dos atores de hollywood nele mano jennifer aniston scarlett johansson bradley cooper ben afleck drew barrymore https://t.co/lxRoJXqxjf,1520884893672255489,clubedocorvo
Maya Hawke Joins the Cast of Bradley Cooper's Upcoming Movie 'Maestro' https://t.co/G4hQ1HPF9R via @JustJared,1520882231224553472,SweetAnette96
"I'll never love again - lady Gaga, Bradley Cooper https://t.co/qXe47X7taU",1520876509417721856,Bukanyangitu1
"Flow is an optimal state of consciousness where we feel our best and perform our best. It’s often described as being “in the zone.” It’s kind of like being Bradley Cooper in the movie LIMITLESS (but, you know, without the terrible side effects). https://t.co/UhsKr6O8FZ",1520870749204008961,thefrc_official
Bradley Cooper - Maybe It's Time,1520859318467416067,KosiSunyata
"Shallow
Lady Gaga &amp; Bradley Cooper 

https://t.co/OrpmLS7YeE",1520856169975369728,shaami90
Lady Gaga &amp; Bradley Cooper - Shallow,1520854204612501505,DavidLHenning
yeah i'm going to need video proof of Bradley Cooper voicing rocket raccoon or else i'll never believe that's actually him,1520846863720669189,0Ehrgottt
Bradley Cooper Steps Through Smoke While Filming A Commercial For Louis Vuitton https://t.co/uI27ecoaIc via @JustJared,1520845681719709698,SweetAnette96
"Lady Gaga, Bradley Cooper - Shallow (From A Star Is Born/Live From The O... https://t.co/ZX3BIMCUmx via @YouTube",1520842049314041856,ChrisCoutrix
Bradley Cooper &amp; Lady Gaga—Diggin' My Grave,1520838123382624256,kumm_playlist
"6th set:

* ""Machi Bhasad"" – Bloodywood https://t.co/xJ58kCOngz
* ""Diggin' my grave"" – Bradley Cooper &amp; Lady Gaga
* ""Humming bird"" – Ryoko2000 https://t.co/A0mEZavH1t
* ""Shadows in the rain"" – The Police

#UnhinderedByTalent @weathergrrrl @kummradio https://t.co/hbAoNo7FKs",1520838113098190848,NicMcPhee
Fuck off. Who cares? https://t.co/5f97F56OPH,1520837456836374533,bloatedlesbian
"Massive crush on the charming @hayeslady since the cancelled way too soon Kitchen Confidential with Bradley Cooper. So great in Bill &amp; Ted Face The Music. Hope the action spoof Medical Police gets a 2nd season. My goodness, Jane Bales is annoying.... #TheGoldbergs",1520834809538527234,AnthonyShannon2
Es Bradley Cooper en A star is born! https://t.co/F6CbGWqDV1,1520830883065962498,SoniaSemenovna
Bradley Cooper cuts a dashing figure in navy suit in New York https://t.co/Jpx2ZhbwFr via @DailyMailCeleb,1520827765985103873,GinaLawriw
It's like Bradley Cooper had a baby with Andrea Pirlo. https://t.co/6J2BqKtxXp,1520827364808310784,iainhay82
"( #OnAir ) "" Lady Gaga, Bradley Cooper - Shallow "" #LoMejor esta en https://t.co/MADDVlkbcR",1520826729195085825,RADIOHORUSmx
Both of my favs were in MYC yesterday 😍😩 Bradley Cooper @LeoDiCaprio 💕 https://t.co/GrBRbaTr5r,1520824527147700225,Lori1080
Saw Bradley Cooper filming a Louis Vuitton commercial outside of Clarke’s yesterday. Crazy regular next to me at the bar’s take: “We’re both from BUCKS COUNTY but I’m not a FLAMING LIBERAL like he is!!”,1520821006524456963,SummeroMegadeth
"@SAFFAOnAirRadio is now playing, Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video). Streaming live via the @TheSaffaApp #LekkerMusiek #SaffasMusic #SAFFASokkie",1520819300839432192,SAFFAOnAirRadio
#Burnt A talented chef returns back to the game to earn his 3rd Michelin star and complete his masterpiece but will his demons destroy his dream.  This is a mild stream but I do like the story and Bradley Cooper is easy on the eyes. 7.5/10 https://t.co/C8A7QB0pOU,1520811250854219776,tumi7505
You My Lady Gaga And Me You Bradley Cooper👸🏽😻📌,1520810345144762371,Iam_Emanuel10
Bradley Cooper cuts a dashing figure in navy suit in New York https://t.co/VyPawTN7SP via @DailyMailCeleb,1520798848607653888,sweaverphoto
