full_text,tweet_id,screen_name
"MOGCAST #37: Josh Briant Talks Bradley Martyn Crypto Scam, Beefing With iDubbbz With Logan Paul https://t.co/ygCYZBQZ3X",1520482910415073281,bitcoin216
Bradley Martyn rugpulled Jacked Apes.,1520447919769341952,l_mokka
@BradleyMartyn Stole apparel designs from Disciples of God and swindled people out of 1.4M dollars on fake NFT's. Yeah Bradley Martyn is a stand up guy and the epitome of integrity. Anything for clicks and cash right Greg?,1520080054444826626,jayhoff2000
these images of bradley martyn on film have seized and rattled me https://t.co/xYNl7gl9JN,1519985587595677700,asukahomo
This man @BradleyMartyn is a scammer and good on @cousincrypt0 for calling him out. ALL MY HOMIES HATE BRADLEY MARTYN,1519913293678186496,TizzleRizzle11
Calum von Moger is on meth and Bradley Martyn is running NFT scams. Proof being jacked and handsome is only for the strong willed.,1519765532622401536,IndevStudios
What is your name bradley martyn 😏 @BradleyMartyn ⚾️🏋️‍♀️⚾️,1519727591955046401,livepublicly
tf did bradley martyn do to youngla,1519452333322682369,joshnulty
not the Bradley Martyn and Soosh drama-,1519451433036308482,jjxxsm
Fuck Bradley Martyn,1519421286405050370,Noah_Banx
"He tenido replies de Bradley Martyn, Layne Norton ahora Phil Heath. Elon Musk you are next!",1519330811438317569,vincetowers1
Soosh (Brandon) welcomes Bradley Martyn to alphaland with open arms,1519126232608251905,Moregiooo
"Goated pod MOGCAST #37: Josh Briant Talks Bradley Martyn Crypto Scam, Beefing With ... https://t.co/JjX1Ym8CIM via @YouTube",1519056931217764353,JNGT2007
"His advice is solid. If you want to pack on mass whilst keeping lean, follow a Bradley Martyn workout.
https://t.co/QTglII3nPW",1518909000422592514,LannaEve2
"Damn if your girl followed by Bradley Martyn, its gg my boy",1518682705852088323,sandxan13
