full_text,tweet_id,screen_name
"Phillies  1  (Pitching: #56 Zach Eflin)
Mets  2  (Batting: #9 Brandon Nimmo)
Bottom of 3rd, 0 Out, No one on",1520915089116827648,OllieNYankees
"Unsurprised to hear Mets fans singing ""Let's Go Brandon (Nimmo's Version)""",1520905963343077376,chrisoIIey
Brandon Nimmo is 1-for-12 against Eflin.,1520905166198906881,FouhyStan
"Phillies  0  (Pitching: #56 Zach Eflin)
Mets  0  (Batting: #9 Brandon Nimmo)
Bottom of 1st, 0 Out, No one on",1520904146261618688,OllieNYankees
"U know what would help this team? 

#1 - A leadoff hitter that gets on base (think Connor Joe, or Brandon Nimmo). 

#2 - Forget good, just an average right fielder. 

#3 - Triston Casas. https://t.co/SIbytK13uB",1520904064938164224,RuFiOooooh
woww brandon nimmo is a dre https://t.co/gSCMy3u7dq,1520855392808435713,MACKENZlEG0RE
"5/1 New York Mets Lineup:

1 CF Brandon Nimmo
2 SS Francisco Lindor
3 LF Jeff McNeil
4 DH Pete Alonso
5 3B Eduardo Escobar
6 1B Dominic Smith
7 RF Starling Marte
8 2B Luis Guillorme
9 C Tomas Nido

 SP:Max Scherzer #LGM  #MLB",1520847257125507075,GSMLBPicks
"#Mets Lineup 05/01/22

1. Brandon Nimmo CF
2. Francisco Lindor SS
3. Jeff McNeil LF
4. Pete Alonso DH
5. Eduardo Escobar 3B
6. Dominic Smith 1B
7. Starling Marte RF
8. Luis Guillorme 2B
9. Tomas Nido C

Starting Pitcher : Max Scherzer",1520846759253004288,DailyMLBLineup
"⚾️ 5/1’s starting lineup against the #Phillies, final game: 

CF Brandon Nimmo
SS Fransisco Lindor
LF Jeff McNeil
DH Pete Alonso
3B Eduardo Escobar
1B Dominic Smith
RF Starling Marte
2B Luis Guillorme
C Tomas Nido

Starting Pitcher: Max Scherzer, (3-0) targeting for 85 pitches.",1520846498073874433,thisisntnayr
"New York Mets lineup:
1. Brandon Nimmo (L) CF
2. Francisco Lindor (S) SS
3. Jeff McNeil (L) LF
4. Pete Alonso (R) DH
5. Eduardo Escobar (S) 3B
6. Dominic Smith (L) 1B
7. Starling Marte (R) RF
8. Luis Guillorme (L) 2B
9. Tomas Nido (R) C
https://t.co/Y3W1k9vpkY",1520846344205881346,AwesemoMLB
