full_text,tweet_id,screen_name
One key TB note Brayden Point is far from 100% Currently skated on 3rd line as a winger. Aka has to have  a hand or wrist injury (not taking faceoffs) I hope #leafs explote this make is life a living hell,1520904802687135745,corbyhkycentral
"Brayden Point says the challenge against the Matthews-Marner line will be their “world-class skill.”

“They know where each other are on the ice. They can make plays when it seems like there are no plays to be made and can put the puck into the net.”",1520855096640352257,nickbarden
"Brayden Point might be the most interesting person in this series. He’s been killer two straight playoffs but a less than normal regular season. If he’s not great offensively, does Tampa get consistent scoring from the second or third lines? https://t.co/kNeFHBsFXO",1520844224505290753,AlexDrain_NHL
brayden point looks better with or without a beard,1520835260052873217,k1lleen
"if you are in a store and you see some girl twirling in circles and skipping around, it is indeed me. i just found out brayden point is practicing. forgive me.",1520831932648599552,chloepoint21
"Brayden Point 2016-17 UD Exquisite #79  1/21 rookie patch auto BGS 9.5 Tampa Bay Lighting Hockey Card. 

🔗https://t.co/llD4vl3Hif

#rookiecard #thehobby #sportscards #whodoyoucollect https://t.co/SbWXwtSwy3",1520831669061791745,CardsStew
"Brayden Point is on the ice at #GoBolts practice.

Had been dealing with an LBI late in the season.

@NHLdotcom #LeafsForever",1520824728059092992,DaveAMcCarthy
2016 17 FLEER SHOWCASE BRAYDEN  #hockeycards https://t.co/4eQFOq7y39,1520771721913159680,gems_card
2016 17 SP Authentic BRAYDEN PO #hockeycards https://t.co/xdqhRgCQxH,1520599732258758658,gems_card
"what the fuck happened to brayden point this year?

he did miss 16 games and just like the rest of tampa's roster, the regular season just doesn't matter, but if *this* point shows up that could be a game-changer for the leafs. https://t.co/lw0ZFSBxBJ",1520552831681449986,nylanderthews
Don’t sleep on Brayden Taylor. That guy is gonna be reeeal good at some point,1520544802324070401,yellmk
"Ding, ding. We have a winner!
Ondrej Palat ranks second on the #Bolts in career playoff game-winning goals with NINE game winners in the postseason.
Next is Nikita Kucherov with seven, followed by Brayden Point with six. Victor Hedman, Alex Killorn, and Pat Maroon all have five. https://t.co/3iFdXa2XbG",1520491661918408704,Chris_Krenn
2016 17 SP Authentic BRAYDEN PO #hockeycards https://t.co/YG9dImi1Nx,1520471494522019841,gems_card
a book is offering brayden point conn smythe +8000 😭😭😭😭😭😭,1520432019683127296,TrashInvestment
2016 17 FLEER SHOWCASE BRAYDEN  #hockeycards https://t.co/ugRvovj41J,1520356960742391809,gems_card
Why is Brayden Point in the garbage?,1520259363687993344,nhlshitpost
"So Brayden Point's cap hit goes from 6.75 to 9.5 next season. Perfect timing with Palat's deal expiring. Tampa will still be over the cap even if it goes up to 82.5 next season....

So who can the Canucks 🍒 pick for cheap?

I like RHD Cernak 👀",1520251129656868865,HockeyHugs10
the cathedral of point snap gc spamming the brayden filter so TRUE,1520239719308615680,chloepoint21
BRAYDEN POINT &lt;333 MY BELOVED &lt;333,1520222463585619968,EYEOFNIGHTVALE
"Flyers resigns UFA Brayden Point $8,99M x 5 NMC",1520220552920764416,PMSLHockey
"""where brayden point would normally be"" dont DO THAT TO ME",1520213405549973505,chloepoint21
Brayden Point is not playing for #Bolts. They are running seven defensemen vs. #Isles.,1520182542661476354,stefen_rosner
Brayden Point will not play tonight #GoBolts https://t.co/WVUPtBFHZM,1520179929127788544,DFOFantasy
NHL Tampa Bay C Brayden Point (rest) is out Friday,1520179927634563073,freeplays
Brayden Point: Out Friday https://t.co/c5f0netfnV,1520179740996423681,RotoWireNHL
Brayden Point (TBL - C): Is not expected to be in the lineup for today's game. https://t.co/HCHVZY3vig  #nhl #GoBolts,1520178039669338112,Left_Wing_Lock
Lightning lineup update: Brayden Point OUT https://t.co/Ri0XLSOUKA,1520177909071114241,CcCMiddleton
"#Bolts will be without Brayden Point tonight. Looks like Jan Rutta is on the ice for warm-ups and ready to make his return to the lineup.
#TBLvsNYI",1520177838351130624,Chris_Krenn
I hate Brayden Point.,1520146122865487872,nhlshitpost
2016 17 SP Authentic BRAYDEN PO #hockeycards https://t.co/9YmfJhABQy,1520058728736821248,gems_card
i agree. brayden point. https://t.co/QK7GdahD0l,1520051197415198720,madadadaddie
"Brayden wakes me up almost every night to “sleep with me.” Or, “he had a bad dream.” Lol. At this point he’s waking me up 2-3 times a night. This can’t be normal.",1519956714006663168,Robreshaa
The announcer for Tampa sounds like Perd Hapley from Parks and Rec “what had happened on that play was Brayden Point went down” #GoBolts,1519838403906310146,BrandonsBagel
"Ryan Hartman has 34! goals this year. That’s currently more than:

Kevin Fiala 33
Brad Marchand 32
Nathan MacKinnon 32
Sidney Crosby 31
Tomas Hertl 30
Andrei Svechnikov 30
Mika Zibanejad 29
Mark Scheifele 29
Brayden Point 28
John Tavares 27
Anders Lee 27
Patrick Kane 26

#mnwild",1519817971677474822,B_Marsh92
Brayden Point vibe checked you. You failed.,1519763604605571072,nhlshitpost
