full_text,tweet_id,screen_name
#NowPlaying Love Can Change Your Mind by Brent Burns on #shoreliferadio. Request your favorite trokkin' tunes at https://t.co/E2AdoQcHzL 24/7 https://t.co/9sDH7qYKJl,1520858514696118280,ShoreRadio
Brent Burns is a treasure https://t.co/tZ0Qi5ZvvP,1520821289090490370,Shadow_Voltrune
Anders Lee just proposed to Brent Burns's sister...,1520795403943223297,nhlshitpost
The world is a better place with Brent Burns in it. Love this guy. https://t.co/bWCYwi6qKv,1520788292291031040,PeteIncaviglia
God takes human-form in Brent Burns.,1520782809962475521,nhlshitpost
If It's Snowbird Season Why Can't We Shoot 'Em by Brent Burns https://t.co/vfPXyWQbst,1520766549421957121,WTSQ881Playlist
"Burns on What Boughner Did Right, If He Wants to Chase Cup Elsewhere https://t.co/T1vywySGXD",1520765257337262080,sjhockeynow
Brent Burns in goal. Absolute beauty! https://t.co/O1aV18pFJm,1520754914036695043,EHClothing
It turns out to be Brent Burns in Goal https://t.co/vJqUxTexZw,1520614317938208768,radiojoee
Brent Burns - Life in the Slow Lane https://t.co/kyPmLbzWek,1520613312731439104,TikiManRadio
"@irockgnomes Brent Burns put on Kaapo Kahkonen's gear and played goalie against some 10 and 11 year olds at the Sharks' practice facility today.
https://t.co/pQVXz2mjxF",1520583825998319616,fermunation
"Is Brent Burns trying to be the first to play forward, defense, and goalie?!? https://t.co/LZQoME5fn0",1520572101291352064,OrionCopernicus
"Brent Burns is officially my new favorite hockey player!! 😂 what a badass 💪🏻
@SanJoseSharks https://t.co/oBECliODNA",1520559218633416705,shanecollins31
"Former Wild favorite Brent Burns suits up in goalie gear and skates with local kids in San Jose, even fooling the media for a bit. https://t.co/EYD3fMRBXO",1520549616432865281,YouthHockeyHub
the funniest part about this is the fact that this is actually brent burns https://t.co/hPClV4XlJO,1520533366113775616,EverybodyIsA10
Brent Burns your starting goalie for 22-23 season #confirmed https://t.co/0ykwPWVAjM,1520530535746990080,sharkstina
"San Jose Sharks’ Brent Burns, James Reimer expect changes https://t.co/lOxSzJXEX1",1520526158126895109,achibaat007
"brent burns is so 🥰🥰 but not in a ""i want him"" way hes just such a good guy",1520519383608709120,bluenotenick
That’s Brent Burns in net?? He doesn’t look half bad! Those kids had to have had a blast. https://t.co/qJPJs550B2,1520519221318496258,vincemags
LMAO THATS BRENT BURNS 😂 https://t.co/2G9Nae9xIw,1520509624989847552,justcause86
Locker Clean Out: Brent Burns #SanJose #Sharks #NHL Video: https://t.co/LC2wZYyPBv,1520505779274407936,SF_Sports_Fans
"It's Brent Burns...playing goalie? In a reveal worthy of any ""Scooby-Doo"" episode, @Burnzie88 is the goalie behind @KaapoKahkonen's gear in a youth game this afternoon: https://t.co/RpR9rpXwkZ",1520504905873641477,sjhockeynow
This is actually Brent Burns in net but @billyzegras did it better https://t.co/iW3RCjdleB,1520503232266575879,KlimBrendan
"@MikeMcKenna56 actually Brent Burns in net 😂 

What critiques you got for him 🤣 https://t.co/QyeCzfTIUq",1520502316192833536,cl0xwork
"@margie24966 Brent Burns in net, Priceless!! ❤️💪🏽🤣😂 https://t.co/u611NNkKt8",1520501269844172800,651Retired
"MY APOLOGIES THIS WAS BRENT BURNS IN NET

HE HAD US FOOLED https://t.co/gDvIzUKFiM",1520496681359314945,LizzChild
"https://t.co/3EyirB8jvI

Defenseman Brent Burns speaks to the media during locker clean out day.

https://t.co/3EyirB8jvI",1520489568927166467,ShopSJSHockey
Brent Burns cannot go more than like. 2 mintues without mentioning a squat rack.,1520478200949731328,mxgirl00
Rumor has it: The Montreal Canadiens are shopping for Brent Burns...,1520304662666117120,nhlshitpost
"Brent Burns: God, is that you?Tyler Seguin: No, dumbass.",1520299625470578688,nhlshitpost
Nothing more predictable in life than Brent burns taking an off balanced low percentage bad shot 👍🏻,1520241768733704193,LockedOnSharks
Brent Burns is wondering if you took your meds today. Did you eat something?,1520236717025890304,nhlshitpost
"My fantasy hockey championship is coming down to the wire. Please please please Matty Beniers, Brock Boeser, Timo Meier, and Brent Burns…… get points. Preferably a gwg too. Oh but don’t let couture get points. Come on @Canucks @SanJoseSharks @SeattleKraken don’t let me down",1520233074876899329,JustinMac26
St Paul bound!! Rocking the signed Brent Burns jersey for the final game of the regular season for the Minnesota Wild. After that it's playoffs time!!! 😃😃💪💪Let's go @mnwild https://t.co/0XmVMeBCNF,1520157438934237184,WiStrmChaser
"6⃣7⃣9⃣ - Tonight Brent #Burns will play his 679th consecutive game, tying Henrik Sedin at 10th place for most-consecutive-games-played.

Yandle  989
Kessel  981
Jarvis  964
......
Sedin  679
&gt;BURNS 678

#NHLStats #SJSharks @sharkvoice @BretHedican @SanJoseSharksPR @SanJoseSharks",1520154458201772038,SjSharksFACTS
Brent Burns - Stuff Like That https://t.co/kyPmLbzWek,1520152422190141440,TikiManRadio
Brent Burns - Down In Paradise https://t.co/kyPmLbzWek,1520149853401137153,TikiManRadio
guys i'm coming out as a brent burns truther we had a connection,1520142221529419777,rhapscdcs
"NHL Parlay

@ZeroInDenver last parlay of 2021/2022 NHL Season is a 4 leg +591 parlay.

- Alex Debrincat OVER .5 Pts
- Troy Terry OVER .5 Pts
- Evander Kane OVER .5 Pts
- Brent Burns OVER .5 Pts

#GamblingTwitter #Bets #Picks https://t.co/WYK2LuQDh6",1520112235590258688,LineStarApp
"Longest consecutive games streaks with one team
NHL history
  Steve Larmer      CHI     884
  Craig Ramsay     BUF     776
  Henrik Sedin      VAN     679
&gt;Brent Burns          SJ      678

#NHLStats #HockeyTwitter #SJSharks",1520079440918634496,SharksStats
"#SJSharks Brent Burns leads NHL skaters this season with 2120:20 total time on ice. He will become only the 2nd player age 37+ since ice time first tracked in 1997-98 to lead the league (other: Ray Bourque, 2180:45 at age 37 in 1997-98). #NHLStats #HockeyTwitter",1520073182996172800,SharksStats
Brent Burns - Life in the Slow Lane https://t.co/kyPmLbzWek,1520040473313923072,TikiManRadio
Brent Burns: Records power-play helper https://t.co/EROFAcgXrL,1519906455859646464,RotoWireNHL
Brent Burns - Parrothead Rendezvous https://t.co/kyPmLbzWek,1519900227980910594,TikiManRadio
"Brent Burns: God, is that you?TJ Oshie: No, dumbass.",1519896973859381249,nhlshitpost
"I love how when Brent Burns makes a huge defensive error that decides a game, the Sharks as a team are the ones to be blamed.

But this fanbase and media would be fucking rioting and seething for days if that was Erik Karlsson.",1519885914704515072,2424Tyguy
