full_text,tweet_id,screen_name
remember when people said captain marvel needed to smile more so brie larson did this 💀 https://t.co/5al4MnKYHc https://t.co/rESXpQxaxa,1520912510777315328,waystarrs
"remember when people said Captain
Marvel needed to smile more so brie
larson did this 💀 https://t.co/CU7vbtOaxM https://t.co/x4aPexq14k",1520905297220493312,imalvarado323
I luh u Brie Larson https://t.co/Sc1Otp0EcP,1520902264340111361,JGabSab1
"#Autograph Of The Day

11x17 Captain Marvel Mini Poster | Signed by Brie Larson

#Marvel #CaptainMarvel https://t.co/QBxlPwezUi",1520901261268246530,MrTonyTargaryen
remember when people said brie larson should smile so she....... https://t.co/kKZ3oaRWh4,1520899532913094656,bill64burner
???? why do you talk as if brie larson was not in the ucm https://t.co/rErH74IvPs,1520888645024051201,darianaanam
"Protogenesi della mia #NintendoSwitch (I ain't no youtuber rather a big sl*t.): é molto costoso e anche eshop é un business, declaration of conformity,rights e P.I.,it's a COLORFUL steel design,Brie Larson tho handles it as I do handle it,I understand now MOST of rich people puns",1520885583563964419,gianlucaVmuffin
i thought that was emo brie larson https://t.co/X6U3kHZMEi,1520884993060446209,ridleygaga
Jesus! She's flatter than Brie Larson. https://t.co/XSwo6gL0Hj,1520880336401485827,momiji_doa
remember when people said captain marvel needed to smile more so brie larson did this 💀 https://t.co/LmbM4NlM7S https://t.co/QbfbXTt0rJ,1520879539781398528,districtholland
she really does look like goth brie larson https://t.co/Wlzro5aayA,1520874808715751424,616MJ
remember when people said captain marvel needed to smile more so brie larson did this 💀 https://t.co/WUU2Fuunb1 https://t.co/y7WBmq7zYn,1520872976291405831,pokemonderba
"""Remember when people said captain marvel needed to smile more so brie larson did this "" https://t.co/T3Otp0J9Oq https://t.co/1tFlcl3p1h",1520872808036843520,KookieAwkward
remember when people said brie larson should smile more and did this * insert overused screenshots* https://t.co/06tgXjadLm,1520872772599230464,dekeshawsbff
YALL REMEMBER WHEN BRIE LARSON DID THIS???? THEY REALLY KILLED THE ONLY XMEN THAT CANT DIE ZACK SNYDER IS THE BLUEPRINT ZACK SNYDER’S ______ THEY HOSPITALIZED ME FOR MY SPONGEBOB ADDICTION ASTROLOGY IS REAL WHY DONT TWINS ACT THE SAME ME AND WHO THE BATMAN https://t.co/d5tfa9eb4t https://t.co/Em9KcXdCfq,1520872401390686211,TurgInTheWind18
Sometimes I forget I'm attracted to women until I see Taylor Swift or Brie Larson from Scott Pilgrim.,1520872219311808518,jakehousse
remember when people said captain marvel needed to smile more so brie larson did this 💀 https://t.co/idZozmWtJS https://t.co/PXjYoWf49I,1520871083506810882,amerikqtes
why are people so horrible to brie larson. i love her. also Captain Marvel supremacy. one of the most powerful avengers,1520870455225298944,prfctcrisis
Brie Larson absolutely ATE with this song. https://t.co/cs1x7pvXlt,1520867631200411648,HailEternal
remember when people said captain marvel needed to smile more so brie larson did this 💀 https://t.co/Vq3A34cRMR,1520864702066270210,Stevey_cfc
REPLACE BRIE LARSON PETITION GAINS STEAM https://t.co/SiCoU05Nkj #MCU #Marvel #BrieLarson #PopCulture #Movies #Comics #MarvelComics #SpikeValentine,1520863150677106688,DadWcbs
remember when x-men first class killed off henry cavill eating cookies so brie larson did this 😂 https://t.co/O6I3yHp7vW https://t.co/vw5wj0IAYJ,1520862171680411649,dantestelle
remember when everyone said brie larson should kill off the x-men character who can’t catch henry cavil eating a cookie at the oscars? https://t.co/0KXkxFiRjP https://t.co/Zjmwn2ALAP,1520858032959369221,BATSPID3Y
"Sometimes she invits friends over , this brie  larson person was nice to me (well she did not go hard on me) https://t.co/TGe8uQWFSE",1520849517142282242,StonesSlave
remember when people said captain marvel needed to smile more so brie larson did this 😭 https://t.co/e8zGhrbnep https://t.co/aPEZwqxWVC,1520848822854901761,XionGema
"You know, I was hoping that no one would try to use the fact Maria Rambeau is a variant of Captain Marvel in Multiverse of Madness to shit on Carol Danvers/Brie Larson. But I was wrong and the world remains disappointingly predictable.",1520846176899248130,rjm_fnglhr
"How to say that you are sexist and racist...
https://t.co/KuRuJrPuXE",1520843734165954562,wsgerrard
remember when people said captain marvel needed to smile more so brie larson did this 💀 https://t.co/E89zgCeGGU https://t.co/DtEtcmWMRO,1520839193429225472,starksspider
THATS BRIE LARSON ?!;¥:;&amp; https://t.co/o6DU7lMgta,1520836671037534208,clusterclump
remember when people said captain marvel needed to smile more so brie larson did this 💀 https://t.co/SLgbSFBS9L https://t.co/BVZiiltNUw,1520829877343109122,folkbandito
brie larson plays fortnite. i'm jealous. that's the tweet.,1520828734856744962,aimeeb
Brie Larson Plays Brian O’Connor’s Sister https://t.co/adhAkqWpU9,1520823029810405376,petgroomerNG
So is Captain Marvel trending because Brie Larson and her ukulele panicked the easily panicked bros again or is it something else this time? https://t.co/Fo7WbhzshJ,1520821336813281280,Dirk2112
remember when people said captain marvel needed to smile more so brie larson did this 💀 https://t.co/lz3I1YEboW https://t.co/bxXSFhqUPi,1520821256857296898,Steve03686723
I have a feeling that people are gonna like her better than Carol Danvers and demand they replace Brie Larson https://t.co/LQLgLf4uoS,1520821228671545345,sebbyskywalker
remember when people said captain marvel needs to smile more so brie larson did this 💀 https://t.co/0bKjt4ISn2,1520818523961970688,pradabIair
remember when people said captain marvel needed to smile more so brie larson did this 💀 https://t.co/dbQdDu6ihO https://t.co/LY7pXagcmr,1520814044415995905,flosncepugh
"brie larson all over again, she gave those “body language” experts a career https://t.co/97uQ9Iqqaz",1520812785529151488,thegrndbudapest
cried to Short Term 12 brie larson was very great woah https://t.co/CSUX8fwquU,1520808403182178304,UNGODLYCLOAK
"Why is it whenever any news on The Marvels drops it’s gets so much hate? Oh yeah, bc it’s a female led story directed by a talented female oh and all the boys in their parents basements hate Brie Larson with a passion for literally no reason. Grow up. https://t.co/wdgTsuUBNi",1520806884651020294,drag_zilla
"2 upcoming #MCU movies have swapped release dates:

- #CaptainMarvel2 will now release on July 28, 2023 (previously February 17, 2023)
- #AntMan3 will now release on February 17, 2023 (previously July 28, 2023)

More details: 
 https://t.co/Bmezmb9I6k @MCU_Direct",1520801910357471232,140filmpromo
"Pay attention, folks. This is how a borderline MRA muppet writes about female comic book characters. #assholery

@cosmicbooknews

https://t.co/d50jciHUQX",1520791923895812097,setaside2
if u ever feel dumb remember black widow tried to attack thanos with tasers when x-men killed the one character who can’t die when captain america tried to choke a robot so brie larson did this 💀 https://t.co/ciVvsw2d7c,1520789259489361922,buffyIives
remember when people said captain marvel needed to smile more so brie larson did this 💀 https://t.co/HLnnROqRuA https://t.co/fAhq8mDl81,1520784306175717377,thaicaraca
"Watching Captain Marvel, adding Nirvana with Brie Larson is!!😍",1520780186379177984,DiegoSaursRoars
remember when people said captain marvel needed to smile more so brie larson did this 💀 https://t.co/RzAO7qUbE5,1520778183834050560,folklcore
remember when people said captain marvel needed to smile more so brie larson did this 💀 https://t.co/3FsiDEG3BQ,1520772061530099712,chaoscorpss
i feel like no one else got punished by their fan base more for nfts than brie larson. just an observation.,1520771635090968576,wlwbrie
i can’t stop thinking about how the other day i got so zonked while watching scott pilgrim v the world that i cried when brie larson started playing black sheep,1520768850278584320,sage_rsr
"remember when men kept telling brie larson  to smile so she did this 

https://t.co/rgV2lQwymE https://t.co/24GOSm7eie",1520763707575443456,romqnovas
You must have really low standards if you think Brie Larson's hot.,1520762438635126784,ADecentArtist
"Fast &amp;amp; Furious 10 Theory: Brie Larson Plays
Brian O’Connor’s Sister
👉Promote With Us👉https://t.co/I8ApDihRcs https://t.co/cEsBqZxZMg",1520751889008283649,SoulwellPublish
remember when dudebros told captain marvel to smile more so brie larson did this https://t.co/8iO0HXU0RL https://t.co/F7k554JWL9,1520744943345709057,korrasragnarok
