full_text,tweet_id,screen_name
"I’m sorry, but what the hell is the media thinking with that question to Brock Boeser!? Jesus… BE BETTER!!",1520914516996984842,JeffHoak1
"Players are real people , just like everyone .. my heart to you Brock Boeser .. I know what this is like .. xo https://t.co/OxBApr4Rht",1520914339548450816,pocogal
Praying for Brock Boeser and his family. https://t.co/ouzSE8hReL,1520912191611977728,TheGingerYinzer
"No matter how famous you are, no matter much money money you make, no matter the dream life you live, nothing matters more than family and health.

Prayers and blessings to Brock Boeser, his dad, and his whole family.

#Canucks https://t.co/xkjdbE8s5l",1520911785183916035,EvKazoo
NHL: Canucks' Boeser gets emotional discussing father's health https://t.co/05ZeqLb58n via @YahooCASports,1520909828104892418,XWoman54
Canucks: ‘Really hard’ season took an emotional toll on Brock Boeser https://t.co/iaRs4DkYpW #NHLRSS #NHL #theprovincecom,1520908939486896129,trans_rumor
Canucks: ‘Really hard’ season took an emotional toll on Brock Boeser https://t.co/HwYzs0MBOX,1520908724889608192,usasharenews
"Reinforces why I think trading Brock after this season would be a bad move. Injuries, family issues, the rotten team start, so many things holding Boeser back, and he was still pretty good.

And $8M per sounds more like the bare minimum, not the max, for JT Miller

#Canucks https://t.co/GY637Nxnxh",1520908696741687308,RodneyGibson604
"Just got the tea on what happened with Brock Boeser and I am absolutely going to unalive the journo who had the audacity to ask that question. It's skate blades out, lads.",1520907253053804544,Courfeyrikki
Canucks: 'Really hard' season took an emotional toll on Brock Boeser https://t.co/CyrYgbnn5x https://t.co/R0rPlIIKol,1520906806503092224,provincesports
Canucks: 'Really hard' season took an emotional toll on Brock Boeser https://t.co/KTpacw6mNO,1520906584221659137,SteveEwen
So true NHL players are human beings like the rest of us. Heart breaks for Brock Boeser and certainly hope for the best for his father during this time. https://t.co/KeQmKBuzpZ,1520904255707787268,bobano
Man this is tough to watch &amp; not choke up.. Thoughts &amp; prayers with Brock Boeser &amp; his father.. https://t.co/Hdw7RtsnPp,1520902655966875649,aharty0916
brock boeser deserves everything &lt;3,1520901962887483392,peteyenthusiast
The Brock Boeser end of season presser is the new Will Smith slap topic on here.,1520900439704629250,ellav96
My thoughts and prayers are with Brock Boeser and his family. Not easy to go through what he is and think about anything else. https://t.co/8hqPL1yT9c,1520898754018263040,StevenPsihogios
"Prayers to Brock Boeser and his family

 https://t.co/rx7v5usYNZ",1520898646656491522,NastyKnuckles
My heart goes out to Brock Boeser. Such a strong player and wish him all the best !!! ❤️❤️❤️❤️❤️,1520898347690770433,RobbieGamers
"Brock Boeser to sit up there and answer that question about his father when didn’t have to, just shows the kinda character he has. Feel so sorry for him and his family! Wishing them nothing but the best!! We’re All Canucks",1520898069344051200,Rodneydidit
"Seeing clips of a Brock Boeser answering questions about his fathers dementia…it hit home. Having gone through my dads 3 yr battle I understand the memory loss, the hallucinations, the without warning anger flare ups…and everything else that horrible disease entails.",1520897839760556034,ShaneWilk41
2017 18 Premier Brock Boeser Ma #hockeycards https://t.co/1yKxirEKLd,1520895619094691844,gems_card
Give my heart and everything else to Brock Boeser. Criminal for him to be put in such a vulnerable position.,1520894632216993794,LilSoftJock
"Brock brought up off-ice difficulties unprompted in his first answer, &amp; even had a teammate step in to say “next question” but stopped it and said he would answer. The outcome has been an outpouring of love &amp; support for the entire Boeser family. This doesn’t need to be negative. https://t.co/NDWYXkme0g",1520894590617751552,JustinMoris
"Learning about Elvis Merzlikins' trauma yesterday, Brock Boeser breaking down today, who will I have to murder tomorrow for hurting my boys",1520894457729536000,GreyMichaela
"It’s truly heartbreaking to watch this video of Brock Boeser. Praying his entire family, especially his father. Dementia is such a tough thing for families to watch their loved ones go through and Boeser still showed up every night and gave Vancouver what the best he could. https://t.co/Hp7qX94k7r",1520893684694269956,gapples96
"Brock Boeser is a classy guy!!
@Canucks 
@BBoeser16",1520892775859822593,DutchHockeyMom
"Brock Boeser, I'm sending you courage, tenacity and support. My family is  going through a similar situation with my dad.  But his is pallative  because he has congestive heart failure as well as complete kidney failure. He has dealt with  vascular  dementia  for years",1520891946398588934,CindersBuddy
"Man this hits hard, I saw my dad in a state that was very concerning, so I can imagine what Brock Boeser is going through. https://t.co/5ipVnNIXkp",1520889417778429952,colinbennett28
