full_text,tweet_id,screen_name
"I am down 5 points in my Fantasy Baseball money league and my last player is Bryce Harper, PLEASE Bryce!!",1520912755686928385,ChrisGeryak
Extra special when Scherzer strikes out Bryce Harper Phillies at Mets,1520910314497183744,virgoinservice
Bryce Harper long over due for a Homer,1520910111484653569,JesseRaxon
max scherzer striking out bryce harper to retire the side 😮‍💨😮‍💨 https://t.co/tRCcGAwPEK,1520907061701316619,23_abby_93
Reds are a lost cause so I’m putting them on the back burner the rest of the season and turning my attention to Bryce Harper and the Phillies,1520905262219120641,Z_Hag
"Sunday Night Baseball - Max Scherzer K’s Bryce Harper to strike out the side in front of an electric NYC crowd. 

How could anyone not love baseball?",1520904728573579269,ViewsOnThe6
Mad Max just blew that FB by Bryce Harper to strike out the side .. wow,1520904555302694913,MattBergquist13
Nothing will ever match the energy of Citi Field when Bryce Harper strikes out.,1520904364570861575,Liamrosa_
how is Bryce Harper swinging through 94 mph meatballs from Scherzer man,1520904315539439616,HoodieMaybin
Mets and Max Scherzer take on NL East foe Bryce Harper and the Phillies; first pitch now on ESPN/ESPN App ➡ https://t.co/jrEgkBVQqz https://t.co/Goquar11vx,1520904274816815104,KingFitch_H19
bryce harper is a strikeout machine,1520904251177947136,Embiid4MVP
sherz throwing these nasty pitches at bryce harper 🤌🤌🤌,1520904169451888640,krissyy_elyse
I’m Bryce Harper. My elbow hurts wahhhh. #lgm #mets,1520904098069028864,NYMetsChief
"#Phillies 0 @ #Mets 0 [T1-3o]:

Bryce Harper (swinging; 1)

RHP Max Scherzer (3)
Seq (3): CU FF× FF×
s3: 95.9mph Four-seam Fastball",1520904073297510401,whifftracker
"Every time I see Bryce Harper, I want to laugh at him

#LGM",1520904030855258113,MatPDouglas
"Hey @christineee4646 could you yell at Bryce Harper tonight and ask him to follow @Post224Baseball ? They've only been trying to get him to follow them for 1,293 days 🤣",1520903521759080448,Matt_g83
Bryce Harper time,1520901849133588480,DTodd315
Does Bryce Harper get a hit?,1520899834496045056,Notoriouslkd
"#MLB ⚾️ SUNDAY NIGHT BASEBALL

BRYCE HARPER AT LEAST 3 H+R+RBI
BRYCE HARPER AT LEAST 1 HIT

🤝 https://t.co/VJ5gtq6R8S",1520896249007853568,CashKansas
"Hope you enjoyed the basketball

My lovely editor @cowhitchurch got me on the Sunday Night Baseball beat for the next little while @ActionNetworkHQ 

So dive in for some well written and witty insights on Bryce Harper, Max Scherzer, and more!

https://t.co/6SUDUqUheX",1520895425837862912,tannerstruth
I knew the DH was gonna fuck the national league bc the Phillies are gonna waste a great defender like Bryce Harper as a DH,1520892336380821506,JackedChristian
Bryce Harper or Kyle Schwarber is hitting a HR tonight. Official plays to come.,1520891142086217730,TickPailor
"Rhys Hoskins cannot be pleased to see Max Scherzer pitching tonight, meanwhile Bryce Harper should feel ok when he isn't striking out https://t.co/AIJibRFBaO",1520888012233658370,FEFelsonSports
2011 Bowman Sterling MLB Future #baseballcards https://t.co/85eFyrljN4,1520887839235448837,FinderCard
"Max Scherzer vs #Phillies
F matchup

5.84 Innings, 1.93 Runs
4.42 Hits, 6.96 Ks, 1.51 BBs

Best Matchup: Alec Bohm (C+)
Worst Matchup: Bryce Harper (F)

Win: 39%, Loss: 24%, No Dec: 37% https://t.co/5IHnBaIVBN",1520887731106328577,BallparkPal_NYM
"I say Bryce Harper still, but Trout and Akers have still amazing. https://t.co/IbIwxp4OH9",1520873128968171521,TempoJaxon7
"Episode 179 of Above Replacement Radio is now live!

@daniel_curren &amp; I talked about the Mets being hit a lot, the success of the Marlins, Twins, and Angels, Bryce Harper's legacy after the 10th anniversary of his debut, &amp; more.

https://t.co/QO3jUPoJAQ

https://t.co/OCXIQeLUXa",1520873113034100737,Chris_Gionta
"#MLB play:

Bryce Harper hits a HR (+370)🔥

#GamblingTwitter #FreePlays #FreeBets",1520869785126547456,therealbod_
@Phillies Expecting a W tn on national TV w/ Bryce Harper homering (testing something),1520864872988168193,colebclark
"#Phillies Lineup 05/01/22

1. Jean Segura 2B
2. Rhys Hoskins 1B
3. Bryce Harper DH
4. Nick Castellanos RF
5. J.T. Realmuto C
6. Kyle Schwarber LF
7. Alec Bohm 3B
8. Johan Camargo SS
9. Odubel Herrera CF

Starting Pitcher : Zach Eflin",1520855094157139968,DailyMLBLineup
"Here it is! 2022 Topps Series 1 Vidal Brujan Independence Day parallel (#/76). Asking $130 shipped BMWT. Would do a partial trade for anything Bryce Harper, Alec Bohm, or Nick Castellanos https://t.co/AqVu0mqYSQ https://t.co/rJAmuf5MsQ",1520852315015729152,PhilliesJaySC
"Philadelphia Phillies lineup:
1. Jean Segura (R) 2B
2. Rhys Hoskins (R) 1B
3. Bryce Harper (L) DH
4. Nick Castellanos (R) RF
5. J.T. Realmuto (R) C
6. Kyle Schwarber (L) LF
7. Alec Bohm (R) 3B
8. Johan Camargo (S) SS
9. Odubel Herrera (L) CF
https://t.co/Y3W1k9vpkY",1520848798439907329,AwesemoMLB
"Not many places in the United States more talent rich than north Arlington: 

Shane Buechele @Chiefs 
Bobby Brown @RamsNFL 
Madre Harper @Panthers 
Kyron Johnson @Eagles 
Chris Owens @steelers 
Bryce Notree @Saints 

Stay Tuned, more added to the list in the coming years #VFND",1520841251314143234,BryantGrice
“Bryce Harper winning MVP again this year.” 👀,1520840858970460160,justin__018
"2018 Topps Allen &amp; Ginter's - World Talent #WT-47 - Bryce Harper https://t.co/nPEBcHGoSE #eBay via @eBay 
#sportscardsforsale #thehobby #tradingcards 
@AllSportsCards1 #MLB
 #baseballcards 
@ILOVECOLLECTIN1",1520832849716428807,John96215470
"Check out 2022 TOPPS HERITAGE BRYCE HARPER VARIATION NICKNAME ""BAM BAM"" #254 SSP PHILLIES https://t.co/3Y78AMUiqU #eBay via @eBay",1520825063746023424,UF7Gator
Capra looks like the poor man’s Bryce Harper.,1520822587302957056,GregoryFriesen1
"Bryce Harper 2018 Topps 35th Insert Black /299

$7 pwe

@Hobby_Connect @HobbyConnector @sports_sell @24_7SportsCards @DailySportcards @linkmycard 
#HiveBST #TheHobby #KaynSale https://t.co/RiibnMQK5m",1520816082625441793,KaynCards
"Phillies lot $13
Ryan Howard lot 
Jimmy Rollins lot 
Bryce Harper lot @sports_sell @MDRANSOM1 https://t.co/eJ7PYkPBuB",1520801206502936576,TonysCards
2020 Topps Chrome Bryce Harper  #whodoyoucollect https://t.co/GMuExF6jU7,1520800971156344832,sportscardcoder
"Most whiffs in April - can anyone guess who is number 1? Hint: it's not that hard
1) BLANK, 67
2) Bryce Harper, 66
3) Nick Castellanos, 65
4) Franmil Reyes, 62
5) Giancarlo Stanton, 62",1520799141735112705,xwoba_woba
"📈 Bryce Harper (PHI) has exceeded 0.5 hits in 11 of his last 14 games (1.2 hits/game average).

PHI @ NYM: o/u 0.5 available at #DraftKings (-165/+125).

#GamblingTwitter #PlayerProps #MLB #MLBTwitter https://t.co/U4uEcdywUk",1520785138740649985,Fansure_MLB
"Starting today with this 🔥 🔥🔥

Bryce Harper lot 👀💪👀🔥👀

$5 👀
Add it to your stack 📦 

#StacksWithRyan 
@FatherBreaks 
@sports_sell 
@HiveRetweets 
@84baseballcards 
@MDRANSOM1 https://t.co/vAf9LX74ba",1520780262346534917,StackswithRyan
2021 Mosaic Baseball MLB NEBULA 1 1 #thehobby https://t.co/Z70UGXUj5Z,1520767424257220608,HR_cards
Bryce Harper 2021 Topps Gold Label  #thehobby https://t.co/2XoLh9xJXo,1520743680210055168,HR_cards
"#NowPlaying   What glove does Bryce Harper use by   Sideline Swap 
    US Sports Radio  https://t.co/kwgJFYvLHZ  https://t.co/oTZrHSVAzi  https://t.co/8XpAELaFP0  02:18 https://t.co/zlmtUQaPcp",1520734255009124353,ussportsradio
"Bryce Harper praises Mets’ Tylor Megill after combined no-hitter
#43022 #bryceharper #newyorkmets #philadelphiaphillies #tylormegill
https://t.co/ftxgNSYrCP",1520710716319281153,BoelkeBrooke
Bryce Harper praises Mets’ Tylor Megill after combined no-hitter https://t.co/VhnbgCAScL,1520691112092090371,petgroomerNG
2011 Bowman Sterling MLB Future Sta #thehobby https://t.co/eu5nr8Enx6,1520671027239559169,HR_cards
2021 Bowman Sterling Bryce Harper R #thehobby https://t.co/rvh5hUmhjC,1520669391909801984,CardboardFeed
PSA 9 MINT 9 - Bryce Harper 2021 Topps Chrome Ben Baller Gold Refractor /50 #thehobby #sportscards https://t.co/fb3HR3Hv97,1520668107634876416,thehobbydeals
2011 Bowman Purple Bryce Harper #baseballcards https://t.co/h4Axj8cYRe,1520667456557260800,FinderCard
BRYCE HARPER 2011 BOWMAN CHROME #baseballcards https://t.co/PxwUX6MO6U,1520655104331943936,FinderCard
#Bryce Harper praises Mets’  #Tylor Megill after combined no-hitter https://t.co/85UHuX7rrg,1520653441449828352,PresshubU
bryce harper is like so weird and like so odd @Vallango_5 @jocstinkypoo,1520646405685231616,madalynnswift
Bryce Harper 2021 Topps Now Road Op #thehobby https://t.co/gL3tKLPEmV,1520633989249261568,HR_cards
Bryce Harper praises Mets’ Tylor Megill after combined no-hitter - https://t.co/PuiLvhqiV9,1520622203875774464,e_newsUS
