full_text,tweet_id,screen_name
Very much hope Byron Buxton stays healthy all year. His talent is through the roof. Could be at the top of the long list of insane young talent in the league if he stays on the field. @Twins @MLB,1520907874519568384,bchickman
2014 Leaf Metal Draft Byron Bux #sportscards https://t.co/09rUMtvXt4,1520907709792538625,nothingbutcard
Byron Buxton Auto 99 Longest Wa #baseballcards https://t.co/4qGgx7vlfZ,1520902568871968768,FinderCard
Byron Buxton going from pretty much a huge bust to Trout numbers makes zero sense,1520883913182392320,yeahthatsaneck
"Byron Buxton Launches homer No. 7

https://t.co/B2QyvWgFqC",1520878981234540544,LineStarMLB
"If Byron Buxton didn't have shohei, trout, and vladdy in his league, he would CLEAR for MVP.",1520878276599758866,Herbo4MVP
"MLB top 5 in deserved hard-hit rate (DHH%), minimum 10 BBEs

Mitch Haniger- 44.0%
Byron Buxton- 43.3% (Twins)
Joey Gallo- 40.0%
Kyle Garlick- 36.4% (Twins)
Miguel Sano- 35.3% (Twins)",1520877664726310914,NidoTroII
Byron Buxton: Launches homer No. 7 https://t.co/2bjjHkoIvk,1520876636173971456,RotoWireMLB
2013 Bowman Chrome Top Prospect #baseballcards https://t.co/yJEYsFBtKT,1520875960370880513,FinderCard
"List of players with two multi-HR games this season:

Aaron Judge
Salvador Perez
Byron Buxton",1520875745219952645,nyyankeesstats
BYRON BUXTON Signed Rawlings Ba #autographed https://t.co/2Vr5kahOp0,1520874349137440768,AutographDeals1
"At home, this series featured Byron Buxton, Carlos Correa and Kevin Kiermaier - all Platinum Glove winners, and all with alliterative names...",1520869816608993282,TwinsRadio
Byron buxton agenda is live and well https://t.co/G9lxO3pGBK,1520868995980828677,ProteinP_TM
Byron Buxton leads MLB in war/game since 2019. He’s the best baseball player on the planet. Argue with your mother.,1520860325930807297,SkrrrtReynolds
"Byron Buxton is moving up the #MNTwins all-time home runs list!

27. Cordova - 79
t28. Coomer - 77
t28. Laudner - 77
t28. Buxton - 77
t31. Battey - 76
t31. Cruz - 76
33. Carew - 74 https://t.co/jDaqGDabKQ",1520855734849843203,TwinsDingers
Byron Buxton 2+ Hits✅ +225,1520850506696036355,MLBHitAlgorithm
Apparently somewhere between Byron Buxton and Mike Trout is where the line is for intentionally walking decisions.,1520844525232656388,whitesox123455
#latestnews Byron Buxton hits HR number 7 for the year to put the Twins up 6 against the Rays - https://t.co/qDayzn9MNa (POST_EXCERPT},1520844427379499008,ClickySound
Byron Buxton is slugging .958 on fastballs this season. https://t.co/EOnPVqSQmd,1520844244134604802,MNTwinsZealot
"Fantasy baseball with Byron Buxton is just a cycle of:
""is listed day to day""
And
""Has homered!""",1520842070046515200,ScottCHensley
"#MNTwins 6 @ #Rays 0 [T4-2o]:

Byron Buxton homers (7): fly ball to LCF (solo)

Pitch: (LHP Josh Fleming, 2)",1520840961148002310,DingerTracker
"As fun as he is to watch, imagine Byron Buxton playing in an era where guys weren't okay with striking out all the time.",1520840854684016646,TownBallTuesday
Byron fucking buxton. Man is different.,1520840750208016384,LaceUpYaBeotchh
I'm kinda dign' that necklace MN Twins  Byron Buxton is sporting. #MNTwins,1520840540262215681,auctioneer723
"#MNTwins 6 @ #Rays 0 [T6-3o]:

Byron Buxton (swinging; 2)

RHP Robert Dugger (4)
Seq (5): SL ff sl FF FF×
s3: 90mph Four-seam Fastball",1520839377727160320,whifftracker
2015 Topps Chrome Byron Buxton  #baseballcards https://t.co/rIw85Pk62X,1520837578395721731,FinderCard
Byron Buxton 2022 AL MVP,1520836809617510400,HenryJohnston7
"Name a more exhausting player to have in fantasy than Byron Buxton…you can’t. Dude is hurt every week but when he plays, he mashes. Always DTD so you can’t stash him on IL. Always a guessing game as to whether he plays or not.",1520836530591485954,THE_REAL_DAN
Byron buxton would like a word https://t.co/Ify5KjDe5w,1520835915962224641,ItsDefNotKD
mlb Instagram adding JP Crawmid in their post with “MIKE TROUT” “BYRON BUXTON” and “AARON JUDGE” https://t.co/fiXCn3V0j7,1520835275483664386,DeathyDeatRBW
"Byron Buxton is going to have a monster year. 

#MNTwins | #MLB

 https://t.co/YmxJ4WQKem",1520834457674129410,JamieGatlin17
Byron Buxton Net Worth: How Much Money Does Bryon Has? - Trending News Buzz https://t.co/nKYSKFQm7Z,1520832938203508736,DrewBreesWatch
Byron Buxton will have something to say about that https://t.co/KLsZvwJIkX,1520832457536376836,MichaelToris00
byron buxton is the best player in baseball,1520832380512133123,surfinflea
@RequestABet Byron Buxton AL MVP 2022 - MLB baseball #RequestABet,1520831785525026816,SMSGolfer22
Byron Buxton is better than your favorite player,1520831632361635841,NoDakTwinsFan
"Byron Buxton is really him. 

Like it ain’t no discussion no more, he’s top 10 in the league. 

Get rid of big boy Sano tho @Twins",1520831529160691712,codenamekidnex6
José Abreu over Byron Buxton going to haunt me all year 😳,1520831439394254856,Aside12
"BYRON BUXTON HOME RUN!

Career HR #77 in Career Game #507
After 507 Career Games:

Barry Bonds - 79
Byron Buxton - 77

#MNTwins #Chasing763",1520831220430561283,Chasing763
