full_text,tweet_id,screen_name
"Cameron Norrie, Dan Evans and Andy Murray have direct entry into Roland-Garros.",1520811833074106370,tennisontelly
Cameron Norrie is the highest ranked player to enter ATP Lyon.,1520811403187302400,tennisontelly
"Rome ATP doubles:
Joe Salisbury and Rajeev Ram
Neal Skupski and Wesley Koolhof
Jamie Murray and Michael Venus
Cameron Norrie and Pedro Martinez",1520811035611254784,tennisontelly
"ATP 1000 Mutua Madrid Open 
 Stadium 3
 Alex de Minaur vs Pedro 
 Martinez 12:00pm M.S
 Nikoloz Basilashvili vs Fabio 
 Fognini 2:00pm M.S
 Cameron Norrie vs Soonwoo 
 Kwon 4:00pm M.S 
 Night Session 
 Lucas Pouille vs Karen 
 Khachanov 8:00pm M.S",1520809855388246016,Kenmckinnon9
"Madrid ATP Masters 1000: Qualifiers now placed - in R1, no. 9 seed @cam_norrie will play (Q) Kwon Soon-woo KOR WR 71 (CH 52 in Nov), whose last two R1 matches have been a pair of wins against Paire.
H2H 1-0 - Cameron won 3&amp;4 in R2 in Atlanta in 2019.",1520791968175042562,GBtennis
"Monday in Madrid

Cameron Norrie vs Kwon Soon-woo 3rd after 11:00
Andy Murray vs Dominic Thiem nb 19:00

Prime Video https://t.co/X4ZApIm8Fc",1520791253469835264,tennisontelly
"Qualifiers placed in Madrid, Cameron Norrie will play Kwon Soon-Woo in the first round.",1520790497148743682,tennisontelly
"Tennis  Tips this week!

  Madrid Masters Men
     Starts High Noon!
            64 players.

    Andy Murray.     150-1
    Cameron Norrie 125-1
    Dan Evans.          200-1
        Over and Out.",1520692680799387648,KermitKane11
"ATP Madrid doubles:
Joe Salisbury and Rajeev Ram have a bye
Neal Skupski and Wesley Koolhof play alternates after their original opponents withdrew
Jamie Murray and Michael Venus vs Petros and Stefanos Tsitsipas
Cameron Norrie and Tommy Paul vs Marcelo Melo and Alexander Zverev",1520524693849231368,tennisontelly
i love one handed backhands but i also think we should sacrifice 1hbh players to cameron norrie,1520394003597991938,rogerchokerer
"Tennis Update!

Mens Madrid Masters
    Starts Monday

     Andy Murray
     Cameron Norrie
     Dan Evans
         All in it
Prices out tomorrow!",1520116932770422791,KermitKane11
"ATP Madrid first rounds:
Cameron Norrie vs a qualifier
Dan Evans vs Federico Delbonis
Andy Murray vs Dominic Thiem
Jack Draper vs Lorenzo Sonego",1520091184051458048,tennisontelly
Breakfast briefing. Good piece on the making of Cameron Norrie https://t.co/6mm8VNfS9x https://t.co/yF8E9AiOZv,1519934513253519361,handwtennis
"Players who defeat Jack Draper in 2022 (24-4 W/L)

1. Borna Gojo @ Forli 3 CH R32
2. Benjamin Bonzi @ Cherbourgh CH QF
3. Cameron Norrie @ Miami Masters R64
4. 🆕 Giulio Zeppieri @ Rome Garden Open CH R16 https://t.co/xNHgFoV9CN",1519387959404945410,RelevantTennis
Nadal Beats Cameron Norrie To Win Mexican Open Title https://t.co/4wu5pyfTxk https://t.co/VJNxBxHOYN,1519129844990181377,AFRNewsFeed
"NEW: Cameron Norrie has spoken out about the recent legal action Norrienation is seeking against the Spanish Government, after the alleged use of rain machines in Barcelona last week: https://t.co/p0HpVMmOme",1518717404657897475,rogerchokerer
"Laughing at @atptour post of #ATPRankings of the week on Instagram &amp; how they mistake Felix Auger-Aliassime photo with Cameron Norrie

And how Cam reacts 🤣😂 https://t.co/SkYB62E9B3",1518643714952151040,zhandi_gustav
"ATP Rankings UPDATE: 
9⬆️ (+2) 🇪🇸Carlos Alcaraz - 3827

10⬇️ (-1)🇨🇦Felix Auger-Aliassime - 3625
11⬇️  (-1)🇬🇧Cameron Norrie - 3440 https://t.co/D3sXC0XzqD",1518543486311710720,thenet_m
"In the new ATP singles rankings, Cameron Norrie, down 1 at 11, falls out of the top 10 as Carlos Alcaraz surges into it, but Dan Evans, up 1 at 35, and Andy Murray, up 2 at 81 (correction!), both edge up a bit.",1518475121689825281,GBtennis
