full_text,tweet_id,screen_name
"Phallon Tullis - Joyce is the 13th goalkeeper in the #NWSL to make 10 saves or more.
- She ties with Lydia Williams in the second most saves for an OL Reign goalkeeper in a single match, with 10. Record is held by Williams too, with 11.
- NWSL record belongs to Casey Murphy (13) https://t.co/U22ywRvN7u",1520909440203079681,xGisfornerds
"In today's edition of Let's Get Fiscal with I 105 WIOV, Paul Murphy, SVP Wealth Management Officer, discusses his thoughts on if now is a good time to invest in the stock market with Rich and Casey. https://t.co/Rp6me2ojwx #ENBFeelTheDifference #LetsGetFiscal",1520094592477114375,EphrataNational
"#NWSL regular season opener tonight.  Simone Charley is questionable for Angel City. She was so good against Thorns last weekend.

For Courage, both Picketts are out as is Casey Murphy again

https://t.co/kPhWInrF90",1520081233241423874,TheDanLauletta
"Eu sou, na boa, top 10 melhor cake do mundo (Sexo Masculino only) 

Top 1 - Brad Pitt
Top 2 - Cris Hemsworth
Top 3 - Anthony Joshua
Top 4 - Casey Conway
Top 5 - Jason Mamoa
Top 6 - Tom Hardy
Top 7 - Ryan Reynolds
Top 8 - Eddie Murphy
Top 9 - Antoni Porowski
Top 10 - Me",1520055186416406528,wooloo_fanboy
"#DYK how #EnergyEfficientHomes differ from #EcoFriendlyHomes? And #HighPerformingHomes? Clear up the Green Confusion with a discussion of key consumer and industry terms from Casey Murphy, Pearl Senior Vice President of Business Incubation. https://t.co/rWpI6Gv7ki https://t.co/taGe5Bluu9",1520051548952399872,pearlcert
"โนแลนเกณฑ์นักแสดงครึ่งฮอลลีวู๊ดไปเล่น Oppenheimer อีกครึ่งไปเล่น Amsterdam

Oppenheimer - Cillian Murphy, Emily Blunt, Florence Pugh, Robert Downey Jr., Devon Bostick, Matt Damon, Rami Malek, Benny Safdie, Josh Peck, Jack Quaid, Alden Ehrenreich, Casey Affleck, Gary Oldman https://t.co/vPhC7g3RiY",1520024197560696832,Cornettogod
Big thank you to Dr. Casey Murphy and the LSU Pain Medicine Fellows for leading the injection clinic hosted by the PM&amp;R Interest Group! Knee joint aspirations are my new fave! @LSUHealthNO https://t.co/wF6j2eFsRy,1519868240868126721,JMSpangenberg1
Best Of Luck To These Guys Thread Comin Stay Tuned 🔥🔥@cade_mays @braxtonjones742 @BlaiseAndries @OctagonFootball @OctagonFootball @Jnewberry62 @Murphy_McGuire @Casey_Muir1 @AlyssaRomano #Draft2022 https://t.co/4Ze5SDetaX,1519813551585587200,cemiller214
I am contractually obligated to lobby for Casey Murphy as the NWSLs best keeper...but yeah Sheridan is model-breakingly good. https://t.co/7rnwcgzyUF,1519383067877597188,_JSC3_
"The 13u Nationals kicked off league play with a 10-5 win. Noah Curtis earned the win striking out 7, Casey Morris with the save. Sean Murphy was 2 for 3 with 2RBI, Casey Morris 2 for 3 with a double and 4 RBI. Chase Dodson with a double and RBI.",1519318526816702464,RONatsBaseball
"Grant's April NWSL Power Rankings

1. Washington (—)
Can’t drop if you never lose

2. North Carolina (—)
Paging Casey Murphy for knockout rounds

3. OL Reign (—)
Reigning West coast champs

4. KC Current (+1)
Hello Elyse Bennett! Central champs!

5. Portland (-1)
Blame Covid
..",1518685080566353923,SportParade
Congratulations Mrs.Casey!! Always helping @RockyElementary ravens soar high! https://t.co/r8ecZYn8QS,1518684269048213512,Ms_M_E_Murphy
"Happy Birthday Casey Murphy 🎂 🎁
#ReignBirthday
Details: https://t.co/r49K23Uy98 https://t.co/fZdOIqxwqQ",1518620880833703936,TheSounderFan
"A Complete Game from Casey Murphy in Game Two Gives Baseball Split with Washington College. 
https://t.co/sQbJ3XCD2m",1518379964684554241,ucathletics
"13u team picked up their first win of the 2022 season today. 5 pitchers combined for a no hit shutout and 10 Ks. Brooks Robinson 3 RBI, Casey Morris, Sean Murphy, Prasham Rathod and Cormic Whalen 2 RBI each. League opener on Tuesday.",1518357335391064066,RONatsBaseball
"#EsTendencia: Casey Affleck habría sido elegido junto a Cillian Murphy, Emily Blunt, Florence Pugh, Robert Downey Jr., Devon Bostick, Matt Damon, Rami Malek, Benny Safdie, Josh Peck, Jack Quaid y Alden Ehrenreich para protagonizar OPPENHEIMER' de Christopher Nolan 😱😱😱 https://t.co/z2U5M3fKSO",1518310083834396675,musictrendscol
"Aparentemente el actor Casey Affleck se ha unido al elenco conformado por Cillian Murphy, Emily Blunt, Florence Pugh, Robert Downey Jr., Devon Bostick, Matt Damon, Rami Malek, Benny Safdie, Josh Peck, Jack Quaid y Alden Ehrenreich en el film de Christopher Nolan #Oppenheimer https://t.co/fYfz4Oh2GH",1518286431730425860,QueHypeCR
"Aparentemente el actor Casey Affleck se ha unido al elenco conformado por Cillian Murphy, Emily Blunt, Florence Pugh, Robert Downey Jr., Devon Bostick, Matt Damon, Rami Malek, Benny Safdie, Josh Peck, Jack Quaid y Alden Ehrenreich en el film de Christopher Nolan #Oppenheimer https://t.co/tHwbwl7CNm",1518286278428667908,karitoph
"Cillian Murphy, Casey Affleck i Christopher Nolan na planie filmu #Oppenheimer https://t.co/9NqO35UiXJ",1518237238768947202,filmnewsPL
