full_text,tweet_id,screen_name
"Casper Ruud: ""I prefer Rafael Nadal's forehand to Roger Federer's volley"" - Tennis World USA https://t.co/agtlhQADOn",1520847408808480768,RogFederershow
"Casper Ruud: ""I prefer Rafael Nadal's forehand to Roger Federer's volley"" - Tennis World USA https://t.co/022UN4SHSB",1520839359510941697,RogerFederer365
"https://t.co/LnzKGO7KJL Casper Ruud: ""I prefer Rafael Nadal's forehand to Roger Federer's volley"": In an interview given during the BMW Open, Casper Ruud was asked to choose between Rafael Nadaland#039;s forehand and Roger Federerand#039;s volley https://t.co/cLuoY0YjkY https://t.co/0tCwiTf3VD",1520835966365102080,_TennisCoaching
Casper Ruud became the latest seed to crash out of Bavarian International Tennis Championships on Friday after he was beaten in straight sets by Botic van de Zandschulp of the Netherlands in the quarterfinals. https://t.co/DkDGcleljV,1520799875872571399,alkass_digital
New Match Chart: 2022 Munich QF: Casper Ruud vs Botic Van De Zandschulp https://t.co/GbOf0u4HYS,1520523430025568256,matchcharting
"The Dutch player, who also defeated Casper Ruud at the U.S. Open last year, saved the only break point he faced and won 50% of his first-serve return points.

https://t.co/XFPEwCoeSr",1520353309802250240,news9_sports
Casper Ruud picks between Rafael Nadal's forehand and Roger Federer's volley - Tennis World USA https://t.co/C7ugnrqTsR,1520202033596223490,RogerFederer365
"12:30
  Casper Ruud whatever you eat throughout tomorrow will wither inside you and cause you unrest.. oloshii, omo ale jati jati https://t.co/UVbxHVPHHY",1520184103722696712,kiipXiSS
"Seriously, is there currently a more overrated player that Casper Ruud? I just don’t see what so many on this hellsite rave about.",1520170729773608961,Think_Tennis
https://t.co/LnzKGO7KJL Botic van de Zandschulp reacts to dismantling Casper Ruud in Munich: Van de Zandschulp defeated Ruud to progress into the Munich semifinal. https://t.co/tVMWmZkEYT https://t.co/mS0U2g2E8e,1520156107196436480,_TennisCoaching
ever since someone mentioned that casper ruud and paul mescal looked alike i have known no peace,1520145518743240709,frenchopen2004
"Streak ended today: Casper Ruud had won the last five clay 250s he entered: Geneva, Bastad, Gstaad, Kitzbuhel, Buenos Aires.",1520131167374090240,Gill_Gross
Casper Ruud why did you do this to me today🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️,1520128511276724225,harlemsheikh_
"The Norwegian's defeat came at the hands of Dutch player and eighth seed Botic van de Zandschulp. #bmwopen
https://t.co/4TqTPDPAY0",1520091142901334016,SportsLumo
"ONLY ONE between Novak #Djokovic, Gael #Monfils, Dominic #Thiem, Andy #Murray and Denis #Shapovalov will be present in Madrid Masters quarterfinals. All these players are in the same half of Rafael #Nadal, Carlos #Alcaraz, Miomir #Kecmanovic and Casper #Ruud 😅 https://t.co/JjunADv5aW",1520086693700947969,marioboc17
"Van de Zandschulp rides upset into BMW semis: Botic van de Zandschulp upset second-seeded Casper Ruud 7-5, 6-1 to reach the BMW Open semifinals, where he will face Serbian player Miomir Kecmanovic. https://t.co/3X9tYjLR6i https://t.co/xZvqd2gR2C",1520085771671453696,JCPGATA
"Na only God fit help me judge that fraudulent Casper Ruud

Rubbish",1520079132037632001,Skillz_sneh
"Casper Ruud: ""oh nooooooo"" covers his face with hand https://t.co/SQBGaZSwIA",1520072482149085192,DominicMEME
Fuck you Casper Ruud I hope you stub your toe 🙄,1520067267710570497,Still_Spanky
"🇳🇱 Botic van de Zandschulp @Boticvdz defeats the No. 2 seed 🇳🇴 Casper Ruud @CasperRuud98 7-5, 6-1 to reach the semi-finals in Munich.  He will face  🇷🇸 Miomir Kecmanović @MioKecmanovic on Saturday. 

#BMWOpenbyAmex https://t.co/ZzFrUY4XeI",1520053599253970944,liezbrown
Casper Ruud u can become my pigeon,1520049122266386432,jazdahubi
Botic Bamboozles Casper In Munich https://t.co/1mcGCCLo4i,1520043803402403840,Moana125
"The loss vs Botic at BMW Open  the first loss for Casper Ruud 🐐on ATP 250 clay event since Munich 2021.🙃

In between he won 21 straight matches  on clay 250 and titles at Geneva, Kitzbuhel, Gstaad, Bastad and Buenos Aires.",1520040474840805378,funnyzeitgist
"🇳🇱Botic Van De Zandschulp defeated 🇳🇴Casper Ruud in the QFs in Munich 7-5 6-1.

Van De Zandschulp beat the top 10 player for the 2nd time this season. In his first ATP semi-final of the season, he will face 🇷🇸Kecmanovic #atptour #ATPMUNICH https://t.co/Bhw91fKQPa",1520037874003058688,thenet_m
