full_text,tweet_id,screen_name
"[ tips of ears blacken with flush a hand resting on her cavaliers’ abdomen ]

And so you wish to be inside of me? https://t.co/kQPJVl9tEg",1520911670247272448,NONAGESlMUS
Damn Crew marketing screwed up. You got Cleveland Cavaliers players saying they want to go to Nashville SC matches. Bad look. #Crew96,1520908808914194433,sconner88
Evan Mobley Rookie Card Panini  #basketballcards https://t.co/sMaablel5P,1520908739871756289,CardsHoop
Pee Wee Division - 8 &amp; 9 yr olds: PW Ducks (6) at PW Cavaliers (5) - FINAL https://t.co/NWXMMbGi3t,1520897803412807680,PostOakLL
ACC women’s lacrosse semifinal - Boston College Eagles 20 Virginia Cavaliers 12 (final),1520890801890504706,DCAbloob
What a insane high energy game #Cavaliers #Grizzlies,1520890172388356101,Guppie19833
"The Western Cavaliers WIN the #NJCAAE Spring Hearthstone Championship! 

WOW!!

#esports #gaming #college https://t.co/RB8qHZrCca",1520886686355439624,NJCAAe
Cavalier King Charles Spaniel dog embroidered toilet paper on #Etsy  https://t.co/DorUAfuW3R cavaliers homedecor petlovers doglovers dogs gaggifts jokes gifts giftideas crafts handmade shopsmall smallbiz pets embroidered humor,1520885955409981440,DesignsByRAJA
"Live footage from the Snap House in Ybor! Join us, the Krewe of Cavaliers and PFLAG for a fundraiser to support the Youth Pride Prom! #instagram #tampa #pride https://t.co/XomR9pIco8",1520881011172728834,IntlChatter
"The Cavaliers hit three home runs, but it was not enough as No. 7 Virginia Tech defeated No. 11 Virginia 7-5 to claim the Hokies' first road ACC series win in Charlottesville: 
https://t.co/6klOsvGPeI",1520875358261764096,CavaliersNowFN
"Today was an amazing day in the wonderful Chatsworth in Derbyshire, for the annual big tweet up of Cavaliers King Charles 🐶🐾 we had soooo much fun ! 😅😅
I was a bit shy at first but Miss Rose has taken me under her wing and in her chariot 💕💗 https://t.co/n7iuRMr4Hn",1520875136634830850,Choucho00081664
"#OTD May 1st, 1988: Michael Jordan becomes the first player in NBA Playoff history to record consecutive 50-point games, with a 55 point outing in Game 2 vs the Cleveland Cavaliers. He also had 50 points in Game 1, just three days earlier. https://t.co/nL4fku8lPJ",1520874151052865536,AirJordanMuse
Draymund Green is public enemy #1 in the NBA his bonehead flagrant foul got him elected from the Game vs Memphis now Golden State is falling apart that same moron Green that help LeBron James hijacked the 2016 NBA FINALS gave Cleveland Cavaliers an u deserving NBA TITLE,1520872419673755650,hag98588995
Draymond ejection is a complete joke. Brings back memories of the Cavaliers ejection.,1520870950362771456,kdemas
LEBRON JAMES 2017 18 Contenders #basketballcards https://t.co/XTEseXSdiH,1520865019809968130,CardsHoop
"Again with the late ass bs calls from the refs. That was a clean block shot. If he made the foul it was earlier,
Call it earlier than. #NBA75 #playoffs #cavaliers #Grizzlies",1520863148701532160,Guppie19833
"I have called a series before though. 🤭🤣😂
  Cavaliers VS GSW",1520859131569225728,StMavericks
Former Cleveland Cavaliers' champion J.R. Smith named Academic Athlete of the Year at North Carolina A&amp;T https://t.co/TLiZNKnM0Q via @YahooNews,1520847425065394176,RobertMCle
Celtics getting exposed right now,1520840676853886978,Cavaliers_Key97
"Last night JCCC held its annual Cohen Community Series concert featuring Scotty McCreery. While in Overland Park, he caught a Cavaliers baseball game @JCCCBaseball and told the audience it was great baseball and that the Cavs were crushing it! https://t.co/ZydmLQHIuT",1520838578657546240,AndyBowne
"May 01, 1988 After scoring 50 points in Game 1, NBA Eastern Conference playoff series, Michael Jordan has 55 in Chicago Bulls 106-101 win vs Cleveland Cavaliers in Game 2; first to score 50+ points in consecutive playoff games #Today #OnThisDate #People #Event #PR https://t.co/cAF0xr91AC",1520837449655627776,AmirAlhaj_ph
"Great capture of @Theocav2019 this evening chasing his ball! 🐾🐾
#cavpack #cavaliers #dogsoftwitter #actionshot https://t.co/lPlwXrQgUm",1520834470852669440,runawaygirl248
6th Grade Boys - Dor5 def. Elite Cavaliers 53-33 #ThreatHoops #exposurebball,1520833032994889728,ThreatHoops
"Cavaliers, here is your Week at a Glance. Make it a great one! https://t.co/SHzTxos0pG",1520829528586829825,MiddletownHigh
"Carolina Rhythm featured clinician is Yamaha Artist, Bret Kuhn. Kuhn served as Caption Head &amp; Percussion Arranger for the World Champion Cavaliers who won 6 World Championships &amp; 5 High Percussion Awards during his tenure. Register NOW: https://t.co/YTfEQnMYjo. https://t.co/l4Dv8BArQT",1520825514528804872,TheCarolinaBand
"Catch the Cavaliers in action this week! ⚔️

#AllCavsAllDay https://t.co/G1zBvL4Kz1",1520824165640593416,PMCavs
"What Giannis is doing right now is why he’s the best player in the league. 

This is some Cavaliers Lebron-level stuff we’re seeing from him.",1520823714346115074,_pbcdaniel
Just checked and Jakob has only 2 A+ supports and they're both with Cavaliers which makes them useless because he has Cavalier as his base reclass option💀,1520823665910235138,HapiofMorArdain
Why don’t the Bucks have Cavaliers legend Dellavedova anymore?,1520818550759378951,spurs_four
Culpeper Cavaliers staff enjoying the UVA vs VT baseball game. #summercollegebaseball @UVACoachOConnor @VTCoachSzefc @UVABaseball @HokiesBaseball https://t.co/hWzOzyKlRT,1520812760002609153,CulpCavaliers
The Cavaliers are back in action to start their 4 game series with Rochester! #RollCavs https://t.co/BhpSKzR70w,1520808518638481409,WTC_Athletics
"The Cavaliers are trading Kendrick Nunn to the Cavaliers for Lou Williams and a 2024 first-round pick, league sources tell ESPN.",1520803249707569153,wojrarowski
"https://t.co/AQJE5Hthei January 14 2006, Cleveland Cavaliers @ 227's YouTube Chili' Phoenix Chili' Suns #WeAreTheValley https://t.co/8jFVPivbHv Spicy' https://t.co/vv8x1AZ0XW Spicy' NBA Mix! https://t.co/4UkvRwXOMX https://t.co/v6vxXFYimA",1520799221254926338,Hoops227_NFL
"With the regular season wrapping up yesterday the Cavaliers finish with a record of (35-16) (23-13). The Cavs will be the #2 seed moving into the regional and will be traveling south to the Houston area to play either at San Jac or Alvin! More details to come!  

#BPCCBaseball",1520794901499236353,BPCC_BASEBALL
"Congratulations Ellis!

College Park had one member of its team reach the podium at the meet. Ellis Ibizugbe, also a basketball player for the Cavaliers, took bronze in the triple jump at 46-10. @vibewellis",1520794360991952899,cp_hoops
6th Grade Boys - Elite Cavaliers def. Bulldogs 41-15 #ThreatHoops #exposurebball,1520786546957426689,ThreatHoops
The Cleveland Cavaliers  have won the 2032 NBA championship.,1520781370540236802,JohnStanleyNBA
"Congratulations to 2017 graduate @Ma_Riahhh for being named the Director of Recruiting Operations at @UVAWomensHoops! What an incredible accomplishment. Go Cavaliers!

#TrustTheProcess #EverythingEarned https://t.co/sPFNhnCH79",1520779745406894081,StartWBBall
"📩 header - Manchester United, Cleveland Cavaliers e Flamengo https://t.co/jSVlcxm1GV",1520778633794801664,MadeByLima
ESPN reporting: The Nuggets are trading Jayson Tatum to the Cavaliers for two second-round picks.,1520778069178421249,wojrarowski
"#7 Virginia Tech 🆚 #11 Virginia

Virginia Tech Sports Network from @LearfieldAudio ⬇️

⏰ 11:00 first pitch
📻 101.7 FM (NRV)
📱 @HokieSports app (free)

@HokiesBaseball looks to win the rubber match and take the series against the Cavaliers. Join us!

#Hokies 🦃 ⚾️ 🔨 https://t.co/4YHMqTFnA1",1520771992697417728,EvanKHughes
"The #NBA  playoff  teams by Rappers 
#Celtics    - Three1stNamez 
76ERS - Meek Millz
Cavaliers - Bone Thugs
Raptors - Drake 
Warriors - E- 40
Rockets - Slim Thug
Pelicans - Lil Wayne 
Jazz - Jhay
@NBCSCeltics",1520768653469310976,NamezReally
"📆 May 1, 1993
🏀 Nets 🆚 Cavaliers / Clippers 🆚 Rockets

#NBAonTNT #NBAPlayoffs #NBA75 #NetsWorld #LetEmKnow #ClipperNation #Rockets #NBATwitter

📺 YouTube/Analog Commercial Compilations &amp; Blocks https://t.co/nmlEfmiMOn",1520766785762607104,TNT_TBSKids
court side with a cavaliers.,1520764680582610944,cynthiacarter__
"#TDTY #01May #Year1988
Sports History:
After scoring 50 points in Game 1, NBA Eastern Conference playoff series, Michael Jordan has 55 in Chicago Bulls 106-101 win vs Cleveland Cavaliers in Game 2; first to score 50+ points in consecutive playoff games",1520763877428015104,HistoryStation1
Oops they did it again...The Calvary Lady Cavaliers are back-to-back state champions again.  Congratulations to Coach Tiffany Frazier Wood on her fourth ring and looks to be more with this young squad of players.  https://t.co/MgSzVDN1Zw @CalvaryCavs,1520763740026777600,CajunPanther72
"On this day: 1988, Michael Jordan becomes the first NBA player to score 50+ points in back-to-back playoff games. The HOFer and fourteen time All Star led the Bulls to a 106-101 victory over the Cavaliers in game 2 of the Eastern Conference series. (1/2) #NBA #OnThisDay",1520750542682742786,CollectiblesOld
Giannis is about to show why he's the best basketball player on the planet. Bucks to win this series. Giannis will average 35+PPG and 15+RPG.,1520740674974281729,AUS_Cavaliers
"CAVALIERS IN ART: “Mrs. Frieda Perrins with her daughter”, by Mary Lemon Waller (British, 1850-1931).
#cavaliersinart #cavalierhealth https://t.co/PC5qyPErSr",1520736580511715328,CavalierHealth
"#MayDay 1645: Colonel Blunt divides his regiment and fights a mock battle at Blackheath, to distract country folk from 'sinful' drinking and dancing.

Half his men act as Cavaliers, half Roundheads, ""who did both of them act their parts exceeding well""
#History #OTD #MayDay2022 https://t.co/E8X3iO5ZzP",1520735303417401345,Cromwell_Buff
