full_text,tweet_id,screen_name
"Chance The Rapper - Smoke Break (feat. Future) https://t.co/sDei5TL5kT. 
click &amp; play",1520915386874667008,HHNSradio
my roommate just said “i miss when chance the rapper did drugs” and i felt,1520914570159837184,pxyytxn
Justin Bieber - Holy (feat. Chance The Rapper),1520909177958375425,WR1003
Life was peak when chance the rapper was on top,1520908040513466369,Arabgunz
Chance The Rapper and Green Day collabing would change the world.,1520905583095812097,ArtistCollab_
"bang bang bang skeet skeet skeet -chance the rapper, my muse",1520896088386854913,AUTB0T_
"Chance The Rapper f. Forever Band, Supa Bwe &amp; Zekur - Wala Cam",1520894309515632642,2raw4radio_com
I rather pour concrete in my ear than listen to Chance The Rapper music,1520882358748078081,KuncheeYute
me @ chance the rapper 😭 https://t.co/iacXXO25eX,1520879999921704960,blinn___
I miss chance the rapper dawg,1520879686158536706,brickjames9
I really don't understand the hate Chance the Rapper gets idk,1520872798729736196,superwavyc
Out of the people invited into the white house the comedian and the pornstar shouldnt fuckin be there wheres nicki minaj and chance the rapper and lady gaga and mylie cyrus and beyonce and jay z and the obamas and merryl lynch and tyler the creator and kid cudi #movingbrazil fuck,1520861229270679552,bonelessasf
Chance the rapper sucks 🤦🏽‍♂️,1520857766612533248,chrisacino
#OnTheAir #NowPlaying Chance The Rapper - Same Drugs (Clean) Powered By Logik Media Group,1520853288207327233,LogikRadio
Tengo q aprender a twerkear para que chance the rapper me cante tattos piercings and she just learned how to twerk,1520853244729192448,ferlpzg_
Damn chance the rapper is absolutely so good,1520852676791132161,PolycarpLord
I know it is wet. And the sun is not sunny. But we can have lots of good fun that is funny! - Chance the Rapper,1520852376063782912,PolycarpLord
My 2022 theme song✨ https://t.co/R6DF6Udu3k,1520850037139546112,SaggyTittyHoe
Justin Bieber - Confident (feat. Chance The Rapper),1520847320719503360,djinbeat
And just like that I have Bieber fever again 🥴 https://t.co/1hraJUYwir,1520845226818027520,ohmichellec
"We Made #Suggs from #Madness Review Chance the Rapper, Dave and More - VICE https://t.co/iqZRK6j97U https://t.co/CtT8AgCY5a",1520839363466129409,madness_info
"Chance the Rapper from the same neighborhood as me 79th, he was on top of the game and then the internet change on him lol… he don’t even rap now.. social media can really break you",1520838866965614592,StBlizzy
#nowplaying Brandy - Baby Mama (feat. Chance the Rapper) LISTEN HERE: https://t.co/HTFzlUyvlK  #standup #comedy #hilarious #followus #music,1520838358452293634,thehumormill
#NP Chance The Rapper - All We Got (feat. Kanye West  Chicago Children's Choir) #Nonchalantradio,1520837872353480705,CashMoneyTril
Why y’all stopped fw Chance the Rapper again?,1520829456486748160,_kaitsuji
"“This world will make you second guess your first mind… just do your thing child.”

-Chance the Rapper",1520826981729906693,wa_ndei
"I never listened to his music but I love how he always kills a feature...

Big Sean- Control
Chance the Rapper- How Great
Ye- Jesus Lord https://t.co/8sqk7D9MvL",1520826081925906438,AlfredoTaGinci
"[OnlyHitUS] Currently: I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper &amp; Lil Wayne)
 by DJ Khaled, Lil Wayne, Justin Bieber, Chance the Rapper, Quavo Listen on all your devices with TuneIn! https://t.co/Q2ZfUngJan",1520819145352388610,OnlyHitNP
Chance the Rapper had to quit doing drugs and find God… https://t.co/J4ODyNZtmC,1520817004843876353,Tylerrobertlowe
Chance The Rapper | Tweet On Twitter @chancetherapper - Sun Come Down,1520816053730914305,X360FM
make Chance the Rapper do acid again,1520814576505438208,dirtchainedwtrs
"I would not like them here or there. I would not like them anywhere. I do not like green eggs and ham. I do not like them, Sam-I-am. - Chance the Rapper",1520811373365653504,THafkenscheid
"1. Flow - Baby Keem

2. Delivery - Chief Keef

3. Storytelling - JID

4. Beats - Pi'erre Bourne

5. Cadence/voice - Chris Brown

6. Punchline - Lil Wayne

7. Discography - Kanye West

8. Rhymes - Rx Papi

9. Metaphor - Young Nudy

10. Poetry - Chance the Rapper https://t.co/IB4Zg3y5nh",1520809358296338435,TonyTheMenacing
"#NowPlaying PTSD by G Herbo f. Chance The Rapper, Juice WRLD &amp; Lil Uzi Vert Listen Live NOW @i1081.com
 Buy song https://t.co/Z95Cxai1Pj https://t.co/VroBOV4mVU",1520809100082388994,i1081WIGA
"Chance The Rapper - Chain Smoker https://t.co/sDei5TL5kT. 
click &amp; play",1520803665954680839,HHNSradio
-KINDA WACK- Quavo Mistakes Chance the Rapper For Kanye West,1520795767945932801,wavyheadlines
CHANCE THE RAPPER IS A CIA AGENT CONDUCTING PSYOPS TO GET ME TO TAKE A SHOWER,1520792565087453184,john2hard
"Cocoa Butter Kisses by Chance The Rapper.
Such a legendary song.",1520790923998904322,GutterDwarf
Chance The Rapper ft Nicki Minaj &amp; Lil Durk - Slide Around (The Big Day),1520788278198292483,Dynasty_11
Absolutely love Chance the Rapper,1520784790223572992,vaesaucey
chance the rapper &amp; saba - angels (2015) https://t.co/U0HryzdP4v,1520780637795500034,chicagathan
"🌟 150501 | namjoon shared the song Prisoner by Jordan Bratton feat. chance the rapper on twitter today 7 years ago💙.

The starting song of the day

https://t.co/LT1DnYIOLO

Trans cr; Nika @ bts-trans https://t.co/LzfDoaVZH2",1520777013761564674,knjovertheyears
chance the rapper is so ass but his adlibs kill me,1520775681403203584,kantbekey
chance the rapper is gunna be the one this time,1520773420757098496,BVGGXS
"Ayy, call me Young Mister, Mister Tongue Twister
Niggas couldn't touch the flow if they was playing Twister, right~🎵
Chance the Rapper – I Got You (Always and Forever) @chancetherapper  https://t.co/cVDePaASqN",1520771615155712005,romance361
"So be sure when you step, step with care and great tact. And remember that life's a great balancing act! - Chance the Rapper",1520768545826639872,THafkenscheid
Omg 🥰 this is like that chance the rapper bar but instead it’s I met Aman Singh! https://t.co/u3ZjDJQI6I,1520768144058507264,Grantpa23
"🎧 PTSD (feat. Lil Uzi Vert, Juice WRLD &amp; Chance The Rapper) by G Herbo on @PandoraMusic https://t.co/ubDqFr9jLP I can still feel it I know the world is evil in case you thought I forgot",1520767299267043328,C_to_the_
Chance the Rapper – All Day Long @chancetherapper  https://t.co/0m4MBYkeHn,1520766092255576065,romance361
I know it is wet. And the sun is not sunny. But we can have lots of good fun that is funny! - Chance the Rapper,1520763443652882432,THafkenscheid
There’s a trend on TikTok where it’s like “who’s your favorite rapper that just fell off” and the entire sound is just ppl playing recent Chance the Rapper songs and it’s really sad bc it’s true,1520762759876648963,IceKareemy
One for the history books. Seeing black artist shine at the Venice Biennale. Hanging with Chance the Rapper and other celebs like it's Regular. All the food and traveling and sights seen all over Italy. But the best of it all? Doing it with my brothers. This trip was everything.,1520761725024305152,NYsUniQueViBe
"Club Notes: Chance the Rapper at Élia, Maluma at Resorts World and more - Las Vegas Weekly Club Notes: Chance the Rapper at Élia, Maluma at Resorts World and more  Las Vegas Weekly",1520748549595611137,lasvegasluxlife
Now playing Holy  by Justin Bieber ft Chance The Rapper! https://t.co/zLqY3O603R  Listen Mon-Fri to; #TheGudTymezShow - #TheHonestTruth - #TheJaytheGreatShow- #Sapphiresoup Show - (Saturday's) The Marcus Devine Show https://t.co/E3ggrsvbeD https...,1520730268398723074,The9397Network
"Then the Grinch thought of something he hadn't before! What if Christmas, he thought, doesn't come from a store. What if Christmas...perhaps...means a little bit more! - Chance the Rapper",1520728251210944517,THafkenscheid
"*chance the rapper voice* I Love My Wife, AHHH! https://t.co/Wem5TddrdY",1520724525628932096,GiggityGN
NowPlaying Baby Mama (Clean) - Brandy feat. Chance The Rapper https://t.co/OE37T6rodl 11:04,1520720882913714177,SugarWaterRadio
#OnTheAir #NowPlaying Chance The Rapper - Eternal Ft. Smino (Radio Edit) Powered By Logik Media Group,1520720586359586817,LogikRadio
"Now playing No Brainer (feat. Justin Bieber, Chance the Rapper &amp; Quavo) at https://t.co/5RmFVIOTSZ 
Focus on Future

Focus on Future",1520717161861373953,4Master_Servant
No Problem // Chance the Rapper,1520703170359754754,ayecompasion
"Chance The Rapper f. Forever Band, Supa Bwe &amp; Zekur - Wala Cam",1520703114319474690,2raw4radio_com
#Nowplaying #Cardi B - Best Life (Feat. Chance The Rapper),1520697227706085378,UrbanXtraRadio
CHANCE THE RAPPER?? no. thankyou. https://t.co/quQ2QRc87N,1520692331137351680,delusionalish
chance the rapper im dead💀 https://t.co/bwpqjUDXKI,1520687346383044608,Farouk3AM
#NP Busta Rhymes - Hello Feat. Chance The Rapper https://t.co/CO0eFrDDy6 #TheCommissionOfHipHop #SixFamiliesRadio,1520679809847812096,6FamiliesRadio
Explore Vibes like this at The GetRight Spot! Don't forget to let others know what's up.  “Idea” by The O’My’s (feat. Chance the Rapper) (@TheOmysband) https://t.co/dQhgsIKE3V #chancetherapper #rbsoul #theomys #getrightmusic,1520676914633101312,thegetrightspot
Chance The Rapper feat. Joey Purp - My Own Thing (Dirty),1520669957478129664,SFR_RADIO247
#np Chance The Rapper - Israel (Sparring) (Feat. Noname Gypsy) @Spinrilla https://t.co/NSfDwC7IDi,1520667979775721472,jtsoss
Chance The Rapper’s SocialWorks And Dan Life Are Raffling Off A Custom Pair Of Air Jordan 1 KOs https://t.co/w96i7hfSz4,1520665471250542592,snkrsdallas214
It was Brit saying “bring it in big guy” to Chance The Rapper for me 🤣🤣🤣,1520665370746658816,QueenAl__
2012-2013 chance the rapper 😩,1520659589242359808,kingmegaan
"I love my wife AHHHHH - chance the rapper

Sub life for wife",1520655117191720960,leavemierALONE
"1. Flow  Common

2. Delivery  Pusha T

3. Storytelling  Common or Kendrick 

4. Beats (producers) Kanye or Madlib

5. Cadence/voice Mase or Carti

6. Punchline  Chance the rapper or MF DOOM

7. Discography Kanye 

8. Rhymes  DOOM

9. Metaphor Kendrick 

10. Poetry Kendrick https://t.co/RH7WAJLaAw",1520650684416282624,SaintBirdApp
I remember when yall where going crazy about chance the rapper😂😂😂 i said back then he was trash he wont last and now where tf is he at other than being obnoxious tryna stay relevant,1520648135143571458,YoungKaDeTe
🎵🎵 NOW PLAYING: Holy [feat. Chance The Rapper] - Justin Bieber 🎵🎵,1520644870356017156,UryNowPlaying
i got chance the rapper so i have a PRETTY good chance to survive. https://t.co/35MCdZu6hP,1520644742232649730,kingjahmiel
"Chance the rapper, back in 2017. It was amazing! https://t.co/zmiJ4HHYIp",1520643678414708737,miyahpapayah
"Well, it's the first day of #MyTop10 and I have decided to go in reverse chronological order with this challenge. My first artist is a rapper/singer/songwriter and mental health advocate who I have championed every chance I've had. It is the incredibly talented @catchmekarmaa",1520642399197974529,music_pearce
#NowPlaying Chance the Rapper - No Problem (feat. Lil Wayne &amp; 2 Chainz) https://t.co/INRN1CwbEK #105LIVE #NewMusic #Classics #HipHopandRnBLivesHere,1520636929804537856,1051live
But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me! - Chance the Rapper,1520627547439915008,THafkenscheid
#OnTheAir #NowPlaying Big Sean ft Chance The Rapper &amp; Jeremih - Living Single (Clean) Powered By Logik Media Group,1520624665525428224,LogikRadio
-IMPORTANT- Joe Budden Has Chance the Rapper's Sextape,1520622082362535937,wavyheadlines
#NowPlaying Confident by Justin Bieber feat. Chance The Rapper On Atlantic Extra #Hits https://t.co/tWSA9zdwHi,1520617805820964865,AtlanticExtra
Chance the Rapper the best high Vibez. Every song so good.,1520616813532438528,bjb__0804
"I bought Ben &amp; Jerry's for the first time in like 20 years, Mint Chocolate Chance the Rapper's flavor, damn it's good.",1520616616492421120,dvduadotcom
"Two years ago today, Brandy &amp; Chance the Rapper dropped ""Baby Mama.""

The lead single from B7 peaked at #10 on the R&amp;B Digital Song Sales Chart.

https://t.co/GhuQzvQqi3 https://t.co/EVKIcf0bYF",1520613985619365889,blkboybulletin
#OnTheAir #NowPlaying Joey Purp ft Chance The Rapper - Girls At (Clean) Powered By Logik Media Group,1520604251663343617,LogikRadio
idk why but I just got a strong feeling Chance the Rapper gon have another kid soon,1520597913382137856,dasiamonett
Chance the rapper really let me down,1520595949965430787,hendrixducard
"The Grinch hated Christmas! The whole Christmas season! Now, please don't ask why. No one quite knows the reason. It could be his head wasn't screwed on just right. It could be, perhaps, that his shoes were too tight. - Chance the Rapper",1520594880216535041,THafkenscheid
Chance The Rapper - Pusha Man [Clean],1520593696479236097,WorkFlow_Hitz
Chance the Rapper - All Night (feat. Knox Fortune) (Coloring Book),1520592671689089025,vanguardsongs
"Chance the Rapper - ""Linda Blair Was Born Innocent""",1520591777262100481,MtnGoatsCovers
#NowPlaying  Wala Cam (feat. Supa Bwe)  by  Chance the Rapper https://t.co/a0GLA43ZFZ  https://t.co/Acx428yKa5  03:36 https://t.co/W42GduCrzU,1520591691014623233,WALACAMTWEET
Chance the Rapper’s “Acid Rap” was released 9 years ago today 💿 https://t.co/vHGs2Jex9q,1520585145694273536,TheChicagoWave
Chance the rapper really made the song Hot Shower hahahahahah,1520582543736778754,CJVogel_TFB
"Shoulda Left You by ""Chance The Rapper"" on #SoundCloud https://t.co/6seYitD47N 

“I shoulda left you back in 2016”",1520577558340796416,xo_rubie
make chance the rapper do acid again 2023,1520574524965675010,_latenightpizza
Jaz the rapper is nice af. #KVQ3 I don’t think Geechi got a chance if we talking bars but we gon see.,1520573940048957441,RideWithDoc
Chance the Rapper - Acid Rain,1520571922442067968,iamphella
"""Therapy is expensive"" actually, Chance the Rapper has it for free on Spotify.

https://t.co/1rT9IDzrh7 https://t.co/EbkwO5JC3R",1520568297070149637,blobbs_
#NowPlaying D.R.A.M. Sings Special by Chance The Rapper on https://t.co/4rAFXTMFoP https://t.co/74GREz1UnU,1520567796157095941,BlackSoulRhythm
Crazy how people said they only liked chance the rapper when he was abusing drugs,1520566844461137927,BadiruHakeem
