full_text,tweet_id,screen_name
is it just me or does Charlie Blackmon's beard become more unhinged every season https://t.co/xcuuj14ApH,1520894504676388864,Embry_Da_Wolf
Charlie Blackmon sitting for Colorado on Sunday https://t.co/fEt0aMtlOX,1520808804253806592,numberFire_MLB
"Charlie Blackmon Not starting Sunday

https://t.co/7KtZyBUAgm",1520806868184145923,LineStarMLB
Charlie Blackmon: Not starting Sunday https://t.co/FbEt5Cab1F,1520805800519913472,RotoWireMLB
"Welp, no Charlie Blackmon today. Grichuk may be the move…
#GamblingTwiitter #Rockies https://t.co/sbdLsyONIr",1520800811877548032,one_more_bet
"Been a busy weekend, haven’t bet on anything. Hitting up the Rockies game today tho so will likely have a few plays on that. 

Right off the bat I’m feeling a CJ Cron HR or Charlie Blackmon HR. Possibly a team total play and also the over. Both pitchers are 🗑
#GamblingTwiitter",1520797070814232578,one_more_bet
Colorado RF Charlie Blackmon (rest) is doubtful and not in the starting lineup Sunday,1520791911056949249,freeplays
"And there it is, Elehuris Montero will be making his Major League debut at DH and batting ninth for the #Rockies this afternoon

Brendan Rodgers (back) back in the lineup and batting eighth while Charlie Blackmon gets the day off vs. LHP",1520791099626958848,BlakeStBloggers
"Looking up one of the Yankees' new relief pitchers and found myself another birthday twin.  It's gonna be a while till he tops Nelson Cruz and Charlie Blackmon, but hey.  As @SlangsOnSports would say, birthdays are important.  :)",1520786641329262592,dakern74
"April 30th #MLB #DFS win 🏆

Charlie Blackmon leads the way

To join our team 👉 https://t.co/uTEq6hnKFx

#InvestDFS | #TimeToInvest 📈 https://t.co/w3pvSnYkps",1520784324777451521,InvestDFS
2019 Topps Chrome Charlie Black #whodoyoucollect https://t.co/eZzW5aGDPA,1520761559282339840,sportscardcoder
2019 Topps Chrome Charlie Blackmon  #thehobby https://t.co/ZN3e5zKWXf,1520700167674122240,CardPromoter
"Recap:

- Sean Manaea o6 K’s 🅿️
- Nathan Eovaldi o6 K’s ✅
- Clayton Kershaw o6.5 K’s ✅
- Justin Turner o.5 Runs + RBIs ❌
- Charlie Blackmon o1.5 total bases ✅

3-1-1 on the night! 

#GamblingTwitter https://t.co/7KaDXIRmbc",1520633554111246336,DFS_JDM
"My phone died in the 8th but...

#Rockies WIN 4-3

Chad Kuhl is once again fantastic

Charlie Blackmon and Ryan McMahon with the big swings

EXCELLENT bullpen work from Tyler Kinley and Daniel Bard

More CLEAN defense (Philly was a fluke)

Rox improve to 12-9",1520599661400129536,DrewCreasman
Reds and playing the Rockies so I’m reminding everyone once again that Charlie Blackmon looks like a cop but also doesn’t look like a cop https://t.co/uehOFUJlJk,1520592667817689088,mwfarr
"Charlie Blackmon vs Art Warren
#Rockies

Double 🏃💨

Exit velo: 100.7 mph
Launch angle: 24 deg
Proj. distance: 372 ft

This would have been a home run in 26/30 MLB ballparks

CIN (2) @ COL (2)
🔻 6th https://t.co/2CAojLHPBQ",1520584133084254208,would_it_dong
Ugh David Bell why man? Meaning taking Connor Overton out into the sixth inning then Art Warren gives it up to Charlie Blackmon and it wouldn't surprise me Rockies go ahead to beat the Reds. Bad move by Bell there!,1520583198937333760,William46676045
I never called charlie blackmon cooked or washed,1520582596475895810,mattsbetweetin
Charlie Blackmon... Good at baseball? The answer may not surprise you. 🤔🤔🤔,1520582295349989377,evan_lang27
"Charlie Blackmon off RHP Art Warren - 100.7 mph, 24 degrees (372 ft Double)
84.6 mph Slider
#Reds @ #Rockies (B6)",1520582129402499072,MLBBarrelAlert
"Barrel: Charlie Blackmon (5) [COL] off Art Warren [CIN]: 100.7 mph, 24 degrees (Double)",1520582039354978304,MLBExitVelocity
I love Charlie Blackmon,1520581983990169600,sam_kissel
"Charlie Blackmon!!! 💜💜💜
#Rockies",1520581983117660160,ECthetwit
Charlie Blackmon's RBI-double ends up scoring two and #Rockies tie it up in the bottom of the sixth.,1520581945746497537,PatrickDLyons
"Charlie Blackmon baby!

#Rockies tie the game at 2-2",1520581890184462336,BlakeStBloggers
Rockies’ Charlie Blackmon becomes first active MLB player to endorse a sportsbook https://t.co/oYC1NV1hGb,1520572925551722498,ComSportsbook
"Will post HR props like in the past 

Charlie Blackmon 
1 Hr +450 
2 Hr +2900 

.25 units",1520529640040845315,DB868Fantasy
"Charlie Blackmon vs #Reds (rated A-)

A vs SP Connor Overton
B vs Reds bullpen

4.59 projected PAs
To hit a HR: 11.6% (+762)
2+ hits: 30% (+231)
2+ bases: 46% (+119)

#Rockies https://t.co/03AITeubZk",1520509531448655874,BallparkPal_COL
"#PrizePicks #MLB picks 4/30

- Sean Manaea o6 K’s
- Nathan Eovaldi o6 K’s
- Clayton Kershaw o6.5 K’s
- Justin Turner o.5 Runs + RBIs
- Charlie Blackmon o1.5 total bases

#GamblingTwitter https://t.co/4IEKg2Wnr9",1520509417023811590,DFS_JDM
"4/30 Colorado Rockies Lineup:

1 DH Connor Joe
2 RF Charlie Blackmon
3 CF Randal Grichuk
4 1B C.J. Cron
5 3B Ryan McMahon
6 LF Sam Hilliard
7 SS Jose Iglesias
8 2B Alan Trejo
9 C Dom Nunez

 SP:Chad Kuhl #Rockies  #MLB",1520496161324474373,GSMLBPicks
"#Rockies Lineup 04/30/22

1. Connor Joe DH
2. Charlie Blackmon RF
3. Randal Grichuk CF
4. C.J. Cron 1B
5. Ryan McMahon 3B
6. Sam Hilliard LF
7. Jose Iglesias SS
8. Alan Trejo 2B
9. Dom Nunez C

Starting Pitcher : Chad Kuhl",1520495822705635328,DailyMLBLineup
