full_text,tweet_id,screen_name
Exclusive New Era Chicago Waving Cubs MLB Club Fitted Hat 7 1/8 Glacier Icy UV https://t.co/t3vDtlyi2r eBay https://t.co/B5aK78NrXz,1520914856550879233,HatsMens
Column: Marcus Stroman outduels Corbin Burnes to earn his 1st Chicago Cubs victory in style https://t.co/jOvnEitelm https://t.co/F2BvsagHP3,1520913993287696384,RonBohning
Column: Marcus Stroman outduels Corbin Burnes to earn his 1st Chicago Cubs victory in style https://t.co/HRSOqUwuZX https://t.co/JrG4vqd7G9,1520913471419785216,ChicagoUnvrz
Great Gift! #Cubs #HotPad #ChicagoCubs #chicago #MLB #CubsMugRug #Cubsbaseball #cubsgift #mancave #coaster #mugrug #guygift #springtraining #baseball #sale #freeshipping #handmade @2Fun4Words #dadgift #mangift #kitchengift #cooking #drinkcoaster https://t.co/Zrxy4exusN via @Etsy,1520911100673409026,kmdvl06
It's a great gift! #cubs #chicagocubs #cubsbaseball #cubsnation #cooking #chicago #illinois #ovenmitts #food #dadgifts #BBQ #barbecue #baseball #dadlife #giftideas #giftsunder25 #quilted #freeshipping #sale #giftforhim @2Fun4Words https://t.co/IbeuZIVKTV via @Etsy #fathersdaygift,1520910958188711938,kmdvl06
Perfect for the games! #cubs #chicagocubs #baseball #mothersday #CubsNation #totebag #bookbag #lunchbag #handmade #cubbies #giftforher #giftsunder30 #sportsfans #sale #freeshipping @2Fun4Words https://t.co/RFxwM82oZn via @Etsy,1520910870242541569,kmdvl06
NEW ERA 7 1/2 CLARKS STREET SPORTS EXLUSIVE WALNUT CHICAGO CUBS ASG FITTED HAT https://t.co/LYIrCaNtC2 eBay https://t.co/m9lfV6aInm,1520910832934146049,FanSouvenirs
Patrick Wisdom homered as Chicago ended a four-game losing streak with a 2-0 victory at Milwaukee. https://t.co/c575NqZhr3,1520908700587806726,LaCrosseTribune
In 6 days I'll be watching the @Dodgers @ @Cubs @ Wrigley Field. It will be my first time in Chicago.,1520907368057344000,SportsAsAWeapon
Hey the Cubs didn't embarrass the city of Chicago today,1520906082411061248,AriaOfTheStar
Seiya Suzuki 2022 MLB Topps Now Roo #thehobby https://t.co/eol6PHa7Qu,1520905426560331776,HR_cards
Patrick Wisdom homered as Chicago ended a four-game losing streak with a 2-0 victory at Milwaukee. https://t.co/7gq0v5yU6S,1520902907243212807,ChippewaHerald
"CHICAGO CUBS 1990 ALL STAR GAME STONE PEACH BRIM now available from SPORTSWORLD165

#newdrop #sportsworld165 #mlb #chicagocubs #cubs #cubtogether #chicago #illinois #1990 #allstargame #stone #peach #brim #hatcrawler #fitted #caplover

https://t.co/cU3ySScf96",1520900993092792321,hatcrawler
Patrick Wisdom homered as Chicago ended a four-game losing streak with a 2-0 victory at Milwaukee. https://t.co/foCgshg6aN,1520900394108526593,Kenosha_News
Patrick Wisdom homered as Chicago ended a four-game losing streak with a 2-0 victory at Milwaukee. https://t.co/B0VEeHvWlq,1520899138363215873,madisondotcom
Patrick Wisdom homered as Chicago ended a four-game losing streak with a 2-0 victory at Milwaukee. https://t.co/qbPltRvsqP,1520898634279182336,MadisonSport
Cubs vs. Brewers Game Highlights (5/01/22) | MLB Highlights #Chicago #Cubs #MLB Video: https://t.co/2qXaelQOWj,1520898371849912322,Chi_Fans
The Milwaukee Brewers have fallen to the Chicago Cubs 2-0. Stay tuned for Brewers Live Post-Game Show for reaction to the loss today. #ThisIsMyCrew,1520895588547633152,AJKerbel
The Chicago Cubs have yet to lose a game in the month of May this season. #ObviousFacts,1520895276470480897,obvious_shirts
The Milwaukee Brewers are trailing the Chicago Cubs by a score of 2-0 heading to the bottom of 9th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520895261912014857,AJKerbel
The Milwaukee Brewers are trailing the Chicago Cubs by a score of 2-0 heading to the top of the 9th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520895044324143107,AJKerbel
The Milwaukee Brewers are trailing the Chicago Cubs by a score of 2-0 heading to the bottom of 8th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520894972916023297,AJKerbel
The Milwaukee Brewers are trailing the Chicago Cubs by a score of 2-0 heading to the top of the 8th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520894771463696385,AJKerbel
Check out 2021 Topps Series 2 KRIS BRYANT 1965 Insert Chicago Cubs T65-11 https://t.co/ssViHS2rQ5 #eBay via @eBay,1520894692610748416,Gonzo2323Jose
The Milwaukee Brewers are trailing the Chicago Cubs by a score of 2-0 heading to the bottom of 7th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520894669856645120,AJKerbel
The Milwaukee Brewers are trailing the Chicago Cubs by a score of 2-0 heading to the top of the 7th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520894554114777088,AJKerbel
The Milwaukee Brewers are trailing the Chicago Cubs by a score of 2-0 heading to the bottom of 6th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520894345150406658,AJKerbel
The Milwaukee Brewers are trailing the Chicago Cubs by a score of 1-0 heading to the top of the 6th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520894144499138560,AJKerbel
The Milwaukee Brewers are trailing the Chicago Cubs by a score of 1-0 heading to the bottom of 5th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520893805066657793,AJKerbel
The Milwaukee Brewers and the Chicago Cubs are tied by a score of 0-0 heading to the top of the 5th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520893304757538817,AJKerbel
The Milwaukee Brewers and the Chicago Cubs are tied by a score of 0-0 heading to the bottom of 4th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520893208170930176,AJKerbel
The Milwaukee Brewers and the Chicago Cubs are tied by a score of 0-0 heading to the top of the 4th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520893068983115777,AJKerbel
The Milwaukee Brewers and the Chicago Cubs are tied by a score of 0-0 heading to the bottom of 3rd on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520892992684445696,AJKerbel
The Milwaukee Brewers and the Chicago Cubs are tied by a score of 0-0 heading to the top of the 3rd on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520892645450596353,AJKerbel
