full_text,tweet_id,screen_name
Thank you very much @kim_crawley 😊 😊 And thank you Chloe and ITSP  for your support of the Diana Initiative 💖 https://t.co/koSKOqtqT0,1520897957599580161,3ncr1pt3d
#emmerdale kim tate pregnant with will taylor baby in emmerdale 50th anniversary not Amelia or chloe or liv and it the truth https://t.co/jYeRCRSXXN,1520864276398886913,elizabe82758727
"chloe, aimie, and i leaving mid study session bc we weren’t gonna let finals get in the way of a perfect pool day",1520848561327546368,kim_montoyaa
#emmerdale kim tate pregnant with will taylor baby in emmerdale 50th anniversary not Amelia or chloe or liv https://t.co/ujW4ivQknK,1520832100919873536,elizabe82758727
#emmerdale kim tate pregnant with will taylor baby in emmerdale 50th anniversary not Amelia or chloe or liv https://t.co/XlbeRHAonE,1520806443498283013,elizabe82758727
Chloe Kim Says She’s Taking A Mental Health Break From Snowboarding https://t.co/0rOP4Xvzp1,1520765027610816512,medicinehelp
Chloe updates https://t.co/QmCb3Glb5S,1520761569650810880,kim_zuzu_
#emmerdale kim tate pregnant with will taylor baby in emmerdale 50th anniversary not Amelia or chloe or liv https://t.co/WtTZFwdm2Y,1520753134091616256,elizabe82758727
"Chloe Kim And Her Dog, Reese, Partner With Purina Pro Plan To Challenge People To Get Active With Their Dogs #purinaemp https://t.co/K73aQDmQG1",1520739241126350850,kj926
"This video from @TheHAndMChannel talk about this new #NFT featuring winter athletes, including Shaun White, Chloe Kim, Ayumu Hirano and Nathan Chen.  https://t.co/iMPkaBB3yF",1520646716017369088,Jakka111NFT
#emmerdale kim tate pregnant with will taylor baby in emmerdale 50th anniversary not Amelia or chloe or liv and it the truth https://t.co/qAQopOu4uL,1520530759404204041,elizabe82758727
"Chloe is not a good person. The people she’s seen to /mainly/ bully are all canonically part of minority groups. I don’t think it’s a coincidence &gt;:(
💞
Marinette- Chinese 
Kagami- Japanese
Alya- Black
Nathaniel- Jewish
Kim (mainly s1)- Vietnamese 
Max (mainly s1)- Black",1520488707039584257,lovelyjuleroses
"The whole thing about this Hottie x Bardigang beef is, Missy and Kim were compared, Chloe x Halle are compared, even biggie and tupac were compared. Y’all causing a problem over comparisons? Be serious.",1520486274917883905,nodatsjay
#emmerdale kim tate pregnant with will taylor baby in emmerdale 50th anniversary not Amelia or chloe or liv and it the truth https://t.co/Zb4wJEJBYk,1520469410573701122,elizabe82758727
Watch: Chloe Kim Spotted Challenging Boyfriend in an Intense Work Out After Announcing Break From 2022 Season https://t.co/VgSBDSdL8n #Olympics #Snowboarding,1520450184571854850,CunningSports
#emmerdale kim tate pregnant with will taylor baby in emmerdale 50th anniversary not Amelia or chloe or liv and it the truth https://t.co/H6MsZ0HFID,1520431913210716166,elizabe82758727
Chloe Kim Says She’s Taking A Mental Health Break From Snowboarding https://t.co/Eg5QUziSXv,1520403085260165121,medicinehelp
Chloe Kim Says She’s Taking A Mental Health Break From Snowboarding https://t.co/n0EIXKD8dO,1520395179060088833,medicinehelp
#emmerdale kim tate pregnant with will taylor baby in emmerdale 50th anniversary not Amelia or chloe or liv https://t.co/si800rpoMu,1520314001237987328,elizabe82758727
#emmerdale kim tate pregnant with will taylor baby in emmerdale 50th anniversary not Amelia or chloe or liv and it the truth https://t.co/tRfqeicuwq,1520313883818446849,elizabe82758727
#emmerdale kim tate pregnant with will taylor baby in emmerdale 50th anniversary not Amelia or chloe or liv and it the truth https://t.co/9HvBfA1mwU,1520310869355282432,elizabe82758727
"I'll give u artist recommendation
 slchld, sam kim, chloe moriondo, oceanfromtheblue, RINI, Jeff Bernat, beabadoobee https://t.co/XHkrIeZ8x2",1520310758428487680,mwiawu
#emmerdale kim tate pregnant with will taylor baby in emmerdale 50th anniversary not Amelia or chloe or liv and it the truth https://t.co/4jRUkdPl0u,1520291695006527489,elizabe82758727
"Queen of The South (The @6ixx_Slab Remix) featuring Cardi B, Megan Thee Stallion, Bossalena,
The Goddess ,City Girls, Foxy Brown,Lil Kim,
Chloe x Halle, Latto  https://t.co/UWHws9UK7E https://t.co/cLtz51TGud",1520266766110367744,SlaballstarzR
"""Snowboard News: Olympic gold-medalist snowboarder Chloe Kim reveals plans for mental health break #News"": https://t.co/P49xhBUfpj",1520242547687264257,robinsnewswire
"""Snowboard News: Olympic gold-medalist snowboarder Chloe Kim reveals plans for mental health break"": https://t.co/NKCDRmlGMH",1520239280374747137,robinsportsnews
"HAPPY BIRTHDAY APRIL 23rd; Wrestler John Cena,45; Rapper Son Chae-young,23; Actress Teagan Croft,18; Model Gigi Hadid,27; Actor Song Kang,28; Snwbrdr Chloe Kim,22; Singer Josh Kiszka,26; Actor Jesse L. Soffer,38; Comedian George Lopez,61; BEST WISHES &amp; GOOD HEALTH TO ONE &amp; ALL!!!",1520224960593158144,PoetBronx
#emmerdale kim tate pregnant with will taylor baby in emmerdale 50th anniversary not Amelia or chloe or liv and it the truth https://t.co/HuUbzaa3NB,1520223866353856519,elizabe82758727
"how come the is plenty of fanfics shipping Chloe and Felix, but the obvious idea of (actual) young Queen Chloe and Prince Adrien doesn't ever arrive - it's always Marinette that is a royal AU ship not Chloe that seems far more logical to me (well it was kim once too) #Queenbee",1520186182923075584,Red_Rescue
#emmerdale kim tate pregnant with will taylor baby in emmerdale 50th anniversary not Amelia or chloe or liv and it the truth https://t.co/Ik6083VS0J,1520146493407117316,elizabe82758727
"Chloe Kim announced that she will not be participating in the 2022-2023 season. She is taking a break to protect her mental health.
https://t.co/rwwl3kn5qA",1520138783093493760,AsAmNews
At the start of #KUWTK I didn’t like Kim but toward the end of it and in #TheKardashians I really like her,1520127489644892160,_Chloe_Ferguson
"We have legendary athletes coming to Olympic Games Jam: Beijing 2022! Play as Shaun White, Lindsey Vonn, Nathan Chen, Chloe Kim, Ayumu Hirano and earn Olympic NFT pins and Victory Gem tokens on our officially licensed P2E Olympic game! https://t.co/zGUgtrUyuc https://t.co/KvSRh9r2Vd",1520121885089931264,sumoru
#emmerdale kim tate pregnant with will taylor baby in emmerdale 50th anniversary not Amelia or chloe or liv and it the truth https://t.co/LkbqAmT6JL,1520119707084509184,elizabe82758727
#emmerdale kim tate pregnant with will taylor baby in emmerdale 50th anniversary not Amelia or chloe or liv and it the truth https://t.co/8RRME3c4Ko,1520105695261216769,elizabe82758727
#emmerdale kim tate pregnant with will taylor baby in emmerdale 50th anniversary not Amelia or chloe or liv and it the truth,1520105432920080385,elizabe82758727
#emmerdale kim tate pregnant with will taylor baby in emmerdale 50th anniversary not Amelia or chloe or liv and it the truth https://t.co/oeycGFD5CG,1520104297958096896,elizabe82758727
#emmerdale kim tate pregnant with will taylor baby in emmerdale 50th anniversary not Amelia or chloe or liv and it the truth https://t.co/fuoihGleA5,1520097908565192706,elizabe82758727
"“The nice thing about teamwork is that you always have others on your side.” — Margaret Carty,

Kim and Chloe Forde https://t.co/g990dBwfgu",1520078639945195520,CareinKent
#emmerdale kim tate pregnant with will taylor baby in emmerdale 50th anniversary not Amelia or chloe or liv and it the truth https://t.co/wdaZcnJU3Y,1520074686528466947,elizabe82758727
