full_text,tweet_id,screen_name
There's soooo many roles where they can represent their own race and be more historically accurate than being woke. Imagine casting Chris Hemsworth as Gandi?! It's plain friggin stupid and ignorant. Even having to explain this is mind numbing..,1520910511902187522,SarahRe11083808
Ok. Chris Hemsworth as Martin Luther King?,1520910087921061890,RhondaG39775660
There's soooo many roles where they can represent their own race and be more historically accurate than being woke. Imagine casting Chris Hemsworth as Gandi?! It's plain friggin stupid and ignorant. Even having to explain this is mind numbing..,1520906447453929472,MaryRob78453230
Thor: Love and Thunder Trailer: Chris Hemsworth and Christian Bale at their absolute best - IWMBuzz https://t.co/eJI0Ss5lB5 https://t.co/PBsJqCCB7i,1520899524264292352,mochipuny
"Try Chris Hemsworth's 26-Minute Bodyweight Workout, If You Dare - POPSUGAR https://t.co/Ghg5YZiDE0 https://t.co/RkucP9Tbea",1520899514642489344,mochipuny
Controversial YouTuber Logan Paul Gets Hostile With ‘Thor’ Actor Chris Hemsworth in a Forgotten Tweet - EssentiallySports https://t.co/GTX8aMSMVq https://t.co/TVOjPifQhj,1520899504865947648,mochipuny
Chris Hemsworth is sooooo fine 😍.,1520898174612819971,Miss_Flatt78
Chris Hemsworth with Cuties https://t.co/Lkov8BfYGQ,1520898108028243968,Adem16836942
"Every time I want to grow Thor-length hair, I remind myself that even Chris Hemsworth doesn’t have Thor-length hair",1520894138887122944,jimmyjanda
Chris Hemsworth is celebrating. https://t.co/AABNNP1GHS,1520878371915239425,MCU_Fanatics
"Reading this excellent article on Cabin In The Woods reminding me of my friend old Bill - it was his favorite movie, and laughing at this memory: 
“Hey Billy, does it bother you when people call you Old Bill?”
“Why would it bother me? I’m old as shit” 
https://t.co/UssW1rckNZ",1520875655549882370,cullend
"I had an opportunity to run a campaign for the new Thor movie in July. In AUS we see it first with timezone, this was going to be the world first premiere AND Chris Hemsworth was gonna be present but the campaign manager said “oh its in Sydney” and declined 😭😭😭",1520874343085264898,MoonlovingOt7
Chris Hemsworth https://t.co/YSEn3XZXHG,1520864701000949760,lionheartamelia
kim is so hot you’re so right ! also chris hemsworth harry styles dylan o’brien johnny depp robert pattinson https://t.co/TLC7nkql3S,1520861701549158400,marijuarry
idk who Kim is lol but Chris Hemsworth is the only person I’m currently attracted too https://t.co/yg4l51kpzq,1520861223008542721,hemswrld
Chris Hemsworth saying he wants to [redacted] me until I [redacted] or when they seriously look at me and say I wanna fuck the shit out of you 🫣 https://t.co/KXC1fewVJa,1520861047623946241,hemswrld
Chris Hemsworth is hawt. I want to lick his face.,1520860426879344644,the_D77
"People: “Feminists need to pipe down, men and women get equal billing.”
Link on @Film4: “Tomorrow night it’s Men In Black: International, starring Chris Hemsworth, with Tessa Thompson along for the ride.”",1520856487983202305,rachelecook
"Avengers: Age of Ultron, written and directed by Joss Whedon and starring Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Jeremy Renner, Don Cheadle, Elizabeth Olsen, James Spader and Samuel L. Jackson, was released on this day in 2015 (USA) 🎬 https://t.co/cZ5SRAaqu4",1520856045903515648,SciFi31
Best Chris Hemsworth Performances That Aren't Thor - Collider https://t.co/NZak6Q7E4c https://t.co/lOpXKHtGRO,1520853383778689024,mochipuny
From Jennifer Aniston to Chris Hemsworth: 10 actors who almost didn't play their most iconic roles. - Mamamia https://t.co/fsCNrEHtJG https://t.co/cAJGfN3fzZ,1520853373309710337,mochipuny
"Chris Hemsworth Trolls Brother Liam With Shirtless Birthday Tribute: ""Get In Shape"" - E! NEWS https://t.co/SI82vWNZPq https://t.co/I0J0El55gX",1520853347183435777,mochipuny
Chris Hemsworth reveals his shock monster junk food meal as he lands in LA - Daily Mail https://t.co/E4pLdGBhqT https://t.co/sax6GG0WP5,1520853337100324864,mochipuny
AVENGERS INFINITY WAR !!! 📺🎬 🤗✌ Avec CHRIS PRATT @prattprattpratt ROBERT DOWNEY JR @RobertDowneyJr  CHRIS EVANS @ChrisEvans et CHRIS HEMSWORTH @chrishemsworth !!! 😍✌😉 #déjàvumaisonsenlassepasderevoir #cinédimanche #tf1 https://t.co/3frWtdQFtl,1520851565166407681,inmyworldwill
Wanna feel old? Chris Hemsworth is turning 333 today,1520848445027717120,wanna_feel_old
too meet Chris Hemsworth also to hug my twt besties someday :/ https://t.co/a9RBkiAV3b,1520846745533652993,hemswrld
Chris Hemsworth is the reason i stopped calling myself lesbian (no joke) https://t.co/rUCNLGPwCH,1520839108167360513,ugottasaveme
Chris Hemsworth is still the sexiest white man to grace planet Earth.,1520839021743718401,itboytray
Extraction has Chris Hemsworth committing mass murder in Bangladesh trying to rescue a kidnap victim. The film takes itself so seriously but is so dumb &amp; predictable it almost defies description. Where's Arnie when you need him to put some fun in it? https://t.co/jHDNpE9XMY,1520833276663025666,RichardGeorge37
Chris or Liam hemsworth?,1520822991642406913,Jamayz
Elsa Pataky and Chris Hemsworth take their lizard to the deli - HOLA! USA https://t.co/dApFDsi0on https://t.co/R0nxmf0Vyb,1520807306585264129,mochipuny
Extraction 2 Wraps Filming After 5 Months of Production - Collider https://t.co/tV2cLBQq3m https://t.co/LvDQZXcIpS,1520807297047359488,mochipuny
"Fact or Fiction #2

Chris Hemsworth will appear in at least 3 more MCU properties after Thor: Love and Thunder.",1520800926977740801,MarvelAPodcast
"How similar our taste of Actors :

10% Henry Cavill
10% Hero Fiennes
10% Dylan O'Brien
10% Cillian Murphy
10% Jacob Elordi
10% Johnny Depp
10% Tom Hardy
10% Chris Hemsworth
10% Benedict Cumberbatch
10% Luca Marinelli",1520795128884916224,stradamemoria
I decided to watch all of chris hemsworth's moviesssss,1520794659232321536,keisiepo
I've been on Twitter for a week and I'm being followed by Rodger Waters? Leonardo DiCrappyo? Chris Hemsworth? WTF who are these no checkmark ppl,1520790307087998976,GR8_TANG
