full_text,tweet_id,screen_name
2013 Topps Chrome GOLD REFRACTO #baseballcards https://t.co/ZySTI8pnpG,1520910174667558919,FinderCard
Christian Yelich 2020 Topps Finest  #thehobby https://t.co/YaI9Usvpcp,1520904572545478657,CardCrawler
"Milwaukee Brewers Christian Yelich Nike Jersey Cream

https://t.co/cSJQrlUASg

#sponsored #milwaukeebrewers #mlb #baseball #brewers #milwaukee #thisismycrew #milwaukeebrewersnation #christianyelich #brewcrew #gobrewersgo #brewersbaseball #thisisourcrew #wisconsin #milwaukeebucks https://t.co/e6tRDCNeYQ",1520902020927995905,DaddyFatStacks8
Check out 2021 Topps Series 2 Christian Yelich '65 Chrome Redux Refractor TH65-29 https://t.co/uQtbgajNCu #eBay via @eBay,1520896283212500995,Gonzo2323Jose
truly the shocker of the summer. only thing that's weirder to me is Christian Yelich in Milwaukee. https://t.co/NAToJIzMTV,1520894542718791680,Matkanen
"Milwaukee Brewers Christian Yelich Nike Jersey White

https://t.co/wnVxs04VyP

#sponsored #milwaukeebrewers #mlb #baseball #brewers #milwaukee #thisismycrew #milwaukeebrewersnation #christianyelich #brewcrew #gobrewersgo #brewersbaseball #thisisourcrew #wisconsin #milwaukeebucks https://t.co/p2rU3n7M3A",1520894461999386624,DaddyFatStacks8
"The Chicago Cubs won a thrilling game against the Milwaukee Brewers, 2-0. Both teams had some big hits, but the Brewers couldn't capitalize on them and ultimately struck out four times. The crowd was electric throughout the game, especially when Christian Yelich came up to bat.",1520874090638282752,thebaseballwtf
Brewers fans don’t want to talk about how Christian Yelich’s contract is looking very similar to Jason Hayward’s https://t.co/LJXQWfi5Rm,1520870444458557441,rynob_17
Christian Yelich in a big spot https://t.co/ZgGXuOyxIt,1520869627227779074,FieldsofDreems
"With the new Twitter rules, can I say fuck Christian Yelich without getting banned? #Cubs",1520868413886763008,BadFazil
Hate dealing with Christian fucking Yelich at here.....#Cubs,1520868033484386304,Jerkass10
How about a vintage Christian Yelich moment! 🤞,1520867959220146178,taylorwmj
"Christian Yelich gets a shot with a man on trailing by 2.

Might want to get to your TVs just in case 👀",1520867879528415233,BrewersOfMKE
That’s it that seals the deal. I’m no longer a Milwaukee Brewers fan. I’ve been a fan since 2018 when we acquired Christian Yelich and have never been more disgusted. I officially will be deactivating my account. I’m going to Cincinnati where they know how to run a baseball team.,1520867856501686280,yelichfans
@justmike Blue Water as Christian Yelich’s walk up song last night was a vibe! #keepgoing https://t.co/suylCH88vs,1520862228861304834,achristman34
"#Cubs 2 @ #Brewers 0 [B7-2o]:

Christian Yelich (foul tip; 1)

RHP Marcus Stroman (5)
Seq (6): FC SI sl SL sl FS
s3: 84.8mph Splitter",1520856414499053569,whifftracker
"This is the Pete Davidson/Christian Yelich picture for Drew Brees and Jacob Berry. Love these.
(📸@LSUbaseball) https://t.co/0IbLYSnoGb",1520836366510264324,Seventy7NB
2013 Topps Chrome GOLD REFRACTO #baseballcards https://t.co/lfVMpbfJs1,1520833773767643141,FinderCard
"Christian Yelich Watch!!!! Trying to stay positive, keep taking those baby steps.  He is on pace for .227 AVG 21 HRs and 85 RBIs @brewer_fanatic @ReviewngTheBrew @Brewers #Brewers @ChuckFreimund @kuhnj30",1520831262101016576,bbprospector
