full_text,tweet_id,screen_name
Damn Crew marketing screwed up. You got Cleveland Cavaliers players saying they want to go to Nashville SC matches. Bad look. #Crew96,1520908808914194433,sconner88
"#OTD May 1st, 1988: Michael Jordan becomes the first player in NBA Playoff history to record consecutive 50-point games, with a 55 point outing in Game 2 vs the Cleveland Cavaliers. He also had 50 points in Game 1, just three days earlier. https://t.co/nL4fku8lPJ",1520874151052865536,AirJordanMuse
Draymund Green is public enemy #1 in the NBA his bonehead flagrant foul got him elected from the Game vs Memphis now Golden State is falling apart that same moron Green that help LeBron James hijacked the 2016 NBA FINALS gave Cleveland Cavaliers an u deserving NBA TITLE,1520872419673755650,hag98588995
LEBRON JAMES 2017 18 Contenders #basketballcards https://t.co/XTEseXSdiH,1520865019809968130,CardsHoop
Former Cleveland Cavaliers' champion J.R. Smith named Academic Athlete of the Year at North Carolina A&amp;T https://t.co/TLiZNKnM0Q via @YahooNews,1520847425065394176,RobertMCle
"May 01, 1988 After scoring 50 points in Game 1, NBA Eastern Conference playoff series, Michael Jordan has 55 in Chicago Bulls 106-101 win vs Cleveland Cavaliers in Game 2; first to score 50+ points in consecutive playoff games #Today #OnThisDate #People #Event #PR https://t.co/cAF0xr91AC",1520837449655627776,AmirAlhaj_ph
"https://t.co/AQJE5Hthei January 14 2006, Cleveland Cavaliers @ 227's YouTube Chili' Phoenix Chili' Suns #WeAreTheValley https://t.co/8jFVPivbHv Spicy' https://t.co/vv8x1AZ0XW Spicy' NBA Mix! https://t.co/4UkvRwXOMX https://t.co/v6vxXFYimA",1520799221254926338,Hoops227_NFL
The Cleveland Cavaliers  have won the 2032 NBA championship.,1520781370540236802,JohnStanleyNBA
"📩 header - Manchester United, Cleveland Cavaliers e Flamengo https://t.co/jSVlcxm1GV",1520778633794801664,MadeByLima
"#TDTY #01May #Year1988
Sports History:
After scoring 50 points in Game 1, NBA Eastern Conference playoff series, Michael Jordan has 55 in Chicago Bulls 106-101 win vs Cleveland Cavaliers in Game 2; first to score 50+ points in consecutive playoff games",1520763877428015104,HistoryStation1
UNK Heritage America NBA Cleveland Cavaliers Distressed Patch Jeans 36 X 34 NWT #eBay🇺🇸 #Men #Jeans https://t.co/bUpniUNJd2,1520730284890722305,MenJeansAlt
