full_text,tweet_id,screen_name
Huge series win in Oakland.  Needed that badly after the start of the road trip. Now back to Cleveland for a home stand that should be a good test for the youngsters.,1520915957878767616,Guardians_216
The all or nothing Cleveland Guardians! 🙂🙃 https://t.co/Lc8k2xa374,1520915604898828290,OSUSportsFan93
"It was an AWESOME game with the Cleveland Guardians winning 7-3 against the Oakland Athletics. The A's gave it their all, but ultimately came up short. For the Guardians, Stephen Piscotty scored one run and Chad Pinder had two hits.",1520911770445094912,thebaseballwtf
"Pretty sure the Guardians only know how to sweep or be swept. Cleveland completes the series in Oakland with a 7-3 win. 

Magic number: 144.",1520908994797350915,ClevelandMagic
"Cleveland Guardians ✅

Learn more about the Line Prophet Platform:
🏠 https://t.co/p6XBSqFdVO
ℹ️ https://t.co/vOVn6GsNIw
🔒 https://t.co/SCBxB9yTXa https://t.co/e0IEq5r2LA",1520908626394767361,LineProphetLLC
Triston McKenzie found his comfort zone and stayed there Sunday as the #Guardians ended their 10-game road trip with a 7-3 victory to sweep the Athletics at RingCentral Coliseum. https://t.co/VA7lB3eUwy,1520908428146794499,GuardiansTalk
Great weekend for the Guardians! San Diego comes to Cleveland on Tuesday. Go Guardians!⚾️ https://t.co/Dh0tDVByOV,1520906990377213953,BrunswickJeff
"Trevor Stephan - Cleveland Guardians 0.2 IPs, 2 Ks",1520906674114113536,mlbstrike
"Triston McKenzie - Cleveland Guardians Win, 6.1 IPs, 4 hits, 7 Ks, 1 BB",1520906673480773634,mlbstrike
"Eli Morgan - Cleveland Guardians 1.0 IP, 1 K",1520906672918732805,mlbstrike
"Triston McKenzie - Cleveland Guardians Win, 6.1 IPs, 4 hits, 7 Ks, 1 BB [FD(49.3) DK(28.725)]",1520906671912013824,MLBTopPerformer
CLEVELAND GUARDIANS MY BELOVEDS #ForTheLand,1520906356055851013,alys216
Send Gose to Akron #Guardians #ForTheLand #MLB #Cleveland,1520903488665964544,R3DArrow
"Another 4 Unit MLB Winner Hit 5U, 4U, shit bed on 3U.
4 Units Cleveland Guardians -114 T Mckenzie (RHP), J Kaprielian (RHP) Must Start.

🔥17-4 Run 5 Unit Plays L 44 Days 80% Winners🔥
🍻🤑81-43-1 Last 44 Days 64% Sports Run🤑🍻",1520902100498227201,j_dbets
"We're being informed that the Warriors won an apparently-very-exciting playoff basketball game. Well, that's nice. The A's just stranded runners at the corners in a 7-0 ballgame against the Cleveland Guardians. #DrumTogether",1520895778994081792,uprootedoakland
"MLB (973) Cleveland Guardians at (974) Oakland Athletics. 4 Units Cleveland Guardians -114 T Mckenzie (RHP), J Kaprielian (RHP) Must Start. https://t.co/W0nSXIZGfU",1520895719426691073,j_dbets
Cleveland Guardians broadcasts: Your source for Huey Lewis news.,1520892084764434432,HistoryBoyle
"There’s not many of these young #Guardians (who have debuted this season) that aren’t enjoyable to watch. 

Cleveland has a lot of likable, young players who have high ceilings ! #ForTheLand",1520891882385166336,chucks93
"Just wrote about him.
https://t.co/t7HrrAqQMj https://t.co/6xpucLznI2",1520890448474214400,bbournival
"Cleveland Guardians: sweep or either get swept. If they were continue in this all season long, would you be upset?",1520888986205659136,1dominicdm
Wait wtf when did the Cleveland Indians change to the guardians? Why is this the first Ive heard of it?,1520886441231851520,This_is_Seanski
A’s really bouta get swept by the Cleveland guardians of the galaxy,1520885010252791808,CherryMotivated
Where is @mattu12cle and Manning this weekend?  Did I miss something?  #Guardians #Cleveland,1520884781885661184,acozy55
God i dont want to see these conservative bullshit ads i just want to watch my cleveland guardians game in PEACE,1520882497474764804,christmasace
"If you haven’t heard, we are now on the apple podcast app. Along with the Google podcast app, and Spotify, we are available on your favorite streaming apps! Go give us a listen and a subscribe! 
#Browns 
#Cavs 
#Cleveland 
#Guardians https://t.co/WBAAojw8tE",1520877760704614407,TheDawgCheckPod
"""He is no home run king, but he will get on base by any means necessary. This unselfish player is focused on winning and Steven Kwan is showing that he is a team player.""

@CalltothePen 
@alvinmanogarcia 

https://t.co/QPwPcl3PYg",1520876873718407169,kevingamin
Devils in the Outfield by Fay Vincent https://t.co/U18izd5cIz via @WSJOpinion,1520875744305504263,SCOURING15
"""Game Thread #22: A’s vs. Guardians"" https://t.co/PChtJuUNAp #Athletics #MLB",1520871296892088329,EricLink2
Somebody tell these announcers it’s Ho-Say not Ho-See. 😡#Cleveland #guardians,1520871194609786880,GypsyLiz
Lordy let Franmil break out of his slump #cleveland #guardians #mlb,1520870918188318722,GypsyLiz
Jose Ramirez - Cleveland Guardians,1520869466212642816,MlbSteals
Myles Straw - Cleveland Guardians,1520866971855822851,MlbSteals
"Luke Maile with an rbi double to give the Guardians a 1-0 lead. Considering how the catchers have been hitting, Maile has been hitting pretty well to start his time with Cleveland",1520865565065179136,joedcollins1
"""His performance on Monday, when he was 1-3 with a triple and two walks while scoring two runs, meant that he reached base safely 15 times in his first four games.""

@CalltothePen 
@onenamedave1 

https://t.co/LGLUuW9E0u",1520863112479522816,kevingamin
26865 days since the Cleveland Guardians last won a World Series #ourCLE #mlb #baseball,1520862286826639361,GuardianDrought
Cleveland Guardians vs Oakland Athletics #Guardians #Athletics #Sports #Baseball #Deportes24 #Streams #lIVE https://t.co/cEibjIaQkr,1520857108454989824,alfon09
Game Thread #22: A’s vs. Guardians https://t.co/ihB0uuEi2M,1520856950912823297,athleticsnation
[10MINWARNING] Cleveland Guardians -118 vs Oakland Athletics +108 | Sun 16:07ET #MLB ~ Bonuses up to $1500 https://t.co/8fF6JEEyHb,1520854744348172293,HEATRsports
"As you settle in to watch Cleveland sweep the A's, we remind you that bidding to watch the Guardians live ends tonight at 9! You also take home a beautiful collectable canvas photo of Progressive Field with the iconic script Indians scoreboard. Good Luck: https://t.co/ow4M7Kb4Ay https://t.co/yLoaUpslk4",1520854473656184832,TrinityHS
2022 Topps Now 27 Steven Kwan 1 #whodoyoucollect https://t.co/3dzVrvN1N8,1520849591050321920,sportscardcoder
Cleveland Guardians April 2022 Review￼ https://t.co/VuErXALUze https://t.co/T0y5gsnvFg,1520846909803352065,GBI_Joe
Today's MLB Picks: 4:07 PM ET - Cleveland Guardians vs. Oakland Athletics - 25 PICKS AVAILABLE: https://t.co/DwhySTME4Q #mlb #gamblingtwitter #sportsbetting #freepicks #cappertek,1520846071660007427,cappertek
Check out Emmanuel Clase 2022 Topps Series 1 Purple Parallel Cleveland Guardians #190 #baseballcards #baseball #HobbyFamily #thehobby #tradingcards #topps #collectors #collector #whodoyoucollect #MLB https://t.co/n5L7dzl64Z #eBay via @eBay,1520844850584772613,Jayski711
About to talk Guardians baseball on Guardians warmup with Munch Bishop. Tune in beginning at 3:05 on WTAM 1100 in Cleveland!!,1520839520249421824,RonPotesta
"Cleveland Indians fan spills beer on woman, nachos while trying to catch foul ball https://t.co/4yuh3ToLU3",1520836603568087045,Charles88731460
"Today the @Athletics are hosting a youth baseball and softball day #AtTheColiseum. Little leaguers, along with parents and fans in attendance today will #DrumTogether to cheer on the Green and Gold as they play the final of a 3-game series against the Cleveland Guardians.⚾️💚💛🐘 https://t.co/VGxSHi5fl0",1520833200968200193,SacTownBarnbaum
Guardians at Athletics 5/1/22 - MLB Picks &amp; Odds https://t.co/bpAKGu0GTr #PicksParlays #ForTheLand #DrumTogether https://t.co/ndAd5vCB8y,1520828662962139136,PicksParlays
"5/1 Cleveland Guardians Lineup:

1 CF Myles Straw
2 RF Steven Kwan
3 3B Jose Ramirez
4 2B Owen Miller
5 1B Josh Naylor
6 DH Franmil Reyes
7 SS Andres Gimenez
8 C Luke Maile
9 LF Richie Palacios

 SP:Triston McKenzie #ForTheLand  #MLB",1520820793260785664,GSMLBPicks
"Part of a new commission for a Cleveland #Indians #Guardians fan are these custom Al Rosen cards...

Yellow or Red @ $35 each +$3.95 S/H via PayPal. DM to order 🙂 https://t.co/86FUpfSWgS",1520820411096879106,roselleavenue
"Please note, for the #MLB Side Selection in the previous tweet, James Kaprielian must start for the Oakland Athletics and Triston McKenzie must start for the Cleveland Guardians otherwise this selection is no action. #MLB #MLBPicks",1520820132666392576,GSMLBPicks
Cleveland Guardians (-130) (Triston McKenzie) OVER Oakland Athletics (James Kaprielian). #MLB #MLBPicks #DrumTogether  #ForTheLand,1520820131848404992,GSMLBPicks
"I’m back! Check out my review of the month of April for the Cleveland Guardians!
#ForTheLand https://t.co/1HZlmKALLM",1520818936673017856,joedcollins1
Cleveland Guillen’s actually sounds a lot better that guardians😂😂😂 @NBCSWhiteSox @ChuckGarfien @OzzieGuillen,1520818812433616897,BurnerOzzie
Cleveland Guardians April 2022 Review￼ https://t.co/Udsn48EvFu,1520817876822806532,Official_CGBI
"Cleveland Guardians Starting Lineup 5/1
 1. Straw OF
 2. Kwan OF
 3. Ramirez 3B
 4. Miller 2B
 5. Naylor 1B
 6. Reyes DH
 7. Gimenez SS
 8. Maile C
 9. Palacios OF
https://t.co/9qdcv6EMaO",1520815763061411841,LineStarMLB
"MLB:
#MLB #LAAvsCWS #Angels #WhiteSox #SouthChicago #Tribe #Guardians #Cleveland #baseball #Oakland #Athletics #MLBTheShow #FreePicks #gamblingtwitter 

White Socks +110
Guardians -116",1520809948791377920,Sharp_Playz
"It's Bank holiday weekend &amp; while the @CleGuardians being out west means we don't get our usual early Sunday game, it's a 9.07pm start here in the UK! Can the Guardians complete a sweep over @OaklandAUK? Tune in later to find out. @T_eazy24 starts for Cleveland 💪

#ForTheLand https://t.co/vQF56LkeS5",1520807971617398785,GuardiansFansUK
2022 Topps Now 27 Steven Kwan 1st R #thehobby https://t.co/NWBdo9oX9S,1520802648127164418,CardCrawler
26865 days since the Cleveland Guardians last won a World Series #Guardians #Tribe #mlb #baseball,1520801887691415553,GuardianDrought
Join us today for another Cleveland Guardians vs. Oakland Athletics game! Airtime on WLEC starts at 3:35pm and the game is at 4:07pm. https://t.co/CHf2sPnSAG,1520801276371648514,1450amwlec
"Right-hander starting pitcher Mike Clevinger will make his return from Tommy John surgery with the #Padres on Tuesday against his former team the Cleveland #Guardians, manager Bob Melvin announced on Saturday. It will be his first start since 2020. https://t.co/Ob4BI6tWOj",1520800138406490114,sportskeeda_mlb
"Risk: $22.00 - Win: $22.44
MLB - TOTAL o7½+102 (Cleveland Guardians vrs Oakland Athletics) ( Action / Action )",1520798773257158658,Birdmang2112
Cleveland Guardians vs  Oakland Athletics Prediction 5/1/22 - Free MLB P... https://t.co/FmJ5wZ5dPh via @YouTube,1520797227572244482,gamblingjunkie1
"CLEVELAND GUARDIANS 3-1
OAKLAND ATHLETICS, Final.
#ForTheLand",1520797019987709952,Freddy13Perez
"(TristonMcKenzie) CLEVELAND GUARDIANS vs OAKLAND ATHLETICS (JamesKaprielian), 4:07PM.",1520795829790986240,Freddy13Perez
