full_text,tweet_id,screen_name
2017 TOPPS CHROME ROOKIE AUTOGR #baseballcards https://t.co/XGCqPycuae,1520915875867545600,FinderCard
CODY BELLINGER TRUTHERS! MOUNT UP https://t.co/4L0xMHYeIC,1520912965012140033,24Orangemamba
Cody Bellinger https://t.co/rTGkvDECe7,1520910577014476800,mattbsm
Cody Bellinger snapped his 0 for 21 skid in his last at bat... Hopefully now they take down his T-Shirts from the Clearance Rack at Walmart!!!  #Smh  #Dodgers,1520899037569847296,BleednblueJohn
MLB LAD Cody Bellinger .211,1520898709294264320,JamestownCalif
MLB Tigers 2 Dodgers 6 Bot 8 Cody Bellinger At Bat,1520898645582786560,JamestownCalif
"Cody Bellinger strikes out swinging.

End of the 8th | 3 outs

#DETvsLAD",1520898548383985664,DodgersNation
"#Tigers 2 @ #Dodgers 6 [B8-3o]:

Cody Bellinger (swinging; 2)

LHP Andrew Chafin (2)
Seq (4): ff SI SL× SL
s3: 82.5mph Slider",1520898451210489856,whifftracker
Cody Bellinger walk up song being Hustler Musik is hard lol,1520898186340179970,ArlonHarper
Check out Cody Bellinger 2022 Topps Heritage SP Short Print Card #497 Los Angeles Dodgers  https://t.co/SKR7hTUV6T via @eBay,1520897295537090562,Jeremy1234321
Cody Bellinger snaps an 0-21 slump with a first pitch RBI double with a 91 MPH exit velocity against Detroit lefty Eduardo Rodriguez. Belli was 0-2 with a strikeout in his first two at bats against Rodriguez. #belliwatch,1520889856091586565,BelliWatch
"DODGERS SCORE!
Gavin Lux reaches on a fielding error by shortstop Javier Baez.   Cody Bellinger scores.

Tigers: 0
Dodgers: 6

Bottom of the 6th | 2 outs

#DETvsLAD",1520888482247299072,DodgersNation
MLB Detroit 0 Los Angeles 6 Bot 6 Cody Bellinger RBI,1520888221172830208,JamestownCalif
Gavin Lux drives in Cody Bellinger from 2nd. 6-0 Dodgers!!!,1520887616970838019,dedicateddodge2
1 out RBI double for Cody Bellinger! 5-0 #Dodgers #LFG,1520887218566406144,mpier42
Cody Bellinger with a RBI double.  Chris Taylor scores from 1st!!! 5-0 Dodgers,1520887045794803712,dedicateddodge2
"Chris Taylor led off with a single, and Cody Bellinger ended a drought with an RBI double.

#Dodgers up 5-0 in the 6th.",1520887031731159040,DodgerBlue1958
"DODGERS SCORE!
Cody Bellinger doubles (4) on a line drive to right fielder Austin Meadows.   Chris Taylor scores.

Tigers: 0
Dodgers: 5

Bottom of the 6th | 1 out

#DETvsLAD",1520886971794558976,DodgersNation
"Jeimer Candelario lines out to center fielder Cody Bellinger.

Middle of the 6th | 3 outs

#DETvsLAD",1520885714048536576,DodgersNation
.@Dodgers This is a public service announcement: cody bellinger of the #Dodgers -- the worst hitter in #MLB -- is now batting .200 #MendozaLine #SendCodyDown,1520877247099379712,RootForBlue
"It’s unfortunate, but Cody Bellinger is slowly becoming an offensive liability. 0-20 in his last 20 AB’s #Dodgers #MLB",1520876779312885760,LeBill77
"Hmm, so that's why Eduardo Rodriguez throws change-ups to left-handed hitters. Lefties were 2 for 3 with two homers against his change-up this year, but he got an ugly-swing punch out of Cody Bellinger with it to end a clean third inning",1520876536353542144,cmccosky
"Cody Bellinger strikes out swinging.

End of the 3rd | 3 outs

#DETvsLAD",1520876401225715712,DodgersNation
Cody Bellinger makes the catch to end the inning. 4-0 Dodgers bottom of the 3rd,1520874731221749760,dedicateddodge2
"Jonathan Schoop lines out sharply to center fielder Cody Bellinger.

Middle of the 3rd | 3 outs

#DETvsLAD",1520874640041996288,DodgersNation
"Austin Meadows flies out to center fielder Cody Bellinger.

Top of the 3rd | 1 out

#DETvsLAD",1520872879478296577,DodgersNation
"All Dodger batters OPS to start May:

Freddie Freeman .850
Chris Taylor .813
Austin Barnes .812
Will Smith .810
Mookie Betts .731
Trea Turner .724
Gavin Lux .723
Cody Bellinger .713
Edwin Rios .654
Max Muncy .586
Hanser Alberto .533
Justin Turner .525
Zach McKinstry .000",1520869852692369410,2Rawsko94
Cody Bellinger is now 0 for his last 19. Hitting 200 with a .275 OBP AND A .700 OPS. Never seen an MVP Fall off the face of the Earth like this.,1520869561670811654,GoodTimesandBB
Cody Bellinger is 0-19 since I wrote an article last week about how he had found his groove again.,1520868725393702913,DavidSalituro
"Cody Bellinger grounds out on the 1st pitch of the inning. Love ya, Cody but you gotta work the count baby. Lets go Dodgers!",1520868718334529537,dedicateddodge2
@MLBTheShow I want Cody Bellinger’s stance fixed pls,1520868705520943104,Scttalxndrstan
"Cody Bellinger grounds out, shortstop Javier Baez to first baseman Harold Castro.

Bottom of the 2nd | 1 out

#DETvsLAD",1520868600927571968,DodgersNation
"Tucker Barnhart singles on a line drive to center fielder Cody Bellinger.   Jonathan Schoop to 2nd.

Top of the 2nd | 1 out

#DETvsLAD",1520865831957139457,DodgersNation
"Just wondering if @Jennifers_b7 or @Cody_Bellinger of @dodgers gets any royalties for this street in Lynwood that was obviously named after them? I am thinking several million is due, right? #Dodgers #ITFDB https://t.co/sJfjNCCYeZ",1520854288469090304,2019IBeatCancer
"With that single, Cody Bellinger became Ping Pong 4 Purpose champions.",1520845629290958849,EdwinaSegundo
"Cody Bellinger has been even more impressed by Freddie Freeman now that they're teammates.
https://t.co/x9FNk1VZNX https://t.co/Fb9dmEg9Y9",1520840980479496197,DodgerBlue1958
Y’all know me for being a Bellinger hater but remember when people were saying “Cody’s back “ LMFAO😂😂 0-18 since he’s “Been back” but i still say I’ll eat my words if he ever does come back to his old self,1520823590303588352,AndrewDryphone
"Eduardo Rodriguez vs #Dodgers
D matchup

4.67 Innings, 2.64 Runs
5.02 Hits, 3.51 Ks, 1.64 BBs

Best Matchup: Cody Bellinger (A+)
Worst Matchup: Freddie Freeman (F)

Win: 22%, Loss: 42%, No Dec: 36% https://t.co/qNVOoRdbSL",1520812792344948736,BallparkPal_DET
Cody Bellinger: Freddie Freeman ‘One Of The Most Consistent And Best Players’ https://t.co/meg5BKIDIe,1520810513256562688,DodgersNewsApp
"The 4-5-6 hitters in the Dodgers lineup last night hitting .136, .196 and .205.  (Max Muncy, Justin Turner and Cody Bellinger).  No starters last night hitting over .300. #Dodgers",1520808173229072384,muckdog
"For as much undeserved backlash that Mookie Betts received, he still finished April with a higher OPS &amp; wRC+ than Trea Turner, Max Muncy, &amp; Cody Bellinger.",1520800627307147266,Klein25
