full_text,tweet_id,screen_name
#SelfCareSunday now watching Pride and Prejudice with Colin Firth as one should.,1520898224885747713,SStegemeyer
"LAST FEW DAYS
NOW SHOWING - A 'MUST SEE' FILM! - BOOK NOW 01598 753397
Colin Firth - Matthew Macfadyen - Kelly Macdonald - Penelope Wilton - Johnny Flynn - Jason Isaacs - Simon Russell Beale - Mark Gatiss 
https://t.co/1Mrl5JqmDF
https://t.co/dqaNCJzjkI",1520891291659390980,Lyntoncinema
"NOW SHOWING - A 'MUST SEE' FILM! - BOOK NOW 01598 753397
Colin Firth - Matthew Macfadyen - Kelly Macdonald - Penelope Wilton - Johnny Flynn - Jason Isaacs - Simon Russell Beale - Mark Gatiss 
https://t.co/TEXYmwxmpv
https://t.co/dqaNCJzjkI",1520891179906314240,Lyntoncinema
Mr. Darcy vibes. Btw if y'all aren't considering him for a Pride and Prejudice remote then Hollywood is truly dump. Remember when Colin Firth dove into that pond and got his white shirt all wet? Very that https://t.co/44LnYvVJkD,1520884576402513922,femmephibian
"When Colin Firth says ""I have a right to be heard I have a voice"" in The King's Speech I feel that. Every time. Always hits home. We have a right to be heard and listened to, such a beautiful movie about the ups and downs of disabilities, with a gorgeous soundtrsck, love it.",1520878921486675972,SarahOa64492096
watching kingsman rn and am once again reminded that I fucking love colin firth,1520870648574357506,MsUnsympathetic
meryl streep and colin firth (2012) https://t.co/gknuZjnhPD,1520868842003746817,bellwjour
shane was just a dull baker before a pharmacist came into their life. soundtrack by miley cyrus. featuring daisy ridley and colin firth.,1520858432932261888,romcomgenerator
"Arthur Newman is on at 2:30PM PT! A story of a man who fakes his own death and assumes a new identity in order to escape his life, who then moves in with a woman who is also trying to leave her past behind, starring Emily Blunt and Colin Firth. https://t.co/hhkTKOxcTq",1520855581426212865,ShoutFactoryTV
"I have invented a new holiday, May the Firth.  You celebrate by watching Colin Firth movies and drinking wine.

I don't like either of those things, so have fun without me!",1520850263505997826,LordeHelmut
I am watching something with colin firth tnight,1520847302524551168,clichebackstory
Hugh Bonneville looks like a Great-Value version of Colin Firth. #Paddington2,1520839771186208768,FinchamsFancy
I can’t believe they’ve made a The Staircase adaptation with Colin Firth! FFS!,1520834655959887872,sarahmufc93
MOVIE NEWS: Dwayne Johnson joins Colin Firth in remake of Dr Strangelove set during nuclear fallout,1520833736979275776,StarringTheRock
"Another true crime show alert: The Staircase is out on HBO this Thursday. Colin Firth, Toni Collette (😍), Parker Posey (😍🤩😍)... I'm intrigued.",1520829295463124992,KR1573N
Oooh Mrs G will be happy. Colin firth in a dramatisation of The staircase starting on Thursday,1520825743529644032,LessGrumpy
Hugh Grant &amp; Colin Firth fighting in the street in Bridget Jones’s Diary while It’s Raining Men plays is the height of cinema,1520824137874354178,taymaple
"We are proud to announce Colin Firth’s new podcast, Firth Among Equals.

@CBBCatchphrases",1520793497317646338,SausageOConsent
"The Ipotane attacked Colin Firth , because they ate the last  piece of pizza topped with onions !",1520791716009193472,SurrealSammy2
Kingsman: Colin Firth and Taron Egerton Interview https://t.co/hjvZ1TVIMK 출처 @Yahoo,1520751678521155584,YVI3GYR
"Enjoying The Murder of Mr. Wickham by @claudiagray so far.
I imagine I'd be enjoying it even more if I'd read Jane Austen.

My knowledge is Elizabeth Bennett = Keira Knightley, Darcy = Colin Firth (though there were both in different versions), and Emma = Anya Taylor-Joy.",1520751620614762496,axlreznor
"GUYS, I THINK I'VE FOUND THE FULL VERSION OF HAROLD PINTER CELEBRATION EVENT WITH MICHAEL SHEEN, COLIN FIRTH, JUDE LAW, JEREMY IRONS AND ETC.
Here's the link ( I watched it with VPN from Romania and IDK if it work without it but here you go) https://t.co/FKjGEPo9kd🔥 https://t.co/zp49WTy8vk",1520742190317809665,EvaOwsen
"As Intry to read a manuscript on vacation and the wind constantly tries to snatch it away from me, I keep remembering a scene from Love Actually, where poor Colin Firth list his manuscript to the lake 😂 https://t.co/dYBDHYxLsz",1520734834120966152,MercikNadya
Who makes the better Darcy in your opinion? Colin Firth or Matthew MacFadyen https://t.co/EIAqm0JNFk,1520708617674104832,Patricia_Rice
"stan list (updated):

helen mirren
selena gomez
colin firth
taylor swift
doja cat https://t.co/PNrUBCSnmC",1520703670672834561,folkrarefirth
"Colin Firth in a new gripping thriller, @deborahross’s thoughts on #TenPercent and a look at what’s hot in music, film and comedy
Grab a copy of today’s #MailonSunday for all your essential weekly telly updates and more https://t.co/tFTbHhr1pr https://t.co/OJdpJWvL2E",1520689482927812608,MoSArtsCulture
"Movie Quotes: """"There is nothing noble in being superior to your fellow man; true nobility is being superior to your former self"". Colin Firth (Kingsman: The Secret Service)",1520683376935636992,OnefilmsMovies
"Is, that Colin Firth next to her, and if so, why? https://t.co/1Zx0aXNKRV",1520677766336856068,knarz
"It’s 1943 and you’ve intercepted a top-secret dossier to be the first to see WWII spy film starring Colin Firth at our Senior’s Morning Tea Preview of Operation Mincemeat on Wednesday, May 11. 

Includes a tea/coffee &amp; biscuits!

Book your tickets here! https://t.co/Euc2nOAQye https://t.co/p4ijy8HGsn",1520674629173624832,DendyBrisbane
I just learned there is a new show about The Staircase case and it stars Colin Firth. God is good.,1520622608181518338,kaitlin_aitch
Colin Firth 😍🤍,1520620618441445376,francoxsarita
"#MayMovieMusic 
Day 1 | A
Another Country
Rupert Everett...Colin Firth...Be still my beating heart
https://t.co/3jCGRIMSNT",1520608218723938306,GuyChats
"girl help lol
https://t.co/3WhcGGfJvN",1520604950824247297,ribslyrics
Young Colin Firth…….hold on https://t.co/No4ysIIG5o,1520597686625394688,diffendoofer69
How old were you when you saw a dripping Colin Firth? https://t.co/GxCcl6YkAc,1520590658674831360,MrDarcysWetBody
colin firth my beloved ….. https://t.co/Sq5CxUHruZ https://t.co/oVadZcUwDj,1520576086563856386,lilactigris
How have I never noticed gay Colin firth in mamma mia,1520563820166623232,chaaaarliej
colin firth for president…………of my heart,1520562128649961472,olmandyparis
"me, reading my hilarious colin firth tweets to my husband: hahahaha
my husband: you and your colin firth shitposting

#colinfirthshitposting",1520561432202518528,olmandyparis
colin firth is my generation’s hugh grant,1520561152702431233,olmandyparis
COLIN FIRTH IN MAMMA MIA IS GAY,1520561134214029312,chaaaarliej
toni collete and colin firth movie ohh i'll be seated,1520558479915761670,saintborgias
all colin firth tweets deserve to go viral,1520556680559407104,olmandyparis
"colin firth is starring in an @hbomax miniseries, petition to make him start a twitter so i can reply to all of his tweets",1520555684387082241,olmandyparis
i want to a colin firth reply guy,1520554943639347200,olmandyparis
why doesn’t colin firth have twitter goddamnit,1520554876337627137,olmandyparis
"PREVIEW: Colin Firth and  Toni Collette star in new Sky exclusive drama #TheStaircase. More details:

https://t.co/6y8OXnvd9Q",1520546037655650305,tvukzone
"★★★★★ - Daily Mail

Odessa Young, Josh O'Connor, Colin Firth, and Olivia Colman star in Eva Husson's MOTHER SUNDAY - coming to Dendy Newtown June 2. https://t.co/jgptbuJCgj",1520538531009081347,DendySydney
"Don’t waste your time. An owl attacked Mrs. Peterson resulting in her bleeding to death.

'The Staircase' supplements case we all know and judge | AP News https://t.co/vnuTOVfs20",1520530743851683842,RibelleGP
Operation Mincemeat was so good! Cast pick for this film was spot on 👏🏼 &amp; Colin Firth ageing like a fine wine #OperationMincemeat,1520505550223650816,KirstyLWright_
"Two Mr Darcy’s in one film! #OperationMincemeat is not that kind of film they play two remarkable intelligence officers, Ewen Montagu (Colin Firth) &amp; Charles Cholmondeley (Matthew Macfadyen) to dream the most inspired &amp; improbable disinformation strategy of the war.
#VEDay77 https://t.co/hNKK6FChxh https://t.co/GkMcTisH8p",1520479782772916226,Zebra_carol
"I fell for Xander as Charlotte did: with a slow burn and then suddenly, wham! 🔥 he had hold of me. Now my new brooding Austen crush (sorry Colin Firth) ❤️ So many layers, mysteries, conflicting emotions and so much goodness in the man❤️ #Sanditon #Heybourne #benlloydhughes https://t.co/YSGTyBfjlU",1520477844165435392,SusanFirth4
"A young Colin Firth once said I have come to think of so much consciousness as a burden, a weight, and we have spared them that. They looked angry, Before turning to talk to David Beckham",1520443610931417088,DeepTalksWithA1
📷 Colin Firth and Geoffrey Rush in The King’s Speech (2010) Director: Tom Hooper https://t.co/dtIoOFlKjt,1520390517955125249,schmidtbuster
📷 Colin Firth and Derek Jacobi in The King’s Speech (2010) Director: Tom Hooper https://t.co/d0Bxx5o7BR,1520381964892651521,schmidtbuster
📷 Colin Firth and Helena Bonham Carter in The King’s Speech (2010) Director: Tom Hooper https://t.co/0hQC231pjP,1520379360456421376,schmidtbuster
📷 Colin Firth in The King’s Speech (2010) Director: Tom Hooper https://t.co/fyuxnd1ipZ,1520374206931906562,schmidtbuster
📷 Colin Firth and Helena Bonham Carter in The King’s Speech (2010) Director: Tom Hooper https://t.co/T7Xg84KsCi,1520371218750312448,schmidtbuster
