full_text,tweet_id,screen_name
"I’ll take it. Astros and the Reds/Rockies under had a chance after a 6 run 1st by Colorado. 5 day win streak. 🦾🦾 
Other cappers 🤥🤥 https://t.co/ipSBVpOSoh",1520915837397483525,nflpicksfitz
New Era 59Fifty Colorado Rockies Corduroy Munfu Lids Hat Drop 7 5/8 Gray Black https://t.co/fHS7YSUMN3 eBay https://t.co/J0ziVUXX9T,1520914851664519169,FanSouvenirs
@npratt44 I looove our Teams @Rockies @Avalanche @nuggets @Broncos @CUBuffs @ColoradoEagles @ColoradoRapids @DU_Hockey and other Colorado Team's!!!!!!!,1520910035140091904,atumnsonw
"ICYMI: @BallparkPal predicted both of Colorado’s home runs in the #Rockies vs. #Reds game…

-Cron HR
-Grichuk HR

#GamblingTwitter https://t.co/qOH8fK0RWC",1520909668050104322,one_more_bet
"Check out 2022 Topps Series 1 5 Card Colorado Rockies Parallel Lot Rainbow, Blue, Purple #baseballcards #baseball #HobbyFamily #thehobby #tradingcards #topps #collectors #collector #whodoyoucollect #MLB https://t.co/ydhKpBe9TK #eBay via @eBay",1520908394231734273,Jayski711
The Cincinnati Reds are 3-19 on the season and lost 10-1 to the Colorado Rockies today.  That's MLB economics in a nutshell.,1520907592947621889,Matthew_Sean96
"Kyle Freeland tossed seven strong innings for his first win of the season, and the Colorado Rockies completed a series sweep of the struggling Cincinnati Reds 10-1. https://t.co/FZeBDdVi5D",1520907443265585153,thbsports
"My daily share of Veen. Ends on Friday, 5 watchers and cheap 2.25. Snag a inexpensive number card for your PC. Check out 2022 Bowman ZAC VEEN Yellow Parallel15/75 Colorado Rockies. ‘20 9th Overall Pick https://t.co/YTgeAu9LwT #eBay via @eBay",1520906665083686912,phys_ed_joe
"Cincinnati Reds swept by Colorado Rockies, set franchise record for worst start to season https://t.co/xclqx84EDs",1520904853240913921,ChrisDinan5
Colorado Rockies: Growth Stunters pt. 47 https://t.co/f8oCIYLOjW,1520903579342618624,RoxPacers
