full_text,tweet_id,screen_name
"If the Jets go full rebuild Connor Hellebuyck would fetch a hefty return with 2 years left @$6.1 AAV 

#LetsGoOilers #VegasBorn",1520884600326696960,NateInVegas
Connor Hellebuyck in about 35 seconds https://t.co/ANqqBUVhWY,1520862664477581312,tjh3212
"Connor Hellebuyck makes 32 saves, Jets beat Flames 3-1 - The Associated Press - en Español https://t.co/mqmS8NuuLy #AndyVermautLovesAP #Whatsapp0032499357495 https://t.co/IAsiOlyAca",1520845888809144320,AndyVermaut
What a small world! I feel silly for not figuring this out but just thought it was a same name type thing! But wow am I laughing lol Chuck Hellebuyck(Connor’s Father) has a YouTube channel called CHEP which is for 3D printing tips and techniques. I’ve watched all of them!😅🤣👏👍 https://t.co/YImBmLZhF7,1520843395773591554,JETSFANatic09
NHL Winnipeg GO Connor Hellebuyck (rest) is out Sunday,1520820912601317381,freeplays
"CHICAGO 8, CALGARY 2
Aleksander Barkov had 2 goals and 2 assists and Mark Stone also scored twice. Adam Fox had 3 assists and Connor Hellebuyck made 35 saves. Connor Brown scored both Calgary goals.",1520818249503494144,TheTNHL
2015 Fleer Showcase Matt Murray #hockeycards https://t.co/K9idbxmRS4,1520651998391119873,gems_card
"NHL Recap - 4/30/2022 🏒
The Winnipeg Jets end season on a high, win their regular season finale at home vs the Calgary Flames. Connor Hellebuyck makes 32 saves, the Winnipeg Jets defeat the Calgary Flames, 3-1, for third straight win: https://t.co/12QhOP5G5m via @NHLdotcom",1520405921226240003,stribs88
"Connor Hellebuyck makes 32 saves, Jets beat Flames 3-1 https://t.co/18GBdbfaU9",1520369381804498944,NHLJets3
"Connor Hellebuyck makes 32 saves, Jets beat Flames 3-1 https://t.co/XTVrIPanQK",1520354280380772352,NHLJets3
"Connor Hellebuyck makes 32 saves, Jets beat Flames 3-1 https://t.co/sSBJIVjNeT https://t.co/Q4uN8py1QE",1520322737880780800,jetsarmy
"Connor Hellebuyck makes 32 saves, Jets beat Flames 3-1 https://t.co/iawvRLsNWM",1520312006800297984,NHLJets3
"Connor Hellebuyck makes 32 saves, Jets beat Flames 3-1 https://t.co/vXMECrOrnR #NHLRSS #NHL #startribunecom",1520307855009607680,trans_rumor
"Connor Hellebuyck makes 32 saves, Jets beat Flames 3-1 https://t.co/fZceQSruW5 https://t.co/xTlC4x1QOu",1520277041819512832,jetsarmy
"Connor Hellebuyck makes 32 saves, Jets beat Flames 3-1 https://t.co/Hp0rp3zebn",1520272744595824640,NHLJets3
Connor Hellebuyck: Ends season on high note https://t.co/MLsPCqACqV,1520260561950416896,RotoWireNHL
"Connor Hellebuyck makes 32 saves, Jets beat Flames 3-1 https://t.co/jE1KQHlC98",1520251608449396736,NHLJets3
"Connor Hellebuyck makes 32 saves, Jets beat Flames 3-1 https://t.co/7ujJHhG4nJ",1520248587648647168,NHLJets3
"NHL Highlights: Jets 3, Flames 1: NHL Highlights: Jets 3, Flames 1 Source: Sportsnet 5:35 | April 29, 2022 Connor Hellebuyck had 32 saves and Mason Appleton had the go-ahead goal as the Winnipeg Jets defeated the Calgary Flames 3-1. https://t.co/1kYmOrYxIL https://t.co/IFydbTnoIo",1520242077996519426,hockeyaddicts
"NHL News: Connor Hellebuyck makes 32 saves, Jets beat Flames 3-1 - READ FULL ARTICLE HERE: https://t.co/RkqyxHMWDL",1520236886299746306,cappertek
#NHLJets improve to 38-32-11 on the season and will close out the regular season on Sunday vs @SeattleKraken Connor Hellebuyck makes 32 saves in what is expected to be his final start of the campaign. Mason Appleton supplies the GWG. Blake Wheeler also scored.,1520229080955867136,WiebesWorld
"In a game that means nothing, Connor Hellebuyck has played extremely well. Just as everyone would've expected. #NHLJets",1520227347743617029,NHLJetsNation
Connor Hellebuyck is gonna win😐,1520223163690274816,EarpFlamesfan
First career NHL Hattie for this young star ! #Habs   https://t.co/jHSLSSsuAm,1520217065629487104,JoeDaleySports
“connor hellebuyck has been sensational” so true dennis,1520214099774291969,hellefuycked
Connor Hellebuyck is putting on a fine show during what might be his final start of the season. #NHLJets,1520214008149721088,NHLJetsNation
Connor Hellebuyck robs Tyler Toffoli on the doorstep with just under 3 mins to go in 2nd period.,1520213812191846400,WiebesWorld
"CGY: Matthew Tkachuk (42) assists: none Goalie Connor Hellebuyck (WPG 0, CGY 1 - 03:19 1st)",1520195738071965698,GoalNHL
