full_text,tweet_id,screen_name
"Lightweight Title
First Strawweight Title Rematch
Conor McGregor Sweepstakes

My body is ready for Saturday",1520914546705190912,lagsthegreek
"Raufeon Stots explains why he’s rooting for ‘highlighter-headed ass’ Danny Sabatello to beat Leandro Higo in Bellator grand prix 

UFC #UFC274 #UFC274  #MMA  Dana White #Boxing Conor McGregor #wrestling Khabib #fight Khamzat Chimaev https://t.co/NzrFY0V9Yn",1520909762648543235,MMAHWatch
"Main event loser set six different strike/significant strike records for the Bantamweight division. Follow Us on Instagram : https://t.co/aQ6VZC8zvr 

UFC #UFC274 #UFC274  #MMA  Dana White #Boxing Conor McGregor #wrestling Khabib #fight Khamzat Chimaev https://t.co/TwOD7Fc3km",1520909749168005120,MMAHWatch
Conor McGregor Trash Talks Jake Paul After Katie Taylor's Victory over Amanda Serrano https://t.co/wQP8hVmxfD via @TMZ,1520907860900777988,SportsCrunch_US
"Shinya Aoki taking down BJJ legend Garry Tonon and then taking his back Follow Us on Instagram : https://t.co/8D209ChOvL 

UFC #UFC274 #UFC274  #MMA  Dana White #Boxing Conor McGregor #wrestling Khabib #fight Khamzat Chimaev https://t.co/lOMUN9bdoB",1520903425357197313,MMAHWatch
Conor Mcgregor Advised to Fight UFC Bus Assault Victim By Chael Sonnen https://t.co/0y2VmSTA1k,1520901910538047490,The_MMA_Planet
Would Jake Paul be Conor McGregor be the biggest PPV ever?,1520901372761153536,Ash1MMA
"Uncle Chael says Conor needs to beat up Michael Chiesa.. 👀 Does it happen?

https://t.co/iON9TFpgki",1520897972573192193,MmaMakoa_
"Nate Diaz doesn’t agree with Justin Gaethje’s assessment of his performance against Khabib Follow Us on Instagram : https://t.co/8D209ChOvL 

UFC #UFC274 #UFC274  #MMA  Dana White #Boxing Conor McGregor #wrestling Khabib #fight Khamzat Chimaev https://t.co/D2FtwhyOu5",1520895989204271107,MMAHWatch
"Jake Paul and Conor McGregor didn't hold back
https://t.co/u9SZXqrfg4",1520895846581256195,brotips
"Conor McGregor blasts Jake Paul and pair exchange insults in Twitter war of words after Katie Taylor vs Amanda Serrano fight https://t.co/CpuKErth0y 
NO DOUBT, THEY'RE BOTH TWO IDIOTS WITH LEGS.",1520893220376301568,ByronRu21077815
"You could be anyone if you put the time. Conor McGregor
https://t.co/mOhe9zgHKX https://t.co/S6DXOtrpQj",1520887960278913025,phiofkhem
Why the fuck would anyone idolise Conor McGregor???? https://t.co/WRVt53MdS1,1520887455251148800,32_ireland
Jake Paul slams Conor McGregor: He’s ducking me | Video | Watch TV Show https://t.co/2ZOVlvNBW5,1520881054315429888,petgroomerNG
"I'm sorry but why was he so intense abt pushing his own fights? Stop bringing up Conor McGregor and stop promoting your own events Jake. This is the moment for Amanda, Katie and women's boxing. You took that away. @jakepaul https://t.co/aWDL9udwQZ",1520880650349338626,_lovely_212
i think the worst thing to ever happen was conor mcgregor,1520878692561563649,erodarrry
"Hey @TMZ @TMZ_Sports, these women are ✨BOXERS✨ — this wasn’t a UFC fight, nor was there an octagon in sight at @TheGarden. https://t.co/GeWudw4oVh",1520877821354147840,__kath
"[SPOILER] Strike differential between Rob Font vs. Marlon “Chito” Vera. Nearly 2:1 difference. Follow Us on Instagram : https://t.co/8D209ChOvL 

UFC #UFC274 #UFC274  #MMA  Dana White #Boxing Conor McGregor #wrestling Khabib #fight Khamzat Chimaev https://t.co/UVEzcLt2jb",1520874693007482887,MMAHWatch
"Urijah Faber explains why rival T.J. Dillashaw should get next title shot against Aljamain Sterling 

UFC #UFC274 #UFC274  #MMA  Dana White #Boxing Conor McGregor #wrestling Khabib #fight Khamzat Chimaev https://t.co/XqnhtcAgcG",1520874683415113728,MMAHWatch
"Both Taylor and Fury look to God for their strength. I'll take them any day over Conor McGregor, who effectively worships himself. https://t.co/XygjakIvJq",1520873892386123776,ianclary
"Conor McGregor, Jake Paul get into Twitter spat during Katie Taylor-Amanda Serrano fight https://t.co/Awt73fwnfW",1520872528843087880,guncelkalnet
"#e_RadioUS Conor McGregor, Jake Paul get into Twitter spat during Katie Taylor-Amanda Serrano fight https://t.co/OtMYJcYofr",1520872340116094976,eRadioUS
2022 Prizm UFC Conor McGregor Flashback #7 Green Pulsar SSP 06/25 EBAY 1/1 https://t.co/xGeDd4Nf60 eBay https://t.co/KZk8BIKkIn,1520870198751883267,SportsTradingC9
Conor McGregor Trash Talks Jake Paul After Katie Taylor's Victory over Amanda Serrano via @TMZ https://t.co/KViFzw4sNA,1520869322838716422,PattyDempsey2
"Serrano Conor McGregor, Jake Paul get into Twitter spat during Katie Taylor-Amanda  #Serrano fight https://t.co/UDyhoXSuZ4",1520865883115114496,PresshubU
"Conor McGregor, Jake Paul Twitter spat during Taylor-Serrano fight https://t.co/lKCmNrLXpV",1520865325193039872,gospaddiction
"Conor McGregor, Jake Paul get into Twitter spat during Katie Taylor-Amanda Serrano fight - https://t.co/lMSLcXRh9D https://t.co/1vm71jJj6B",1520863842246483970,e_newsUS
"Conor McGregor.
The GOAT 🐐🐐🐐🐐🐐
If he is not killing it in the octagon, he is killing it in the style game. 👟👢👢🧦🧦🧦👖👖🩳👕👔🎽🎽

He is a rule breaker.

But when you know the Fashion rules  – you can break them with confidence. https://t.co/oqMidb2xw0",1520863558694838279,BuyitL
"#ConorMcGregor thinks #KatieTaylor is the GOAT after her thrilling win over #AmandaSerrano! 🐐

https://t.co/xL8XUEa5cR",1520863127369306113,sports_manor
"Conor McGregor Trash Talks Jake Paul After Katie Taylor's Victory over Amanda Serrano: There were 2 fights connected to the UFC showdown between Katie Taylor and Amanda Serrano Saturday night -- the fight in the Octagon, and the fight between their… https://t.co/0OUZWzGUh9",1520862255310458882,GossipBucket
Conor McGregor Trolls Jake Paul Following Taylor vs. Serrano Fight: 'Who the F*ck Is This Asshole’ https://t.co/YmU91v2GfA,1520860142098472960,NikeStoreNG
