full_text,tweet_id,screen_name
"""Vuelve"" by Daddy Yankee and Bad Bunny has surpassed 300 MILLION streams on Spotify. 

— It’s Daddy Yankee’s 20th song to reach this mark. https://t.co/KooUeHlOtf",1520914589650538496,daddychart_
"Daddy Yankee's most streamed albums on Spotify yesterday:

#1. Legendaddy — 5.3M
#2. Barrio Fino — 1.1M
#3. Prestige — 540K https://t.co/INbW2xeUND",1520911368534183938,daddychart_
"no, you’re listening to daddy yankee while sitting in a hot bubble bath.",1520911323395198977,ladyxsalome
"Now playing Sech, Daddy Yankee, J Balvin - Sal y Perrea Remix (Video Oficial).mp3 by  #like #oyentes #emisoras #o #retroradio #diversion #radios #periodismo #envivo #f #dise #entrevista #barinas #laquemanda #tendencia #operadores #rap #xtremeradiopty #comunicacion #radioenvivo...",1520911198421667843,el_palabreo
"I'm excited about the DADDY YANKEE: LA ÚLTIMA VUELTA WORLD TOUR - Prudential Center, Newark, NJ - Thu, Dec 8. Who's in? https://t.co/P3AIRDCQLX",1520910784242536448,DenyseValencia
Daddy Yankee x Pitbull - Hot (Official Video) https://t.co/4332KDf2VG via @YouTube,1520907389695844352,DJSteevieT
Dura   Daddy Yankee Lyrics,1520905191863689216,POSTRADIO4
ah yes... chen y daddy yankee https://t.co/B8cKBJscXu,1520902388227317761,daeylights
Who wants to go see Daddy Yankee with me 😩😮‍💨,1520902195524571136,LesnnySanchez
Pal Daddy Yankee😫 https://t.co/IdCCkSO69o,1520896245686059015,Lara_arcari
Daddy yankee sunbaenim,1520893839514341378,tokyocyde
"[OnlyHitUS] Right now: SÚBELE EL VOLUMEN
 by Daddy Yankee, Myke Towers, Jhay Cortez Join us on https://t.co/Q2ZfUngJan",1520892124211957764,OnlyHitNP
DonOmar o Daddy yankee #fandomlizteo,1520891828597411841,bustillo_thiago
Daddy Yankee - Rumbaton https://t.co/mc77KPHsra,1520890983378034688,973TheBoss
I wonder if Nate remembers that last night we made plans to go see Daddy Yankee and Karol G 😂,1520890492552200195,MiriamLizett
Daddy Yankee &amp; Pitbull - HOT,1520889334387429377,otuneradio
Daddy Yankee - Rumbaton | by @Corourbano,1520888767728472064,X03WEBRADIO
Daddy Yankee&gt;&gt;&gt;&gt;&gt;&gt;,1520878517516386307,zaraaescobaar_1
i still have the hc that ryoma listens to daddy yankee  you cannot change my mind,1520875398069841920,MexicanKarupin
I remember when Despacito by Luis Fonsi ft. Daddy Yankee made us think we can actually speak the spanish language 😂,1520874918530977792,Albie_xo
BLOKE - Daddy Yankee-LEGENDADDY,1520871993570177024,escuchamosfm
"My problem is I wanna see Bad Bunny, Daddy Yankee and Karol G and I don’t wanna spend my money doing so https://t.co/7Tx0O8zyew",1520870594446868481,_lachicaa
Daddy yankee #fandomlizteo,1520869968799272962,YeseniaBus_06
"Keep streaming @daddy_yankee &amp; @pitbull ‘s latest hit #HOT on @Spotify and @YouTube 
 https://t.co/DUzvEBJPOl",1520868160534159360,fanspitbull
"growing up a puerto rican in california, i always like there was not much representation people knew besides gasolina by daddy yankee. 

the fact that bad bunny blew up in recent years and hes from vega baja (same town as me), is huge. lowkey makes me emotional😂",1520864920702636032,trevorhacker
"Monthly Listeners — Spotify:

Daddy Yankee — 46.371.905
(+89.698) 

— #27. Artist in the world (=) https://t.co/0eJscLfnJy",1520856564659154944,daddychart_
Said every Daddy Yankee fan in 04 https://t.co/6iwc35Idib,1520854371243806720,cheftender246
"Daddy Yankee, Anuel Aa &amp; Kendo Kaponi - Don Don [Explicit]",1520853951029071874,RadioGQ
"Most streamed rappers on Global Spotify (April 30)

1. Bad Bunny
2. Future
3. Drake
4. Kanye West
5. Rauw Alejandro
6. Doja Cat
7. Eminem
8. Daddy Yankee
9. J Balvin
10. Juice WRLD

Future's album No. 1 on Apple Music in 68 countries",1520853927155343360,HipHopNumbers
"Oficialmente Daddy Yankee, check✅❤️‍🔥 https://t.co/cfRjiaDHgj",1520848576229875712,vanessaturizoar
"Latest article from Bonaport - Todo Comienza en la Disco - By Wisin, Daddy Yankee - https://t.co/o7dMrofxjt #lgbt",1520846912617951236,BonaportU
"Daddy Yankee

i vote #Snowdrop for #SérieAsiática +
#Jisoo for #DestaqueSérieAsiática #BLACKPINK for #GrupoMusical + #Money for #MusicaInternacional + #BLACKPINKOFilme for #MelhorDoc  at the #SECAwards 2022 (@BLACKPINK ) https://t.co/9BKxBF3NUb",1520845944543137792,synkpinkz
"la santa - bad bunny, daddy yankee",1520844773896212482,Calandrajr_
buying my mom daddy yankee tickets,1520842234089906176,lesleyitzayana
@tweetgrubes My walkup song would be Gasolina - Daddy Yankee,1520841555854209024,BrianTo1336
I go from Kendrick Lamar to Siddhu Moosewala to Daddy Yankee to Babbu Mann in no time,1520839687492964352,Udaysharmamat
Que Tire Pa Lante (BPM Supreme Jump Off Edit)  - Daddy Yankee,1520838856580517889,spiceradioca
The Daddy Yankee Candle would be hype,1520836173194838016,CamBeazy
"Now Streaming Daddy Yankee, Anuel AA &amp; Kendo Kaponi - Don Don  on #lamezclaradio Live on https://t.co/regOfbawju or Download the Free LaMezcla Music App for Apple or Android",1520832374942363649,LaMezclaDotCom
"Listening to LA OLA by Daddy Yankee on @PandoraMusic
https://t.co/9M9LeMcauQ https://t.co/PMY998SBro",1520832020095680514,TessasTastyT
daddy yankee aging like fine wineee 😩,1520831830856978434,micaa222
Adictiva by Daddy Yankee &amp; Anuel AA,1520830626588504066,wikdplaylist
i swear i might just sell my daddy yankee tickets for bad bunny tickets up close,1520822678281617408,notchicasexy18
"#WorldMusic #NowPlaying @ChilternVoice:
All Along the Watchtower - Playing for Change ft. Warren Haynes
Simarik - Tarkan
Made for Now - Janet Jackson ft. Daddy Yankee
Malamente - Rosalia",1520820344411639808,georgeluke
