full_text,tweet_id,screen_name
"Watching ""War of the Worlds"" right now and I forgot how annoying AF Dakota Fanning's character was. Her screeching made me want to reach through the screen and strangle her ass.",1520910045495578625,foxaylove
dakota fanning truely is actress of our time she was ten years old serving talent in every single movie,1520904789235802112,MEGNMURR
🎥 Dakota Fanning 'The First Lady' (2022) Promotional Still https://t.co/U2MfRAqTEL,1520896574229995526,twilightteamm
Denzel Washington and Dakota Fanning in the movie Man on Fire receives a five star ⭐️ from me. First time watching. Brilliant acting from both actors. It’s a violent film but it’s worthy. #movies,1520895877837164545,TheArsenalNote
if you haven’t seen “war of the worlds” with tom cruise &amp; dakota fanning it’s on netflix now and it’s been my fav movie since i was 6! it’s actually amazing please watch it,1520890059276312577,jadevvictoria
Elle Fanning junto com Dakota Fanning no seu Instagram. https://t.co/sLFeELoCxJ,1520884965386379264,PopStreetBR
"Just got done watching the movie War Of The Worlds starring Tom Cruise, Justin Chatwin and Dakota Fanning and I really liked it!!",1520875852778586113,AshenHeart666
Where the he'll is Dakota Fanning?  I miss her.,1520869633775095810,trikxywwna
"📸 Dakota Fanning attend The First Lady FYC Event &amp; Premiere Los Angeles | April 14, 2022 https://t.co/adlZe3pnQN",1520868752383954951,twilightteamm
April 2022 | Dakota Fanning for Who What Wear https://t.co/3U51GSWUOy,1520865478645850116,twilightteamm
Sometimes I see Dakota Fanning and I wonder how exhausting it must be to be that good.,1520860789619396608,CDangerstein
Tonight on FX is one of the best movies ever. Denzel Washington in Man On Fire. I swear it's one of my fav movies &amp; Denzel is at his best in this. Dakota Fanning is awesome as well https://t.co/ievF9wMDp1,1520815832464568326,BGSULady
"Robert pattinson as Edward Cullen , Kristen Stewart as Bella swan / Cullen , Taylor Lautner Jacob Black , Dakota Fanning as Jane , Edi somebody as Laurent , Billy Burke as Charli Swan , Peter Facenili As Carlisle Cullen , Jackson Rathbone As Jasper",1520809524181057540,AbiJack16319945
"#FavouriteMovieScene

My fav. scene of Trapped (2002)

Charlize theron,Dakota Fanning and Kevin Bacon at their best

Trapped Scene https://t.co/tr41KymFFi via @YouTube",1520773149733920770,TallyMichelle4
