full_text,tweet_id,screen_name
No trade for AD just stay at LA LAkers he combined DL at LA Lkers...3 Stars We’d Like To See Damian Lillard Team Up With: https://t.co/uYZfkWezVM,1520913478634319872,RonaldoDelfin4
"Damian Lillard and Kyle Kuzma credit the Warriors' championship experience as the major factor in their Game 1 win vs. Grizzlies. 💯

https://t.co/6DeDgm9AlK",1520911883620216834,BlazersNationCP
"Damian Lillard and Kyle Kuzma credit the Warriors' championship experience as the major factor in their Game 1 win vs. Grizzlies. 💯

https://t.co/8JwPakyyiA",1520911865978650624,WizardsNationCP
"Damian Lillard and Kyle Kuzma credit the Warriors' championship experience as the major factor in their Game 1 win vs. Grizzlies. 💯

https://t.co/ZycWwoz6eM",1520911853613846528,WarriorNationCP
"Trae Young, Damian Lillard, More NBA Stars, Fans Rip Draymond Green's Ejection https://t.co/OJPJcDQTub #sports #feedly",1520910568722505728,TheReal_KDubb
"Damian Lillard dedicates 48-point game to Kobe Bryant in Blazers vs. Lak... https://t.co/mGZN9Bw1XK via @YouTube 

Pas croyable.",1520909927061110784,GzaviBall
"2 Massive Trade Ideas That Would Send @Dame_Lillard To The Boston Celtics #BleedGreen #RipCity #DamianLillard

Read more - https://t.co/pdtDWZHd2h https://t.co/MyVXS92YOv",1520909619647889409,PSDnews
"Clippers are claiming Damian Lillard off waivers, league sources tell ESPN.",1520909298695503872,wojrarowski
"Top Ten Active NBA Point Guards Currently 

1. Luka Doncic 
2. Stephen Curry 
3. Damian Lillard 
4. Trae Young 
5. Ja Morant
6. Chris Paul 
7. Kyrie Irving 
8. Lamelo Ball 
9. Jrue Holiday  
10. Darius Garland

(*not a legacy ranking) https://t.co/eVvZkZWfJc",1520902058177617921,Uchewins
"Top Ten Current NBA Players

1. Giannis Antetokuounmpo 
2. Kevin Durant 
3. Nikola Jokic
4. Joel Embiid 
5. Luka Doncic 
6. Lebron James 
7. Stephen Curry 
8. Jayson Tatum 
9. Damian Lillard 
10. Devin Booker 

(*not a legacy ranking/must have played in the 2021-22 NBA season) https://t.co/0QogPA5bid",1520897741190316038,Uchewins
