full_text,tweet_id,screen_name
"#TheLostCity was genuinely funny and a fun time!

Daniel Radcliffe makes a great villain 😎",1520914304219983873,feartheflerken
"Salty Popcorn Film Of Day
Harry Potter and the Deathly Hallows Part 2
#harrypotterandthedeathlyhallowspart2 Director: David Yates - Starring: Daniel Radcliffe, Rupert Grint and Emma Watson
https://t.co/ZtXIIKvmeh
Like if you liked this movie
Share if you've seen this movie https://t.co/6bnfJ9YtCf",1520903627459735552,movies_salty
"one thing about daniel radcliffe is that no matter how obscure/lame the genre or premise of a movie, he will be Acting",1520888431479562242,incongrxity
Forgot that Daniel Radcliffe is actually a lengerz 🥵,1520887001687502850,naheedaqur
"They said we were crazy. They said we couldn't put 10,000 Syrian refugees inside of Daniel Radcliffe's delicious asshole . They were wrong.",1520884099287633920,Random_CAH
why does daniel radcliffe’s British accent sound fake in this movie rn…,1520878288134049793,jazkiaphillips
i’m just a slightly uglier Daniel Radcliffe,1520877719206219777,caydepaws
Daniel Radcliffe Early Life,1520869769024581632,IndianMLKFan
"More people need to watch Miracle Workers. The cast is great, and we get ridiculous moments like this from Daniel Radcliffe https://t.co/7sxZKhu9OQ",1520869455269703681,ben_t12
The Real Reason Why Daniel Radcliffe Got ‘Weird’ Projects After ‘Harry Potter’ https://t.co/6fujVPG2Ce,1520865248214978560,petgroomerNG
@ShawnMendes WAKE UP! DANIEL RADCLIFFE TALKED ABOUT YOU!,1520864189732069377,isclovermp
"Rupert Grint, Daniel Radcliffe, and Emma Watson in Harry Potter and the Half-Blood Prince (2009) https://t.co/BZj8BkqUmp",1520860881525039104,framefound
Tom Felton and Daniel Radcliffe https://t.co/7JIERO4JBu,1520852938054422530,feltcliffesafe
"Hi all! I started writing a sub-series of Harry Potter paintings from the Celebrity Eye series. Today it will be the main and beloved character of Harry Potter, performed by the excellent actor Daniel Radcliffe 😇 #picture #ArtistOnTwitter #NFT #NFTCommunity #acrylicpainting https://t.co/0w1r3tvrB7",1520841448521969665,Mickgold93
Hear me out: a How to Succeed movie musical starring Richard Gere and Daniel Radcliffe,1520839855009193984,jenn_ficarra
what if the guest in the crowd is daniel radcliffe .... https://t.co/bd4ov71H1K,1520839501731577858,ackerteez
"Rupert Grint, Bonnie Wright, Daniel Radcliffe y Emma Watson en Harry Potter and the Half-Blood Prince (David Yates, 2009)
https://t.co/tVLBiDw8UY https://t.co/VDm6gAlAzy",1520835018460909569,cineporhora
//gotta love Daniel Radcliffe,1520833509715324929,FallenRose_x
"Convinced that Daniel Radcliffe will appear in the next Fantastic Beasts somehow. Like a flash forward to future Harry or something, just desperately trying to regain fans",1520828376444985345,benlistofficial
daniel radcliffe being a huge star wars fan and always being mistaken as elijah wood while literally being harry potter sounds kinda funny to me https://t.co/NwAM9Wuz3b,1520815814068346881,bimbosbaggins
"Just finished watching Victor Frankenstein (starring Daniel Radcliffe) with the boyfriend. It was a good movie, I very much enjoyed it!",1520811033769746433,nineth_enby
all I’m saying is the chances of Daniel Radcliffe playing Wolverine are now no longer zero🤷‍♂️,1520810863011237894,noaher_goulini
Brotherhood of Man  from How to Succeed 🎵 (Daniel Radcliffe on Letterman) https://t.co/0rnX6ZzH3D via @YouTube,1520803192568700928,BarflyBroadway
Brotherhood of Man  from How to Succeed 🎵 (Daniel Radcliffe on Letterman) https://t.co/bfkCuh8i3I via @YouTube,1520802993498738689,robertdriemeyer
Zoes grape ass with me whip im pretty sure daniel radcliffe and the fuck Donald Trump AND Hillary Clinton I'm voting for,1520799632615485448,zermit_ebooks
"each and every person not only in this square but also watching arround the world who see this film, and whove followed this story over the past ten years will carry this story with them for the rest of their life - daniel radcliffe",1520799436397371392,iFredWeasley
"#ChanningTatum enjoyed watching #DanielRadcliffe's earlier work but, as they worked on #TheLostCity together, he was really impressed by the actor that the grown-up Radcliffe has become. 

https://t.co/VcR7Ui2via",1520796437336014849,hollyoutbreak
Just played: Daniel Radcliffe - Rosemary (How to Succeed in Business without Really Trying (2010 revival)),1520785459206668292,wtul_playlist
"Recently released shots of Daniel Radcliffe photographed for ""Attitude Magazine"" (2013) 🥀 https://t.co/8AHdory2da",1520764559325380609,momentsofdan
The Real Reason Why Daniel Radcliffe Got 'Weird' Projects After 'Harry Potter' #celebrities https://t.co/encH3yY57v,1520757520268238848,Thethingscom
Terrific but then again I’d go and watch Daniel Radcliffe just stand on stage for a couple of hours. An amazing actor! https://t.co/hNhfxOx1Cg,1520755564522971136,_Jasper_Plays
Daniel Radcliffe and Paul Dano being touchy with Daniel’s body double https://t.co/U2ulaFdGKf,1520734787777880064,HourlyDano
"Falta: Sam Neil, Will Smith, Christopher Lloyd, Leslie Nielsen, Jim Carrey... 
Y obv Daniel Radcliffe, Rupert Grint, Jeremy Sumpter, Macaulay Culkin... https://t.co/xbm8AlWaVd https://t.co/EwYF460ZuO",1520732841478430721,nish_pish7
God is Disclosing himself as Harry Potter in Face of Daniel Radcliffe youthful innocent days,1520726147822235648,aliasadnaqvi1
I will watch any film Daniel Radcliffe is in,1520720970205605889,UneJamJasmina
Daniel Radcliffe is the British version of Elijah Wood.,1520692912446754818,CrazyTwitz
Daniel Radcliffe cuts a low-key figure as he steps out in New York with his girlfriend Erin Darke https://t.co/LJ0v19hCWe,1520682009227628545,nazmulmarketer1
Daniel Radcliffe cuts a low-key figure as he steps out in New York with his girlfriend Erin Darke https://t.co/N7SVK0ru3H,1520681734429364225,nazmulmarketer1
Daniel Radcliffe cuts a low-key figure in a blue padded jacket https://t.co/uFhJ9xkgvx via @DailyMailCeleb,1520679161341349888,LaCasaDeiSogni6
"Daniel Radcliffe cuts a low-key figure as he steps out in New York with his girlfriend Erin Darke
https://t.co/VfIe6fYKms",1520674695456116737,NewsfeedsMedia
Daniel Radcliffe cuts a low-key figure as he steps out in New York with his girlfriend Erin… https://t.co/rLMteZuESi,1520673513421475840,smackgirls
two cats break down near a cabin surrounded by seriously only inconvenient Daniel Radcliffe. The alien makes it.,1520655852687872000,SpoopyHorror
had a dream that gabi from aot had a child with daniel radcliffe,1520654731550818304,itspestbitch
Manifesting this but with Daniel Radcliffe 🪄🤞🏾 https://t.co/jcuMHEAWMS,1520609516370362368,_IAmNotAConcept
harmione edit to heart eyes by coin hermione granger harry potter daniel radcliffe emma watson #harrypotter ship edit https://t.co/XTvAWtuylO,1520606954955370496,CEDESFlLMS
daniel radcliffe,1520603521296461824,ronarrys
that fucking daniel radcliffe dane dehaan movie has book editors in a death grip,1520554705717444608,batapologist
"""Favorite hp movie and actor ?"" - chamber of secrets or half blood prince
fav actors are
daniel radcliffe
tom felton
rupert grint 
alan rickman 
robbie coltrane #tellonym  https://t.co/ktItIfg0O7",1520553833105137664,drarryscrane
"Magical girl, Daniel Radcliffe.... https://t.co/iS9y9pn8rK",1520551020044111874,blackbudgie13
"8. The 8th most gorgeous man in the world (up from 9th place last month) is the actor Daniel Radcliffe, with 13 votes (no change since last month) #WAAAAGH https://t.co/Rkz4Wr30xs",1520546640347766784,JohnLoony
"each and every person not only in this square but also watching arround the world who see this film, and whove followed this story over the past ten years will carry this story with them for the rest of their life - daniel radcliffe",1520535175998111744,iFredWeasley
daniel radcliffe playing the same rich bad guy in every movie is my favourite trope rn,1520522189618827265,xxificouldlouxx
"The missus and I took little one to see Lost City tonight.
It's was pure nonsense, but one certainty I did come away from it with, was the idea that Daniel Radcliffe would make a great baby John Hammond in a Jurassic Park prequel no one is asking for.",1520514168838832129,Lasthumanwales
Why is Daniel Radcliffe here https://t.co/cBQWLoabyV,1520511937662046212,cannibalvictim
"Watching Miracle Workers and wasn't quite ready for Daniel Radcliffe doing this...

😂

https://t.co/cND84VexEF https://t.co/fr27l7vpRj",1520511214987718656,Maxuk83
"#TheLostCity

Sandra Bullock
Channing Tatum
Daniel Radcliffe
Da'Vine Joy Randolph
Brad Pitt 

Dir. Adam Nee &amp; Aaron Nee 

Remix of Romancing The Stone, was enjoyable

Radcliffe &amp; Pitt had fun, post credit scene after about a minute

#KromatikAvenue https://t.co/lMBDDmj25N",1520510997441691648,KromatikAvenue
o daniel radcliffe https://t.co/NH1ToGhQ2J,1520500170894589958,yuriwariss
"To be fair, Daniel Radcliffe is probably trying NOT to look like Harry Potter anymore, haha https://t.co/h8U0mOpp54",1520493752535633922,tamara_kama
I had a dream that Daniel Radcliffe met Hasbulla,1520487529715093505,andhewarhall
QUICK SOMEONE REPLY WOTH THE “HE SAID NO PICKLES” PICTURE OF PAUL AND DANIEL RADCLIFFE,1520482604197326849,peachhbIush
okay so eddy burback and daniel radcliffe. do you see it or am i going insane?,1520474912908972032,hotdiggetydog03
"HORNS with Daniel Radcliffe – cinema release August 6, 2015 – German trailer online! https://t.co/brcJXa8lct",1520459753595588611,SamagameC
now everytime someone mentions farts i think about daniel radcliffe,1520454928468226050,achilleshater
anett did NOT just come for daniel radcliffe like that😭 https://t.co/OFU7UUunSM,1520447443573391361,cecilialeh
daniel radcliffe's best role is as abigail fairfax,1520447252111712258,unriaan
will WB now dump the franchise or will they shoehorn Daniel Radcliffe into part 4 via time travel? https://t.co/QyK7QUGRKX,1520445257892122626,Gyropitus
he’s pulling a daniel radcliffe!! good for him https://t.co/BbgbxcMg5Z,1520440140837146624,lexcpn
Really funny how Swiss Army Man was directed by DANIELS (DANIEL Kwan &amp; DANIEL Scheinert) and starred DANIEL Radcliffe &amp; Paul DANIEL-O,1520436677784870912,andycompton_
a family of three camp at the forest surrounded by bloody Daniel Radcliffe. The little girl dies.,1520429355192569856,SpoopyHorror
"I'm an atheist, but I'm very relaxed about it. I don't preach my atheism, but I have a huge amount of respect for people like Richard Dawkins who do.
-Daniel Radcliffe
🇸 🇮 🇩  🄱🄳
MUNAWAR FOR THE WIN",1520427225337659392,Mr_Dewan_BD
paul dano and daniel radcliffe better be besties,1520415215476649989,swaggyshreksimp
no because i was watching the HP reunion today and Daniel Radcliffe had no business looking that hot? Also all the scenes with him and Gary Oldman had me drooling...,1520414308974219266,repwonder
"This explains why I was so disappointed in the casting of Gary Oldman as the handsome Sirius Black…and curious she didn’t do the main character himself. Daniel Radcliffe was far from my vision of Harry Potter. Some of the casting, tho, was spot on! https://t.co/fTU3614D0M",1520413857977565185,RealAlexT1
"There's nothing better than BIG laughs on the Nu Metro BIG SCREEN 🤣 Sandra Bullock, @channingtatum and Daniel Radcliffe are spectacular in the thrilling jungle adventure, 'The Lost City' 🌴💥 

Book Tickets Now &gt;&gt; https://t.co/mIFfYWX9hh 🎫 https://t.co/5l0QuPzleZ",1520406764658823169,numetro
"pulling a Daniel Radcliffe, we love it https://t.co/umKmdrqIo8",1520400969456132099,ariesreveries
had a fever dream where Daniel Radcliffe was Mr. Freeze and Kirsten Stewart was Poison Ivy in the next Pattinson Batman film,1520400531759538178,thohnjomason
O daniel radcliffe https://t.co/iPg3i5Xy3a,1520397636880281601,marinadorock
look me in the face and tell me that i couldnt get daniel radcliffe to be in love w me. you cant! you simply cant!,1520392471179636738,milfloverliv
"Daniel Radcliffe has opened a photographic agency. But he's not very good at it.

Harry Potter and the Half Blurred Prints",1520377015588859904,Tripe_Writer
"Words can’t express how much I love Daniel Radcliffe, Miracle workers with Steve Buschemi? Absolutely iconic",1520373340132855810,TaylorAnn3494
It's true. It's half Jewish and named Daniel Radcliffe. https://t.co/r76peyrJYT,1520371922365779969,Hershel_Fink
Daniel Radcliffe / Emma Watson https://t.co/pDUdOlgPKB,1520371569909981185,Kevi_nC
"11 actors who regret famous movie roles, from Matt Damon to Daniel Radcliffe - https://t.co/NI0g7be6bM - #Career #Advice #Job #Interview #Resume",1520371546094592000,candidate7153
"11 actors who regret famous movie roles, from Matt Damon to Daniel Radcliffe https://t.co/BUHDZBS1cp",1520371428226306049,adabagcompany
"the fact that george is above dua lipa, daniel radcliffe and robert pattinson is wild https://t.co/QBWMnOy1Kh",1520349738436112384,iamnotevenreaI
Daniel Radcliffe's switch from being Harry Potter to being a classy villain in movies is amazing. https://t.co/IsJgKCO0G2,1520340299364679682,meo_joule
"Daniel Radcliffe en Harry Potter and the Half-Blood Prince (David Yates, 2009)
https://t.co/qKUFY87FIz https://t.co/MANzq3iieC",1520336494350639104,cineporhora
Good morning my titties hurt. Daniel Radcliffe in goblet of fire:,1520327549221548033,matth_ebooks2
"Coming when i feel like it! Ewan McGreggor stars in a new drama alongside Daniel Radcliffe in, The Promposal, Two rival flower shops must join forces when an evil mayor tries to replace their stores with a big statue of a super ugly bird . streaming soon on FOX.",1520296978474618880,fake_tv_news
"each and every person not only in this square but also watching arround the world who see this film, and whove followed this story over the past ten years will carry this story with them for the rest of their life - daniel radcliffe",1520270990541959168,iFredWeasley
did we ever see that movie where Daniel Radcliffe was in a robe holding two pistols just out in London?,1520267025737728000,paperrug43
life pro tip: Daniel Radcliffe's weak spot is their calf,1520263290605109250,seni_bock
"""Playmobil - Der Film"" from Friday on Super RTL: repeat online and on TV
Repeat on: May 1, 2022 (8:30 a.m.)
At: Super RTL
By: Lino DiSalvo
Starring:Anya Taylor-Joy,Daniel Radcliffe, Adam Lambert
https://t.co/LGs5ZBYK3D",1520251483844800513,dianik_bg
⁦@RealCarrotTop⁩ and Daniel Radcliffe cannot believe PatBev fouled out https://t.co/rCi0DKic1C,1520248870537555968,Frackalack
"It did occur to me though, ""Why is Daniel Radcliffe at a Minnesota Timberwolves game?"" 

So I rewound and realized it was just a doppelganger. Still.",1520248735845863424,figletfaba
I thought that was Daniel Radcliffe at the Timberwolves game.,1520248247054307329,figletfaba
i had no idea daniel radcliffe was a short king,1520243499270291456,stupidbabi
im pretty sure daniel radcliffe and the best,1520228199111835648,zermit_ebooks
Daniel Radcliffe is not no damn cancer https://t.co/Oy12xyM3a1,1520222414495494144,kirasimsimma
This is Daniel Radcliffe and Luna love good N https://t.co/znZckSZYUb,1520222215840673792,cooch_magooch
what are those wizard movies daniel radcliffe is in? https://t.co/i3EOM66EH9,1520215451875295233,sunflowerlwt28
Daniel Radcliffe and Harry Melling playing brothers (or cousins) in a movie or tv show would be perfect. Imagine them in a dark comedy. https://t.co/FXnJtggyjw,1520201016783872001,killing_liv
i LOVE when daniel radcliffe plays little freaks,1520199303771262976,killjoyandproud
daniel radcliffe doesnt get enough credit for being really good at playing a corpse,1520198345595277316,boar_prince
Elder Swear: ur mother is a***ing*lorem ipsum***admiumvenium****turolagulio****hippopotamus***Republican**in Daniel Radcliffe****w/ a bucket of****in a castle far away where no one can hear u****soup*** w/ a bucket of**Mickey Mouse**w/ a stick of dynamite****magical**** ALAKAZAM!,1520179425077309444,notexactlysatan
andrew garfield wearing similar clothes everytime he’s out is giving daniel radcliffe wearing the same outfit for a month so the paparazzi looked like they didn’t have new photos of him,1520179320790163457,Iuvmurdock
daniel radcliffe and i got a lot in common (peaking in our childhoods and alcoholism),1520174637363220481,nuclearself
just got told I give off “Daniel Radcliffe energy” which I get a lot and I’m glad he’s doing good movies otherwise I’d be pissed,1520170711301914624,juwugoslavija
"Miracle Workers: Oregon Trail is on HBO Max and just wow. Daniel Radcliffe is a minister that loses his mind and does this. The show is one of my favorites but this season is the best.
https://t.co/8qXwSjWqXd",1520164129419538437,american_former
Imagine Daniel Radcliffe playing American football I would play “pope is a rockstar” in the background,1520151743400607744,smallishxtree
"The bylineless @ParamountPics logo debuted in #TheLostCity (now playing in theaters!) 🍿 (starring Sandra Bullock, Channing Tatum, and Daniel Radcliffe; 2022-present)

The film’s parent company, ViacomCBS is now Paramount Global (renamed last February 16!)

#ParamountPictures https://t.co/vqJc64lLCR",1520148017147674624,NMS_Autism
"Dande: Do we wanna go to the cinema?
Me: Sure, we can. What do you wanna watch?
Dande: The one with Channing Tatum, Daniel Radcliffe.. Oh and wait, what was his name? *thinks* Chris Patt
Me: Who?
Dande: I mean Brad Pitt!
Both: dying of laughter
#dandememe @dandeliya",1520147357127557121,ChliniiHaru
I saw Channing Tatum with a buzz cut in “The Lost City” co-staring Sandra Bullock and Daniel Radcliffe and simply had to get a buzz cut too!,1520146506107523074,FoleyLives
georgenotfound surpassing daniel radcliffe on famous birthdays will never not be funny to me,1520144281448636421,leuhlovesyou
