full_text,tweet_id,screen_name
"https://t.co/mDBw4FTuj0

I COMMEND RAFAEL NADAL🇪🇸 AND NOVAK DJOKOVIC🇸🇮 FOR TAKING THEIR STAND AGAINST “RUSSOPHOBIA”…🇷🇺👉🚫

These pro tennis players are taking a stand for their high ranking banned comrades Daniil Medvedev (#2 mens), Aryna Sabalenka (#4 womens), and all other ⤵️ https://t.co/Revm3cK4Gq",1520880546783666178,RayJPolitics1
"FOR SANCTIONS TO WORK, BAN EVERYONE n EVERYTHING. Rough on all but shows how well thought out war can’t be.  https://t.co/LLoWq2i0BC",1520879226756476933,maverickarms
"Medvedev, Rafa on track for rematch in Acapulco

Trusted Crypto Casino &amp; SportsBook:
→ https://t.co/DcwhtWSEO3 ←
https://t.co/gpu0Atyky1",1520855981991014400,btcbettingtips
"Wimbledon ban Russian and Belarusian players from 2022 tournament. 
Russian men's world number two Daniil Medvedev and Belarusian female world number four Aryna Sabalenka are the leading players affected by the ban.",1520826973983027202,FourieGielie
"El Top 10 del ránking ATP y esas cosas de Madrid (35).

1️⃣ Novak Djokovic 
2️⃣ Daniil Medvedev 
3️⃣ Alexander Zverev 
4️⃣ Rafael Nadal 
5️⃣ Stefanos Tsitsipas https://t.co/FIzSls0hLb",1520465700770385920,_SandroPaz
"Amazing, stunning, Brilliant, Astonishing, incredible journey. His self-awareness, clarity, vision, dreams bought you to achieve this feat. Pretty much happy for him, more to come my idolo. https://t.co/Bab7OveRd1",1520266619175391232,IrishSugarcup
Up watching Daniil Medvedev best bits on YouTube - down a rabbit hole,1520223720715042821,__themrs
"Emotional wreck watching this.

The hold this man has on me is like no other. 😩🥺
 https://t.co/fnK2KMV5HJ",1520076147375190017,sushil26
"""... And then because when you watch it on Tennis TV, there is like a one minute, 30 seconds lag""
- Daniil Medvedev
More true words have never been said https://t.co/T2Rrgq7eBD",1520072341887328256,BwehRublev
daniil medvedev talking about becoming world no. 1 https://t.co/Y4klc7nUI9,1520069266061635584,rublemedia
"@WayTooEarly Dear Jon(athan)--
On Morning Joe on Wednesday--you said that DMITRY Medvedev won the US Open last year.
 It was--Daniil Medvedev who beat Djokovic .Dmitry is the Ex-President of Russia.
Don't become a Tennis commentator.Will a Correction be forthcoming?

RB in NYC",1519951479808962560,RMB1916
Me when Daniil Medvedev isn't playing: https://t.co/CBRhB9Xwd7,1519940502321254403,kr9ptonlul
"Wimbledon bans players from Russia and Belarus -- what it means for world No. 2 Daniil Medvedev and others
https://t.co/pyTvi7QJyh",1519892433051414528,amadeus137
ig user tsitsi_photographer liking my daniil art...the tsitsipas fans-medvedev fans reconciliation project is underway... https://t.co/3YL6gOKwzp,1519667335812255751,tennisballfluff
"Spaniard Rafael Nadal’s comeback in the 2022 Australian Open final against Russia’s Daniil Medvedev has been included in the list of the most significant moments in the history of tennis.
#tennisbets 
https://t.co/8q3zlSB1dA",1519623052664918017,AllSportsBook
"He is not Russian.. he is Australian... he is married to me
https://t.co/0irsUyYvZO",1519593304056238080,dezirewindz
"https://t.co/LnzKGO7KJL Daniil Medvedev came back to training: Yesterday, however, the good news for him with the return to the field to restart with training at the prestigious Mouratoglou Academy https://t.co/NAzUiLtwSn",1519583837398786048,_TennisCoaching
"Chanda Rubin comments on Novak Djokovic reclaiming No. 1 spot from Daniil Medvedev 
https://t.co/HMK0HHLvUh",1519563064588259331,SwaveDigest
"Daniil Medvedev may have to denounce Putin to avoid Wimbledon ban 
https://t.co/8tewnugLg7",1519496340732100610,SwaveDigest
"Daniil Medvedev Earns First Win As World No. 1 In Indian Wells | ATP Tour 
https://t.co/a9J4ui0TvD",1519443204373987328,SwaveDigest
Daniil Medvedev takes first steps back onto court – but when will he play again? https://t.co/60hSVgjklg,1519417349635334144,tennis365com
"fun fact: denis shapovalov's first match win at a major came against daniil medvedev (7-5 6-1 6-2, USO17 R1)",1519377033255690240,opthiemist
"the potential scenarios for #1 after Madrid and Rome: 

Daniil Medvedev, Novak Djokovic, and Z**** all could potentially be #1 

Novak has to earn at least 680 points across both tournaments to retain #1 if Z**** wins both titles Novak can retain #1 by earning 940 points 

1/4",1519356705854955520,bblegend21
"https://t.co/LnzKGO7KJL Medvedev Returns to Practice Court: World No. 2 is hitting again after recovery from hernia surgery.
 Daniil Medvedev is back on the practice court after recovering from hernia surgery.
 
 The world No. 2 posted this video of his… https://t.co/TpZ0kToVXw",1519334061575077888,_TennisCoaching
"Alex Zverev, Daniil Medvedev and Novax ""bodily autonomy"" DjoCOVID aka the 'new' big 3 have a whopping, mid boggling grand total of ZERO singles titles this year.

Makes you think.",1519329204583731202,JeuNadal_
"Since the narrative has switched from Covid to Ukraine, unvaccinated tennis star Novak Djokovic will be allowed to compete at Wimbledon. But Daniil Medvedev will not be allowed to participate because he is Russian 🙃",1519319745627144197,SpittinVenoms
"A couple of bad weeks from Novak Djokovic and it's entirely possible that Daniil Medvedev will be the top seed at Roland Garros, without having played a single match on clay in 2022.

If he is still allowed to play that is...",1519303456409878528,Raxiren
WATCH: ‘We miss you’ Fans welcome Daniil Medvedev who returns to practise post surgery https://t.co/F9RHyNoUNv #Tennis #DaniilMedvedev,1519248512621240320,SportzFirst
"The tournament’s banning of individual Russians and Belarusians doesn’t make a lot of sense

https://t.co/bPwzLhODhf",1519247951067025409,br00t4c
Tough year so far for Lacoste. Its two biggest sponsees are Novak Djokovic (banned from Australian Open) and Daniil Medvedev (banned from Wimbledon). Not an easy ride for the PR team... https://t.co/R9oOcAkllS @Mauerback,1519243831098720259,james_billot
"Daniil Sergeevic Medvedev, banned by the criminal organization of Wimbledon Tennis Tournament because of his nationality. Some peoples are poisoned by dirty politics and unable to reason in a normal rational way.I hope they will be charged for racism. https://t.co/7PhcCjo4Xn",1519220946623676416,Windancer2706
Daniil Medvedev takes first steps back onto court – but when will he play again? https://t.co/zFIQ7Pk6KJ,1519215767664791552,mark_markpano
WATCH: Daniil Medvedev returns to practice after surgery  https://t.co/nB456IxUiM https://t.co/cHElHFrjPt,1519197206389174275,TennisInfinity1
Novak Djokovic learns how to keep world No 1 ranking after Serbia Open final loss | Tennis | Sport | https://t.co/TAnc2oKNZF https://t.co/FoszdSmOna,1519188618216157185,jondknight
Daniil Medvedev is already preparing for Los Cabos!💀 https://t.co/I5n7QD3GKW,1519174072902373376,funnyzeitgist
"Tennis news today: Dominic Thiem loses in first round of Estoril Open, Daniil Medvedev resumes training after surgery | 27 April 2022 https://t.co/axllNu4Wq6",1519161549868335105,TrackerTennis
Watch: Daniil Medvedev returns to practice amidst uncertainty over claycourt swing https://t.co/QwCdiqXJYV,1519154124889022467,TrackerTennis
"#BakerSportsLaw students, your thoughts on this decision. https://t.co/kJ1cCjfay7",1519150997100187648,DrTab3
