full_text,tweet_id,screen_name
darcy kuemper be like: https://t.co/tDSaqSc2gj https://t.co/qTsjf9z466,1520867819079880704,ebleau_26
Darcy Kuemper and Linus Ullmark both got their first shutouts with their new teams bs their former teams in the Yotes and Sabers! I love it!,1520515911739969543,Haddy_Avs_Fan
"How is this going to be different from the last time we played Dallas in the playoffs?

Darcy Kuemper: https://t.co/YiCJCyfPZC",1520238216661504000,avrilanche
"""Darcy Kuemper just didn't save the goals he needed to!"" Avs Fall to Pre... https://t.co/1l6VQGJU9g via @YouTube",1520182435769552896,AvsFanTV
"The time i also met @OEL23 and Darcy Kuemper at the red carpet before one of the home openers ❤❤ if i win these tickets I'll be taking my dad who is getting older and not sure how much longer i have with him, it'll definitely be a moment to remember @ArizonaCoyotes ❤ https://t.co/ZVfOxjqQHi https://t.co/925WkvU6Z4",1520115520816631808,_worthless_bye
"Everyone tag @JeffMarek in pictures of Darcy Kuemper, it’ll be funny. https://t.co/XUlNsAgnI6",1520078604415254533,YzermanSZN
Darcy Kuemper: Getting night off Friday https://t.co/Eu3iV7k78H,1520065100538863617,RotoWireNHL
Darcy Kuemper: Loses in shootout https://t.co/CgQ7rp1wSA,1519919041170882560,RotoWireNHL
"Frei: Now, we find out what Kuemper is really made of (+) https://t.co/d4VDnc2Rfq",1519908607420248065,ColHockeyNow
"Darcy Kuemper’s last 7 games:

.906
.879
.889
.808
.909
.906
.892

I’m not blatantly worried but this is not the same Kuemper we saw in Jan-Feb",1519898153130078209,FlyByCygnus2112
"NSH: Matt Duchene - Wrist Shot) assists: Goalie Darcy Kuemper (COL 4, NSH 4 - 00:00 SO)",1519889723451396096,GoalNHL
MUM I LOVE DARCY KUEMPER #GOAVSGO,1519888472466944001,suckerforavs
"Darcy Kuemper, you fucking beast",1519887624500281344,suckerforavs
"NSH: PP Goal Roman Josi (23) assists: none Goalie Darcy Kuemper (COL 4, NSH 3 - 16:28 2nd)",1519870344194142208,GoalNHL
"Darcy Kuemper is such a sieve, if he was playing at the Kohl center against the badgers the barn would be unbelievably loud. He’s the reason they’re gonna lose to the wild in the 2nd round place your bets folks.",1519863704241811458,ZyndonBJ
"NSH: Matt Duchene (43) assists: Roman Josi (72), Mikael Granlund (52) Goalie Darcy Kuemper (COL 2, NSH 1 - 11:46 1st)",1519851724508483585,GoalNHL
Puck is down at Mile High! David Rittich and Darcy Kuemper are your starters. #Preds #GoAvsGo,1519846182524231681,allpredsig
Avalanche Starting Goalie: Darcy Kuemper https://t.co/W4Qm2CNoE6,1519749103168544768,CcCMiddleton
"🥅: Darcy Kuemper (vs. NSH) ✅
#GoAvsGo 
https://t.co/s53s59Zt3a https://t.co/k916cE4VpE",1519726540510179331,DFOFantasy
"Future Sabres Ville Husso, Darcy Kuemper, and Jonathan Quick on this list. https://t.co/J6rNtybKrm",1519424469386805250,BuffaloSabres06
And one additional verbal no in my poll so far. I would trust Darcy Kuemper with a knife. https://t.co/PRjISXJ0v3 https://t.co/t4ld3v4B7G,1519390019944812544,rightbyroy
Darcy Kuemper will be an Edmonton Oiler this summer. You heard it here first,1519362751356829697,TamingLlamas
"Avs off-season priority list:
1. Val Nichushkin
2. Darcy Kuemper

3. Everything/anything else

You can argue Darcy is more important, but his expected value is known, and you can anticipate his salary. With Val, I think it’s very important to get him signed before UFA period. https://t.co/LBTjIN0bB2",1519320527394852874,303Hockey
Darcy Kuemper: Ends three-game skid https://t.co/gPBQ3g6g6j,1519173377864478722,RotoWireNHL
"STL: Ryan O'Reilly (19) assists: Pavel Buchnevich (46) Goalie Darcy Kuemper (COL 4, STL 3 - 16:49 3rd)",1519166956133400576,GoalNHL
"STL: Ryan O'Reilly (18) assists: Jordan Kyrou (46) Goalie Darcy Kuemper (COL 4, STL 2 - 15:45 3rd)",1519166203763306497,GoalNHL
"I CANNOT STRESS THIS ENOUGH. DARCY KUEMPER IS AMAZING. 

#GoAvsGo https://t.co/oXlv8mxs7y",1519164210759970817,Mellimoonn
"Who stopped Ryan O'Reilly better?

Darcy Kuemper or  a Brick Wall? https://t.co/tBhC81HpWd",1519163403985506304,Nathan__Rudolph
Darcy Kuemper u sexy boy,1519163182593585153,VeXDBake
sorry but if you can't beat Darcy freaking Kuemper (career year or not) then you might as well throw in the towel #stlblues,1519161703086399494,JTS65
"STL: PP Goal Brandon Saad (24) assists: Jordan Kyrou (45) Goalie Darcy Kuemper (COL 3, STL 1 - 13:01 2nd)",1519151859453284359,GoalNHL
Darcy Kuemper with a great save. #GoAvsGo,1519151580108390400,MileHighHockey
Darcy Kuemper flashes the leather! #GoAvsGo,1519132196530843648,MileHighHockey
