full_text,tweet_id,screen_name
"Happy Birthday David Beckham ♥️
#DavidBeckham https://t.co/8GpS4urSAm",1520914958393167872,musa_madridi_7
David Beckham For The Love Of The Game - Antarctica https://t.co/tOtTicDdot via @YouTube 🎂 Happy Birthday ⚽️ #DavidBeckham 🏆🍾 https://t.co/K0XnwFHrI1,1520912782530519041,AndrewHenryRS
"🎂 Happy Birthday David Beckham 🔴⚫️

👕 33 Appearances
⚽️ 02 Goals
🎯 09 Assists https://t.co/h5pKsnhLsp",1520908425906905088,MilanPosts
I can't believe David Beckham is 47 years old... forever my favourite crush. https://t.co/Koiyjx1LdA,1520906421495377922,jamesbarnesz
"“Bend it like Beckham”. Shoot from half line by taking an aim. The last minute free kick. Those killing corsses , some firing shots from midfield and the number 7 will live forever in my heart.

HBD David Beckham #DB23😍❤️❤️",1520905794757267456,4Mnolas
"Happy birthday Princess Charlotte, David Beckham, and little old me.",1520904429360357376,Sandrabellini19
"#DavidBeckham David Robert Joseph Beckham OBE is an English former professional footballer, the current president &amp; co-owner of Inter Miami CF and co-owner of Salford City. https://t.co/VgAXp8RlEY",1520900416497721346,HirushaNethsar7
David Beckham shows off his toned and tattooed arms at F45 in London https://t.co/WUxz6UFyTq via @DailyMailCeleb @F45Training $FXLV,1520891604470583297,the17thman
David Beckham https://t.co/wYbxLGUIk0,1520891589484331008,nabeel_bibi
"""Bend it like Beckham"", Shoot from half line by taking an aim.
The last minute free kick.  Those killing corsses , some firing shots from mid field and the number 7 will live forever in our heart.

Happy Birthday 
David Beckham https://t.co/rel6C1QJoa",1520887057194881027,W__Fcb
david beckham https://t.co/hGQ47WYhwV,1520874050222014464,frayedjacket
"🎈🎉🎂 Happy 45th Birthday to David Robert Joseph Beckham!
In his span of 4 years in Real Madrid 👇
✅ Matches: 116
⚽️ Goals: 13
🅰️ Assists: 33
🏆 LaLiga
🏆 Copa Del Rey
#MadridistaBD | #HappyBirthday https://t.co/9I9BtHMigq",1520868417796198400,pmadridistabd
Happy Birthday to one of my Favs Mr David Beckham 🥰,1520859213987127296,originalv_rush
Nobody Saw Romeo and Juliet !!! But I somehow believe that it’s true when I watch DAVID And VICTORIA BECKHAM. They’re the Happy Ending Versions Of Shakespeare’s Drama. #DavidBeckham #Victoriabeckham https://t.co/xfMI8doqnd,1520859150250430464,PCWave18
David beckham!! https://t.co/ddWL0NYgnx,1520856002714906626,SONofOVIA
"happy birthday to me, @IzzatiNazirah @BamBam1A @LuqmanPodolski and david beckham",1520854467070947328,awinugh25
David Beckham https://t.co/rl6923RoTz,1520854315203670016,idleravanan
David Beckham https://t.co/4hNujxuaIj,1520852334787633155,kulboi4real
Happy Birthday David Beckham! https://t.co/qdupTou8cL,1520848928744546304,Rumi_Minhaz
"Happy Birthday 🥳🥳💥💥
Inter-Miami Boss David Beckham 
""Bend it like Beckham""😍
❤️❤️⚽️⚽️7️⃣🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿 https://t.co/znyaLzhuf4",1520848179843178496,reboystan
Victoria Beckham catches the eye of her husband David in an LBD https://t.co/JllQeYFEfO via @DailyMailCeleb,1520847374796701697,GinaLawriw
