full_text,tweet_id,screen_name
David Pastrnak is wondering if you took your meds today. Did you eat something?,1520913676840042496,nhlshitpost
Brad Marchand just caught Mark Stone choking on their dinner with David Pastrnak. He joined in.,1520903616218820608,nhlshitpost
".@MichaelRyne had the most Skater of the Day wins with a massive 26!

4 - David Pastrnak, Kyle Connor, Roman Josi
3 - Artemi Panarin
2 - Joe Pavelski, Jack Hughes
1 - Thomas Chabot, Andrei Svechnikov, MacKenzie Weegar, Tomas Hertl, Dylan Larkin, Drake Baherson, Joel Eriksson Ek https://t.co/DqBiPBcZG3",1520901461110145024,FantasyNerdFix
"Six players were tied for the most Skater of the Wins with four each!

Jonathan Huberdeau for @zOMGItsClaire 
David Pastrnak for @MichaelRyne 
Patrick Kane for @_PJax_ 
Kyle Connor for @MichaelRyne 
Roman Josi for @MichaelRyne 
Mitchell Marner for @_FatJesus_",1520899919061655553,FantasyNerdFix
"#SUNDAYBRUNCH 🍳 🥓 @SiriusXMNHL 

#StickTaps to David Pastrnak for hooking up this little fan. What a reaction!

@pastrnak96 @NHLBruins https://t.co/8vtCCQINJ2",1520793475075170306,DaveAMcCarthy
"With David Pastrnak’s 240 goals and 504 career points in 510 games, he ranks second to Leon Draisaitl (558-254-362-616) in production for entire 2014 NHL draft class. One was selected 3rd, the other 25th. Bruins aren’t the only team that misses on draft day… #PSA #JustSayin",1520750857754714112,kluedeke29
I hate David Pastrnak.,1520734998185140224,nhlshitpost
2014 15 UD Upper Deck Young Gun #hockeycards https://t.co/QTUce5O3zs,1520726108831989762,gems_card
David Pastrnak wants to play for the New York Islanders. He even had bedsheets with their logo on it as a child.,1520551281609166849,nhlshitpost
"TMMOTI Network - AQMBB Championship Parade scheduled for Tuesday. Potential appearances by Connor McDavid, Sasha Barkov, Jason Snitker, David Pastrnak, Dillon Dube, The Animal, Billie Eilish, Seth Rollins, Theodore Woodruff and Adam Erne. *Card subject to change.",1520503849651515393,tmmotinetwork
David Pastrnak is a flat-earther.,1520488374737330176,nhlshitpost
Honestly thought this was going to be a dunk on David Pastrnak #nhlbruins https://t.co/UYWyQVRsDP,1520476085254856704,KiltieDrummer
I love David Pastrnak.,1520425472391192576,nhlshitpost
2014 15 UD Upper Deck Young Gun #hockeycards https://t.co/5wLWaTgpwp,1520385944557436929,gems_card
David Pastrnak has been sitting here trying to figure out what comes after the number 8 for hours. He's on the verge of a breakdown.,1520354985157926912,nhlshitpost
