full_text,tweet_id,screen_name
"top first watches april:
TOP OF THE HEAP
BRINGING OUT THE DEAD
IRMA VEP
DEAD RINGERS
PAIN &amp; GAIN",1520884976752812034,HitFactoryPod
"Cronenberg is weird for me. I don't understand the acclaimed ones like Videodrome or Dead Ringers. Crash was boring imo tbh. But I like the ones no one seems to care about like eXistenZ, A Dangerous Method or Naked Lunch. I might be watching his movies wrong",1520777683902230528,MaceLikeSpace
#NowPlaying Dead Ringers - Terror Eyes ReMaster :: Tune In: https://t.co/HVGd8YTknC,1520759202246893569,RockOnTheRise
"Haven't done the favourite first watches but last month was pretty banger heavy so I simply have to post.

Autumn Sonata (1978)
Yes, Madam (1985)
Truck Turner (1974)
Dead Ringers (1988) https://t.co/BuqdQiu4TR",1520689896477843456,S__Elder
"After a few days off, the Cronenberg train is back on schedule with Dead Ringers! I've heard alot of good about this movie. Here's hoping! https://t.co/UbYHD5CsIy",1520619469558714374,BradyCloven
"NFT whale monitoring by @MetaApesClub
Dead Ringers: Edition by Dmitri Cherniak #1 bought for Ξ0.02349 ($66.16) By 0x2af4b7 From 0xa4d4d5
Avg Price: Ξ0.053
Floor Price: Ξ0.02
Transactions: 11
@notsimplyshruti @Souvik025 @antidormi_rob @Ojobola68105331
https://t.co/VYG5jCug8D
#NFT",1520617956471881728,DassRupinder
"NFT whale monitoring by @MetaApesClub
Dead Ringers: Edition by Dmitri Cherniak #1 bought for Ξ0.0235 ($66.19) By 0x2af4b7 From 0x3c98e9
Avg Price: Ξ0.053
Floor Price: Ξ0.02
Transactions: 11
@PJeako @CoochiescoutJ @bain130e @MoonGoddess8201
https://t.co/ZGswF895nk
#NFT",1520617941712228352,Chaudharivips4
"@dmitricherniak 
Sir..i bought one of your amazing NFT (Dead Ringers Edition by Dmitri Cherniak)
But I'm still questioning is there a secret behind this item that sold to many peoples just because they believed in your art and name?
I'm sure there is a great secret waiting for",1520535687308664832,Crypto8NFT
"Off-Topic: Quarterly Horror Catch-Up with @nolan_mcbride @monsterpopcorn @Horrorellablog @PaulisGreat2000 @PhilipYount @tomofotter
https://t.co/3c0oiuuwzw",1520516340272017410,DeadRingersPod
"Rated25 #moviereview
Dead Ringers (1988) Dir. David Cronenberg
17/25 rating
Flow: 3 | Writing: 3 | Talent: 4 | Design: 4 | Sound: 3",1520511806808207364,rated_25
spent most of april remembering the classics. and my two favorite new to me watches were nemoria and dead ringers https://t.co/sbG2AXlLV4,1520482475755024385,responsiblerob
"👻LATEST!!!
💎BlueChip#237 right-click-save.eth
Continue buy #DeadRingers:EditionbyDmitriCherniak.
Bought 1. Cost 0.02 WETH($56.56). 
Holding now 91💎. @dmitricherniak LFG. 🚀🌕 #NFTdrop #NFTs https://t.co/HdhL58aZJH",1520410302004695040,NFTTrack
"favourite first watches of april 

🎬 boy (2010)
🎬 dead ringers (1988)
🎬 metropolis (1927) 
🎬 gladiator (2000) https://t.co/fyZlmTUm48",1520369073644871683,sapphicgiallo
"TONIGHT 🌇 live music, dancing + rooftop open! 

EARLY 🏓 @Plastic_Nancy w/ @monsoonband and The Dead Ringers
7:30 Doors | All Ages | $15 
🎟: https://t.co/HqxRi95w23

LATE 🕺 Seven Nation Army ~ 2000s indie rock dance party
11PM | 21+ | FREE w/ RSVP https://t.co/eNHqL7cjzT",1520163518473027585,dc9club
"Dead Ringers Universe, Dakota's Edition
 Began adding one of my books to an interactive story game app for the hell of it.
https://t.co/gU0f7tDaDK https://t.co/j09ul5uyyJ",1520121945160925184,SLMartinNovels
last shift at the chillest job i’ve ever had. watching dead ringers on laserdisc https://t.co/PuTx8t9sCM,1520119345325748229,glutendeath
Dead Ringers is high up on my list of favorite Cronenberg's 👍 https://t.co/ojQ3fdcq5u,1520104632961232896,gotatveye
"🔥Holy crap!
💎BlueChip#237 right-click-save.eth
Believer of #DeadRingers:EditionbyDmitriCherniak!
Bought 1 again! Cost 0.02 WETH($58.36). 
Holding now 90💎. @dmitricherniak LFG. 🚀🌕 #NFTdrop https://t.co/HdhL58aZJH",1519947028096114688,NFTTrack
"*watching David Cronenberg’s Dead Ringers” with @SoftSatanic*
Me: “Did you know that this actor also played the voice of Scar?” 
Them: “… that certainly gives this a new spin.”",1519875246743973888,megamoth
