full_text,tweet_id,screen_name
rock pop dance latino music 24/7 np #chr2 SMOKE ON THE WATER - DEEP PURPLE on https://t.co/CPIMBvk3qx https://t.co/8Ch0IeTM6n,1520915031927443457,classichitradio
Had a great workout. Added 5 extra reps to my deep water set and spent 20 full minutes on my legs.,1520914950092431360,Karrie1313
Aboriginal kids are 3.6x more likely to drown than non-Aboriginal kids. It is so good to see @LifeSavingWA’s Remote and Regional In-term Swimming Program giving kids in communities such as Yandeyarra the skills needed to stay safe in and around water. https://t.co/kBUovFk5oN https://t.co/LGPq7k4Ip3,1520911207082962945,DEEP_Curtin
"True depth is clarity.

""They muddy the water, to make it seem deep.""",1520911048286605312,Garin
"hulu recommendation:

deep water",1520908382672203781,4theloveofjehan
"in too deep with techno, I forgot how good this wonky shit is 😮‍💨 https://t.co/gcQrCKF6We",1520907404585492480,tech_h0e
"So sad now
 No way out
 The bottom of despair
 Hormones raging
 Going crazy
 It there another boy who cares?
 Deep water
 Pulling me down",1520906696880623617,pansydivisionlr
"Adele most Shazamed songs

1. Rolling in the deep: 12.9M
2. Someone like you: 12.4M
3. Hello 10.3M
4. Set fire to the rain: 10.1M
5. Send my love: 7.5M
6. Skyfall: 5.4M
7. Easy on me: 5.2M
8. When we were young: 4.5M
9. Water under the bridge: 3.2M
10. Rumour has it: 2.7M",1520905759562911745,adele_pty
Cupid is going to drag FIP to the deep water!! #TeamCupid #FIPWarrior #SpartansWill #SpartanStrong #KeepChopping @msuvets @MSU_Football @Coach_mtucker @MSU_Hockey 💚 https://t.co/gLjbWvUGVr,1520905408650657793,MSUHockeyChick
02-05-2022 00:13:01 https://t.co/QSSPnxvGl1 #BlastFMRock 🔊 Deep Purple - Smoke On The Water,1520904139508576256,BlastFMRock
02-05-2022 00:12:01 https://t.co/QSSPnxvGl1 #BlastFMRock 🔊 Deep Purple - Smoke On The Water,1520903887883960320,BlastFMRock
I use to hate the thought of deep water and the ocean but now I just think it is peaceful maybe perhaps. Idk.,1520903848877076819,positiveminds56
02-05-2022 00:11:01 https://t.co/QSSPnxvGl1 #BlastFMRock 🔊 Deep Purple - Smoke On The Water,1520903636674441216,BlastFMRock
India’s submarine plans in deep water https://t.co/4u4Fc69ymQ @deccanherald,1520903627178602496,SecRisksAsia
02-05-2022 00:10:01 https://t.co/QSSPnxvGl1 #BlastFMRock 🔊 Deep Purple - Smoke On The Water,1520903384873639936,BlastFMRock
02-05-2022 00:09:01 https://t.co/QSSPnxvGl1 #BlastFMRock 🔊 Deep Purple - Smoke On The Water,1520903133756416000,BlastFMRock
"Start your day with intention

- run
- workout
- deep work
- drink water
- go outside

End your day with intention

- stretch
- journal
- meditate
- plan your tomorrow
- put the phone away",1520900890768588801,jd_thejedi
"waxed legs, freshly shaved, new bed sheets, skincare, brushing,plucked eyebrows, silk pyjamas, sparkling water, deep cleaned room..reset sunday",1520900104978378753,inamn6
Anybody watch Deep Water on Hulu? I feel like I just wasted my time watching it.,1520898665128337409,foodhasmyheart
"https://t.co/nqH0HkLnGn
The first question that should pop into your head is, ""Where are the deep winter haunts?"" and ""Where do they spawn?"" Great questions! A winter haunt is a place on the main lake that has quick access to deep water, shad present, and structure. They ar",1520898633427828737,BestMediaBiz
"https://t.co/HBURmcFhWp
The first question that should pop into your head is, ""Where are the deep winter haunts?"" and ""Where do they spawn?"" Great questions! A winter haunt is a place on the main lake that has quick access to deep water, shad present, and structure. They ar",1520898626515578880,FitMerch
"Although Reiki is gentle, etc, if you do receive a lot of it, expect shifts. My bad week last week, I think if I had had more water, it wouldn't have been so bad. But it was still bringing up VERY DEEP SHIT, like shit I couldn't really palpate or access.",1520898473742065664,sunoppositemoon
"KT's taking a long, deep drag off a catnip blunt, blowing the smoke off the Inkwell Pier. 

She's watching the water, toes dipped in. She seems thoughtful, the more she stares.

""Wonder how many dead men in concrete shoes are down there.""

..Okay then! Never mind!",1520895632432676864,stabbyliltabby
"the guards in Vivec are getting ridiculous again! I didn't get one of today, but in this same spot, knee deep in the water (in heavy armour no less) there was 2 standing in each other @TESOnline  @ZeniMax_Online  #ESOFam #ESO https://t.co/vYdhIxV928",1520894270801989632,KatieBear_TV
"Osprey fishing Sequence.  Usually, when I see ospreys fishing, they don't get too far into the water, but this one was diving deep and got really soaked as you can see in the later photos.  Boulder County, Colorado #birds #birding #BirdsSeenIn2022 https://t.co/ymL84jzmLh",1520892287793852416,conaturephoto
"JENENSERIES Pump 500W DC 48V Solar Water Pumps, Max head 393ft,7.9GPM Flow，3 inch Solar deep well submersible Pumps with MPPT controller float switch kits for home or farm https://t.co/XhEHSwxk6j",1520891754056142850,GoygarLand
