full_text,tweet_id,screen_name
"In honor of @MrDimplesSD, Will Dinelson Lamet have a 90+ pitch start this season",1520894409973256192,SergioMQuintero
"@AnthonyDiComo Dinelson Lamet sir??
#LGM",1520892511572561921,justjam1986
"Padres discussing right-hander Dinelson Lamet with teams, should the Red Sox be involved?

✍🏼@ChrisHenrique // #DirtyWater 

🛎 Subscribe to our free Substack🔥 https://t.co/oz6wUNjXgp",1520890916751482887,BeyondtheMnstr
i love dinelson lamet and we should absolutely do it,1520884787124355078,MetsBettahRBW
"@StevenACohen2 trading for Dinelson Lamet sir?
#LGM",1520874577752035328,justjam1986
"Dinelson Lamet on the trading block.  New York Mets are interested.
#LGM 
#LFGM",1520869713777111040,justjam1986
"With roster crunch coming for tomorrow don’t be surprised if #Mets #Padres go back to the table on a Dom Smith deal.

W/SRF now officially down #Padres are looking to unload Dinelson Lamet. 

#Mets could use a controllable high upside BP arm for 2023. https://t.co/UT37157H2v",1520857421597523969,Tobycooklyn
Padres are shopping dinelson lamet for robinson cano. Per sources,1520855403306790912,FamedFriar
The #Mets and #Padres have recently discussed a Dinelson Lamet trade. The #Padres are looking to add multiple offensive pieces in any Lamet trade.,1520854346761904128,newsnetworkmlb
Dinelson Lamet to White Sox? Could be interesting to make him a starter or a multi inning piggyback after a starter,1520773657940930563,whitesox47
"@StevenACohen2 dinelson lamet
#LGM",1520753388954132482,justjam1986
"Padres discussing right-hander Dinelson Lamet with teams, should the Red Sox be involved? https://t.co/NvdEp2WHdt",1520714113730633728,ChrisHenrique
"Padres discussing right-hander Dinelson Lamet with teams, should the Red Sox be involved?

✍🏼⁦@ChrisHenrique⁩ // #DirtyWater

🛎 Subscribe to our free Substack 🔥 https://t.co/q6K8GXAHEk",1520714063155761153,RoundnThird
"Padres discussing right-hander Dinelson Lamet with teams, should the Red Sox be involved?

✍🏼⁦@ChrisHenrique⁩ // #DirtyWater

🛎 Subscribe to our free Substack 🔥 https://t.co/nm2vkhRU8t",1520713995908493312,BeyondtheMnstr
"Padres discussing right-hander Dinelson Lamet with teams, should the Red Sox be involved?

✍🏼⁦@ChrisHenrique⁩ // #DirtyWater

🛎 Subscribe to our free Substack 🔥 https://t.co/SpVQs1CsUx",1520713952073814016,ObstructView
Padres Discussing Dinelson Lamet In Trade Talks https://t.co/rJMwUP8vcL,1520687594069241857,JohnDalySports
"2020: Fourth-place finish in NL Cy Young voting

Now: #Padres trade candidate?

https://t.co/ZwjB4QAjZW  https://t.co/4ga3OamGEc",1520594889213464577,mlbtraderumors
Padres Discussing Dinelson Lamet In Trade Talks - MLB Trade Rumors https://t.co/zGhtWpQegA,1520578276120481792,MollRob1
