full_text,tweet_id,screen_name
"Did you know @rupertmurdoch sold #FoxNetwork to

@Disney back in 2019  ??? 🤔",1520915937485987840,Pet_my_weasel
Disney Night on American idol this should be good. Don't disappoint me #Americanidol #Disney https://t.co/m4VeoV7Dfg,1520915930435358720,wiseguyinsider
"Of course someone from Reason magazine defends Disney's ""right"" to groom your kids and pressure lawmakers into legislating how it wants, against the will of Americans. It had to be someone from that libertarian cesspool. https://t.co/I0slHBqrFH",1520915900706213888,emeriticus
"Fit test after some recent mods. It's nearly there. What do you think so far?

#cosplay #cosplayer #captainamerica #greenlantern #mashup #dc #dccomics #justiceleague #avengers #ageofultron  #marvel #disney #marvelcomics #marvelcosplay #marveluniverse #mcu https://t.co/RVuSGEwlyR",1520915780421963777,VorianCosplay
Tennessee family visiting Disney world discovered unknown Apple AirTag used to track teen daughter | Daily Mail Online https://t.co/oLT1YPJp2r,1520915751317786624,lehrer_avi
🔴 Sunday Night at Magic Kingdom | Walt Disney World Live Stream https://t.co/KO76Qzj46m via @YouTube,1520915711144734720,MouseTalk1
Watch The Greatest Game Ever Played | Full Movie | Disney+ https://t.co/rA0Ul6tOdw,1520915688126361601,imvreddy
The Disney Newlywed Game with Adventures by VP! Spillin' the Disney Tea ... https://t.co/bkWPQRiVrS via @YouTube,1520915674088017925,dad_tink
Very excited for Disney night on American idol,1520915614851809280,theTraceVining
"His replacement is a former Obama spokesperson, so they went from bad to worse.
#GetWokeGoBroke 
""Not The Right Fit"" - Disney Exec Who Led Anti-Florida-Bill Response Leaves Firm After 3 Months… https://t.co/J29Et5ga3U",1520915587110682624,FinanceTX
Forget the transgender agenda Disney or you will go BUsT… https://t.co/dEkBmPXjha,1520915504847851521,SarawaySays
Disney Plus is too good 😭,1520915493183442945,BenjiFromThe6
Lightyear Disney PixarEstreno 16 de junio https://t.co/QhfgUo11Sg,1520915482668322819,cmnoticiasmerid
"Well, according to Elise Stefanik, today's Republicans (y'know, the ones banning books and trying to punish Disney for expressing a dissenting viewpoint) are just a bunch of Communists.

My, how far the party has fallen since the days of Reagan. https://t.co/qUvWPDpIn2",1520915454482690048,SpideyTerry
"Big shout out to Rikki from San Diego CA at Cafe Orleans. You were a big help to our family tonight helping us getting outdoor seating, and accommodating our sleeping toddler. Thanking you for giving us that Disney Magic! #castcomplement #disneyland",1520915413369901056,nickrathert
VIDEO: Family Claims AirTag Tracked Them at Disney World https://t.co/uwkNqqn4Eg via @BreitbartNews,1520915395036725250,DonnaD1301
"Same energy ⚓️
#Disney  #PiratesoftheCaribbean https://t.co/T2y65RzM0C",1520915388464197632,Manuell_Char
Currently working on the plans for a craft project for my Disney Store mini brands I picked up at multiple targets when I was visiting my brother. Honestly I wish I picked up way more cuz I feel like they are gonna be harder to find here in Canada,1520915323720900609,SundropJo
"Tennessee family visiting Disney world discovered unknown #Apple AirTag used to track teen daughter - Daily Mail
https://t.co/b1ViwvIXc5",1520915318331396100,grigorkh
Wow. @netflix really did a whole lot of content creators dirty. Put a lot of people out of work. They’re out here acting like Warner Bros. DC Comics division instead of like Disney’s Marvel.,1520915316959850497,maej43
"«.@netflix @CBC, @Disney and  Awae fans: Renew Anne with an E for season 4!!» - คลิกลงชื่อสนับสนุน https://t.co/AfuriqwynD ผ่าน @ChangeThailand",1520915308294606849,mkchan_tt
"Oh I want to hurt you as much as you hurt me all my life. Dances, dates, love; sex, prom, shopping malls, valentines, holidays, nice beautiful wedding, retirement, children, Disney land love everything you stole from me. Great body, sobriety list is long n u did it!",1520915278233751552,Helloall247
he’s the one character in netflix and disney rom-coms whose clothes always rip the first day of school https://t.co/ch5I2bSXUq,1520915256343773193,McSlayys
I was going to watch American idol until I heard it was Disney songs. I don’t even care if you spoil it. Let ‘er rip. But don’t you dare spoil Ozark or I will hunt you down.,1520915252757643265,Str8fromHelle
I thought it was summer now im freezing my ass off,1520915246289932288,disney_18
@johnnydollar01  Maybe she'll hire that Disney dude! LOL https://t.co/nk4X8GeW1E,1520915241772752896,CableNewsWatch
