full_text,tweet_id,screen_name
Dougie Hamilton: Season riddled with injuries https://t.co/gEn2Ji2JYt,1520879461939437569,RotoWireNHL
"https://t.co/wOWyxYFHP1

Dougie Hamilton speaks to the media as the Devils complete their 2021-22 season.

https://t.co/wOWyxYFHP1",1520854116448284676,ShopNJDHockey
defending dougie hamilton on the internet isn't enough I need a g*n https://t.co/qRNv8LPfla,1520849034734452737,carlastonreese
DOUGIE TAYLOR HAMILTON https://t.co/3ApYvtEd9v,1520840425355067393,patrikeIias
I will defend dougie hamilton with my life,1520839252073922562,carlastonreese
#NJDevils  Dougie Hamilton says he did not feel the same after the jaw injury and continued to say it’s still not normal. Referenced some numbness and nerve issues.,1520834644735836163,InStilettos_NHL
"Now at podium, Dougie Hamilton.",1520832363093184514,nealmchale
"Owen Power’s 1st game in Buffalo: Hey, this kid looks like he’s belongs here. That’s an nhl defenseman at 19. Nice!

Owen Power’s 8th game in Buffalo: Dougie Hamilton (?) is having a nice game for the Sabres, as expected.",1520531951140184070,BrianduNord
"3.47 Hamilton
1/2 OVERDRAFT looks handicapped to go well. Whilst he finished down the field in 9th last time out, the 10th placed - Jabbar - and 11th placed - Dougie's Dream - have both won since off 65 and 61 respectively. There's further substance to that form with the 2nd...",1520515632244080640,BarbatoSalv
@EASPORTSNHL  What did Dougie Hamilton do to you guys? https://t.co/I2ogZYVgKV,1520460227853922304,Hotwheelz9987
"Now thats over with (thank god) cant wait for there to be a complete overhaul next season, do everything to keep hamilton and strapp, the rest bye bye, hopefully dougie will be absolutely ruthless with them, get it done on monday and start building from then",1520302038718062593,louise_ton22
pov: you are watching me try on 6’6 220lb dougie hamilton’s worn jersey which is now mine 😄 https://t.co/oMYpxp73T9,1520233194884583425,piercethekya
Dougie Hamilton absolutely vaporizing Bertuzzi was the best thing that came out of this Devils season,1520225409480208385,Nekrosdubz2
Is Hamilton the Pig still alive/around or did they kinda give him the boot when Dougie left,1520220143850344448,jessbelmosto
Dougie Hamilton absolutely flattened Bertuzzi who was trying to tuck one home on the empty net,1520212697312374785,DevilsArmyBlog
ALL HAIL KING DOUGIE HAMILTON,1520212571630055425,carlastonreese
dougie hamilton hero of the nhl decking bertuzzi to prevent the empty netter,1520212332047212544,patrikeIias
Dougie Hamilton just murdered Tyler Bertuzzi. Sheesh,1520212330772144129,AlexC_THW
ALL HAIL DOUGIE HAMILTON,1520208214926712832,carlastonreese
"Nolan Foote sets up in front of the net and deflects Dougie Hamilton's shot down and into the net, evening the score at 2-2 in the 2nd period #NJDvsDET #NJDevils #LGRW https://t.co/FsNfrxhitr",1520200549613903875,nopClips
Nolan Foote with a very nice redirect of a Dougie Hamilton shot to draw the #NJDevils at 2-2. Nice shift from Jesper Boqvist too,1520196988008083456,AlexC_THW
"SIGH.

Dougie Hamilton from the blueline.

Bad coverage by Bertuzzi at the blueline on the hard-around, and Juolevi screened Hellberg with Foote as well.

2-2.",1520196978910674945,georgemalik
Dougie Hamilton let's loose a rocket from high along the near wall. 2-2. #NJDevils @NJDevils,1520196812224749578,MatthewBlittner
"Dougie Hamilton’s lazy technique, reaching, not taking the body, led to that goal 🤬
#NJDevils https://t.co/WK3ofNYfUF",1520179667348639745,GravisMushnick
"Dougie Hamilton scored 17 seconds into the season and Jack Hughes carried the team to an OT win.

It was all downhill from there 

#NJDevils",1520175725625724933,RedneckGoalie30
"https://t.co/UbcorlK0D0

Take a look back at the best moments of Jack Hughes, Dougie Hamilton, and Ty Smtih wearing our Third Jersey.

https://t.co/UbcorlK0D0",1520095680404107265,ShopNJDHockey
