full_text,tweet_id,screen_name
"Go watch @ThatUmbrella he's currently live &amp; discussing #AmberHeard mental health issues, Drew barrymore and more. He's a psychiatrist as well #AmberHeardIsAnAbuser
#AmberHeardIsALiar #JusticeForJohnnyDepp
#JohnnyDeppAmberHeardTrial
#JohnnyDepp #DeppvHeard
https://t.co/RZ5JU3bIhC",1520914221994848257,RIshgard
"Remember Drew Barrymore also abused Jamie Walters while dating.
#JohnnyDeppVsAmberHeard
#DeppvHeard
#DeppVsHeard
#JusticeForJohnnyDepp #JohnnyDeppIsInnocent
#IStandWithJohnnyDepp
#JohnnyDepp
#AmberHeardIsALiar
#AmberHeardIsAnAbuser
#AmberHeardDeservesPrison
#AmberHeard
#AmberTurd",1520908701313425410,WinkiesWord
Take 2/ LIVE CHAT/ Johnny Depp v Amber Heard/ Drew Barrymore/ MEGA Pint https://t.co/J3aiULWXya via YouTube https://t.co/P6EiZ5UgCJ,1520908131081105409,thegalasisters
drew barrymore by sza got me like https://t.co/Bd5ly5snRe,1520906209364103168,sunstarsforu
"Oh, I love hugging. I wish I was an octopus, so I could hug 10 people at a time! - Drew Barrymore #quote https://t.co/vFMWm3lOA8",1520906019806879744,lawrence_wray
Drew Barrymore ohmygoodness 🤦 how u voiced ur thoughts about the trial looked like u laughed at DV. But I know you meant to say it created curiosity for u to know more about what crazy things happened between them. Let’s not Misconstrue what she really meant.  @DrewBarrymoreTV,1520904210690166784,zombiewolfbro
"Disappointing. You owe an apology @DrewBarrymore 

https://t.co/5NME8Hbij5",1520903710280503298,oh_suzannedear
"Drew Barrymore is still getting dragged by the deppheads as she should be. Laughing at Johnnys abuse is inexcusable. 
#JusticeForJohnny #JusticeForJohnnyDepp #DrewBarrymore https://t.co/qPiULQet0v",1520901923834327041,shortcakkke
"I believe that Drew Barrymore's apology was sincere. I feel that those who don't think she's sincere isn't  one of those people who have followed  her career for years. She has a kind heart but she made a mistake, who hasn't.  No one is perfect. #JusticeForJohnnyDepp",1520901349692657664,evrlovlyjewelle
I never thought I’d think this… but Drew Barrymore kind of sucks.,1520901135984250880,Rebecca91921211
"😂 At least you aren’t as fat as Drew Barrymore, Dave. 😂 It’ll do. 😂",1520900651643031557,koreanyoko
"Child's Play, Drew Barrymore and Broken Clocks. https://t.co/lpYYwnqg6Z",1520900319386996737,Novuyo_b
"Am I the only one that haven't seen Drew Barrymore's tweet and is completely lost? Anyone's got the capture... as it's been deleted? 🥴 - https://t.co/zpEMwqOX9B

#JusticeForJohnnyDepp https://t.co/LjExAdh7g1",1520899450759225344,dama0scura
"Good on you @LauraBockov ! When it was brought to my attention I couldn’t believe it, Drew Barrymore! Anthony I’m embarrassed we share the same family name. https://t.co/hfDebd1Boz",1520898660451635200,Jaws0129
Drew Barrymore Publicly MOCKS &amp; Attacks Johnny Depp on LIVE TV https://t.co/3xKmcshhHI via @YouTube VERY DISAPPOINTED,1520898582102093826,debbirutledge1
"50 Shades of Grey

Eloise Mumford
AkA
Ethel Drew Barrymore Warren",1520897441377263617,AndreaHerd2
"Eww, Drew Barrymore. Eww.",1520896281098563584,WriteAsRae
"People who are most likely dreading Monday, Amber Heard and Drew Barrymore.",1520896220989956096,RosannaWright
"Good on Drew Barrymore for apologising. She accepted what she did was wrong. She owned her shit.  Apparently that's not good enough for a lot of people.
Say sorry, not like that! 🙄
I always try and assume positive intent with everyone, unless I have reason to believe otherwise.",1520896111128547330,LouiseHatfiel16
